#,Song,Artist,BPM,Camelot,Energy,Added at,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (db),Key,Time Signature,Spotify Track Id,ISRC
1,"Dean Martin","Tess Henley",71,11B,40,2020-09-16,03:43,0,"christmas","Better",2019-08-02,67,16,0,41,0,0,-10,A Major,4,7BvUMxQHBNBPb7haFvvKwG,QM6MZ1991619
2,"San Luis","Gregory Alan Isakov",82,6A,43,2020-09-16,04:32,1,"indie folk, folk, folk pop","Evening Machines",2018-10-05,57,86,26,25,0,10,-13,G Minor,4,7gDNQLV9cr8449LFrQbk5J,USDMG1888302
3,"Old Soul","Bruno Major",155,11A,39,2020-09-17,03:06,0,"","Old Soul",2020-03-19,80,42,1,63,20,10,-10,F#/G♭ Minor,4,1424NuP4l8g7W3dvBTqx5F,GBKPL2089420
4,"Moving Target","Wild Rivers",126,1B,35,2020-09-17,03:32,0,"folk pop","Moving Target",2019-01-25,53,73,0,13,0,10,-8,B Major,4,5jrTAKxLMFhaUr39N0VPLI,CAY031900001
5,"Honey","Levi Matthan",99,6B,29,2020-09-16,03:29,28,"","Honey",2020-06-05,48,78,0,37,0,30,-11,A#/B♭ Major,4,1mmikVX74h2RihTjbdMX6O,QZHN32020563
6,"Forest Green","Big Red Machine",93,1B,55,2020-09-19,05:49,0,"","Big Red Machine",2018-08-31,60,67,59,36,0,0,-11,B Major,4,0WVCw4DuZ5GliVNUyyNmS2,US38Y1833506
7,"Pale November Dew","The Dead Tongues",112,4B,51,2020-09-19,03:50,0,"southern gothic, bluegrass, americana, folk","Unsung Passage",2018-05-18,53,86,7,43,0,10,-9,G#/A♭ Major,4,20rtR9O2T7huACSvZz3pqd,QMDA71836539
8,"Eloise","Penny and Sparrow",138,6A,42,2020-09-16,02:48,52,"","Finch",2019-08-02,61,70,0,41,0,10,-8,G Minor,4,3XnDbrxxtA40HPIIRWLgRT,QZE991900003
9,"And It's Still Alright","Nathaniel Rateliff",78,5B,49,2020-09-17,03:55,68,"indie folk, americana","And It’s Still Alright",2020-02-14,52,69,62,30,0,10,-9,D#/E♭ Major,4,2tRxHjEkdgGMv9kZbOyqOH,USC4R1907159
10,"Every Colour","Luca Fogale",98,4B,50,2020-09-16,03:56,0,"","Every Colour",2020-07-10,54,12,2,19,0,10,-9,G#/A♭ Major,4,68gNrcE4GIShOXxlPjtegL,GBKPL2010415
