#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"You Know It","Colony House",158,5B,96,2021-06-01,03:02,57,"","Only The Lonely",2017-01-13,40,4,0,57,10,10,-3,D#/E♭ Major,4,169pWCmfvVazzcL4EXFPgL,QMTAA1600045
2,"Tongue Tied","GROUPLOVE",113,5B,94,2021-06-01,03:38,80,"indie","Never Trust a Happy Song",2011-09-02,56,1,0,37,0,10,-6,D#/E♭ Major,4,0GO8y8jQk1PkHzS31d699N,USAT21101334
3,"Payphone","Maroon 5,Wiz Khalifa",110,12B,76,2021-06-01,03:51,69,"pop, ","Overexposed",2021-06-20,74,1,0,52,0,30,-5,E Major,4,1LmN9SSHISbtp9LoaR5ZVJ,USUM71203347
4,"Animal","Neon Trees",148,7B,83,2021-06-01,03:32,75,"","Habits",2010-01-01,48,0,0,74,0,30,-6,F Major,4,1fBl642IhJOE5U319Gy2Go,USUM71001801
5,"Accidentally In Love - From  Shrek 2  Soundtrack","Counting Crows",138,9B,93,2021-06-01,03:08,72,"","Accidentally In Love (From Shrek 2 S/T)",2004-01-01,56,5,0,78,0,0,-4,G Major,4,2Y6uY65ZwKl9WbVOvKyZg6,USIR10400291
6,"Keep Your Head Up","Andy Grammer",90,8B,78,2023-05-21,03:09,2,"","Andy Grammer",2011-06-14,67,5,0,82,0,10,-5,C Major,4,4Jz4bjXeiF2SXVj9P4YfY5,USKFE1000058
7,"She's so Mean","Matchbox Twenty",118,8B,88,2021-06-03,03:52,64,"post-grunge","North (Deluxe Edition)",2012-08-28,67,1,0,68,0,20,-4,C Major,4,2toY6JyyfKy9TwNk3Ou2XG,USAT21202561
8,"8TEEN","Khalid",105,3B,59,2021-11-29,03:48,73,"","American Teen",2017-04-27,83,23,0,64,0,0,-6,C♯/D♭ Major,4,5bgwqaRSS3M8WHWruHgSL5,USRC11700146
9,"Dog Days Are Over","Florence + The Machine",150,9B,81,2021-11-29,04:11,78,"baroque pop","Lungs (Deluxe Edition)",2009-00-00,49,4,0,25,0,10,-5,G Major,4,1YLJVmuzeM2YSUkCCaTNUB,GBUM70900209
10,"Haven't Met You Yet","Michael Bublé",123,4B,73,2021-06-03,04:04,70,"christmas","Crazy Love",2009-10-06,62,15,0,80,0,10,-5,G#/A♭ Major,4,4fIWvT19w9PR0VVBuPYpWA,USRE10901437
11,"Suddenly I See","KT Tunstall",100,8B,77,2023-05-21,03:21,80,"","Eye To The Telescope",2005-01-01,59,23,0,66,0,10,-6,C Major,4,5p9XWUdvbUzmPCukOmwoU3,GBGLM0400069
12,"This Love","Maroon 5",95,4A,86,2023-05-21,03:26,87,"pop","Songs About Jane: 10th Anniversary Edition",2002-00-00,71,5,0,81,0,0,-5,F Minor,4,6ECp64rv50XVz93WvxXMGF,USJAY0300080
13,"Rich Girl","Daryl Hall & John Oates",170,7B,68,2023-07-25,02:22,78,"yacht rock, soft rock","Bigger Than Both Of Us",1976-08-01,57,46,0,82,10,0,-7,F Major,4,0qRR9d89hIS0MHRkQ0ejxX,USRC17607760
14,"Brazil","Declan McKenna",121,12B,62,2023-07-25,04:12,82,"","What Do You Think About the Car?",2017-04-21,69,9,0,67,0,0,-5,E Major,4,4sNG6zQBmtq7M8aeeKJRMQ,GBARL1500856
15,"Satellite","Harry Styles",139,8B,46,2023-07-25,03:38,78,"","Harry's House",2022-05-20,58,14,0,30,0,0,-6,C Major,4,0rzaRSujxA0bKyjJl6vHYq,USSM12200619
16,"Almost Maybes","Jordan Davis",90,1B,87,2023-09-13,02:59,54,"country, pop country","Almost Maybes",2020-05-08,58,15,0,56,0,10,-4,B Major,4,14JFKtBSqefxfMiKhq6JT8,USUM72007270
17,"Pompeii","Bastille",127,11B,72,2023-12-27,03:34,73,"","Bad Blood",2013-01-01,68,8,0,57,0,20,-6,A Major,4,3gbBpTdY8lnQwqxNCcf795,GBAAA1200795
18,"Chemical","Post Malone",170,10B,88,2024-02-05,03:04,75,"","Chemical",2023-04-14,49,0,0,39,0,10,-5,D Major,4,5w40ZYhbBMAlHYNDaVJIUu,USUM72305205
19,"Midnight City","M83",105,10A,71,2024-02-26,04:01,74,"","Hurry Up, We're Dreaming",2011-00-00,53,2,0,32,0,10,-7,B Minor,4,1eyzqe2QqGZUmfcPZtrIyt,GB55H1100002
20,"Raise Your Glass","P!nk",122,9B,71,2021-06-03,03:22,77,"","Raise Your Glass",2010-10-05,70,0,0,62,0,0,-5,G Major,4,1gv4xPanImH17bKZ9rOveR,USLF21000090
21,"Not Over You","Gavin DeGraw",142,6B,89,2021-06-03,03:38,64,"","Sweeter",2011-09-19,63,26,0,36,0,10,-5,A#/B♭ Major,4,6j7hih15xG2cdYwIJnQXsq,USJAY1100058
22,"Classic","MKTO",102,3B,79,2021-06-01,02:55,80,"","MKTO",2012-00-00,72,4,0,76,10,10,-5,C♯/D♭ Major,4,6FE2iI43OZnszFLuLtvvmg,USSM11301446
23,"Magic In The Hamptons (feat. Lil Yachty)","Social House,Lil Yachty",96,3B,48,2021-06-01,02:44,69,"","Magic In The Hamptons (feat. Lil Yachty)",2018-06-08,77,66,0,80,0,0,-5,C♯/D♭ Major,4,2Yer0p7uB2lVBUAtANuuQp,USUM71806833
24,"Talk Too Much","COIN",104,12B,89,2021-06-01,03:08,66,"","How Will You Know If You Never Try",2017-04-21,60,1,0,48,0,30,-5,E Major,4,4djIFfof5TpbSGRZUpsTXq,USSM11602662
25,"Everybody Talks","Neon Trees",155,4B,92,2023-05-21,02:57,81,"","Picture Show",2012-01-01,47,0,0,72,0,30,-4,G#/A♭ Major,4,2iUmqdfGZcHIhS3b9E9EWq,USUM71119189
26,"Out of My League","Fitz and The Tantrums",170,8A,97,2021-06-01,03:29,80,"","More Than Just a Dream (Deluxe Edition)",2013-05-07,55,4,0,53,0,30,-4,A Minor,4,2AYEOC02WLhUiOoaig2SEH,USAT21300149
27,"Electric Love","BØRNS",120,11A,80,2021-06-01,03:38,80,"","Dopamine",2015-10-16,61,1,0,52,0,20,-8,F#/G♭ Minor,4,2GiJYvgVaD2HtM8GqD9EgQ,USUM71416307
