#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Pink + White","Frank Ocean",160,11B,55,2023-10-08,03:04,88,"","Blonde",2016-08-20,55,67,0,55,10,40,-7,A Major,3,3xKsf9qdS1CyvXSMEid6g8,QZ5C81600003
2,"Écoute Chérie","Vendredi sur Mer",93,6A,65,2023-10-08,03:44,74,"french indie pop, french pop","Premiers émois",2019-03-22,61,14,0,69,0,20,-7,G Minor,4,1zyUz3eZ3sytdaR9lfW17q,FR9W11813454
3,"Good Days","SZA",121,12A,66,2023-10-08,04:39,74,"r&b","Good Days",2020-12-25,44,50,0,41,0,60,-8,C♯/D♭ Minor,4,3YJJjQPAbDT7mGpX3WtQ9A,USRC12004189
4,"Dead To Me","Kali Uchis",119,9A,76,2023-10-08,03:19,76,"","Isolation",2018-04-06,68,43,0,43,0,10,-4,E Minor,4,6LOZws7T3jqZz78unPgFF9,GBUM71801115
5,"Les","Childish Gambino",103,12A,67,2023-10-08,05:17,8,"","Camp",2011-11-15,54,1,0,12,0,20,-7,C♯/D♭ Minor,4,0YsGMHid6sFq5PcToe3JZE,USYAH1100353
6,"telepatía","Kali Uchis",84,10A,52,2023-10-08,02:40,85,"","Sin Miedo (del Amor y Otros Demonios) ∞",2020-12-04,65,11,0,55,0,20,-9,B Minor,4,6tDDoYIxWvMLTdKpjFkc1B,GBUM72005748
7,"successful","Ariana Grande",114,5A,60,2023-10-08,03:47,66,"pop","Sweetener",2018-08-17,85,11,0,74,0,10,-5,C Minor,4,5YeHLHDdQ4nKHk81XFWhCU,USUM71808578
8,"London Boy","Taylor Swift",158,3B,71,2023-10-08,03:10,72,"","Lover",2019-08-23,70,2,0,56,0,10,-7,C♯/D♭ Major,4,1LLXZFeAHK9R4xUramtUKw,USUG11901481
9,"motive (with Doja Cat)","Ariana Grande,Doja Cat",117,3A,74,2023-10-08,02:47,74,"pop, ","Positions",2020-10-30,79,7,0,66,0,10,-6,A#/B♭ Minor,4,5GkQIP5mWPi4KZLLXeuFTT,USUM72020425
10,"After The Storm (feat. Tyler, The Creator & Bootsy Collins)","Kali Uchis,Tyler, The Creator,Bootsy Collins",80,9A,66,2023-10-08,03:27,81,"funk","Isolation",2018-04-06,70,30,0,84,10,20,-7,E Minor,4,1otG6j1WHNvl9WgXLWkHTo,GBUM71706492
11,"Say Yes To Heaven","Lana Del Rey",100,11A,35,2023-10-08,03:29,86,"","Say Yes To Heaven",2023-05-19,49,68,17,14,0,10,-12,F#/G♭ Minor,4,6GGtHZgBycCgGBUhZo81xe,GBUM72304301
12,"Summertime Sadness","Lana Del Rey",112,12A,65,2023-10-08,04:25,85,"","Born To Die - The Paradise Edition",2012-01-01,56,5,0,24,0,10,-7,C♯/D♭ Minor,4,3BJe4B8zGnqEdQPMvfVjuS,GBUM71111565
13,"Young And Beautiful","Lana Del Rey",114,10A,42,2023-10-08,03:56,89,"","Young And Beautiful",2013-01-01,32,26,0,15,0,10,-9,B Minor,4,2nMeu6UenVvwUktBCpLMK9,GBUM71301823
14,"Normal Girl","SZA",76,8B,53,2023-10-08,04:13,76,"r&b","Ctrl",2017-06-09,62,27,0,36,10,10,-7,C Major,4,5fQBa4wkmq28xpSLOQ202K,USRC11701128
15,"Sensitive","Dreamer Isioma",90,9B,62,2023-10-08,02:54,61,"alternative r&b","Sensitive",2020-01-29,61,19,0,37,10,10,-8,G Major,4,06DPYEqSX1jMaxvnXNVshB,QZ93L2001280
16,"Ivy","Frank Ocean",116,8A,39,2023-10-08,04:09,84,"","Blonde",2016-08-20,57,79,0,47,0,20,-10,A Minor,4,2ZWlPOoWh0626oTaHrnl2a,QZ5C81600002
17,"Loveeeeeee Song","Rihanna,Future",120,4A,60,2023-10-08,04:16,74,"rap","Unapologetic (Deluxe)",2012-12-11,71,51,0,50,0,10,-8,F Minor,4,3DZQ6mzUkAdHqZWzqxBKIK,USUM71214740
18,"Sure Thing","Miguel",81,10A,61,2023-10-08,03:15,87,"r&b","All I Want Is You",2010-11-30,68,3,0,50,10,10,-8,B Minor,4,0JXXNGljqupsJaZsgSbMZV,USJI10800160
19,"Pretty","Coco & Clair Clair,Okthxbb",120,4B,56,2023-10-08,03:44,67,"hyperpop","Pretty",2017-11-15,77,12,0,74,0,0,-7,G#/A♭ Major,4,2sCUDVNDIlZPDk8YUnvRHe,QZANL1753729
20,"Les filles désir","Vendredi sur Mer",80,2A,55,2023-10-08,03:16,63,"french indie pop, french pop","Premiers émois",2019-03-22,58,34,11,38,0,10,-8,D#/E♭ Minor,4,3Cc0xsYtoaPDjVZyiPHiQ4,FR9W11705408
21,"Luxury","Azealia Banks",122,4B,91,2023-10-08,02:48,1,"ballroom vogue, hip house","Broke with Expensive Taste",2014-11-07,69,2,0,57,10,20,-7,G#/A♭ Major,4,7IzN1BfaQ8fmTHYPRPhNws,US5Z51400592
22,"Moonlight","Kali Uchis",137,6A,71,2023-10-08,03:07,81,"","Red Moon In Venus",2023-03-03,64,52,0,86,0,20,-7,G Minor,4,0JmnkIqdlnUzPaf8sqBRs3,USUM72219486
23,"Luxurious","Gwen Stefani",131,8B,73,2023-10-08,04:24,65,"","Love. Angel. Music. Baby.",2004-11-12,81,15,0,67,0,10,-4,C Major,4,69xZrRwScYMhlCMcxrF958,USIR10400848
24,"the perfect pair","beabadoobee",146,1B,66,2023-10-08,02:57,83,"bedroom pop","Beatopia",2022-07-15,63,43,12,60,0,10,-7,B Major,4,41P6Tnd8KIHqON0QIydx6a,GBK3W2202093
25,"Video Games","Lana Del Rey",73,11A,25,2023-10-08,04:41,79,"","Born To Die - The Paradise Edition",2012-01-01,24,81,0,18,0,0,-10,F#/G♭ Minor,5,0fBSs3fRoh1yJcne77fdu9,GBUM71111621
26,"Head Over Heels - Dave Bascombe 7  N.Mix","Tears For Fears,Dave Bascombe",95,9B,74,2023-10-08,04:17,73,"new wave, synthpop, ","Songs From The Big Chair (Deluxe)",1985-02-25,62,34,0,64,0,10,-8,G Major,4,5lwQGZYF4BXOzFtXc5zk8q,GBF080400754
27,"Tears Dry On Their Own","Amy Winehouse",122,12A,54,2023-10-08,03:06,70,"","Back To Black (Deluxe Edition)",2006-00-00,63,53,0,47,10,20,-13,C♯/D♭ Minor,4,7MDfN1ldfTMtuXXdVz2Pzc,GBUM70603494
28,"Super Rich Kids","Frank Ocean,Earl Sweatshirt",60,2A,42,2023-10-08,05:04,77,"experimental hip hop, alternative hip hop","channel ORANGE",2012-07-10,74,22,0,58,0,20,-8,D#/E♭ Minor,4,0725YWm6Z0TpZ6wrNk64Eb,USUM71207196
29,"Sunny","Boney M.",122,5A,87,2023-10-08,04:02,72,"disco","Take The Heat Off Me",1976-00-00,65,9,12,80,10,10,-6,C Minor,4,3pf96IFggfQuT6Gafqx2rt,DED168000002
30,"Hits Different","Taylor Swift",106,7B,79,2023-10-08,03:54,72,"","Midnights (The Til Dawn Edition)",2023-05-26,67,13,0,26,0,20,-7,F Major,4,3xYJScVfxByb61dYHTwiby,USUG12205731
31,"Dealer","Lana Del Rey",130,5A,59,2023-10-08,04:34,74,"","Blue Banisters",2021-10-22,60,32,0,38,0,10,-6,C Minor,4,7iqQz931tn59mK6IZ3knRx,GBUM72104279
32,"Art Deco","Lana Del Rey",148,10A,46,2023-10-08,04:55,80,"","Honeymoon",2015-09-18,28,54,22,6,0,10,-11,B Minor,5,5jqNQZBwbZWQXPWfo0ygZF,GBUM71503925
33,"ARE WE STILL FRIENDS?","Tyler, The Creator",187,6B,50,2023-10-08,04:25,84,"","IGOR",2019-05-17,22,13,0,31,0,10,-8,A#/B♭ Major,3,5TxRUOsGeWeRl3xOML59Ai,USQX91901168
34,"BEST INTEREST","Tyler, The Creator",98,10A,57,2023-10-08,02:07,75,"","BEST INTEREST",2020-01-25,60,9,0,34,0,30,-8,B Minor,3,3jHdKaLCkuNEkWcLVmQPCX,USQX92000078
35,"See You Again (feat. Kali Uchis)","Tyler, The Creator,Kali Uchis",79,2B,56,2023-10-08,03:00,90,"","Flower Boy",2017-07-21,56,37,0,62,10,10,-9,F#/G♭ Major,4,7KA4W4McWYRpgf0fWsJZWB,USQX91701275
36,"Lucky Girl","Carlina",50,12A,65,2023-10-08,03:47,0,"","Lucky Girl",2023-02-07,42,41,0,53,0,20,-4,C♯/D♭ Minor,4,6f6SbYsZtqP3DpPjR5OLiB,QZDA42307286
37,"Let The Light In (feat. Father John Misty)","Lana Del Rey,Father John Misty",132,11B,44,2023-10-08,04:38,78,"","Did you know that there's a tunnel under Ocean Blvd",2023-03-24,34,39,0,20,0,10,-10,A Major,4,4qG7hWhljsqqENL5PaLA2z,GBUM72206754
38,"Mine","Slayyyter",124,3B,73,2023-10-08,02:39,58,"hyperpop","Mine",2019-05-03,69,9,1,46,0,10,-6,C♯/D♭ Major,4,18uOcUO5mNEYHHigeXPgQM,QM24S1905471
39,"love language","Ariana Grande",110,3A,57,2023-10-08,02:59,61,"pop","Positions",2020-10-30,69,7,0,55,20,0,-5,A#/B♭ Minor,4,6NYtLvyThMT0oALFdJFdzq,USUM72020437
40,"Hater's Anthem","Infinity Song",98,3B,65,2023-10-08,02:51,35,"","Hater's Anthem",2023-08-25,60,9,0,53,0,0,-10,C♯/D♭ Major,4,6zNDaCnyrI3uUuvYqLpnAO,QMJMT2305075
41,"The Boy Is Mine","Brandy,Monica",93,12A,71,2023-10-08,04:54,76,"r&b","Never Say Never",1998-05-29,70,54,0,76,0,30,-7,C♯/D♭ Minor,4,6sHsXIJoEN5JpdkGMQDJxt,USAT29800316
42,"Novacane","Frank Ocean",94,5B,51,2023-10-08,05:02,84,"","Novacane",2011-01-01,76,6,0,37,0,10,-9,D#/E♭ Major,4,4osgfFTICMkcGbbigdsa53,USUM71107257
43,"Clouded","Brent Faiyaz",65,10B,34,2023-10-08,01:50,76,"r&b","Fuck The World",2020-02-07,58,77,0,58,0,10,-9,D Major,3,2J6OF7CkpdQGSfm1wdclqn,QM24S1927163
44,"Moonlight","Kali Uchis",137,6A,72,2023-10-08,03:07,76,"","Moonlight",2023-02-24,64,48,0,89,0,10,-6,G Minor,4,2i2gDpKKWjvnRTOZRhaPh2,USUM72219486
45,"ROLE MODEL","Brent Faiyaz",90,3A,54,2023-10-22,03:14,72,"r&b","WASTELAND",2022-07-08,61,3,0,34,0,10,-8,A#/B♭ Minor,4,1wGpEisE7VmhhSazD8hZ5l,QM24S2203178
46,"New Romantics (Taylor's Version)","Taylor Swift",122,7B,85,2023-10-28,03:50,68,"","1989 (Taylor's Version)",2023-10-26,65,1,0,72,0,0,-6,F Major,4,2vPMoMDXxu9uX1igWZmXSG,USUG12306686
47,"Message In A Bottle (Taylor's Version) (From The Vault)","Taylor Swift",116,9B,79,2023-11-04,03:45,72,"","Red (Taylor's Version)",2021-11-12,62,0,0,49,0,0,-6,G Major,4,3z6XUommYDWPHeFhmhhT6j,USUG12103685
48,"Stargirl Interlude","The Weeknd,Lana Del Rey",90,4A,47,2023-11-04,01:51,79,"","Starboy",2016-11-24,72,35,9,43,0,10,-13,F Minor,4,5gDWsRxpJ2lZAffh5p7K0w,USUG11600986
49,"Dark Red","Steve Lacy",172,2B,78,2023-11-04,02:53,86,"","Dark Red",2017-02-20,60,45,0,77,0,10,-4,F#/G♭ Major,4,3EaJDYHA0KnX88JvDhL9oa,GBKPL1778015
50,"Infrunami","Steve Lacy",97,11B,30,2023-11-04,02:58,82,"","The Lo-Fis",2020-12-04,83,31,10,22,0,0,-8,A Major,4,0f8eRy9A0n6zXpKSHSCAEp,TCAFF2074404
51,"Me and Your Mama","Childish Gambino",118,7B,44,2023-11-14,06:19,4,""," Awaken, My Love! ",2016-12-02,55,1,3,24,0,0,-12,F Major,3,4AFsRbaLKRWo3dDtjDFA2V,USYAH1600102
52,"Brooklyn Baby","Lana Del Rey",108,3B,66,2023-11-15,05:51,85,"","Ultraviolence (Deluxe)",2014-01-01,40,54,0,9,0,10,-7,C♯/D♭ Major,4,1NZs6n6hl8UuMaX0UC0YTz,GBUM71402169
53,"Pain","PinkPantheress",126,3B,62,2023-11-15,01:38,83,"bedroom pop","to hell with it",2021-10-15,83,23,0,81,10,0,-8,C♯/D♭ Major,4,4S4QJfBGGrC8jRIjJHf1Ka,QZFZ52145391
54,"Awkward","SZA",120,7B,47,2023-11-15,02:58,71,"r&b","Ctrl (Deluxe)",2022-06-09,62,18,0,40,0,10,-12,F Major,4,2xZ0zfuDTv5LxLhEgD82PG,USRC12202150
55,"Melting","Kali Uchis",115,4B,48,2023-11-15,03:28,43,"","Por Vida",2015-02-04,57,18,8,30,0,10,-8,G#/A♭ Major,4,2kSb3wYSOV996xA2NSmpck,QM8DG1400266
56,"Good Looking","Suki Waterhouse",150,12B,55,2023-11-15,03:34,24,"","Good Looking",2022-08-18,37,8,0,26,0,10,-9,E Major,3,0j3mqDTK4Z6lvrLzFCUUz6,QZ9Y21712533
57," Slut!  (Taylor's Version) (From The Vault)","Taylor Swift",78,10B,42,2023-11-15,03:00,74,"","1989 (Taylor's Version)",2023-10-26,62,33,0,31,0,0,-13,D Major,4,71BqAINEnezjQfxE4VuJfq,USUG12306687
58,"greedy","Tate McRae",111,11A,73,2023-11-18,02:11,87,"","greedy",2023-09-15,75,26,0,82,0,10,-3,F#/G♭ Minor,1,3rUGC1vUpkDG9CZFHMur1t,USRC12301932
