#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"telepatía","Kali Uchis",84,10A,52,2021-12-26,02:40,85,"","Sin Miedo (del Amor y Otros Demonios) ∞",2020-12-04,65,11,0,55,0,20,-9,B Minor,4,6tDDoYIxWvMLTdKpjFkc1B,GBUM72005748
2,"just like magic","Ariana Grande",128,4B,61,2021-12-26,02:29,67,"pop","Positions",2020-10-30,72,8,0,46,10,10,-5,G#/A♭ Major,4,7Dx9Z6Aon1qPS2N0rHSWTe,USUM72020427
3,"Rich Girl","Gwen Stefani,Eve",98,6A,75,2021-12-26,03:56,0,"","Love Angel Music Baby",2004-10-27,86,3,0,76,0,10,-3,G Minor,4,39qcvV4f0uqDMHxIkSb7tE,USIR10400846
4,"Levitating","Dua Lipa",103,11A,88,2021-12-26,03:23,81,"pop","Future Nostalgia",2020-03-27,70,6,0,91,0,20,-2,F#/G♭ Minor,4,39LLxExYz6ewLAcYrzQQyP,GBAHT1901299
5,"successful","Ariana Grande",114,5A,60,2021-12-26,03:47,66,"pop","Sweetener",2018-08-17,85,11,0,74,0,10,-5,C Minor,4,5YeHLHDdQ4nKHk81XFWhCU,USUM71808578
6,"Honeypie","JAWNY",115,4A,68,2021-12-26,02:15,0,"bedroom pop","Honeypie",2019-04-25,74,7,0,93,20,10,-5,F Minor,4,0rzWENXdfcLTgyt5DByGTy,GBKPL1946902
7,"God is a woman","Ariana Grande",145,3B,66,2021-12-26,03:17,80,"pop","Sweetener",2018-08-17,60,2,0,27,0,20,-6,C♯/D♭ Major,4,5OCJzvD7sykQEKHH7qAC3C,USUM71808574
8,"Woman","Doja Cat",108,4A,76,2021-12-26,02:52,56,"","Planet Her (Deluxe)",2021-06-27,82,9,0,88,0,10,-4,F Minor,4,1M3XB6EUPUZy58Aqt6zbKr,USRC12101532
9,"Good Days","SZA",121,12A,66,2021-12-26,04:39,74,"r&b","Good Days",2020-12-25,44,50,0,41,0,60,-8,C♯/D♭ Minor,4,3YJJjQPAbDT7mGpX3WtQ9A,USRC12004189
10,"Material Girl","Saucy Santana",102,10B,70,2022-01-03,03:08,53,"","Imma Celebrity",2020-01-14,88,4,0,43,20,50,-7,D Major,4,6nQ1B216Liiydhgn2gar0o,QZ5FA1950664
