#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Autumn","Imaginary Poet",131,7B,1,2021-09-06,02:20,0,"","Dark Academia",2021-05-18,45,100,95,31,0,0,-26,F Major,3,0FL2RFiqkdMl3B5a3WXZnA,DEZC62100773
2,"The Seventh Seer","Peter Gundry",98,5A,25,2021-09-06,04:42,35,"celtic","Goëtia",2018-07-13,27,68,89,9,0,10,-15,C Minor,4,7HA3R96KpqCpXWbfLULx9S,TCADS1810655
3,"Desolation","Adam Hurst",73,10B,30,2021-09-17,03:14,39,"","Nightfall",2013-11-27,20,24,84,3,0,10,-16,D Major,4,4bITVlCxy67Dpqbh1uh6uW,usx9p1320361
4,"Salem's Secret","Peter Gundry",120,3A,25,2021-09-06,04:04,48,"celtic","The Edge of Darkness",2015-07-25,51,74,88,3,0,10,-13,A#/B♭ Minor,4,1LBT3jldKFtvpm3TbfhJox,TCACH1533578
5,"Ghost Lullaby","Lucas King",171,8B,1,2021-09-06,03:44,34,"","Dark Piano Radio Volume 3",2020-09-05,28,99,96,13,0,0,-30,C Major,4,6IMe9G2OJ4oYnat0uzpYuW,QZK6J2039040
6,"Rainy Day","Imaginary Poet",64,7A,5,2021-09-06,01:54,0,"","Dark Academia",2021-05-18,59,100,95,45,10,0,-24,D Minor,3,0WHDzhvUVYmYlN5N1cmDzd,DEZC62100785
7,"The Last of Her Kind","Peter Gundry",120,7A,28,2021-09-06,03:53,46,"celtic","The Elixir of Life",2014-11-21,54,92,14,31,0,10,-10,D Minor,4,76nUdPu36gGmE2bmMfvC5m,TCACB1482858
8,"They Came Wearing Masks","Peter Gundry",120,9A,21,2021-09-06,06:24,36,"celtic","Goëtia",2018-07-13,46,89,86,3,0,10,-17,E Minor,4,43FGHXZTHG1uKrMLmvCe1e,TCADS1810628
9,"A Nostalgic Dream","Peter Gundry",120,2A,16,2021-09-06,05:56,40,"celtic","A Nostalgic Dream",2014-05-20,56,87,38,26,0,0,-17,D#/E♭ Minor,4,2kMX6CPNN7mC1SgmYhuEge,TCABX1447545
10,"Lilith","Peter Gundry",118,4A,19,2021-09-06,04:30,40,"celtic","Goëtia",2018-07-13,46,97,94,4,0,10,-17,F Minor,4,17W6Yh8ksiaYqNRM72jAVy,TCADS1810633
11,"A Vampires Heart","Peter Gundry",110,10A,16,2021-09-06,02:49,48,"celtic","The Edge of Darkness",2015-07-25,44,93,88,7,0,10,-18,B Minor,4,6yzTRDDBOGHdS35zKepo4d,TCACH1533585
12,"I Bleed for You","Peter Gundry",120,3A,29,2021-09-06,05:15,34,"celtic","The Shadow's Bride",2016-04-02,50,84,96,12,0,0,-16,A#/B♭ Minor,4,6kJ9pXrNKmP8hoQGSR0kMl,TCACN1629461
13,".Goëtia.","Peter Gundry",120,9A,19,2021-09-06,05:30,40,"celtic","Goëtia",2018-07-13,44,93,93,4,0,0,-18,E Minor,4,6isCIMYopGCIwikVz8SLb5,TCADS1810630
14,"Danse macabre","Ophelia's Dream",94,9A,37,2021-09-06,03:50,40,"neoclassical, neofolk","Not a Second Time",2004-00-00,18,85,85,15,0,20,-11,E Minor,4,6wmTaGulprlAzrlvVSJwWA,DEZ901501768
15,"Shades and Shadows","Peter Gundry",114,11A,17,2021-09-06,04:20,47,"celtic","The Unspoken Tales",2017-03-07,22,84,91,6,0,0,-17,F#/G♭ Minor,4,1YTXSyOSmL4ijaesMND04A,TCACY1757805
16,"Dark Für Elise","Lucas King",51,9A,4,2021-09-06,05:02,40,"","Dark Für Elise",2020-06-06,20,99,91,7,0,30,-28,E Minor,4,7jYiWbAxOWrXDBqvYvlmiA,QZHN62024182
17,"Once Upon a December","Invadable Harmony",144,10A,12,2021-09-06,02:30,0,"","Once Upon a December",2019-12-20,24,98,92,9,0,10,-20,B Minor,3,2kf9er2OtWKnZsBcZuGJmY,QZK6P1969646
18,"Beckoning","Adam Hurst",89,8A,11,2021-09-06,04:29,41,"","From Silence",2010-11-02,27,98,89,18,0,10,-16,A Minor,3,30ZXhuNCBs68QMEvGYKrsL,ushm91071584
19,"Pan's Labyrinth Lullaby (from  Pan's Labyrinth ) [Piano Version]","The Wild Conductor",99,8A,1,2021-09-06,03:26,39,"","A Pianist in the Cinema Vol.1 (Movie Soundtracks for Solo Piano)",2016-01-17,37,100,96,14,0,0,-31,A Minor,4,6YP93uIF84IYHZHRyIG4gN,USE831533916
20,"Memories Flood My Eyes and Leave As Tears","Peter Gundry",95,8A,24,2021-09-06,04:29,30,"celtic","Memories Flood My Eyes and Leave As Tears",2019-04-27,39,80,1,9,0,10,-16,A Minor,4,0wo1yJSf7LyixDyi7INCzA,QZES71991613
