#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"line","Izzamuzzic",128,11B,55,2026-02-18,04:00,56,"","Azi",2016-07-13,60,40,80,16,0,10,-12,A Major,4,7JvyTnuwm1n1BryNAOVZZU,QZNWW2000032
2,"Deep Secrets","purity.",128,10B,29,2026-02-18,02:08,63,"","Deep Secrets",2024-10-24,54,60,0,16,0,30,-13,D Major,4,5i6A8G99n1gK7hv6aKv2PP,SE6SA2429826
3,"Отпусти меня","SEREBRO",126,5A,83,2026-02-18,03:52,66,"","СИЛА ТРЁХ",2016-05-27,70,11,0,55,0,50,-5,C Minor,4,5JNvpulDanKIfPG5AB5Uen,RUA1D1611728
4,"you & i - sped up","lucidbeatz,Emilia Ali",135,8B,14,2026-02-18,02:13,61,"","you & i",2023-12-01,78,48,6,38,0,10,-18,C Major,4,4tXlm992qvevZGLxNg9wms,QZS7J2397441
5,"on your mind","Exkryptt",123,1A,34,2026-02-18,02:12,54,"","on your mind",2025-05-16,64,92,0,8,0,10,-14,G#/A♭ Minor,4,5M7hXdrMxDptSotJRZfq2l,SE6XY2595043
6,"Welcome To My Crib","Eclipse",96,10B,45,2026-03-18,01:25,70,"","Welcome To My Crib",2026-01-17,70,8,89,55,0,10,-11,D Major,4,7IQVh6ZGRenHZpZsiSQpSG,QT5M22656619
7,"dance with me","lucidbeatz",77,6B,24,2026-02-18,02:06,68,"","dance with me",2024-08-16,70,40,10,12,20,10,-14,A#/B♭ Major,4,0XxXIiZP0rJBS8S841UVdu,DGA092402634
8,"Need Me","purity.",121,8A,31,2026-02-18,02:08,51,"","Need Me",2026-02-06,49,80,0,14,0,10,-12,A Minor,4,4rCSpxwimRj5MFBJv0f4Ba,SE5BU2639265
9,"want u","noevdv",97,3B,29,2026-02-18,01:41,71,"","want u",2023-03-11,62,77,60,9,10,10,-15,C♯/D♭ Major,4,1312ZAYpw7aeRQ8GMkbJux,USL4R2388829
10,"Let U Go","lucidbeatz",135,8A,26,2026-02-18,02:08,69,"","Let U Go",2023-01-08,76,14,1,4,10,10,-19,A Minor,5,40TZnaw4eDPChJNHw2Swf3,QZFYY2376406
11,"Midnight Autobahn","Exkryptt",130,11A,16,2026-02-18,02:35,51,"","Midnight Autobahn",2023-09-29,53,89,39,13,10,0,-20,F#/G♭ Minor,4,14Gt5YisjXPB4G2HvJkaRv,QZTB22302886
12,"Nothing More","Exkryptt",124,3A,20,2026-02-26,02:03,43,"","Nothing More",2026-02-27,68,90,0,10,40,10,-19,A#/B♭ Minor,4,5odIIsefIciKAjBd6e6c9k,SE5752644208
13,"All The Things She Said","t.A.T.u.",180,4A,83,2026-02-18,03:34,87,"","200 KM/H In The Wrong Lane (10th Anniversary Edition)",2002-00-00,53,4,1,38,0,10,-6,F Minor,4,4bJygwUKrRgq1stlNXcgMg,RUA110100098
14,"4am","Crunkz",124,7B,65,2026-03-02,02:53,63,"","4am",2024-11-15,68,30,38,38,0,10,-9,F Major,4,0xgAVjQN7USKWBMHNH5JTj,QZWFS2474762
15,"archangel - Slowed","DJ Anemia,crier,sixnite",95,1B,95,2026-02-18,03:06,66,"electroclash, phonk","archangel (Slowed)",2025-02-07,52,1,84,41,0,20,-6,B Major,4,0ZYOD9MHcg51Z0ZJ4axhb5,FR2X42518238
16,"Stay The Night","purity.",124,1A,22,2026-02-18,02:09,50,"","Stay The Night",2025-04-18,58,93,0,15,10,10,-17,G#/A♭ Minor,4,5icZNLKTEggL1Wa5ta0kh4,SE6XY2557517
17,"Just The Way You Are","Milky,Mall Grab",138,5B,92,2026-02-25,02:39,82,"lo-fi house","Just The Way You Are",2026-01-30,61,3,14,76,0,0,-7,D#/E♭ Major,4,1LepWHpwtahzEQL0vNjpEt,ITC332600002
18,"Моя любовь","Полина Крапива,NIGHTMORSS",124,11A,34,2026-02-18,02:25,3,"phonk, drift phonk","Моя любовь",2024-12-20,85,31,0,26,20,10,-6,F#/G♭ Minor,4,1wT3DBPzQSRANvlBqKT0C1,DGA0T2400318
19,"Lie To Me","Exkryptt,purity.",120,9B,33,2026-02-18,02:08,56,"","Lie To Me",2024-04-12,77,73,81,31,30,10,-15,G Major,4,0H8jXLhGL94yICIYocj87H,SE5752453337
20,"Under Your Spell","Snow Strippers",145,10A,99,2026-02-18,03:38,41,"electroclash, witch house","April Mixtape 3",2023-05-05,58,0,0,74,0,70,-4,B Minor,4,3iRoXGFrF8O0jTul6LAmus,QM4TX2342919
21,"With You","purity.",120,8A,31,2026-02-18,02:08,55,"","With You",2025-05-30,70,93,48,4,40,10,-16,A Minor,4,4uCxycF38BHfcqnuMeP9us,SE6XX2515111
22,"three","Cult Member",126,10A,94,2026-03-05,01:00,69,"lo-fi house","2017 Archives",2024-07-30,82,11,90,55,10,10,-6,B Minor,4,0YvtuzxqHtn4f5cEQnBKJC,QZTAY2465199
23,"The Days - NOTION Remix","Chrystal,NOTION",138,11A,84,2026-02-18,03:53,87,"bassline, bass house, uk garage, drum and bass","The Days (NOTION Remix)",2024-11-08,62,1,0,24,0,50,-5,F#/G♭ Minor,4,2FAZskT9yRjp2Oow9szJD8,GBUM72406694
24,"feel what you want - slowed tiktok edit","velours",111,6A,75,2026-02-18,02:16,26,"","feel what you want",2024-11-14,79,3,13,45,0,10,-10,G Minor,4,5ousFZdJF3FFIUnkhHGQgF,CA5KR2503322
25,"Heartbeat","MIND",137,8A,75,2026-03-12,02:28,70,"deep house","Are You Real?",2026-02-06,72,24,1,7,20,30,-7,A Minor,4,6RLBwMcxEX9QS2XYO7Xc52,DES232600103
26,"has to be you","Thiago Sub",140,3A,39,2026-02-18,01:50,37,"","has to be u",2025-07-21,83,41,1,32,20,10,-4,A#/B♭ Minor,4,6cT6nE6L5R4rtftXU7ibIp,BCVS22500042
27,"Fast Life","purity.,kxvas",140,4B,34,2026-02-18,02:24,52,"","Fast Life",2024-07-02,42,91,95,20,20,20,-18,G#/A♭ Major,4,4PpyWvpWDqGNFirqN7YOgw,SE6HN2489698
28,"Know You","vibessmusic",120,4A,50,2026-02-18,03:48,45,"","Know You",2022-09-23,74,69,39,50,0,10,-11,F Minor,4,2tYQopMaNbqkriwAe4K49p,AEA0D2221848
29,"nothing to lose","DIECXLD",125,7A,22,2026-03-06,02:06,28,"","nothing to lose",2026-03-06,53,89,6,18,0,10,-22,D Minor,4,641zpxS6Xz7bzzlootL19q,SE5752681378
30,"Flashing Lights","noevdv",134,1A,11,2026-02-18,02:37,52,"","Flashing Lights",2023-07-19,47,68,25,19,0,30,-16,G#/A♭ Minor,4,4KQAtUS87Seh0skE3l67d3,QZNWV2320151
31,"Fade","Alex Lustig,Sølv",121,6A,34,2026-02-18,03:18,54,"dark r&b","Fade",2023-01-06,67,68,72,33,0,10,-18,G Minor,4,1bNo2ybJL8rmZzOdd6T3sG,DGA062240763
32,"Dior (feat. Chrystal)","MK,Chrystal",128,8B,80,2026-02-18,02:49,78,"house, ","Dior (feat. Chrystal)",2025-06-06,83,0,0,40,0,30,-6,C Major,4,6PTgSuFz9JqQ1o0jTYOuvX,GBARL2500597
33,"take it from the starz - Slowed & reverb","Roman Nasenmensch,domi4wave",124,5A,62,2026-02-18,01:50,66,"","take it from the starz",2024-08-22,43,16,46,8,0,20,-7,C Minor,3,5BTZSG989vO5PR8El2kMqW,SE6I32462537
34,"pussypodium - Slowed","akiaura,LONOWN",93,12A,90,2026-02-18,03:31,68,"witch house, electroclash, phonk","pussypodium (Slowed)",2024-10-06,60,10,50,23,0,10,-4,C♯/D♭ Minor,4,7HIbewxNvNHNfn8QMDh6WS,DGA0L2499834
