#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Resonance","Home",170,4B,75,2025-03-11,03:32,44,"vaporwave, synthwave, chillwave","Odyssey",2014-07-01,56,4,84,46,0,20,-9,G#/A♭ Major,5,66wO3p3MofGc4yHSogrqqi,US38Y2427272
2,"Interlinked - Slowed","Lonely Lies,GOLDKID$",160,4B,83,2023-10-09,03:50,0,"rally house, synthwave, drift phonk, phonk","Interlinked (Slowed)",2023-10-05,48,0,65,24,0,10,-6,G#/A♭ Major,4,0WnwKZKV7czXIfw2zQwKY8,UKZGC2307228
3,"SimpsonWave1995","FrankJavCee",170,2A,38,2023-02-05,02:22,64,"vaporwave, synthwave","FrankJavCee Collection, Vol. 1, Pt. II",2016-06-05,66,6,56,65,0,10,-10,D#/E♭ Minor,3,0qqRNnwh86N1XBV94GVgQN,TCACN1696584
4,"Memory Reboot","VØJ,Narvent",81,4B,89,2023-06-24,03:29,69,"phonk, synthwave, drift phonk","Memory Reboot",2023-01-13,47,0,0,46,0,10,-6,G#/A♭ Major,4,1A7qPfbcyRVEdcZiwTFhZI,QM4TW2307105
5,"Interlinked - Ultra Slowed","Lonely Lies",143,3A,79,2024-09-28,04:16,0,"rally house, synthwave","Interlinked (Ultra Slowed)",2024-09-27,52,2,91,37,0,10,-6,A#/B♭ Minor,4,4oiGJo1uVYzOIcNOo6xnBW,UKZGC2408582
6,"Eyes Without A Face","Billy Idol",86,11B,82,2023-08-19,04:59,86,"","Rebel Yell",1983-11-01,54,2,0,66,0,20,-6,A Major,4,0pUVeEgZuNyFzIMKp67RbS,USCH38400023
7,"snowfall","Øneheart,reidenshi",95,6B,9,2022-12-20,02:04,84,"dark ambient, ambient","snowfall",2022-01-14,47,93,80,8,0,40,-27,A#/B♭ Major,4,4xF4ZBGPZKxECeDFrqSAG4,QM3DF2191341
8,"ambient resonance - slowed","Lonely Lies",65,4A,5,2024-01-18,02:08,0,"rally house, synthwave","ambient resonance",2024-01-19,20,82,96,4,0,10,-32,F Minor,4,5gYN5OyLG9dEnlNkfBGDen,UKZGC2400253
9,"Not Perfect","zaichkou888,VØJ,IVOXYGEN,HXPETRAIN",141,5A,97,2024-07-25,03:00,51,"phonk, synthwave, drift phonk","Not Perfect",2024-07-26,45,4,67,56,0,10,-4,C Minor,4,6GNdm4kpMs3YHHaGyOaqik,CA5KR2480749
10,"Softcore","The Neighbourhood",94,8A,57,2023-02-26,03:26,86,"","Hard To Imagine The Neighbourhood Ever Changing",2018-11-02,57,5,0,37,0,20,-6,A Minor,4,2K7xn816oNHJZ0aVqdQsha,USSM11800523
11,"Interlinked","Lonely Lies,GOLDKID$",180,6B,83,2023-10-09,03:26,0,"rally house, synthwave, drift phonk, phonk","Interlinked",2023-10-06,42,0,6,25,0,10,-6,A#/B♭ Major,4,7J5zxJKpWqkHBrQOdVkFpl,UKZGC2307227
12,"Resonance - Version","Casa Noir",85,4B,40,2023-12-23,02:46,0,"midwest emo, synthwave","Resonance",2023-12-21,59,83,76,14,0,10,-15,G#/A♭ Major,4,2TDCKvSIj5qQp7UsVS8pf4,UKZGC2309830
13,"Never See - Slowed","SPYRAL",108,3B,53,2025-01-31,03:13,46,"electroclash, witch house, phonk","Never See",2023-10-13,57,1,3,39,0,10,-7,C♯/D♭ Major,4,2gdE3uY6CeRkzIKbQHiIYd,SE6SA2367498
