#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"SLOW DANCING IN THE DARK","Joji",89,5B,48,-,03:29,87,"","BALLADS 1",2018-10-26,52,54,1,28,0,10,-7,D#/E♭ Major,4,6rY5FAWxCdAGllYEOZMbjW,ZZOPM1800452
2,"End of Beginning","Djo",160,10B,45,-,02:39,98,"","DECIDE",2022-09-16,69,4,0,91,0,0,-8,D Major,4,3qhlB30KknSejmIvZZLjOD,GBKPL2205058
3,"Beanie","Chezile",139,7B,56,-,02:12,84,"","Beanie",2023-11-28,53,41,1,16,0,30,-6,F Major,3,5e0b9LgOfi3aJSKXFcOWRe,QZWFH2353145
4,"Risk It All","Bruno Mars",172,10B,35,-,03:24,95,"","The Romantic",2026-02-27,40,50,0,27,0,0,-10,D Major,4,5y2ijHECwFYWqcAHKTZgzD,USAT22509142
5,"Raindance (feat. Tems)","Dave,Tems",107,3B,74,-,03:39,96,"grime, uk grime, uk drill, drill, afrobeats, afro r&b, alté, afrobeat","The Boy Who Played the Harp",2025-10-23,80,24,6,25,0,10,-7,C♯/D♭ Major,4,3oTuTpF1F3A7rEC6RKsMRz,GBUM72506029
6,"The Night We Met","Lord Huron",174,10B,38,-,03:28,90,"","Strange Trails",2015-04-07,44,97,27,11,0,60,-10,D Major,3,5yJaXWIErrrsjQ3J0eR5aK,US53Q1200103
7,"nuts","Lil Peep,rainy bear",62,10B,74,-,01:25,87,"emo rap, cloud rap, ","LIVE FOREVER",2015-12-02,51,1,0,15,0,10,-7,D Major,4,4k3xDpAdBuM17mNNHhOZkK,UKELY2100069
8,"back to friends","sombr",93,3B,72,-,03:19,93,"","I Barely Know Her",2025-08-22,44,0,0,24,0,0,-2,C♯/D♭ Major,4,7qjZnBKE73H4Oxkopwulqe,USWB12405502
9,"Apocalypse","Cigarettes After Sex",94,7B,47,-,04:50,89,"dream pop","Cigarettes After Sex",2017-06-09,37,2,46,17,0,10,-9,F Major,4,1oAwsWBovWRIp7qLMGPIet,USBQU1700034
10,"Hex","80purppp",110,7B,40,-,02:02,79,"","Hex",2018-03-12,85,88,1,49,20,10,-16,F Major,4,29LrGcqtxvdCpVmlBoJ75B,SE5BU1764403
11,"i walk this earth all by myself","EKKSTACY",166,6B,59,-,02:25,83,"","NEGATIVE",2021-11-12,60,51,78,52,0,10,-11,A#/B♭ Major,4,6oofvZ4K8vBHnCT1oKERcd,QZNMU2174737
12,"NIGHTS LIKE THIS","The Kid LAROI",143,2B,76,-,01:26,86,"","THE FIRST TIME",2023-11-10,48,1,0,12,0,10,-5,F#/G♭ Major,4,1XBYiRV30ykHw5f4wm6qEn,USSM12308065
13,"Ivy","Frank Ocean",116,8A,39,-,04:09,84,"","Blonde",2016-08-20,57,79,0,47,0,20,-10,A Minor,4,2ZWlPOoWh0626oTaHrnl2a,QZ5C81600002
14,"I Thought I Saw Your Face Today","She & Him",158,9B,55,-,02:50,93,"christmas","Volume One",2008-03-18,36,33,0,53,0,30,-8,G Major,4,0myRViRgmQ3J8izICXEAVO,USMRG0832405
15,"Romantic Homicide","d4vd",132,2B,54,-,02:12,84,"","Romantic Homicide",2022-07-20,57,45,1,22,0,30,-11,F#/G♭ Major,4,1xK59OXxi2TAAAbmZK0kBL,QZMEM2232831
16,"PRIDE.","Kendrick Lamar",139,9A,54,-,04:35,82,"hip hop, west coast hip hop","DAMN.",2017-04-14,67,8,0,37,0,10,-7,E Minor,4,6IZvVAP7VPPnsGX6bvgkqg,USUM71703084
17,"Always","Daniel Caesar",136,10B,44,-,03:45,85,"","NEVER ENOUGH",2023-04-07,58,67,0,20,0,10,-8,D Major,4,2LlOeW5rVcvl3QcPNPcDus,USUG12209355
18,"Star Shopping","Lil Peep",93,9A,47,-,02:22,83,"emo rap, cloud rap","Star Shopping",2015-08-17,54,9,2,31,10,10,-10,E Minor,4,1WbhIxkn5ECsOwUm795iX1,UKELY1800203
19,"No One Noticed","The Marías",98,9B,34,-,03:56,90,"bedroom pop","Submarine",2024-05-31,71,55,8,46,0,10,-11,G Major,4,3siwsiaEoU4Kuuc9WKMUy5,USAT22307579
20,"Space Song","Beach House",147,5A,79,-,05:20,78,"dream pop","Depression Cherry",2015-08-28,51,23,12,60,0,10,-7,C Minor,4,7H0ya83CMmgFcOhw0UB6ow,USSUB1512203
21,"White Keys","Dominic Fike",82,10A,55,-,02:24,91,"","White Keys",2025-11-14,71,79,0,84,10,10,-9,B Minor,4,5ViLKrbyL3HD6wsq3AB9eI,USQX92506204
22,"I Wanna Be Yours","Arctic Monkeys",68,5A,42,-,03:03,92,"indie, garage rock","AM",2013-09-09,46,14,2,48,0,10,-9,C Minor,4,5XeFesFbtLpXzIVDNQP22n,GBCEL1300373
23,"want u - slowed + reverb","noevdv",81,6B,25,-,02:05,71,"","want u (sped up / slowed + reverb)",2024-04-12,63,75,19,16,10,10,-16,A#/B♭ Major,4,15l1AqZ01eoDfUZhk4QKZ4,CH7819500468
24,"Nights","Frank Ocean",90,4A,55,-,05:07,87,"","Blonde",2016-08-20,46,43,0,43,10,10,-9,F Minor,4,7eqoqGkKwgOaWNNHx90uEZ,QZ5C81600009
25,"WAIT FOR U (feat. Drake & Tems)","Future,Drake,Tems",83,3B,64,-,03:09,85,"rap, afrobeats, afro r&b, alté, afrobeat","I NEVER LIKED YOU",2022-04-29,46,31,0,34,30,0,-4,C♯/D♭ Major,4,59nOXPmaKlBfGMDeOVGrIK,USSM12203789
26,"Glimpse of Us","Joji",170,4B,29,-,03:53,83,"","SMITHEREENS",2022-11-04,44,90,0,27,0,10,-10,G#/A♭ Major,3,2mlNgAeIBnL78ZriXgrRHz,USWB12201789
27,"Swim","Chase Atlantic",120,4B,54,-,03:48,86,"","Chase Atlantic",2017-10-04,67,27,0,8,0,0,-6,G#/A♭ Major,4,3M0lSi5WW79CXQamgSBIjx,USWB11701711
28,"Secondhand (feat. Rema)","Don Toliver,Rema",144,1A,64,-,03:46,87,"afrobeats, afrobeat, afropop, afropiano","OCTANE",2026-01-30,70,42,0,31,0,10,-6,G#/A♭ Minor,4,4Z5KKoBGxpJo8YbDcGQXd5,USAT22600120
29,"Say Yes To Heaven","Lana Del Rey",100,11A,35,-,03:29,86,"","Say Yes To Heaven",2023-05-19,49,68,17,14,0,10,-12,F#/G♭ Minor,4,6GGtHZgBycCgGBUhZo81xe,GBUM72304301
30,"In This Darkness","Clara La San",120,10B,23,-,03:17,79,"","In This Darkness",2023-01-29,65,84,0,19,0,10,-19,D Major,4,0bmVH05tjN9jVh3kB1TfpR,QZFZ62368273
31,"Call Out My Name","The Weeknd",134,3B,59,-,03:48,85,"","My Dear Melancholy,",2018-03-30,46,17,0,17,0,30,-5,C♯/D♭ Major,3,09mEdoA6zrmBPgTEN5qXmN,USUG11800560
32,"Dark Red","Steve Lacy",172,2B,78,-,02:53,86,"","Dark Red",2017-02-20,60,45,0,77,0,10,-4,F#/G♭ Major,4,3EaJDYHA0KnX88JvDhL9oa,GBKPL1778015
33,"Too Fast","Sonder",99,9A,32,-,04:55,76,"dark r&b, r&b","Into",2017-01-27,41,28,0,14,0,40,-11,E Minor,3,0QyJXG36Q3Kta662XS8GhY,QM24S1650317
34,"I'm God","Clams Casino,Imogen Heap",142,10B,64,-,04:37,77,"cloud rap, ","Instrumental Relics",2020-04-24,53,7,76,9,0,10,-7,D Major,4,0FVuyC9RP5MACjp4lgU3qZ,QM24S2003584
35,"Reflections","The Neighbourhood",114,10A,59,-,04:04,85,"","Hard To Imagine The Neighbourhood Ever Changing",2018-11-02,65,11,5,54,0,10,-7,B Minor,4,2xql0pid3EUwW38AsywxhV,USSM11800527
36,"Cigarettes out the Window","TV Girl",114,8B,66,-,03:18,86,"","Who Really Cares",2016-02-25,63,12,0,59,0,10,-6,C Major,4,6QeYSvYqYUsfBzsApbjDHO,USCGH1682129
37,"Let Me Go","Daniel Caesar",153,6A,47,-,03:36,77,"","NEVER ENOUGH",2023-04-07,59,69,0,45,0,10,-8,G Minor,4,3ym8ajVmKm6Fybgov3WBI5,USUG12209350
38,"YKWIM?","Yot Club",124,11B,54,-,03:32,78,"bedroom pop","Bipolar",2019-05-31,37,94,87,23,0,20,-8,A Major,3,2vWBUC9djv6BtiGlmKiQaH,CAGOO1966522
39,"Young","Vacations",80,9B,81,-,03:09,80,"","Vibes",2016-00-00,50,0,1,59,0,0,-4,G Major,4,1KIJclzEbNhSVw8tiHPWwE,SEYOK1669274
40,"505","Arctic Monkeys",140,8B,85,-,04:13,84,"indie, garage rock","Favourite Worst Nightmare (Standard Version)",2007-04-24,52,0,0,23,0,0,-6,C Major,4,58ge6dfP91o9oXMzq3XkIS,GBCEL0700074
