#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Poison Tree","Grouper",111,1B,14,2024-10-24,03:16,75,"drone, ambient, slowcore, dream pop","Inca Ore / Grouper",2008-06-03,22,96,91,21,0,10,-23,B Major,4,6Q5uDNuuFYa8ToL3CCoHPC,QMFMF2125817
2,"Vanished","Crystal Castles",120,5A,87,2024-09-11,04:02,6,"witch house, electroclash, new rave, alternative dance","Crystal Castles",2008-03-16,71,0,0,66,0,20,-7,C Minor,4,3gGMsx3jxYKfhXq8LMj1tz,CAL450896208
3,"Insomniac","Memo Boy,Chakra Efendi",130,10B,71,2024-09-11,03:32,74,"","Songs & Demos 2015-2017",2021-06-04,52,24,85,37,0,10,-9,D Major,4,2klj0StczYde6WUHBJo5F6,AUNUK1700026
4,"Think Of Me Once In A While, Take Care","Take Care",71,5B,14,2024-09-11,01:43,73,"slowcore","Agony",2022-09-10,21,90,95,4,0,0,-11,D#/E♭ Major,3,4JdYapRlYv67LnjrkDhZVX,GX89G2229011
5,"Ww","Other Nothing",75,7B,2,2024-09-11,01:33,0,"","Not Songs",2019-06-27,20,93,81,4,0,10,-30,F Major,4,1wd9DzArIekCIANd7k2XYx,SE6A91943931
6,"green to blue - slowed + reverbed","daniel.mp3",66,9A,3,2024-09-11,03:07,72,"dark ambient","green to blue (slowed + reverbed)",2022-10-06,20,98,97,10,0,10,-29,E Minor,4,1MrSbSu9UNo7Aucwrf32WJ,SE6XY2248251
7,"(dream)","salvia palth",147,8B,32,2024-09-11,01:24,77,"slowcore, lo-fi indie","melanchole",2013-05-06,32,92,86,14,0,10,-13,C Major,4,17YNmMy03QLPirmBzWxFa6,GBSMU1456125
8,"watching the stars","Øneheart",82,9A,11,2024-09-11,01:39,70,"dark ambient, ambient","watching the stars",2022-08-05,45,94,93,5,0,0,-26,E Minor,4,321PCApeQiLLrf03k83cCb,US3DF2279439
9,"memories","leadwave",67,7B,8,2024-09-11,01:26,71,"dark ambient, ambient","memories",2022-09-23,25,95,93,4,0,0,-27,F Major,4,4VkRQSpG16JxrXaVlNyWdX,USANG2209879
10,"green to blue","daniel.mp3",138,10B,3,2024-09-11,03:09,69,"dark ambient","Backroom",2022-06-29,33,98,93,6,0,0,-31,D Major,4,4zzxSXdXK4gLEOyGpPpb9v,SE6SA2227610
