#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"That's What I Like","Bruno Mars",134,3B,56,2024-05-02,03:26,92,"","24K Magic",2016-11-18,85,1,0,86,0,0,-5,C♯/D♭ Major,4,0KKkJNfGyhkQ5aFogxQAPU,USAT21602948
2,"Cruel Summer","Taylor Swift",170,11B,70,2024-05-02,02:58,89,"","Lover",2019-08-23,55,12,0,56,10,10,-6,A Major,4,1BxfuPKGuaTgP7aM0Bbdwr,USUG11901472
3,"Counting Stars","OneRepublic",122,12A,71,2024-05-02,04:17,89,"soft pop","Native",2013-01-01,66,7,0,47,0,10,-5,C♯/D♭ Minor,4,2tpWsVSb9UEmDRxAl1zhX1,USUM71301306
4,"Espresso","Sabrina Carpenter",104,8B,76,2024-05-23,02:55,85,"pop","Espresso",2024-04-12,70,11,0,69,0,10,-5,C Major,4,2qSkIjg1o9h3YT9RAgYN75,USUM72403305
5,"Take on Me","a-ha",84,11A,90,2024-05-02,03:45,88,"new wave, synthpop","Hunting High and Low",1985-06-01,57,2,0,88,0,0,-8,F#/G♭ Minor,4,2WfaOiMkCvy7F5fcp2zZ8L,USWB19901214
6,"Unwritten","Natasha Bedingfield",100,7B,80,2024-05-02,04:19,88,"","Unwritten",2004-08-30,71,1,0,63,0,0,-6,F Major,4,3U5JVgI2x4rDyHGObzJfNf,GBARL0400707
7,"Flowers","Miley Cyrus",118,8B,69,2024-05-02,03:20,87,"","Endless Summer Vacation",2023-08-18,71,6,0,63,0,0,-5,C Major,4,7DSAEUvxU8FajXtRloy8M0,USSM12209777
8,"Uptown Funk (feat. Bruno Mars)","Mark Ronson,Bruno Mars",115,8B,61,2024-05-02,04:29,87,"","Uptown Special",2015-01-12,86,1,0,93,0,0,-7,C Major,4,32OlwWuMpZ6b0aN2RZOeMS,GBARL1401524
9,"Watermelon Sugar","Harry Styles",95,8B,82,2024-05-02,02:53,87,"","Fine Line",2019-12-13,55,12,0,56,0,30,-4,C Major,4,6UelLqGlWMcVH1E5c4H7lY,USSM11912587
10,"7 rings","Ariana Grande",140,12A,32,2024-05-02,02:58,86,"pop","thank u, next",2019-02-08,78,59,0,33,30,0,-11,C♯/D♭ Minor,4,6ocbgoVGwYJhOv1GgI9NsF,USUM71900110
11,"Shut Up and Dance","WALK THE MOON",128,3B,87,2024-05-02,03:19,86,"","TALKING IS HARD",2014-12-02,58,1,0,62,0,20,-4,C♯/D♭ Major,4,4kbj5MwxO1bq9wjT5g9HaA,USRC11401949
12,"No Scrubs","TLC",93,1A,68,2024-05-02,03:34,86,"","Fanmail",1999-02-23,74,3,0,59,10,0,-4,G#/A♭ Minor,4,1KGi9sZVMeszgZOWivFpxs,USLF29900479
13,"I Wanna Dance with Somebody (Who Loves Me)","Whitney Houston",119,3B,82,2024-05-02,04:52,85,"","Whitney",1987-06-02,71,21,0,87,0,0,-9,C♯/D♭ Major,4,2tUBqZG2AbRi7Q0BIrVrEj,USAR18700121
14,"I Like It","Cardi B,Bad Bunny,J Balvin",136,4A,73,2024-05-02,04:13,84,"reggaeton, trap latino, latin, urbano latino","Invasion of Privacy",2018-04-06,82,10,0,65,10,30,-4,F Minor,4,58q2HKrzhC3ozto2nDdN4z,USAT21801431
15,"Uptown Girl","Billy Joel",129,12B,94,2024-05-02,03:18,84,"soft rock","An Innocent Man",1983-08-08,70,8,0,79,0,60,-3,E Major,4,5zA8vzDGqPl2AzZkEYQGKh,USSM18300270
16,"Feel It Still","Portugal. The Man",79,12A,80,2024-05-02,02:43,84,"","Woodstock",2017-06-16,80,4,0,75,0,0,-5,C♯/D♭ Minor,4,6QgjcU0zLnzq5OrUoSZ3OK,USAT21700437
17,"Girls Just Want to Have Fun","Cyndi Lauper",120,2B,80,2024-05-02,03:58,83,"","She's So Unusual",1983-10-14,71,22,0,73,0,30,-5,F#/G♭ Major,4,4y1LsJpmMti1PfRQV9AWWe,USSM18300548
18,"Wild Ones (feat. Sia)","Flo Rida,Sia",127,4A,86,2024-05-02,03:52,83,"","Wild Ones",2012-06-22,61,10,0,44,0,20,-5,F Minor,4,1NpW5kyvO4XrNJ3rnfcNy3,USAT21104103
19,"Wannabe","Spice Girls",110,1B,86,2024-05-02,02:53,83,"","Spice",1996-01-01,77,10,0,89,0,10,-6,B Major,4,1Je1IMUlBXcx1Fz0WE7oPT,GBAAA9600008
20,"New Rules","Dua Lipa",116,8A,70,2024-05-02,03:29,82,"pop","Dua Lipa (Deluxe)",2017-06-02,76,0,0,61,0,10,-6,A Minor,4,2ekn2ttSfGqwhhate0LSR0,GBAHT1600310
21,"Believe","Cher",133,2B,92,2024-05-02,03:59,82,"","Believe",1998-00-00,65,1,0,46,0,0,-7,F#/G♭ Major,4,2goLsvvODILDzeeiT4dAoR,GBAHT9803002
22,"Shake It Off","Taylor Swift",160,9B,80,2024-05-02,03:39,82,"","1989 (Deluxe)",2014-01-01,65,6,0,94,10,30,-5,G Major,4,0cqRj7pUJDkTCEsJkx8snD,USCJY1431349
23,"Shower","Becky G",120,10B,53,2024-05-02,03:26,82,"reggaeton, latin","Shower",2014-04-23,70,3,0,12,0,20,-8,D Major,4,3DmW6y7wTEYHJZlLo1r6XJ,USRC11400866
24,"Galway Girl","Ed Sheeran",100,11B,88,2024-05-02,02:50,82,"soft pop","÷ (Deluxe)",2017-03-03,62,7,0,78,10,30,-3,A Major,4,0afhq8XCExXpqazXczTSve,GBAHS1700026
25,"Youngblood","5 Seconds of Summer",120,6A,85,2024-05-02,03:23,82,"","Youngblood (Deluxe)",2018-06-15,60,2,0,15,40,10,-5,G Minor,4,2iUXsYOEPhVqEBwsqP70rE,GBUM71800366
26,"Bang Bang","Jessie J,Ariana Grande,Nicki Minaj",150,5A,79,2024-05-02,03:19,81,"pop, ","Sweet Talker (Deluxe Version)",2014-10-10,71,26,0,75,0,30,-3,C Minor,4,0puf9yIluy9W0vpMEUoAnN,USUM71409737
27,"STAY (with Justin Bieber)","The Kid LAROI,Justin Bieber",170,3B,76,2024-05-02,02:21,81,"","STAY (with Justin Bieber)",2021-07-09,59,4,0,48,0,10,-5,C♯/D♭ Major,4,5HCyWlXZPP0y6Gqq8TgA20,USSM12103949
28,"The Middle","Zedd,Maren Morris,Grey",107,9B,66,2024-05-02,03:04,81,"edm, country, ","The Middle",2018-01-23,75,17,0,44,0,10,-3,G Major,4,09IStsImFySgyp0pIQdqAc,USUM71800463
29,"A Thousand Miles","Vanessa Carlton",95,1B,83,2024-05-02,03:57,81,"","Be Not Nobody",2002-04-30,56,32,0,27,0,10,-4,B Major,4,4w1lzcaoZ1IC2K5TwjalRP,USIR10210955
30,"Ain't Shit","Doja Cat",124,5B,49,2024-05-02,02:54,81,"","Planet Her",2021-06-25,86,51,0,62,20,30,-5,D#/E♭ Major,4,5lAnYvAIkSDNXqfo7DyFUm,USRC12101540
31,"boyfriend (with Social House)","Ariana Grande,Social House",190,3A,80,2024-05-02,03:06,81,"pop, ","boyfriend",2019-08-02,40,12,0,70,40,10,-4,A#/B♭ Minor,4,0Ryd8975WihbObpp5cPW1t,USUG11902591
32,"Circus","Britney Spears",115,11A,73,2024-05-02,03:12,81,"pop","Circus (Deluxe Version)",2008-12-02,79,15,0,76,0,0,-5,F#/G♭ Minor,4,7jk7gqyEonmVVYahZN5zhW,USJI10801081
33,"Señorita","Shawn Mendes,Camila Cabello",117,8A,54,2024-05-02,03:10,80,"","Señorita",2019-06-21,76,4,0,75,0,0,-6,A Minor,4,0TK2YIli7K1leLovkQiNik,USUM71911283
34,"Paper Planes","M.I.A.",172,10B,85,2024-05-02,03:25,80,"","Kala",2007-08-20,45,3,0,49,20,60,-6,D Major,4,1ixbwbeBi5ufN4noUKmW5a,GBBKS0700215
35,"Scared to Be Lonely","Martin Garrix,Dua Lipa",138,12A,54,2024-05-02,03:40,80,"edm, progressive house, electronica, pop","Scared to Be Lonely",2017-01-27,58,9,0,20,0,20,-8,C♯/D♭ Minor,4,3ebXMykcMXOcLeJ9xZ17XH,NLM5S1600025
36,"Fantasy","Mariah Carey",102,9B,73,2024-05-02,04:03,80,"christmas","Daydream",1995-10-03,67,14,0,81,0,10,-8,G Major,4,6xkryXuiZU360Lngd4sx13,USSM19501031
37,"The Sweet Escape","Gwen Stefani,Akon",120,3B,77,2024-05-02,04:06,79,"","The Sweet Escape",2006-01-01,76,19,0,73,0,10,-4,C♯/D♭ Major,4,66ZcOcouenzZEnzTJvoFmH,USUM70618684
38,"Pepas","Farruko",130,9B,77,2024-05-02,04:47,79,"reggaeton, trap latino","Pepas",2021-06-24,76,1,0,44,0,10,-4,G Major,4,5fwSHlTEWpluwOM0Sxnh5k,USSD12100307
39,"we can't be friends (wait for your love)","Ariana Grande",116,7B,65,2024-05-02,03:48,79,"pop","eternal sunshine",2024-03-08,65,6,0,30,0,0,-8,F Major,4,46kspZSY3aKmwQe7O77fCC,USUM72317276
40,"Before He Cheats","Carrie Underwood",148,11A,75,2024-05-02,03:19,79,"country","Some Hearts",2005-11-14,52,27,0,29,0,10,-3,F#/G♭ Minor,4,0ZUo4YjG4saFnEJhdWp9Bt,GBCTA0500197
41,"Walking On Sunshine","Katrina & The Waves",110,6B,87,2024-05-02,03:58,79,"","Katrina & The Waves",1985-00-00,60,1,17,94,0,0,-12,A#/B♭ Major,4,05wIrZSwuaVWhcv5FfqeH0,USCA28500452
42,"Hot In Herre","Nelly",107,10A,74,2024-05-02,03:48,79,"","Nellyville",2002-06-25,96,20,0,91,10,0,-5,B Minor,4,04KTF78FFg8sOHC1BADqbY,USUR10200371
43,"So What","P!nk",126,10A,87,2024-05-02,03:35,79,"","Funhouse (Expanded Edition)",2008-10-24,53,0,0,46,0,20,-3,B Minor,4,0JiY190vktuhSGN6aqJdrt,USLF20800067
44,"Say So","Doja Cat",111,10A,67,2024-05-02,03:57,78,"","Hot Pink",2019-11-07,79,26,0,78,10,0,-5,B Minor,4,3Dv1eDb0MEgF93GpLXlucZ,USRC11903454
45,"I Can Do It With a Broken Heart","Taylor Swift",130,8B,75,2024-05-23,03:38,78,"","THE TORTURED POETS DEPARTMENT",2024-04-18,70,12,0,22,0,10,-8,C Major,4,4q5YezDOIPcoLr8R81x9qy,USUG12401040
46,"9 to 5","Dolly Parton",105,2B,78,2024-05-02,02:46,78,"country, classic country","9 To 5 And Odd Jobs",1980-00-00,55,42,0,81,0,60,-6,F#/G♭ Major,4,4w3tQBXhn5345eUXDGBWZG,USRN19400384
47,"Since U Been Gone","Kelly Clarkson",131,8B,74,2024-05-02,03:08,78,"christmas","Breakaway",2004-01-17,66,0,3,40,0,10,-5,C Major,4,3xrn9i8zhNZsTtcoWgQEAd,GBCTA0400231
48,"Party In The U.S.A.","Miley Cyrus",96,3A,70,2024-05-02,03:22,78,"","The Time Of Our Lives",2009-01-01,65,0,0,47,0,0,-5,A#/B♭ Minor,4,5Q0Nhxo0l2bP3pNjpGJwV1,USHR10924519
49,"34+35","Ariana Grande",110,8B,59,2024-05-02,02:53,78,"pop","Positions",2020-10-30,83,24,0,49,0,20,-6,C Major,4,6Im9k8u9iIzKMrmV7BWtlF,USUM72020423
