#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"beyond the blur","Nicole Gi,1depth",122,1B,79,2025-10-03,02:49,4,"jazz beats","beyond the blur",2025-09-26,68,0,1,54,0,60,-8,B Major,3,41lmWitnT1fzilOFdiK5C5,QZZ7W2598432
2,"Twin Flame","El Train,Miki Rose",113,11B,69,2025-10-03,03:00,16,"lo-fi beats, lo-fi hip hop, ","Twin Flame",2025-09-18,80,4,0,58,10,10,-8,A Major,4,5j8dwlX18k0UUlTC9X6628,QT5M22577115
3,"No Broke Boys (make me feel)","Lønely,Aløne,she brøke up w me",128,11A,58,2025-10-03,02:37,44,"","No Broke Boys (make me feel)",2025-09-25,91,14,3,57,0,0,-8,F#/G♭ Minor,4,00CzdhmRfPCvP31M4UIuVj,FXR752505345
4,"Nite Time","Furns",110,11A,45,2025-10-03,03:29,36,"","Furns",2025-09-24,75,37,5,37,0,20,-10,F#/G♭ Minor,4,463W09tPOfxX89Hm6XxpDo,QT3F22572633
5,"Yours Forever","dontaskalex",112,3A,77,2025-10-03,04:00,5,"lo-fi hip hop, lo-fi","Yours Forever",2025-09-26,59,11,0,49,10,30,-6,A#/B♭ Minor,4,6wRD3H1bscbU4LJVVVevqI,QZZ7Q2534769
6,"One Night","Milan93,Pollena",125,6A,85,2025-10-03,03:56,44,"jazz house","One Night",2025-09-25,61,9,33,44,0,10,-7,G Minor,4,0cfT3DfLOpvd74HGdvhWQu,FR9Z62500666
7,"amami adesso","zanderberg",121,9A,64,2025-10-03,03:59,31,"","amami adesso",2025-09-29,75,4,36,47,0,10,-9,E Minor,4,2vHKuUqHVfJHuAYvQ7MMwz,QT3F32502464
8,"Pink Oasis","Fabich,Little Green",123,3B,80,2025-10-03,02:34,30,"lo-fi beats","Pink Oasis",2025-09-12,81,2,0,91,0,0,-7,C♯/D♭ Major,4,37YNRTW6PaAVYN1fM767yL,NLQ8X1700345
9,"You Can’t Replace This","VISILA",117,10A,58,2025-10-03,02:56,27,"","You Can’t Replace This",2025-09-19,82,5,0,58,0,10,-7,B Minor,4,40Njl6vghDC5eq5xab57mC,QZNMW2535194
10,"Rather Be","Monaldin",120,8B,64,2025-10-03,02:34,47,"","Rather Be",2025-09-10,68,41,8,10,0,10,-12,C Major,4,1kXFAvglQfFf7qyCJO15Dw,FXQ892500275
11,"Balance - Radio-Edit","Zemyu,Alyssa Jane",126,9A,78,2025-10-03,02:18,23,"disco house, funky house, ","Balance",2025-09-26,61,1,34,79,0,20,-6,E Minor,4,5GQ0SVBusQDy0rJev7TQqe,DEH742518997
12,"A-Game","Nicole Gi,Thundason,1depth",118,3B,70,2025-10-03,02:42,5,"jazz beats","Deep Thoughts",2024-08-02,74,27,0,52,0,10,-7,C♯/D♭ Major,4,2ynMqMadEHrcx4lEJ6BDZQ,QZTAY2486094
13,"Man I Need","Tech Lounge,Natasha Blume",122,3B,76,2025-10-03,03:18,3,"","Man I Need",2025-09-19,67,15,0,33,0,10,-8,C♯/D♭ Major,4,6AnC4yqCWADBygPkYSZ9D2,SE5XG2513652
14,"Take My Time","Flint,Danny Shields",119,1A,77,2025-10-03,03:13,8,"","Take My Time",2025-09-12,73,2,24,46,0,10,-9,G#/A♭ Minor,4,0LZOw2vj9nZCDsmGUotTru,IL6652513470
15,"Bounce","Stirmouth,Säm Wilder",126,11A,78,2025-10-03,02:12,17,"retro soul","Bounce",2025-09-26,78,17,0,53,0,30,-7,F#/G♭ Minor,4,6d6SiGFNegEBfmjgYXbTLG,NLE802500478
16,"It Might Be Love (It's Not) [ft. Squid the Kid]","EMEREE,Squid the Kid",108,4A,71,2025-10-03,03:20,7,"","Maybe I'm Not Too Sensitive (I Am)",2025-09-11,76,3,0,77,10,0,-7,F Minor,4,7Gq7tTFywFrXCFhDf1pqfX,AUXN22528535
17,"Show","Etienne",112,3A,73,2025-10-03,02:31,17,"","Show",2025-09-12,66,31,36,58,0,10,-8,A#/B♭ Minor,4,7mOP2ZOeCnVb12HmoQxZG4,AUG0H2501357
18,"Indigo","Nicole Gi,Thundason,1depth",63,7B,64,2025-10-03,02:26,4,"jazz beats","Deep Thoughts",2024-08-02,41,61,0,58,40,0,-8,F Major,4,5VQwGI6VzMJT1NVdvJf3f9,QZTAY2486093
19,"Nice to meet ya!","Thought Fox",113,4A,75,2025-10-03,03:09,6,"","Nice to meet ya!",2025-09-13,84,17,0,76,10,0,-9,F Minor,4,5g033xafY8XwRsAti4pflj,QZZ7N2573416
