#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"The Color Violet","Tory Lanez",105,11A,53,-,03:46,87,"","Alone At Prom",2021-12-10,65,16,0,46,0,0,-11,F#/G♭ Minor,4,3azJifCSqg9fRij2yKIbWz,QZTGW2100275
2,"bye","Altare",110,7A,68,-,03:03,71,"witch house","bye",2025-08-12,51,25,0,9,0,0,-6,D Minor,4,4dTmQfqA75KrfynUF1TUX9,CA5KR2585946
3,"Fall Back","Lithe",126,2A,16,-,02:09,77,"dark r&b","Fall Back / Selfish Game",2024-03-22,87,71,4,46,10,10,-11,D#/E♭ Minor,4,0LdIVAcALGjlmKnwN36WMg,AUMEV2435468
4,"Raindance (feat. Tems)","Dave,Tems",107,3B,74,-,03:39,96,"grime, uk grime, uk drill, drill, afrobeats, afro r&b, alté, afrobeat","The Boy Who Played the Harp",2025-10-23,80,24,6,25,0,10,-7,C♯/D♭ Major,4,3oTuTpF1F3A7rEC6RKsMRz,GBUM72506029
5,"Violent Crimes","Kanye West",110,12A,42,-,03:35,81,"rap","ye",2018-06-01,67,38,0,4,50,10,-7,C♯/D♭ Minor,4,3s7MCdXyWmwjdcWh7GWXas,USUM71807795
6,"i walk this earth all by myself","EKKSTACY",166,6B,59,-,02:25,83,"","NEGATIVE",2021-11-12,60,51,78,52,0,10,-11,A#/B♭ Major,4,6oofvZ4K8vBHnCT1oKERcd,QZNMU2174737
7,"A COLD PLAY","The Kid LAROI",151,8B,64,-,02:58,74,"","BEFORE I FORGET",2026-01-09,82,6,0,43,0,10,-5,C Major,4,55Tys2QDQ6nxf2efuR1RLD,USSM12503891
8,"Consume (feat. Goon Des Garcons)","Chase Atlantic,GOON DES GARCONS*",146,8A,71,-,04:27,78,"","Chase Atlantic",2017-10-04,56,7,0,43,10,20,-5,A Minor,4,0X2bh8NVQ8svDQIn2AdCbW,USWB11701710
9,"Die For You","The Weeknd",134,12A,53,-,04:20,86,"","Starboy",2016-11-24,59,11,0,51,0,10,-7,C♯/D♭ Minor,4,2LBqCSwhJGcFQeTHMVGwy3,USUG11600995
10,"Dreamin","PARTYNEXTDOOR",115,11B,63,-,02:27,80,"dark r&b, r&b, trap soul","Dreamin",2015-03-08,75,22,0,16,0,10,-6,A Major,4,35sZOqVnTQNIGWGURrFdLh,USLD91766795
11,"Softcore","The Neighbourhood",94,8A,57,-,03:26,86,"","Hard To Imagine The Neighbourhood Ever Changing",2018-11-02,57,5,0,37,0,20,-6,A Minor,4,2K7xn816oNHJZ0aVqdQsha,USSM11800523
12,"Wish I Never Met You - Prison Tapes","Tory Lanez",122,6A,58,-,03:44,75,"","Wish I Never Met You (Prison Tapes)",2024-07-26,52,3,0,4,10,10,-9,G Minor,4,7MOjhqpSpGkeRyT4agpg12,QZJ842402111
13,"dance with me","lucidbeatz",77,6B,24,-,02:06,68,"","dance with me",2024-08-16,70,40,10,12,20,10,-14,A#/B♭ Major,4,0XxXIiZP0rJBS8S841UVdu,DGA092402634
14,"Headache","Asal",90,1A,44,-,03:04,68,"","Missing Something",2024-08-02,62,49,19,15,0,20,-10,G#/A♭ Minor,4,6juffWW6TFI5geCgjU6Lvp,QZHNA2385157
15,"Fire & Desire","Drake",80,12A,25,-,03:58,74,"rap","Views",2016-05-06,72,7,0,28,0,0,-14,C♯/D♭ Minor,4,4BhGTc3Cgay2U1QcTS7vQe,USCM51600092
16,"Fragments (with Don Toliver)","Joji,Don Toliver",138,5A,46,-,01:59,72,"","Piss In The Wind",2026-02-06,47,12,0,40,10,10,-8,C Minor,4,3YklYihQWWUR2UoeupRp6H,USA2P2558915
17,"The Machine","Reed Wonder,Aurora Olivas",100,3A,44,-,03:12,75,"dark r&b","The Machine",2023-03-17,34,25,1,10,0,0,-12,A#/B♭ Minor,4,19ItuvrZfTudwC6S5lkDH3,QZES82311224
18,"NIGHTS LIKE THIS","The Kid LAROI",143,2B,76,-,01:26,86,"","THE FIRST TIME",2023-11-10,48,1,0,12,0,10,-5,F#/G♭ Major,4,1XBYiRV30ykHw5f4wm6qEn,USSM12308065
19,"Swim","Chase Atlantic",120,4B,54,-,03:48,86,"","Chase Atlantic",2017-10-04,67,27,0,8,0,0,-6,G#/A♭ Major,4,3M0lSi5WW79CXQamgSBIjx,USWB11701711
20,"The Hills","The Weeknd",113,5A,56,-,04:02,88,"","Beauty Behind The Madness",2015-08-28,59,7,0,14,0,10,-7,C Minor,4,7fBv7CLKzipRk6EC6TWHOB,USUG11500737
