#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Nights","Frank Ocean",90,4A,55,-,05:07,87,"","Blonde",2016-08-20,46,43,0,43,10,10,-9,F Minor,4,7eqoqGkKwgOaWNNHx90uEZ,QZ5C81600009
2,"Apocalypse","Cigarettes After Sex",94,7B,47,-,04:50,89,"dream pop","Cigarettes After Sex",2017-06-09,37,2,46,17,0,10,-9,F Major,4,1oAwsWBovWRIp7qLMGPIet,USBQU1700034
3,"back to friends","sombr",93,3B,72,-,03:19,93,"","I Barely Know Her",2025-08-22,44,0,0,24,0,0,-2,C♯/D♭ Major,4,7qjZnBKE73H4Oxkopwulqe,USWB12405502
4,"Into It","Chase Atlantic",130,3A,57,-,03:16,82,"","Chase Atlantic",2017-10-04,52,5,0,29,0,10,-7,A#/B♭ Minor,4,4HwDCXsMBC7SUdp2WT4MZP,USWB11602565
5,"i walk this earth all by myself","EKKSTACY",166,6B,59,-,02:25,83,"","NEGATIVE",2021-11-12,60,51,78,52,0,10,-11,A#/B♭ Major,4,6oofvZ4K8vBHnCT1oKERcd,QZNMU2174737
6,"CHIHIRO","Billie Eilish",110,9B,43,-,05:03,87,"","HIT ME HARD AND SOFT",2024-05-17,70,14,88,52,0,0,-13,G Major,4,7BRD7x5pt8Lqa1eGYC4dzj,USUM72401988
7,"After Hours","The Weeknd",109,4A,57,-,06:01,82,"","After Hours",2020-03-20,66,8,1,14,0,10,-6,F Minor,4,2p8IUWQDrpjuFltbdgLOag,USUG12000586
8,"White Keys","Dominic Fike",82,10A,55,-,02:24,91,"","White Keys",2025-11-14,71,79,0,84,10,10,-9,B Minor,4,5ViLKrbyL3HD6wsq3AB9eI,USQX92506204
9,"Vanished","Crystal Castles",120,5A,87,-,04:02,80,"witch house, electroclash, new rave, alternative dance","Crystal Castles",2008-03-18,71,0,0,64,0,20,-7,C Minor,4,4bQ7mjty0UVlKRalhizpGT,CAL450896208
10,"Dark Red","Steve Lacy",172,2B,78,-,02:53,86,"","Dark Red",2017-02-20,60,45,0,77,0,10,-4,F#/G♭ Major,4,3EaJDYHA0KnX88JvDhL9oa,GBKPL1778015
11,"Risk It All","Bruno Mars",172,10B,35,-,03:24,95,"","The Romantic",2026-02-27,40,50,0,27,0,0,-10,D Major,4,5y2ijHECwFYWqcAHKTZgzD,USAT22509142
12,"White Ferrari","Frank Ocean",109,8B,10,-,04:08,86,"","Blonde",2016-08-20,50,77,0,20,0,30,-16,C Major,4,2LMkwUfqC6S6s6qDVlEuzV,QZ5C81600014
13,"Sunsetz","Cigarettes After Sex",75,8A,48,-,03:34,85,"dream pop","Cigarettes After Sex",2017-06-09,41,5,80,14,0,10,-9,A Minor,4,0yuAWlxq59xT3agQ965OxE,USBQU1700033
14,"The Color Violet","Tory Lanez",105,11A,53,-,03:46,87,"","Alone At Prom",2021-12-10,65,16,0,46,0,0,-11,F#/G♭ Minor,4,3azJifCSqg9fRij2yKIbWz,QZTGW2100275
15,"Friends","Chase Atlantic",107,10A,61,-,03:50,85,"","Nostalgia - EP",2015-02-21,33,1,0,8,0,10,-6,B Minor,3,7uDUb37h7Xdhza1eWMkoJv,GBLFP1508173
16,"iloveitiloveitiloveit","Bella Kay",143,11A,33,-,03:03,92,"","iloveitiloveitiloveit",2026-01-11,62,74,0,38,0,10,-8,F#/G♭ Minor,4,5IMpnpD0tQVcqWlVIgtAtV,USAT22600011
17,"Star Shopping","Lil Peep",93,9A,47,-,02:22,83,"emo rap, cloud rap","Star Shopping",2015-08-17,54,9,2,31,10,10,-10,E Minor,4,1WbhIxkn5ECsOwUm795iX1,UKELY1800203
18,"Lost in the Fire (feat. The Weeknd)","Gesaffelstein,The Weeknd",101,10B,67,-,03:22,82,"","Hyperion",2019-03-08,66,9,0,17,0,10,-12,D Major,4,2vXKRlJBXyOcvZYTdNeckS,USQX91803314
19,"9","Dean Blunt,Panda Bear",113,4A,31,-,01:27,76,"neo-psychedelic","ZUSHI",2020-03-27,49,28,0,8,0,10,-15,F Minor,5,5JXtkWtuqS8Dm8sKbtPGWa,USYBL2000744
20,"Duvet","bôa",93,10A,89,-,03:23,86,"","Twilight",2001-03-21,58,19,0,71,0,0,-9,B Minor,4,42qNWdLKCI41S4uzfamhFM,USCGJ0659337
21,"Wish - Audiomack Trap Symphony Version","Trippie Redd,Diplo",94,11A,63,-,03:00,79,"melodic rap, moombahton","Wish (Audiomack Trap Symphony Version)",2025-09-18,48,1,0,32,0,10,-5,F#/G♭ Minor,4,3STIi4I7eGMJJJhGRIfVli,QZJ842504360
22,"Secondhand (feat. Rema)","Don Toliver,Rema",144,1A,64,-,03:46,87,"afrobeats, afrobeat, afropop, afropiano","OCTANE",2026-01-30,70,42,0,31,0,10,-6,G#/A♭ Minor,4,4Z5KKoBGxpJo8YbDcGQXd5,USAT22600120
23,"Moonlight on the River","Mac DeMarco",140,11B,48,-,07:02,80,"indie, lo-fi indie","This Old Dog",2017-05-05,66,25,83,43,0,20,-9,A Major,4,2fhOljbX79loRcdl47SFye,QMMZN1701309
24,"Pink + White","Frank Ocean",160,11B,55,-,03:04,88,"","Blonde",2016-08-20,55,67,0,55,10,40,-7,A Major,3,3xKsf9qdS1CyvXSMEid6g8,QZ5C81600003
