#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Iris","Pastel Ghost",118,1A,86,2023-03-29,03:38,2,"witch house, darkwave","Ethereality",2018-10-05,53,0,89,60,0,10,-8,G#/A♭ Minor,4,7h7DK2ZHIe4w0id8qkNqla,QM6XS1807314
2,"Dark Beach","Pastel Ghost",130,9B,92,2023-05-03,03:42,3,"witch house, darkwave","Abyss",2015-03-10,53,28,59,15,0,0,-7,G Major,4,5QmdK8QFbY8TLVKPuJzexD,QM6XS1704798
3,"Clouds","Pastel Ghost",103,3A,93,2022-05-09,04:07,0,"witch house, darkwave","Abyss",2015-03-10,54,0,96,16,0,10,-6,A#/B♭ Minor,4,5fr0ocIee7TpDCRWaK0002,QM6XS1704795
4,"Glue","BICEP",130,9A,80,2022-09-18,04:29,73,"","Bicep",2017-09-01,85,2,95,42,0,10,-8,E Minor,4,2aJDlirz6v2a4HREki98cP,GBCFB1700229
5,"The Perfect Girl","Mareux",129,1A,91,2021-11-29,03:14,0,"darkwave, cold wave","The Perfect Girl",2019-10-13,40,0,84,29,10,10,-5,G#/A♭ Minor,4,6J4XizhuOlKmPWykPrHIrV,QZF8N1986577
6,"Kerosene","Crystal Castles",116,4B,55,2022-06-06,03:12,62,"witch house, electroclash, new rave, alternative dance","(III)",2012-01-01,52,8,0,9,0,10,-9,G#/A♭ Major,4,6E1YebXpPPtujMUljDNlOo,GBUM71206687
7,"Vanished","Crystal Castles",120,5A,87,2022-10-09,04:02,6,"witch house, electroclash, new rave, alternative dance","Crystal Castles",2008-03-16,71,0,0,66,0,20,-7,C Minor,4,3gGMsx3jxYKfhXq8LMj1tz,CAL450896208
8,"Transgender","Crystal Castles",138,9B,91,2022-04-13,03:04,59,"witch house, electroclash, new rave, alternative dance","(III)",2012-01-01,52,0,85,4,0,20,-8,G Major,3,26ZzSLUJMmYp5u1hDELEWH,GBUM71206689
9,"Why'd You Only Call Me When You're High?","Arctic Monkeys",92,10B,63,2021-05-15,02:41,86,"indie, garage rock","AM",2013-09-09,69,5,0,80,0,10,-6,D Major,4,086myS9r57YsLbJpU0TgK9,GBCEL1300370
10,"505","Arctic Monkeys",140,8B,87,2022-11-13,04:13,88,"indie, garage rock","Favourite Worst Nightmare",2007-04-22,53,0,0,25,0,0,-6,C Major,4,0BxE4FqsDD1Ot4YuBXwAPp,GBCEL0700074
11,"Snap Out Of It","Arctic Monkeys",130,4A,64,2023-03-18,03:13,81,"indie, garage rock","AM",2013-09-09,73,25,0,87,0,10,-6,F Minor,4,0NdTUS4UiNYCNn5FgVqKQY,GBCEL1300371
12,"I Wanna Be Yours","Arctic Monkeys",68,5A,42,2021-05-15,03:03,92,"indie, garage rock","AM",2013-09-09,46,14,2,48,0,10,-9,C Minor,4,5XeFesFbtLpXzIVDNQP22n,GBCEL1300373
13,"Knee Socks","Arctic Monkeys",98,10A,54,2023-03-18,04:17,77,"indie, garage rock","AM",2013-09-09,67,12,0,59,0,30,-8,B Minor,4,2LGdO5MtFdyphi2EihANZG,GBCEL1300372
14,"Do I Wanna Know?","Arctic Monkeys",85,7B,53,2021-06-15,04:32,88,"indie, garage rock","AM",2013-09-09,55,19,0,41,0,20,-8,F Major,4,5FVd6KXrgO9B3JPmC8OPst,GBCEL1300362
15,"I Bet You Look Good On The Dancefloor","Arctic Monkeys",103,11A,95,2023-04-26,02:53,74,"indie, garage rock","Whatever People Say I Am, That's What I'm Not",2006-01-29,54,0,0,78,0,30,-4,F#/G♭ Minor,4,3DQVgcqaP3iSMbaKsd57l5,GBCEL0501181
16,"Swim","Chase Atlantic",120,4B,54,2021-05-15,03:48,86,"","Chase Atlantic",2017-10-04,67,27,0,8,0,0,-6,G#/A♭ Major,4,3M0lSi5WW79CXQamgSBIjx,USWB11701711
17,"Slow Down","Chase Atlantic",130,6B,79,2021-09-24,03:32,2,"","Paradise EP",2016-12-20,48,2,0,26,0,20,-4,A#/B♭ Major,4,5lT5IZWW3JQErXELJpQgJ9,AUBEC1933728
18,"Moonlight","Chase Atlantic",135,1B,59,2021-05-15,04:12,1,"","Paradise EP",2016-12-20,44,0,0,13,0,10,-6,B Major,4,1rWzYSHyZ5BiI4DnDRCwy7,AUBEC1933729
19,"Friends","Chase Atlantic",107,10A,61,2021-09-24,03:50,3,"","Nostalgia",2015-02-21,42,1,0,9,0,10,-6,B Minor,3,2jQiSYrwJehQAcuaaQrXnS,GBLFP1508173
20,"Into It","Chase Atlantic",130,3A,57,2021-12-27,03:16,82,"","Chase Atlantic",2017-10-04,52,5,0,29,0,10,-7,A#/B♭ Minor,4,4HwDCXsMBC7SUdp2WT4MZP,USWB11602565
21,"Sweater Weather","The Neighbourhood",124,6B,81,2021-05-15,04:00,92,"","I Love You.",2013-04-22,61,5,2,40,0,10,-3,A#/B♭ Major,4,2QjOHCTQ1Jl3zawyYOpxh6,USSM11300080
22,"Wires","The Neighbourhood",73,6A,57,2021-12-29,03:13,62,"","I'm Sorry...",2013-05-08,57,0,10,27,0,30,-6,G Minor,4,5v8aEcHcaJIGYpfVVPtJjI,USSM11204648
23,"Afraid","The Neighbourhood",84,11A,70,2021-05-15,04:11,78,"","I Love You.",2013-04-22,46,1,31,36,0,30,-6,F#/G♭ Minor,4,7brQHA2CgQpcMBiOlfiXYb,USSM11300889
24,"Unfair","The Neighbourhood",194,4B,57,2021-09-24,02:26,65,"","#000000 & #FFFFFF (No DJ Version)",2014-11-28,48,1,78,4,0,10,-7,G#/A♭ Major,4,0xD23i0X1WjqMSYIxRfO80,USSM11709128
25,"Alleyways","The Neighbourhood",101,4A,83,2022-02-03,04:27,60,"","I Love You.",2013-04-22,62,0,80,36,0,10,-5,F Minor,4,4V37tyDu9CtqYshvrgLke4,USSM11300893
26,"The Beach","The Neighbourhood",136,7A,64,2021-05-15,04:15,77,"","Wiped Out!",2015-10-30,25,13,0,11,0,0,-7,D Minor,4,2u0CelO5c81XS7z3dGpHbS,USSM11506746
27,"Daddy Issues","The Neighbourhood",85,6B,52,2021-06-26,04:20,86,"","Wiped Out!",2015-10-30,59,7,15,34,0,10,-9,A#/B♭ Major,4,5E30LdtzQTGqRvNd7l6kG5,USSM11506747
28,"Baby Came Home 2 / Valentines","The Neighbourhood",74,7A,50,2022-01-02,06:30,75,"","Wiped Out!",2015-10-30,21,7,0,11,0,70,-10,D Minor,4,40gvh6jP5qxMJuMmF9lG9A,USSM11506748
29,"Softcore","The Neighbourhood",94,8A,57,2022-01-10,03:26,86,"","Hard To Imagine The Neighbourhood Ever Changing",2018-11-02,57,5,0,37,0,20,-6,A Minor,4,2K7xn816oNHJZ0aVqdQsha,USSM11800523
30,"A Little Death","The Neighbourhood",88,11A,76,2022-01-31,03:29,72,"","Thank You,",2012-12-18,53,0,0,34,0,10,-5,F#/G♭ Minor,4,0Ot6e3wYVQQ1Us9PM977jE,USSM11206332
31,"How","The Neighbourhood",152,6A,75,2022-02-03,05:14,56,"","I Love You.",2013-04-22,38,0,69,6,0,0,-6,G Minor,4,6mAuw7R6u4vlNneuBgnC8K,USSM11300888
32,"Let It Go","The Neighbourhood",150,4A,79,2022-02-03,03:17,58,"","I Love You.",2013-04-22,49,2,0,28,0,20,-5,F Minor,4,6cWpj6c5pNZYEk5KYjNBji,USSM11206333
33,"Flawless","The Neighbourhood",120,8B,87,2022-02-03,04:06,69,"","I Love You.",2013-04-22,57,6,51,37,0,30,-3,C Major,4,2Kt1XplPBQBsDKQDa6TssB,USSM11300895
34,"Female Robbery","The Neighbourhood",88,6A,90,2022-02-03,03:29,60,"","I Love You.",2013-04-22,52,1,54,34,0,20,-3,G Minor,4,4BDnfINTlfJPmLp1UV6CXt,USSM11300081
35,"Everybody's Watching Me (Uh Oh)","The Neighbourhood",150,9A,94,2022-02-03,03:58,57,"","I Love You.",2013-04-22,49,9,56,49,0,10,-3,E Minor,4,0yyyapBjZ9Ek1vcpp3e9bj,USSM11300890
36,"You Get Me So High","The Neighbourhood",88,6A,88,2022-04-21,02:33,81,"","Hard To Imagine The Neighbourhood Ever Changing",2018-11-02,55,19,8,39,0,10,-6,G Minor,4,7zwn1eykZtZ5LODrf7c0tS,USSM11707131
37,"Sweater Weather - Spotify Sessions Curated by Jim Eno","The Neighbourhood",103,4B,17,2022-08-08,03:11,42,"","Spotify Sessions",2013-06-18,61,98,0,26,0,10,-15,G#/A♭ Major,4,7sDzAu7alAL1hWvL86tSGB,USSM11303072
38,"Freaks","Surf Curse",180,11B,94,2021-05-15,02:27,0,"indie","Buds",2015-05-10,35,0,56,40,0,0,-10,A Major,4,0HUTL8i4y4MiGCPId7M7wb,TCACA1429223
39,"High Enough","K.Flay",89,8B,62,2021-05-15,03:51,62,"","Every Where Is Some Where",2017-04-07,37,3,10,51,0,10,-5,C Major,4,1D9HQactbJoUudf9B119Y5,USUM71701789
40,"Art Deco","Lana Del Rey",148,10A,46,2023-02-11,04:55,80,"","Honeymoon",2015-09-18,28,54,22,6,0,10,-11,B Minor,5,5jqNQZBwbZWQXPWfo0ygZF,GBUM71503925
41,"Living Legend","Lana Del Rey",127,9B,22,2021-12-28,04:01,69,"","Blue Banisters",2021-10-22,40,94,0,17,0,10,-9,G Major,4,6pZ9Nj3vzj1RW4ZkR9GcQ9,GBUM72104573
42,"Brooklyn Baby","Lana Del Rey",108,3B,66,2021-05-15,05:51,85,"","Ultraviolence (Deluxe)",2014-01-01,40,54,0,9,0,10,-7,C♯/D♭ Major,4,1NZs6n6hl8UuMaX0UC0YTz,GBUM71402169
43,"Dealer","Lana Del Rey",130,5A,59,2021-12-28,04:34,74,"","Blue Banisters",2021-10-22,60,32,0,38,0,10,-6,C Minor,4,7iqQz931tn59mK6IZ3knRx,GBUM72104279
44,"Cherry Blossom","Lana Del Rey",111,9B,12,2021-12-28,03:17,59,"","Blue Banisters",2021-10-22,41,98,0,22,0,10,-12,G Major,4,6bGevdEVEoEbLK72WFfIYR,GBUM72104277
45,"Born To Die","Lana Del Rey",75,9A,64,2023-02-16,04:46,58,"","Born To Die (Deluxe Version)",2012-01-01,18,21,0,39,0,20,-7,E Minor,3,2wMby9pciuGUIP8q7y4Yn6,GBUM71111120
46,"Ride","Lana Del Rey",94,8B,69,2023-04-01,04:49,70,"","Born To Die - The Paradise Edition",2012-01-01,37,13,0,19,0,30,-6,C Major,4,7yFMhCJOsH7khgpdnyrZAZ,GBUM71205878
47,"Honeymoon","Lana Del Rey",75,4A,27,2023-02-14,05:50,62,"","Honeymoon",2015-09-18,17,95,1,17,0,10,-13,F Minor,3,4X5zaUdlRhvBWYnyQIKmH8,GBUM71503922
48,"West Coast","Lana Del Rey",123,11A,59,2022-09-18,04:16,84,"","Ultraviolence (Deluxe)",2014-01-01,53,19,2,46,0,0,-8,F#/G♭ Minor,4,5Y6nVaayzitvsD5F7nr3DV,GBUM71402081
49,"Zombie","The Cranberries",167,9B,64,2021-05-15,05:06,6,"","No Need To Argue",1994-10-03,31,2,0,30,0,30,-9,G Major,4,2IZZqH4K02UIYg5EohpNHF,USIR29400443
50,"Lonely Day","System Of A Down",113,1A,78,2023-04-06,02:47,3,"nu metal, metal, alternative metal, rap metal, rock","Hypnotize",2005-11-18,46,35,0,22,0,10,-3,G#/A♭ Minor,3,4xBHZ2Mr0gCdFYXrPZuYXO,USSM10505340
51,"Smells Like Teen Spirit","Nirvana",117,3B,91,2023-04-06,05:01,87,"grunge, rock","Nevermind (Remastered)",1991-09-26,50,0,0,72,0,10,-5,C♯/D♭ Major,4,4CeeEOM32jQcH3eN9Q2dGj,USGF19942501
52,"Sextape","Deftones",90,7B,63,2023-04-06,04:01,82,"nu metal, alternative metal, rap metal, shoegaze, rock","Diamond Eyes",2010-04-30,37,0,8,10,0,10,-6,F Major,4,1EryAkZ0VHstC6haIxVBiE,USRE11000115
53,"After Dark","Mr.Kitty",140,4B,60,2021-09-17,04:17,2,"witch house, darkwave","Time",2014-08-08,58,7,41,4,0,0,-10,G#/A♭ Major,4,0zCgWGmDF0aih5qexATyBn,GBKPL1412568
54,"HDMI","BONES",125,9B,29,2022-01-09,02:19,70,"cloud rap, emo rap, horrorcore, trap metal, underground hip hop","Rotten",2014-12-02,71,69,81,12,0,30,-16,G Major,4,7I4ibsZgwuf46g0xHuTC8s,CA5KR1567859
55,"Sodium","BONES",121,9A,32,2022-01-09,01:55,70,"cloud rap, emo rap, horrorcore, trap metal, underground hip hop","SoThereWeStood",2015-01-05,75,22,89,10,0,0,-15,E Minor,4,5oo7lrBwuD4dVfJbBLyVyI,CA5KR1567878
56,"anbu","iwilldiehere,akiaura",100,4B,56,2021-05-15,02:45,0,"witch house, electroclash, phonk","anbu",2020-11-26,25,8,9,4,0,10,-10,G#/A♭ Major,4,1R8R0E7c5fXZa7IMGAni2r,QZMHP2030863
57,"Black Out Days - Future Islands Remix","Phantogram,Future Islands",170,9A,48,2021-09-13,04:08,65,"","Black Out Days (Future Islands Remix)",2017-09-01,48,0,78,12,0,10,-9,E Minor,4,3kxkjirben9RVm9NqYa6rm,USUM71415944
58,"Poison Tree","Grouper",111,1B,14,2021-09-17,03:16,0,"drone, ambient, slowcore, dream pop","Inca Ore / Grouper",2008-06-03,37,97,95,24,0,10,-23,B Major,4,6RDVwKLpBBEksWdp9jwBlD,ES7120810064
59,"Tag, You're It","Melanie Martinez",115,4A,84,2021-05-15,03:09,74,"","Cry Baby (Deluxe Edition)",2015-08-14,56,24,2,38,0,10,-6,F Minor,4,3u1FiuSpfsgVnekEMXgMwJ,USAT21501939
60,"Sparks","Coldplay",103,3B,27,2021-05-15,03:47,91,"","Parachutes",2000-07-10,37,75,5,17,0,10,-11,C♯/D♭ Major,3,7D0RhFcb3CrfPuTJ0obrod,GBAYE0000569
61,"lovely (with Khalid)","Billie Eilish,Khalid",115,9A,30,2021-05-15,03:20,88,"","lovely (with Khalid)",2018-04-19,35,93,0,12,0,10,-10,E Minor,4,0u2P5u6lvoDfwTYjAADbn4,USUM71804190
62,"i love you","Billie Eilish",137,8B,13,2021-05-15,04:51,83,"","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29,42,95,0,12,0,10,-18,C Major,4,6CcJMwBtXByIz4zQLzFkKc,USUM71900773
63,"when the party's over","Billie Eilish",83,12B,11,2021-05-15,03:16,85,"","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29,37,98,0,20,10,0,-14,E Major,4,43zdsphuZLzwA9k4DJhU0I,USUM71815958
64,"my strange addiction","Billie Eilish",100,1A,31,2022-02-03,02:59,76,"","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29,94,35,0,56,30,10,-11,G#/A♭ Minor,4,3Tc57t9l2O8FwQZtQOvPXK,USUM71900769
65,"hostage","Billie Eilish",130,8A,12,2022-06-12,03:49,75,"","dont smile at me",2017-12-22,43,87,0,4,0,0,-15,A Minor,5,1WsEgieHsWWndAzLkmV105,USUM71708096
66,"The 30th","Billie Eilish",83,9B,14,2022-09-15,03:36,78,"","Guitar Songs",2022-07-21,39,93,0,21,0,0,-14,G Major,4,5SHpuW2qjkQtFRpE6P9Nks,USUM72213725
67,"listen before i go","Billie Eilish",80,8B,6,2023-02-12,04:02,77,"","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29,32,94,0,8,0,30,-23,C Major,3,0tMSssfxAL2oV8Vri0mFHE,USUM71900772
68,"Another Love","Tom Odell",123,9A,54,2021-05-15,04:04,88,"","Long Way Down (Deluxe)",2013-06-24,45,70,0,13,0,0,-9,E Minor,4,3JvKfv6T31zO0ini8iNItO,GBARL1300107
69,"we fell in love in october","girl in red",130,9B,37,2021-05-15,03:04,2,"bedroom pop","we fell in love in october / forget her",2018-11-21,57,11,18,24,0,10,-13,G Major,4,1BYZxKSf0aTxp8ZFoeyM3d,GBKPL1828677
70,"Take Me To Church","Hozier",129,9A,66,2021-05-15,04:01,85,"","Hozier",2014-09-19,57,64,0,44,0,10,-5,E Minor,4,3dYD57lRAUcMHufyqn9GcI,IEACJ1300031
71,"Burning Pile","Mother Mother",140,7B,76,2021-05-15,04:22,1,"","O My Heart",2008-09-23,52,6,0,17,0,10,-4,F Major,4,0zMAvsQmaQ4DGsmXtKixpn,CAL450882102
72,"Let Go","Ark Patrol,Veronika Redd",82,8B,44,2021-05-15,04:08,0,"","Let Go",2016-04-14,47,67,26,4,0,20,-10,C Major,3,3kdlVcMVsSkbsUy8eQcBjI,QMSNZ1502193
73,"Runaway","AURORA",114,1B,30,2021-05-15,04:08,79,"norwegian pop, art pop","All My Demons Greeting Me As A Friend (Deluxe)",2016-03-11,42,63,0,12,0,10,-9,B Major,4,1v1oIWf2Xgh54kIWuKsDf6,GBUM71500527
74,"drivers license","Olivia Rodrigo",144,6B,44,2021-05-15,04:02,72,"","drivers license",2021-01-08,59,72,0,13,0,10,-9,A#/B♭ Major,4,7lPN2DXiMsVn7XUKtOW1CS,USUG12004749
75,"Star Shopping","Lil Peep",93,9A,47,2021-05-15,02:22,3,"emo rap, cloud rap","Star Shopping",2015-00-00,59,10,2,32,0,10,-10,E Minor,4,30bqVoKjX479ab90a8Pafp,UKELY1800203
76,"Mercy","Shawn Mendes",148,10A,66,2021-05-15,03:28,82,"","Illuminate (Deluxe)",2017-04-20,55,13,0,34,0,10,-5,B Minor,4,0AS63m1wHv9n4VVRizK6Hc,USUM71603531
77,"Ophelia","The Lumineers",76,7B,57,2021-05-29,02:40,5,"folk pop, indie folk","Cleopatra",2016-04-08,66,61,0,57,0,0,-7,F Major,4,5NORWMFC27ywGSZxi8uquP,USDMG1673802
78,"Stressed Out","Twenty One Pilots",170,9A,64,2021-05-29,03:22,88,"","Blurryface",2015-05-15,73,5,0,65,10,0,-6,E Minor,4,3CRDbSIZ4r5MsZ0YwxuEkn,USAT21500597
79,"Stolen Dance","Milky Chance",114,1B,58,2021-07-02,05:13,4,"","Sadnecessary",2013-05-31,89,43,0,73,0,0,-9,B Major,4,2jiPHbFX5XM8TjaTfYJ0eo,DEL211300741
80,"Angel By The Wings","Sia",208,12B,53,2021-07-29,05:19,67,"","Angel By The Wings",2016-12-02,23,29,0,16,0,10,-5,E Major,4,4OLVK3kktkdLPp8dDgoCtb,USQY51613756
81,"Close Eyes - Slowed + Reverb","DVRST",89,3A,63,2021-10-08,02:23,62,"phonk, drift phonk","Close Eyes (Slowed + Reverb)",2021-07-16,75,8,84,8,0,10,-10,A#/B♭ Minor,4,5RE3w3M9g5vsotdIVtLONq,QMFME2128103
82,"Nightmare","plenka",130,9B,72,2021-11-02,03:02,0,"witch house, drift phonk, phonk","Pt. One",2019-11-27,50,3,3,24,0,10,-7,G Major,4,14XKt7GAWkoU0kDTSLl3Xs,RUA1H1926340
83,"Dark Side Of The Moon","suisside",130,6B,82,2021-11-29,02:48,0,"emo rap","Dark Side Of The Moon",2020-11-30,38,8,0,22,20,80,-9,A#/B♭ Major,3,1pVfFV0ywuF1K4I8978H4R,QZNWV2044665
84,"Endless Love","DVRST,OBLXKQ",193,4A,77,2021-11-29,02:59,55,"phonk, drift phonk","Endless Love",2021-09-10,57,4,83,7,0,10,-5,F Minor,4,49eccJME4fYJnOwCmJMXfV,QMDA62100384
85,"MIDDLE OF THE NIGHT","Elley Duhé",186,9A,61,2021-12-05,03:04,76,"","MIDDLE OF THE NIGHT",2020-01-10,41,2,0,9,0,10,-8,E Minor,3,58HvfVOeJY7lUuCqF0m3ly,USRC11903813
86,"Apocalypse","Cigarettes After Sex",94,7B,47,2021-12-05,04:50,11,"dream pop","Cigarettes After Sex",2017-06-09,37,2,57,18,0,10,-9,F Major,4,0yc6Gst2xkRu0eMLeRMGCX,USBQU1700034
87,"Black Out Days","Phantogram",92,9A,80,2021-12-15,03:47,75,"","Voices",2014-02-18,54,1,2,43,0,0,-4,E Minor,4,2IWtloZYQDcP8Ashwx8QEF,USUM71312035
88,"Girl of My Dreams","Guti",139,6B,34,2021-12-30,03:42,0,"","Late Nights and Heartbreak",2019-12-14,57,78,45,5,0,0,-16,A#/B♭ Major,4,5RdTT9trEnmVML9PlBqNKr,TCAEO1957086
