#,Song,Artist,BPM,Camelot,Energy,Added at,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (db),Key,Time Signature,Spotify Track Id,ISRC
1,"schizo","s1xft",96,3B,84,2026-03-05,01:29,39,"","why am i like this?",2025-06-27,56,3,0,60,0,70,-5,C♯/D♭ Major,4,2U5NFdCvR8oP4GYfVi56SV,QZTB82506403
2,"pursue","celai",115,2B,48,2026-03-20,02:30,23,"","pegasus",2025-07-14,82,81,29,39,0,0,-8,F#/G♭ Major,4,5GQl3KfX80yZPId0HHexyY,QZWFH2561962
3,"disappointment","lonely afterparty,siraa",111,6B,69,2026-03-15,02:21,17,"","disappointment",2025-09-20,47,3,0,82,0,40,-10,A#/B♭ Major,3,0zpAGfmGJV8mMhJhWCwNAM,QT3EY2555302
4,"painkillers","blurr3d",132,12A,77,2026-03-15,01:44,6,"","painkillers",2026-02-27,67,57,0,82,10,30,-6,C♯/D♭ Minor,4,0dWeaPtTxpEyHC6ySK7BA1,QZMEQ2664356
5,"screaming, puking, crying and dying","schizocat",136,4A,80,2026-03-21,01:21,42,"","alley cat",2025-10-19,52,0,0,65,20,30,-7,F Minor,3,3bIhHfBZjNlZLbSgB7sHzN,QT3FH2592426
6,"i knew","Project Dumb",136,9B,52,2026-03-15,01:52,40,"midwest emo","im EP...",2025-06-30,82,79,2,93,0,0,-14,G Major,4,5WpYz6YaLmXU9hRluGs1vY,QZTB52563538
7,"enough","celai",115,8B,57,2026-03-20,03:04,35,"","teeth",2025-10-10,69,77,9,25,0,10,-6,C Major,4,1nJNGLdZL9lM0fYsAGdCYQ,QT3FB2507051
8,"famous","wifiskeleton",156,5A,67,2026-03-15,01:21,54,"","pony",2025-04-18,57,50,0,89,0,10,-7,C Minor,4,5rayNIPR8ER9rHt9axFr97,NL8RL2514263
9,"Whatever","Yen",100,7A,100,2026-03-15,01:28,58,"","YEN",2026-01-23,72,57,0,74,10,10,-2,D Minor,4,0LLxONi3LJ2CNhSvW4Y8pi,QZJG52686779
10,"envy","lociffer",111,2B,27,2026-03-15,01:00,24,"","envy",2026-02-12,82,11,37,44,20,10,-10,F#/G♭ Major,4,5mAIe0BZsmWZbxgbCICfTs,QZK6J2647929
11,"672","Cosigns",148,6B,52,2026-03-15,01:42,52,"","672",2025-12-01,77,2,2,74,30,0,-8,A#/B♭ Major,4,5L2cJvFCDJ44HNhDWjNlPx,QT6F92579319
12,"pretty girl with some issues","lonely afterparty",170,3B,85,2026-03-15,01:34,12,"","no one gets it",2025-11-24,47,0,3,38,0,10,-7,C♯/D♭ Major,4,2yDPSNPde46F4o9VtImywq,QT6F62533229
