#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"See You Again (feat. Kali Uchis)","Tyler, The Creator,Kali Uchis",79,2B,56,2026-03-23,03:00,90,"","Flower Boy",2017-07-21,56,37,0,62,10,10,-9,F#/G♭ Major,4,7KA4W4McWYRpgf0fWsJZWB,USQX91701275
2,"CHIHIRO","Billie Eilish",110,9B,43,2026-03-23,05:03,87,"","HIT ME HARD AND SOFT",2024-05-17,70,14,88,52,0,0,-13,G Major,4,7BRD7x5pt8Lqa1eGYC4dzj,USUM72401988
3,"White Ferrari","Frank Ocean",109,8B,10,2026-03-23,04:08,86,"","Blonde",2016-08-20,50,77,0,20,0,30,-16,C Major,4,2LMkwUfqC6S6s6qDVlEuzV,QZ5C81600014
4,"Moment","Not for Radio",112,7A,61,2026-03-23,04:34,62,"","Melt",2025-10-10,58,68,47,23,0,0,-11,D Minor,4,2AkJfhzKOTqgb3RxqyPMeU,USAT22504789
5,"Slow Dance","Clairo",84,10B,53,2026-03-23,03:54,77,"bedroom pop","Charm",2024-07-12,73,72,2,60,0,10,-8,D Major,4,2qmmnbJ9JR3f7vofbyje5r,USA2P2416226
6,"How many miles","Mk.gee",138,7B,41,2026-03-23,02:21,41,"","Candy / How many miles",2023-08-11,76,85,40,53,0,0,-9,F Major,4,5zL6U9C5mmeaJSks7H4Xmw,QM24S2305473
7,"Bullet Proof ... I Wish I Was","Radiohead",81,9B,36,2026-03-23,03:28,65,"art rock, alternative rock","The Bends",1995-03-13,45,78,68,8,0,0,-14,G Major,4,5XuU9htN358NTMCcqRvfDV,GBAYE9400064
8,"barquito - bonus track","rusowsky",97,4A,34,2026-03-23,03:24,62,"neoperreo","barquito (bonus track)",2026-03-06,61,86,0,48,0,20,-12,F Minor,4,2W7HbOnu7ivBFXGrcdcwDB,USWB12600546
9,"Within You, Within Me","Meltt",100,9A,51,2026-03-23,03:18,65,"","Eternal Embers",2023-09-22,60,25,95,45,0,10,-8,E Minor,4,77evpfqHmmSklsFpo8wLCB,CAANN2200002
10,"Somebody Else","The 1975",101,8B,79,2026-03-23,05:47,74,"","I like it when you sleep, for you are so beautiful yet so unaware of it",2016-02-26,61,20,1,47,0,10,-6,C Major,4,5hc71nKsUgtwQ3z52KEKQk,GBK3W1500426
11,"Alright","Victoria Monét",108,1B,53,2026-03-23,02:53,62,"alternative r&b","JAGUAR II",2023-08-25,79,28,0,46,0,10,-7,B Major,4,3OgdnA3LYpJ6vxrfk6X3p4,USRC12204022
12,"how did they know","Kilu",90,10B,68,2026-03-23,04:03,57,"","how did they know",2025-07-25,57,0,1,32,0,10,-7,D Major,4,3b8M7JYleRsiMlvwad6IQ1,GBAHT2500278
13,"Humans","Night Tapes",91,4A,56,2026-03-23,04:11,60,"dream pop, lo-fi indie","Humans",2022-06-07,65,22,70,36,0,10,-7,F Minor,4,1F4Sia9UHvh5JuPV7bwgix,GBKPL2296490
14,"Under the Silver Moon","Thee Marloes",90,8B,57,2026-03-23,03:27,46,"retro soul, indonesian indie, indie jazz","Under the Silver Moon",2026-03-09,82,51,0,70,0,10,-7,C Major,4,6qa9ImotbPJJ287VzSSN9X,QZ2L62600011
15,"Dream police","Mk.gee",120,12A,44,2026-03-23,02:49,58,"","Two Star & The Dream Police",2024-02-09,72,81,6,79,0,10,-10,C♯/D♭ Minor,4,5jdlKW2oMtQkOaZp5YOS4G,QM24S2308813
16,"coogie","Dijon",131,3B,25,2026-03-23,03:09,47,"","coogie",2023-03-03,72,93,1,28,10,10,-12,C♯/D♭ Major,4,3kBWttZ4s6uSErpI0x3qLZ,USWB12300737
17,"Summer Breeze","Gotts Street Park,Rosie Lowe",127,10A,33,2026-03-23,03:43,58,"","On The Inside",2023-10-13,59,68,3,34,30,10,-13,B Minor,4,5XIXaFKCqXs1TKs1BB5tw4,GBPVV2204669
18,"Happen","Nick Hakim",122,9B,40,2026-03-23,04:13,39,"indie soul","COMETA",2022-10-21,65,17,77,28,0,10,-7,G Major,4,2fo5XVkVtd91WoSArcFemh,USATO2200159
19,"Dreaming In Slow Motion","Pale Jay",79,1B,57,2026-03-23,02:52,58,"retro soul","Bewilderment",2023-08-18,50,73,84,54,0,10,-8,B Major,4,0K2Ou0NhEBvc7UoeWf58Cy,QZDMQ2250265
20,"Rouge","Bennett Coast",95,3B,63,2026-03-23,02:50,57,"","Where Are You Going?",2023-08-04,39,36,3,14,0,10,-8,C♯/D♭ Major,4,1EtuMOssvtZhPEWPB3VWzw,USZ4V2300120
21,"Good At Breaking Hearts","Jungle,JNR WILLIAMS,Loaded Honey",112,10B,52,2026-03-23,03:33,56,"retro soul","Volcano",2023-08-11,62,57,0,14,0,60,-8,D Major,4,6J4JyWGym75LACyBWqipKv,QM4TX2336326
22,"Cinders","Larkk",124,8B,26,2026-03-23,03:40,23,"","Cinders",2026-02-13,33,30,0,14,0,10,-10,C Major,3,5VjL0B7xEXerWZYlelBEPn,US6R22571110
23,"Hold Me Up (Thank You)","Khruangbin",105,10B,57,2026-03-23,03:49,55,"neo-psychedelic","A LA SALA",2024-04-05,64,10,81,67,0,10,-12,D Major,4,0juMDnoo3u3uDJ32wjK2BF,USJ5G2335708
24,"It Soothes Me","Beach Vacation",152,1B,93,2026-03-23,02:11,55,"dream pop","Coping Habits",2023-09-15,51,15,82,93,0,20,-8,B Major,4,6sgnvABaQ82zq4Pm6abqb1,TCAFZ2278118
25,"Walls","The Army, The Navy",144,9A,39,2026-03-23,03:12,54,"","Walls",2026-03-06,36,92,0,41,0,0,-12,E Minor,4,3XMl69GS63VxoSOO6Nxord,QM4TX2620520
26,"Don't Play","Jungle,Mood Talk",120,6B,62,2026-03-23,03:46,55,"","Volcano",2023-08-11,67,19,0,70,20,30,-6,A#/B♭ Major,4,5yXf2ZVlBdgIGxbSKb6VFW,QM4TX2336355
27,"Come Over And Love Me","Love Spells",92,8B,38,2026-03-23,02:41,54,"","Come Over And Love Me",2022-12-24,56,80,80,32,0,20,-12,C Major,4,1cZms2JMepRbzrg3AG3eb8,QZWFW2569253
28,"Comin’ Around Again","Amber Mark",77,2B,44,2026-03-23,03:06,54,"alternative r&b, indie soul","Comin’ Around Again",2024-04-05,70,1,2,81,0,0,-7,F#/G♭ Major,3,6If1Aw9BpAtmnP1GByGjfr,USUG12402141
29,"By The Lake","Pale Jay,Okonski",80,10B,65,2026-03-23,02:57,53,"retro soul, ","Bewilderment",2023-08-18,53,63,93,37,0,90,-8,D Major,4,08RxnD1RocmKqiGUiEQWkB,QZDMQ2250182
30,"Star","mori,rusowsky",88,1B,8,2026-03-23,03:31,53,"neoperreo","El Niño Bola",2026-02-27,59,72,1,38,0,10,-25,B Major,4,6ZzycZmHaFzfbIBl24BV3N,BK4DA2607923
31,"All Roads","Lucy Park",104,1A,63,2026-03-23,03:17,53,"indie r&b, alternative r&b","All Roads",2023-08-04,87,35,44,79,10,0,-9,G#/A♭ Minor,4,0pvgbTB2y9DNDDXb9T7FJW,USA2P2335270
32,"Ghost of Fatalia","Arc De Soleil",160,12A,81,2026-03-23,02:46,52,"","Last a While",2023-08-25,66,26,87,57,0,10,-8,C♯/D♭ Minor,4,551kejKz9qZRgGyCDa7ujF,SE5Q52301581
33,"Blood Milk Moon","Hermanos Gutiérrez",112,7A,47,2026-03-23,02:57,52,"","Blood Milk Moon",2023-12-14,68,75,93,62,0,10,-11,D Minor,4,3XagHd6dQ24vSujx0ADqXK,USC4R2340463
34,"I'll Still Call","Habe",78,1B,50,2026-03-23,02:55,51,"","I'll Still Call",2020-11-13,71,49,68,69,0,0,-10,B Major,4,1SerYv7SabsGxVl0qIKES9,QM24S2010193
35,"Dreamflower","Tarika Blue",135,2A,25,2026-03-23,04:15,51,"jazz funk, jazz fusion","Tarika Blue",1977-00-00,55,77,72,38,0,0,-18,D#/E♭ Minor,4,4iyH37AHAkYK1MVhveeqcm,USASQ0511008
