#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Je te laisserai des mots","Patrick Watson",133,10B,19,2023-05-09,02:40,6,"","Je te laisserai des mots",2010-09-10,30,99,50,21,0,10,-17,D Major,4,0V5cvmTKsYmF5FmGGEAfmS,CA0RZ1000020
2,"White Ferrari","Frank Ocean",109,8B,10,2023-05-09,04:08,86,"","Blonde",2016-08-20,50,77,0,20,0,30,-16,C Major,4,2LMkwUfqC6S6s6qDVlEuzV,QZ5C81600014
3,"Feeling Whitney","Post Malone",80,8B,23,2023-05-09,04:17,71,"","Stoney (Deluxe)",2016-12-09,41,79,0,23,0,20,-13,C Major,4,35r28RDot7nPE7y9K9H7l0,USUM71614505
4,"From Eden","Hozier",142,8B,67,2023-05-09,04:43,49,"","Hozier",2014-10-07,40,58,0,28,0,10,-6,C Major,5,2XRCxFtPqSsnY94jZCFuYu,USSM11405190
5,"ocean eyes","Billie Eilish",145,9A,37,2023-05-09,03:20,85,"","Ocean Eyes",2016-11-18,48,82,6,16,0,0,-8,E Minor,4,2uIX8YMNjGMD7441kqyyNU,US23A1500056
6,"In Love","khai dreams",118,7B,24,2023-05-09,01:09,0,"","In Love",2018-02-12,51,92,0,59,10,10,-13,F Major,4,2oZNXWTmn3G6uxNyPq9ej5,QZARB1853157
7,"Hold Back The River","James Bay",135,7B,72,2023-05-09,03:58,57,"","Chaos And The Calm",2015-03-23,72,5,0,51,0,0,-7,F Major,4,7tmtOEDxPN7CWaQWBsG1DY,USUM71413733
8,"Wasn't Expecting That","Jamie Lawson",91,2B,37,2023-05-09,03:21,47,"","Jamie Lawson",2015-10-09,68,71,0,34,0,10,-8,F#/G♭ Major,4,0DIcd7djiVGT4RYbTIlsoJ,GBAHS1500140
9,"Landslide","Fleetwood Mac",159,6A,16,2023-05-09,03:19,86,"yacht rock, classic rock, soft rock","Fleetwood Mac",1975-07-11,41,88,0,42,0,10,-22,G Minor,4,5ihS6UUlyQAfmp48eSkxuQ,USWB19903197
10,"You Are My Sunshine","Kina Grannis",80,6B,8,2023-05-09,02:03,0,"acoustic pop","You Are My Sunshine",2018-05-11,66,91,0,58,0,10,-20,A#/B♭ Major,1,65VhbQdqvozUntjnlFkFbZ,QZCE61897997
11,"Sometimes (Backwood)","Gigi Perez",105,5B,17,2023-05-09,02:33,0,"","Sometimes (Backwood)",2021-02-15,41,77,0,7,0,10,-11,D#/E♭ Major,4,5ysFFsqJFcsX8Rez67j2tv,QZQAY2178612
12,"Cursive","Billie Marten",115,8B,27,2023-05-09,04:00,49,"","As Long As - EP",2015-11-13,49,94,0,17,0,10,-12,C Major,3,5Iy1wdO0tMaHwKnfFYtlel,GBARL1501332
13,"virgo","Jadu Jadu",143,6A,44,2023-05-09,01:01,0,"lo-fi house","virgo",2018-10-26,71,27,0,12,60,0,-9,G Minor,4,6DG3LXLQjz8Z9QvWGkf6gS,QZES61812532
14,"La Vie en Rose","Angel,Psyko",76,9B,8,2023-05-09,03:49,13,"","La Vie en Rose",2019-11-20,56,96,0,50,0,10,-11,G Major,4,3n6pKXC4rktALMpAWag4mJ,QZHNB1963809
15,"Night Time","Alexandre Desplat,Aaron Zigman",90,11A,7,2023-05-09,00:47,34,"soundtrack, score, ","Mr. Magorium's Wonder Emporium (Original Motion Picture Soundtrack)",2007-11-13,42,97,63,4,0,10,-21,F#/G♭ Minor,4,6MLisJictHELV5TrQT3F7g,US3M50786404
16,"Bird","Billie Marten",86,2B,19,2023-05-09,03:40,42,"","Writing of Blues and Yellows (Deluxe Version)",2016-09-23,24,99,0,12,0,10,-13,F#/G♭ Major,4,6DzvC1VHpyTFfLBbAYBa7W,GBARL1501308
17,"Night Trouble","Petit Biscuit",96,3B,36,2023-05-09,06:31,56,"","Night Trouble",2015-01-01,41,95,93,7,0,10,-15,C♯/D♭ Major,3,5LLtNp8qc3NaCIieZ2W4Dk,FRX451599922
18,"Bloom (Online Bonus Track)","The Paper Kites",96,3B,42,2023-05-09,03:29,62,"indie folk","Woodland",2011-07-01,58,89,0,43,0,10,-10,C♯/D♭ Major,4,44alNkXsYnTyPnkMdohBcx,TCAAZ1171906
19,"Once Upon a December","Christy Altomare",174,10A,29,2023-05-09,02:59,0,"musicals","Anastasia (Original Broadway Cast Recording)",2017-06-09,17,92,0,7,0,0,-12,B Minor,4,3jMy7ITBiLgVwC15RBK9Hp,QMQYB1709707
20,"The Night We Met","Lord Huron",174,11B,37,2023-05-09,03:28,70,"","Strange Trails",2015-04-06,45,97,27,10,0,60,-10,A Major,3,3hRV0jL3vUpRrcy398teAU,US53Q1200103
21,"The Wisp Sings","Winter Aid",115,12B,9,2023-05-09,05:13,0,"","The Wisp Sings",2013-11-11,52,99,18,5,0,10,-19,E Major,4,68RI4I6SKm57SxjG06OYvN,IEJIQ1300001
22,"Apocalypse","Cigarettes After Sex",94,7B,47,2023-05-09,04:50,0,"dream pop","Cigarettes After Sex",2017-06-09,37,2,46,17,0,10,-9,F Major,4,51QJPY4MKeIgc4XErzTnPv,USBQU1700034
23,"Only We Know","Jose Leyva,Reneé Dominique",73,7A,8,2023-05-09,04:18,0,"pinoy indie","Only We Know",2019-03-15,63,87,0,39,0,20,-20,D Minor,4,524hnMa5mxztwha1ZcRkb0,QMEZE1904890
24,"come out and play","Billie Eilish",145,8B,32,2023-05-09,03:30,68,"","come out and play",2018-11-20,64,69,3,18,0,10,-15,C Major,4,7wC5eZcFS1Q1BsQ35DU6H4,USUM71818958
25,"Like Real People Do","Hozier",140,9B,18,2023-05-09,03:18,74,"","Hozier (Expanded Edition)",2014-09-19,54,92,39,14,0,10,-14,G Major,3,57V4uc2b2diZ4RPHXWecb9,USSM11307292
26,"Suite bergamasque, L.75: 3. Clair de lune","Claude Debussy,Zuri Lux",65,3B,3,2023-05-09,04:59,42,"impressionism, classical, classical piano","Clair de Lune (Variations)",2021-01-04,37,99,91,5,0,0,-27,C♯/D♭ Major,4,4sdhaq0Z4KL5oCF5GCgTtt,QZFYX2141199
27,"Forgiveness","Francesco Tulman",201,1B,2,2023-05-09,02:07,19,"","Forgiveness",2020-07-17,19,100,87,12,0,10,-28,B Major,4,7IOhTZyPfyCPhO041cdiDv,QZAKB2004976
28,"Forever & Always","Zeph",155,1A,10,2023-05-09,04:09,0,"","Forever & Always",2018-12-26,50,99,92,36,0,10,-24,G#/A♭ Minor,4,2keT649m2xIywngAVJHsuC,QZ4JJ1844025
29,"Strawberries","Caamp",117,5B,9,2023-05-09,03:39,0,"indie folk, folk","Boys (Side B)",2018-07-27,55,96,1,26,0,10,-19,D#/E♭ Major,5,0ESvfrHfNuAtkZp8SMJBOY,GBKPL1814549
30,"Beggar's Prayer","Emilíana Torrini",144,3B,14,2023-05-09,02:55,27,"trip hop","Me and Armini",2008-09-08,39,92,1,16,0,10,-16,C♯/D♭ Major,3,54rDV840ePRHBUYLXRDWVn,GBCVZ0802442
31,"Summer Depression [Slowed + Reverb]","Yusei,Iben",131,3B,29,2023-05-09,04:10,0,"lo-fi, ","Summer Depression [Slowed + Reverb]",2020-06-20,52,97,91,28,20,10,-14,C♯/D♭ Major,4,5tyakYHxL4wSOoikN9G8iM,QZHN82025844
