#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Everytime We Touch - Nightcore & KYANU Edit","Cascada,KYANU",178,8B,96,2023-01-10,02:28,61,"europop, eurodance, nightcore, hypertechno","Nightcore",2015-09-11,52,1,0,55,10,40,-6,C Major,4,40aG6sP7TMy3x1J1zGW8su,DEHK91586911
2,"Rockefeller Street (New Nightcore) [#Rockefellerstreet Remix]","Getter Jaani",162,10B,94,2023-01-10,02:35,65,"nightcore","Rockefeller Street (New Nightcore) [#Rockefellerstreet Remix]",2018-12-14,66,28,2,88,0,10,-4,D Major,4,37s8uwIjw72XfMseKJXNOO,EECF11800003
3,"Monster (Dotexe Remix)","Nightcore",169,8B,65,2023-01-10,03:04,59,"nightcore","Monster (Dotexe Remix)",2017-03-01,58,42,0,39,0,0,-6,C Major,4,0y8UKPyJOluqIuacosTKEv,GB-SMU-34-97773
4,"Dam Dadi Doo - Nightcore Single Mix","Fantasy Project feat. NDA",173,4A,98,2023-01-10,02:43,57,"nightcore, europop, happy hardcore, eurodance","Nightcore Remixes - Best Of Vol.2",2015-10-25,65,4,12,64,0,20,-6,F Minor,4,4vFX0oXbHfwfbtZ6lN27zK,ATR981159737
5,"Angel with a Shotgun","Nightcore Reality,meme my",142,11B,62,2023-01-10,03:15,54,"nightcore, ","Angel with a Shotgun",2019-11-06,52,0,0,18,0,10,-8,A Major,4,1CRZq41Fxe9MNrnOQhPvtB,TCAEK1989470
6,"Take a Hint","Nightcore Reality",159,3A,100,2023-01-10,02:10,40,"nightcore","Take a Hint",2018-06-13,70,18,0,60,50,10,-1,A#/B♭ Minor,4,7H881krNfbDK6IgOp3mApQ,TCADN1882942
7,"Moonlight Shadow (nightcore)","Machine Time",181,8B,93,2023-01-10,02:40,0,"","Moonlight Shadow (nightcore)",2021-02-02,53,8,0,36,0,30,-6,C Major,4,19GuN3ZUenTYRBsptHgTMY,QZFZ42188868
8,"Angel of Darkness - Video Mix","Alex C.,Yass",140,2A,87,2023-01-10,03:35,63,"nightcore, europop, brazilian bass","Angel of Darkness",2003-01-01,58,1,0,43,0,10,-5,D#/E♭ Minor,4,2p6yof8qYnSFB3gjnerrWs,DEE860300449
9,"Poison - Nightcore Edit","DJ Gollum,Scarlett",181,3A,93,2023-01-10,04:35,47,"hardstyle, nightcore, italo disco, italo dance, hi-nrg","Nightcore",2015-09-11,49,1,32,59,0,10,-7,A#/B♭ Minor,4,0B2fv1eukKlJqNRCeENIS0,DEHK91586946
10,"So Am I","Nightcore Red",153,11A,84,2023-01-10,02:35,43,"nightcore","So Am I",2020-09-02,61,15,0,90,0,20,-7,F#/G♭ Minor,4,1LR8A1UogM4eVsHqRWbF9I,TCAFA2063117
11,"Wild & Free - Original Nightcore Edit","Giga Dance",173,4B,95,2025-04-21,03:00,42,"nightcore, happy hardcore","Wild & Free (Nightcore Edition)",2016-11-07,47,0,1,64,0,20,-6,G#/A♭ Major,4,7sgz7xNLqWEOxzDXUmxFLh,DEUS71600066
12,"Rockefeller Street","LA Nightcore",151,11A,63,2025-05-07,02:50,45,"nightcore","Rockefeller Street",2020-05-08,61,14,0,29,0,10,-6,F#/G♭ Minor,4,5dg6bzIkAox8IOr47KdN9R,TCAEW2010573
13,"Never Be The Same - Nightcore","DJ Javi26,Oliver Cricket,IVAJ",145,6A,94,2026-01-21,02:15,38,"phonk, brazilian phonk, funk, deep house, ","Never Be The Same",2026-01-16,66,11,4,44,0,10,-6,G Minor,4,2ODdXPVTYdZmcYfnQPwXDH,QM4TW2618065
14,"Miracle - Nightcore Edit","Cascada",175,11B,94,2023-01-10,02:54,50,"europop, eurodance","Nightcore",2015-09-11,55,3,0,69,0,20,-7,A Major,4,7FRQ3gedF4i9xv4eHCxTQI,DEHK91586930
15,"God Is A Girl","W&W,Groove Coverage",145,5A,88,2023-01-10,03:14,58,"big room, edm, eurodance","God Is A Girl",2018-03-12,53,0,0,25,0,10,-5,C Minor,4,244w7BpXC62Dc5dAtQryAv,NLF711802819
16,"TRILLIUM HARDTEKK - SPED UP","S3RL,Bearn",146,11B,96,2026-03-20,01:21,60,"happy hardcore, nightcore, hyperpop, tekno, phonk","TRILLIUM HARDTEKK",2026-02-03,57,2,61,96,0,10,-1,A Major,4,62lOzGbEQ0YgDAsBTwrPNi,QM4TX2612907
17,"Kiss You (feat. Nicco & Josh)","Nightcore Berlin,Nicco & Josh",88,2B,80,2025-04-21,02:40,38,"nightcore","Kiss You",2016-05-19,42,0,50,15,0,30,-6,F#/G♭ Major,4,1lpd8zLCBXv1a4uddGSfvC,GB-SMU-27-49716
18,"Believe","Nightcore",163,9B,90,2023-01-10,02:21,46,"nightcore","Believe",2018-03-28,42,1,2,34,0,30,-4,G Major,4,5M4wOePejVrKVPJ5NZF3U4,GB-SMU-49-85519
19,"Frontiers","AI_T",120,3A,97,2026-02-25,04:09,38,"","Frontiers",2026-02-06,81,1,82,12,0,0,-7,A#/B♭ Minor,4,2Ko4dTWoPdvBaBanq7WGsc,CAHQJ2651730
20,"Rave Song","NightcoreMaker",117,9B,94,2025-05-07,02:22,37,"nightcore, europop","International Nightcore",2021-03-12,63,1,0,52,0,50,-3,G Major,4,09iPuHMKhC2CNHCShguWwg,TCAFL2160430
21,"I Kissed A Girl","Rock Emo Nightcore,Fly By Nightcore",138,4B,81,2023-01-10,02:51,43,"nightcore","I Kissed A Girl",2021-12-10,57,4,0,75,0,0,-5,G#/A♭ Major,4,6nrpaYqdz7U9UbPOXX85Ot,QM24S2106793
22,"IN MY BONES","PXRKX,Kenzhell,KREZUS",120,4B,88,2026-03-20,02:18,40,"rally house, phonk, brazilian phonk","IN MY BONES",2026-03-06,84,1,60,29,0,30,-8,G#/A♭ Major,4,7bAibkLJBrGzvzmiZPap98,QM6MZ2615146
