#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"ODIUM","LXST CXNTURY",75,10A,78,2021-01-25,02:46,0,"drift phonk, phonk, witch house","UNIVERSE OF THE PAST",2019-09-23,71,16,89,35,0,30,-8,B Minor,4,336ASHsxDakSN80bubkfZV,QZHPJ1914788
2,"Dark Light","Night Lovell",93,11B,45,2021-01-25,03:26,1,"emo rap, horrorcore, trap metal","Concept Vague",2014-12-21,63,8,0,4,0,10,-10,A Major,3,7Cye3UbCA6UNuDykdCf3AB,QM4DW1765891
3,"Look at Me Now","Brennan Savage",160,5A,54,2021-01-25,02:30,63,"emo rap, cloud rap","Look at Me Now",2017-07-01,65,5,40,36,0,0,-10,C Minor,4,46eK1kembooWblMi7M7yLM,TCADD1769500
4,"EX.","2Scratch",80,3A,73,2021-01-25,03:28,0,"","EX.",2019-12-20,34,4,0,34,20,40,-5,A#/B♭ Minor,1,2Euh9rmpNomdpi8GS6cpxC,QM42K1954387
5,"Tel Aviv","Skeler",134,11A,65,2021-01-25,03:36,56,"witch house, drift phonk","Tel Aviv",2018-03-05,48,41,74,11,10,10,-9,F#/G♭ Minor,4,45KsTd0ZqKlgw0fNc8oyC5,QZBRF1833507
6,"Gentrify","Da Vosk Docta",135,8B,45,2021-01-25,02:54,42,"witch house","Gentrify",2017-06-08,57,19,31,8,0,10,-9,C Major,4,79ZOuQjYlLT3xfJNPeYEQh,QM42K1764888
7,"INFINITY VOLUME TWO","LXST CXNTURY",135,1B,70,2021-01-25,02:03,0,"drift phonk, phonk, witch house","UNIVERSE OF THE PAST",2019-09-23,74,6,93,39,0,10,-11,B Major,4,380FJaKP9Rqk3oXW9UU82x,QZHPJ1907755
8,"DISTORTION","LXST CXNTURY",150,9B,91,2021-01-25,02:39,0,"drift phonk, phonk, witch house","UNIVERSE OF THE PAST",2019-09-23,61,0,1,23,0,20,-3,G Major,4,30lo6PJqijZWV5sw8cDxcc,QZHZD1938785
9,"ANDROMEDA","LXST CXNTURY",150,10B,78,2021-01-25,03:36,0,"drift phonk, phonk, witch house","ANDROMEDA",2019-12-26,37,1,50,20,0,10,-10,D Major,4,5QTKooEvwEXuXJfc1bPJ61,TCAEO1961902
10,"BLOODY TEAR","LXST CXNTURY",150,3B,87,2021-01-25,02:39,0,"drift phonk, phonk, witch house","UNIVERSE OF THE PAST",2019-09-23,62,0,14,50,0,10,-4,C♯/D♭ Major,4,6dkFsLpWdvdM4msypzoc7G,QZHZD1996650
11,"TOKYO","LXST CXNTURY",145,4A,55,2021-01-25,02:08,0,"drift phonk, phonk, witch house","UNIVERSE OF THE PAST",2019-09-23,75,3,55,31,0,10,-11,F Minor,4,3kHEUsWGWkJtKJrzAZZmRf,QZHPJ1907769
12,"AURA WH","LXST CXNTURY",140,10B,87,2021-01-25,02:59,0,"drift phonk, phonk, witch house","AURA WH",2020-06-03,68,0,39,44,20,50,-6,D Major,4,0BE5JfaWXyKSSu7lWWbuZT,RUA1D2020480
13,"NEVER EXISTED","LXST CXNTURY",145,8A,89,2021-01-25,03:13,1,"drift phonk, phonk, witch house","NEVER EXISTED",2020-02-21,72,44,72,33,0,10,-8,A Minor,4,5RmWoWmZfFLBERLBkZkerT,RUA1D2005097
14,"FUTURITY","LXST CXNTURY",75,8B,71,2021-01-25,02:42,0,"drift phonk, phonk, witch house","THE HORROR OF BEING",2020-02-27,56,0,77,77,0,30,-3,C Major,4,4h0N5fSYuoXXCsfBZWvkr1,RUA1D2006609
15,"Higher","WEVLTH",107,8B,69,2021-01-25,04:47,36,"witch house","Higher",2018-05-04,44,1,68,22,0,30,-3,C Major,4,0HHdsqqY9qbgUV0EstbDqU,QZCE61894481
16,"Subterfuge","CVRL",116,7A,63,2021-01-25,04:00,0,"witch house","Elysian Fields",2017-04-21,49,15,1,12,0,0,-9,D Minor,4,3V3EweEH3Tpq29nyzRey36,GBKPL1779232
17,"Q","Brothel",120,6A,45,2021-01-25,01:38,30,"witch house","Q",2017-07-17,67,0,46,13,0,10,-7,G Minor,4,17a50m6txHiwroxsiFPCbD,UST8K1768874
18,"SORCERER","WHITE KATANA",97,11A,77,2021-01-25,03:12,31,"witch house, drift phonk","SORCERER",2017-02-28,26,2,96,4,0,10,-6,F#/G♭ Minor,3,3vLx9eP8H0yEfgfrRLdMnr,QM42K1706480
19,"Off Air","Night Lovell",92,8B,36,2021-01-25,03:26,0,"emo rap, horrorcore, trap metal","Concept Vague",2014-12-21,72,53,3,6,0,0,-14,C Major,4,3Ixtw6lH5wB3vFESoOiZ3R,QM4DW1765882
20,"NEON","LXST CXNTURY",130,4A,78,2021-01-25,02:31,0,"drift phonk, phonk, witch house","THE HORROR OF BEING",2020-02-27,68,10,86,5,10,10,-7,F Minor,4,55Tqlrp1fli1zEZk7IjHNX,RUA1D2006600
21,"AMNESIA","LXST CXNTURY",90,4B,80,2021-01-25,02:55,0,"drift phonk, phonk, witch house","RADICAL",2020-08-12,39,0,86,21,10,10,-7,G#/A♭ Major,4,6fi9HvQLCpBrelIfzCNM3B,RUA1D2035714
22,"REGENERATION","KEDELA",150,6A,74,2021-01-25,02:33,0,"drift phonk, phonk","REGENERATION",2020-11-11,65,6,9,36,30,0,-7,G Minor,4,2ZK4Zx2shVz56gbrnymdJ0,QZNWS2086829
23,"RADICAL","LXST CXNTURY",150,9A,88,2021-01-25,02:45,0,"drift phonk, phonk, witch house","RADICAL",2020-08-12,65,12,46,34,0,30,-7,E Minor,4,1z4vSrdOtuQceyRyKaX858,RUA1D2035710
24,"Scope","Sidewalks and Skeletons",133,9B,86,2021-01-25,03:53,24,"witch house, darkwave","Scope",2020-06-20,57,4,91,31,0,30,-8,G Major,4,1T5lGbxEc1m7luXrtz1mfM,ushm22043020
25,"Badlands","Brennan Savage",166,10A,66,2021-01-25,01:46,56,"emo rap, cloud rap","Badlands",2017-10-07,54,25,13,25,20,10,-9,B Minor,4,4GhHrgsaiQsuMQCHTGa87C,TCADH1763103
26,"Spotlight","Marshmello,Lil Peep",150,9B,82,2021-01-25,02:57,71,"edm, emo rap, cloud rap","Spotlight",2018-01-12,55,1,0,62,10,70,-4,G Major,4,6VrCmhRBFnuGKmtNfk4jDs,TCADL1806966
27,"u.","niteboi",124,9A,65,2021-01-25,02:54,0,"witch house, drift phonk","u.",2017-01-22,46,22,87,6,10,10,-9,E Minor,4,0J7oHYxjF6Oln61wy0kP2i,QM42K1876139
28,"LooseScrew","BONES,Eddy Baker",100,3B,43,2021-01-25,02:54,66,"cloud rap, emo rap, horrorcore, trap metal, underground hip hop","SparrowsCreek",2019-02-11,38,32,7,6,0,0,-11,C♯/D♭ Major,4,6Qd2OmDq4rPFQi7qCHapTx,USUYG1240572
29,"Paris","Else",103,1A,58,2021-01-25,03:29,63,"french house","Paris",2016-04-19,79,2,58,54,0,0,-8,G#/A♭ Minor,4,2H7F7EfsVhy0jNLsVz8MLH,FR7JK1600001
