#,Song,Artist,BPM,Camelot,Energy,Added at,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (db),Key,Time Signature,Spotify Track Id,ISRC
1,"Sweet Night","V",92,5B,34,2024-08-03,03:34,70,"k-pop","ITAEWON CLASS (Original Television Soundtrack) Pt. 12",2020-03-13,46,49,0,15,0,0,-8,D#/E♭ Major,4,3Wno87vVBVbSVS2vUUFuKC,QZEKE1933514
2,"Polaroid Love","ENHYPEN",138,6A,67,2024-08-03,03:04,72,"k-pop","DIMENSION : ANSWER",2022-01-10,74,46,0,65,0,30,-4,G Minor,4,5elW2CKSoqjYoJ32AGDxf1,USA2P2146748
3,"Lemon","Kenshi Yonezu",87,1B,65,2024-08-03,04:15,72,"j-pop, anime, j-rock","STRAY SHEEP",2020-08-05,53,30,0,37,0,30,-5,B Major,4,04TshWXkhV1qkqHzf31Hn6,JPU901800227
4,"Christmas Tree","V",139,7B,38,2024-08-03,03:29,72,"k-pop","Our Beloved Summer (Original Television Soundtrack), Pt. 5",2021-12-24,44,70,0,18,0,10,-8,F Major,4,186NCtNk1tUYS7c2DxgJ7O,KRMIM2179411
5,"eight(Prod.&Feat. SUGA of BTS)","IU,SUGA",120,3B,87,2024-08-03,02:47,68,"k-pop, k-ballad","eight",2020-05-06,68,12,0,59,0,10,-2,C♯/D♭ Major,4,0pYacDCZuRhcrwGUA5nTBe,KRA382001418
6,"Way Back Home","SHAUN",100,6B,74,2024-08-03,03:34,69,"k-pop","Take",2018-06-27,75,41,0,56,0,10,-5,A#/B♭ Major,4,3NxuezMdSLgt4OwHzBoUhL,KRF221800012
7,"LEFT RIGHT","XG",150,3B,72,2024-08-03,03:28,71,"k-pop","SHOOTING STAR",2023-01-25,77,15,0,88,0,10,-6,C♯/D♭ Major,4,3v5o91PrUtf0nmO6j8J7dZ,JPB602300033
8,"Until I Found You (with Em Beihold) - Em Beihold Version","Stephen Sanchez,Em Beihold",101,6B,55,2024-08-03,02:56,79,"","Until I Found You (Em Beihold Version)",2022-04-22,55,78,0,34,0,20,-5,A#/B♭ Major,3,1Y3LN4zO1Edc2EluIoSPJN,USUG12202266
9,"遥か","Aimer",172,4B,60,2024-08-03,03:11,43,"anime, j-pop, j-rock","遥か",2024-04-02,37,21,0,38,0,10,-5,G#/A♭ Major,4,6At8fG853JqHaZP72oONtA,JPU902400699
10,"Enchanted (Taylor's Version)","Taylor Swift",82,4B,55,2024-08-03,05:53,78,"","Speak Now (Taylor's Version)",2023-07-07,52,2,0,23,0,10,-4,G#/A♭ Major,4,3sW3oSbzsfecv9XoUdGs7h,USUG12302081
11,"Seven (feat. Latto)","Jung Kook,Latto",125,1B,84,2024-08-03,03:04,76,"k-pop, ","Seven (feat. Latto)",2023-07-14,78,32,0,91,0,0,-4,B Major,4,5Avril3IZ26DPVFHbJX8o6,USA2P2330092
12,"Mayonaka no Door / Stay With Me","Miki Matsubara",108,7B,75,2024-08-03,05:12,55,"city pop, j-pop","Miki Matsubara Best Collection",2008-00-00,66,18,0,79,0,0,-7,F Major,4,2BHj31ufdEqVK5CkYDp9mA,JPPC07950030
13,"是你","梦然",123,10B,52,2024-08-03,03:42,0,"mandopop, c-pop, chinese r&b","梦然",2022-01-01,69,82,0,19,0,0,-8,D Major,4,5Yn6iA7o8aUHxB4sJQmVwu,BXVR02127729
14,"This Love (Taylor’s Version)","Taylor Swift",144,12B,49,2024-08-03,04:10,69,"","This Love (Taylor’s Version)",2022-05-06,47,30,0,5,0,0,-9,E Major,4,4d1CG5ei1E2vGbvmgf5KKv,USUG12200219
15,"Some Days","Mree",145,1B,21,2024-08-03,03:41,33,"ambient folk","Some Days",2022-04-08,51,81,0,25,0,0,-15,B Major,4,3HAhiAaTsr733iuWQdaawf,QZES72205281
16,"Euphoria","BTS",105,10B,80,2024-08-03,03:48,76,"k-pop","Love Yourself 結 'Answer'",2018-08-24,64,39,0,57,0,0,-5,D Major,4,5YMXGBD6vcYP7IolemyLtK,QM6MZ1886130
17,"Feels Like You","Faime",93,12B,35,2024-08-03,03:18,0,"","Feels Like You",2020-11-27,85,79,0,57,0,0,-7,E Major,4,21UPL4RXZPmg2TZ2DgWADj,USA2P2038841
18,"Hello(feat.pH-1)","Younha,pH-1",103,7B,62,2024-08-03,03:20,31,"k-ballad, k-rap","RescuE",2017-12-27,69,43,0,57,0,10,-6,F Major,4,7AgILHRIdHKV65CIeLarkj,KRA381702820
19,"Lately","CoCo,g2",85,3B,53,2024-08-03,02:39,17,"k-rap","Lately",2021-02-21,89,21,0,45,30,0,-6,C♯/D♭ Major,4,32la2TC2OoqIeEPdNqW0EC,KRMIM2105314
20,"exile (feat. Bon Iver)","Taylor Swift,Bon Iver",76,2B,38,2024-08-03,04:45,80,"","folklore",2020-07-24,30,78,0,15,0,10,-8,F#/G♭ Major,4,4pvb0WLRcMtbPGmtejJJ6y,USUG12002838
21,"Head In The Clouds","Hayd",116,12B,13,2024-08-03,03:04,61,"","Changes - EP",2021-09-17,78,97,0,29,0,0,-18,E Major,4,3CeKc83EsgRPItgvlDHo5B,USUM72115702
22,"プラチナ","Maaya Sakamoto",164,2B,90,2024-08-06,04:11,42,"anime, j-pop, shibuya-kei","カードキャプターさくら　ソングコレクション 1999.4～2001.2",2017-12-13,45,10,0,49,0,10,-5,F#/G♭ Major,4,1NAiiojhfSM62hEar7wVTg,JPVI09926580
