#,Song,Artist,BPM,Camelot,Energy,Added at,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (db),Key,Time Signature,Spotify Track Id,ISRC
1,"Die For You","The Weeknd",67,12A,51,2025-05-02,04:20,50,"","Starboy (Deluxe)",2023-03-14,60,11,0,46,0,10,-8,C♯/D♭ Minor,4,0awWj9Wzj375IL5etqa1Dk,USUG11601011
2,"Dark Thoughts","Lil Tecca",102,12A,77,2025-05-02,02:16,76,"melodic rap, rap","Dark Thoughts",2025-03-14,80,6,0,71,10,10,-4,C♯/D♭ Minor,4,7EW7Yivb93qKAtp5qEm5of,USUM72502156
3,"30 For 30 (with Kendrick Lamar)","SZA,Kendrick Lamar",140,12A,42,2025-05-02,04:38,76,"r&b, hip hop, west coast hip hop","SOS Deluxe: LANA",2024-12-20,71,76,0,51,0,10,-10,C♯/D♭ Minor,4,3aSWXU6owkZeVhh94XxEWO,USRC12403853
4,"RATHER LIE (with The Weeknd)","Playboi Carti,The Weeknd",133,4B,67,2025-05-02,03:29,80,"rage rap, ","MUSIC",2025-03-14,72,6,0,28,0,20,-4,G#/A♭ Major,4,68qeaZhtMZ6abrJCYt6nQn,USUM72414871
5,"No Pole","Don Toliver",85,4A,63,2025-05-02,03:07,89,"","Love Sick (Deluxe)",2023-02-28,33,7,0,38,0,50,-5,F Minor,4,0eaVIYo2zeOaGJeqZ5TwYz,USAT22302146
6,"Starboy","The Weeknd,Daft Punk",186,9B,59,2025-05-02,03:50,91,"french house, electronic, electro","Starboy",2016-11-25,68,14,0,49,20,10,-7,G Major,4,7MXVkk9YMctZqd1Srtv4MB,USUG11600976
7,"The Hills","The Weeknd",113,5A,56,2025-05-02,04:02,88,"","Beauty Behind The Madness",2015-08-28,59,7,0,14,0,10,-7,C Minor,4,7fBv7CLKzipRk6EC6TWHOB,USUG11500737
8,"Unforgettable","French Montana,Swae Lee",98,2B,77,2025-05-02,03:53,88,"","Jungle Rules",2017-07-14,73,3,1,73,10,10,-5,F#/G♭ Major,4,3B54sVLJ402zGa6Xm4YGNe,USSM11703478
9,"Shut up My Moms Calling","Hotel Ugly",138,8A,41,2025-05-02,02:44,89,"","Shut up My Moms Calling",2020-02-10,49,33,0,38,10,10,-11,A Minor,4,3hxIUxnT27p5WcmjGUXNwx,TCAEQ2083509
10,"I Wanna Be Yours","Arctic Monkeys",68,5A,42,2025-05-02,03:03,92,"indie, garage rock","AM",2013-09-09,46,14,2,48,0,10,-9,C Minor,4,5XeFesFbtLpXzIVDNQP22n,GBCEL1300373
11,"White Ferrari","Frank Ocean",109,8B,10,2025-05-02,04:08,86,"","Blonde",2016-08-20,50,77,0,20,0,30,-16,C Major,4,2LMkwUfqC6S6s6qDVlEuzV,QZ5C81600014
12,"Super Rich Kids","Frank Ocean,Earl Sweatshirt",60,2A,42,2025-05-02,05:04,77,"experimental hip hop, alternative hip hop","channel ORANGE",2012-07-10,74,22,0,58,0,20,-8,D#/E♭ Minor,4,0725YWm6Z0TpZ6wrNk64Eb,USUM71207196
13,"Chanel","Frank Ocean",110,5A,50,2025-05-02,03:30,79,"","Chanel",2017-03-10,78,87,0,47,20,10,-6,C Minor,4,6Nle9hKrkL1wQpwNfEkxjh,QZ5C81600019
14,"EARFQUAKE","Tyler, The Creator",80,11B,50,2025-05-02,03:10,79,"","IGOR",2019-05-17,55,23,0,41,0,80,-9,A Major,4,5hVghJ4KaYES3BFUATCYn0,USQX91901111
15,"Nikes","Frank Ocean",138,4B,40,2025-05-02,05:14,72,"","Blonde",2016-08-20,63,69,0,12,0,10,-10,G#/A♭ Major,4,19YKaevk2bce4odJkP5L22,QZ5C81600001
16,"Pink Pony Club","Chappell Roan",107,2B,65,2025-05-02,04:18,84,"","The Rise and Fall of a Midwest Princess",2023-09-22,61,40,0,51,0,10,-6,F#/G♭ Major,4,1k2pQc5i348DCHwbn5KTdc,USAT22001300
17,"Pink + White","Frank Ocean",160,11B,55,2025-05-02,03:04,88,"","Blonde",2016-08-20,55,67,0,55,10,40,-7,A Major,3,3xKsf9qdS1CyvXSMEid6g8,QZ5C81600003
18,"BEST INTEREST","Tyler, The Creator",98,10A,57,2025-05-02,02:07,75,"","BEST INTEREST",2020-01-25,60,9,0,34,0,30,-8,B Minor,3,3jHdKaLCkuNEkWcLVmQPCX,USQX92000078
19,"Self Care","Mac Miller",142,3B,54,2025-05-02,05:45,76,"","Swimming",2018-08-03,52,37,0,18,20,10,-8,C♯/D♭ Major,4,5bJ1DrEM4hNCafcDd1oxHx,USWB11801215
20,"The Spins","Mac Miller,Empire Of The Sun",127,8A,77,2025-05-02,03:15,29,"","K.I.D.S.",2010-08-13,79,1,0,55,0,0,-4,A Minor,4,7BcOUi4FQ3wBLmNTW0yfCR,USA2P2015959
21,"Mr. Rager","Kid Cudi",102,9B,73,2025-05-02,04:54,74,"","Man On The Moon II: The Legend Of Mr. Rager",2010-01-01,68,38,90,53,0,10,-9,G Major,4,2ncLdwTd8qzkxiJjlbiOgC,USUM71025042
22,"Devil In A New Dress","Kanye West,Rick Ross",80,1A,76,2025-05-02,05:51,80,"rap, southern hip hop","My Beautiful Dark Twisted Fantasy",2010-11-22,44,2,0,21,0,10,-5,G#/A♭ Minor,4,1UGD3lW3tDmgZfAVDh6w7r,USUM71027277
23,"90210 (feat. Kacy Hill)","Travis Scott,Kacy Hill",81,8A,53,2025-05-02,05:39,80,"rap, ","Rodeo",2015-09-04,40,11,0,31,0,10,-7,A Minor,4,51EC3I1nQXpec4gDk0mQyP,USSM11506731
24,"Ivy","Frank Ocean",116,8A,39,2025-05-02,04:09,84,"","Blonde",2016-08-20,57,79,0,47,0,20,-10,A Minor,4,2ZWlPOoWh0626oTaHrnl2a,QZ5C81600002
25,"Bitch, Don’t Kill My Vibe","Kendrick Lamar",134,3B,70,2025-05-02,05:10,72,"hip hop, west coast hip hop","good kid, m.A.A.d city",2012-00-00,59,2,0,10,0,40,-9,C♯/D♭ Major,4,4Pwjz3DfvfQWV0rO2V8jyh,USUM71210774
26,"REEL IT IN","Aminé",129,3A,34,2025-05-02,02:01,65,"","ONEPOINTFIVE",2018-08-15,75,7,0,42,10,10,-9,A#/B♭ Minor,4,5qHirGR7M9tdm6C17DlzSY,USUM71811853
27,"Swimming Pools (Drank) - Extended Version","Kendrick Lamar",74,11A,49,2025-05-02,05:13,68,"hip hop, west coast hip hop","good kid, m.A.A.d city (Deluxe)",2012-00-00,67,12,0,26,40,60,-8,F#/G♭ Minor,4,5ujh1I7NZH5agbwf7Hp8Hc,USUM71211089
28,"RUNNING OUT OF TIME","Tyler, The Creator",84,2B,39,2025-05-02,02:57,74,"","IGOR",2019-05-17,36,30,0,16,0,10,-11,F#/G♭ Major,4,5QvBXUm5MglLJ3iBfTX2Wo,USQX91901114
29,"Timeless (feat Playboi Carti)","The Weeknd,Playboi Carti",120,10A,78,2025-05-02,04:16,91,"rage rap","Hurry Up Tomorrow",2025-01-31,77,7,0,60,0,10,-5,B Minor,4,0FIDCNYYjNvPVimz5icugS,USUG12406536
