#,Song,Artist,BPM,Camelot,Energy,Added at,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (db),Key,Time Signature,Spotify Track Id,ISRC
1,"The Emotion","BØRNS",150,1B,69,2026-01-05,03:44,57,"","Dopamine",2015-10-16,42,21,1,32,0,70,-6,B Major,4,03YZnK3XQWKpvo9TyNZzXf,USUM71512362
2,"Clouds","BØRNS",160,1B,48,2026-01-05,03:10,59,"","Dopamine",2015-10-16,64,19,0,50,0,10,-6,B Major,4,03v70ZBxmcPX3RWAZMzqaW,USUM71512367
3,"Aglow","The Rare Occasions",105,6A,51,2026-01-05,02:47,51,"","Aglow",2015-12-04,49,20,0,17,0,0,-4,G Minor,3,5YICiSTdTX0y9wwA7CuNYh,ushm81535272
4,"Swim Naked","Betcha",172,6B,87,2026-01-05,03:31,47,"","Falling",2019-09-13,38,0,0,31,0,20,-4,A#/B♭ Major,4,4SM0NAUmbllfuu7YeajE4h,USAT21904109
5,"Strange Clouds","ufo ufo",128,12B,72,2026-01-05,03:26,47,"","Strange Clouds",2020-02-28,65,6,5,89,0,10,-7,E Major,4,28GZb0xoetftSW5p9LMPHa,QMEZE1949266
6,"Hotel Drive","VICE MONRÖE",130,9A,55,2026-01-05,02:31,52,"dark r&b","Hotel Drive",2023-07-28,34,7,36,22,0,20,-12,E Minor,4,7aTAGvaUGGxFV37c3Yl2ub,USHM82347883
7,"Neon Roses","The Technicolors",186,9B,88,2026-01-05,03:56,58,"","Metaphysical",2017-07-27,19,0,0,39,0,40,-3,G Major,4,0s1PsjRpN9v3gveUOM6Iux,TCADB1731048
8,"Dying In A Hot Tub","Palaye Royale",112,3B,79,2026-01-05,03:48,2,"","Boom Boom Room (Side B)",2018-09-28,47,7,0,40,0,0,-6,C♯/D♭ Major,4,30h8YS2iYXSTPjqT4txPEh,USYFZ1812304
9,"WORTHLESS","d4vd",125,9A,74,2026-01-05,02:43,61,"","Petals to Thorns",2023-05-26,66,8,0,19,0,10,-6,E Minor,4,7JnyloDT4kgmFR4006Krfi,USUM72302840
10,"Will I Always Feel This Way?","instant crush",149,9B,87,2026-01-05,03:12,42,"","Will I Always Feel This Way?",2021-09-24,52,3,0,49,0,30,-4,G Major,4,4w2qJ0WHF2fbQtIr6ATH2S,QZS7J2106624
11,"2016","d4vd",177,10B,76,2026-01-05,02:18,49,"","Withering",2024-02-09,17,0,0,57,0,20,-6,D Major,4,2T9G81i8JSiPUyP8H4ZVqn,USUM72401259
12,"Better Than Me","The Brobecks",170,9B,67,2026-01-05,04:27,63,"","Violent Things",2009-04-25,38,0,0,43,0,0,-7,G Major,4,2ACs0dJwkSsvNZvEbvFurK,USTC90933456
13,"Ivy","Frank Ocean",116,8A,39,2026-01-15,04:09,84,"","Blonde",2016-08-20,57,79,0,47,0,20,-10,A Minor,4,2ZWlPOoWh0626oTaHrnl2a,QZ5C81600002
14,"back to friends","sombr",93,3B,72,2026-01-16,03:19,93,"","I Barely Know Her",2025-08-22,44,0,0,24,0,0,-2,C♯/D♭ Major,4,7qjZnBKE73H4Oxkopwulqe,USWB12405502
15,"affection","BETWEEN FRIENDS",91,10B,56,2026-01-18,03:55,72,"","we just need some time together",2019-04-05,39,52,0,31,10,0,-7,D Major,4,4EtgDIWb8Wm5mnaK701c0C,USQX91800782
16,"NIGHTS LIKE THIS","The Kid LAROI",143,2B,76,2026-01-18,01:26,86,"","THE FIRST TIME",2023-11-10,48,1,0,12,0,10,-5,F#/G♭ Major,4,1XBYiRV30ykHw5f4wm6qEn,USSM12308065
17,"alright (feat. The Kid LAROI)","EKKSTACY,The Kid LAROI",177,3B,69,2026-01-18,02:09,35,"","EKKSTACY",2024-01-19,50,0,0,49,0,10,-5,C♯/D♭ Major,4,6KwyNga0cYPhcXO9pUrgcx,QZNN22351400
18,"Hands Tied","HARRY WAS HERE",180,5A,57,2026-01-18,02:52,15,"","Hands Tied",2021-07-15,41,12,0,30,0,20,-7,C Minor,4,6q8oKzaXfoJbMgDgehneye,QZHNB2109117
19,"Delete Ya","Djo",118,4B,67,2026-01-27,03:23,81,"","The Crux",2025-04-04,83,25,6,84,0,40,-6,G#/A♭ Major,4,7tFI5cqfAoR7MIvmbw1qd8,QM4TW2525818
20,"Big Jet Plane","Angus & Julia Stone",110,3A,39,2026-01-28,03:59,69,"","Down the Way",2010-03-30,76,24,1,27,0,10,-9,A#/B♭ Minor,4,3WGsYiBXmaT8XyY4Fmry2v,AUAP10900011
21,"sound in my head","Chloe Lilac",124,9B,69,2026-01-30,02:31,45,"","you were good to me (deluxe)",2022-09-23,63,5,0,37,0,80,-4,G Major,4,6tgaf9F3ZHgIlXpdymEfUe,QZTPX2217484
22,"Native Tongue","My Kid Brother",111,6A,91,2026-01-30,04:12,39,"","Native Tongue",2020-01-17,34,0,3,30,10,0,-4,G Minor,4,78xCNel2K7Dy7cFnP7uH6e,US5261923468
23,"Favorite Poison","Fuller",77,2B,89,2026-01-30,03:12,48,"","Favorite Poison",2020-03-20,46,0,69,69,0,10,-4,F#/G♭ Major,4,6JsAootlXP63bzFJK9gNsv,QZFZ32040953
24,"Brutal","Negative 25",182,4A,66,2026-01-30,03:02,41,"","XOXON25",2024-07-19,53,2,0,60,0,10,-8,F Minor,4,3seHokUmEvJbcCVTYFrNYZ,QZMEQ2013820
25,"Freaking Out","The Wrecks",140,12A,87,2026-01-30,03:19,47,"","Infinitely Ordinary",2020-05-01,55,0,0,43,0,0,-3,C♯/D♭ Minor,4,2uvTqA4hY5Tsqgeu6iTTO2,USA2P1930185
26,"White Noise Boys","Airways",135,8A,88,2026-01-30,03:35,39,"","Starting to Spin",2017-05-19,80,4,0,96,0,30,-5,A Minor,4,62lDcHhYNbOp83fmQujhdS,GBKPL1781549
27,"Downstairs","Matt Maeson",137,2B,49,2026-02-01,03:36,60,"","A Quiet and Harmless Living",2025-09-12,65,22,0,25,0,10,-8,F#/G♭ Major,4,5NOKqfyuSU3e1sqvildQmM,USAT22504166
28,"Sink or Swim","Artemas",159,3B,77,2026-02-03,03:09,56,"","Sink or Swim",2023-05-26,54,7,0,58,0,80,-6,C♯/D♭ Major,4,2Z8RcNkYqStbwUdS7qyx6s,SGB502299670
