#,Song,Artist,BPM,Camelot,Energy,Added at,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (db),Key,Time Signature,Spotify Track Id,ISRC
1,"Fall For Me","Sleep Token",86,9B,23,2025-12-31,02:26,64,"progressive metal, metalcore","This Place Will Become Your Tomb",2021-09-24,52,35,0,55,0,10,-13,G Major,5,3UwtS13MeMT2Nu2rRwa50I,GBUM72101268
2,"Impose","Bad Omens",161,12B,88,2025-12-31,04:23,69,"metalcore","Impose",2025-09-10,48,4,2,37,10,60,-6,E Major,4,3kMc83bWNdcaX1dmARQIII,USFYZ2561401
3,"Alkaline","Sleep Token",148,2A,82,2025-12-31,03:34,73,"progressive metal, metalcore","This Place Will Become Your Tomb",2021-09-24,49,1,0,5,10,10,-8,D#/E♭ Minor,4,0B4YX3OMtZSmPm9KpiZKl2,GBUM72101269
4,"Take Me First","Bad Omens",164,9A,87,2025-12-31,03:19,69,"metalcore","THE DEATH OF PEACE OF MIND",2022-02-25,41,0,0,44,10,10,-4,E Minor,4,5niq3p5CyfhApzRbLVGWYI,USYFZ2264203
5,"Pale Moonlight","Dayseeker",75,10B,89,2025-12-31,03:40,68,"metalcore, post-hardcore","Creature In The Black Night",2025-10-24,43,0,0,24,10,0,-5,D Major,4,0CPaMCUD85j07HZQi8sWXd,GBPVV2404319
6,"Sleeptalk","Dayseeker",130,4A,95,2025-12-31,03:43,69,"metalcore, post-hardcore","Sleeptalk (Deluxe)",2019-09-27,49,6,0,26,10,70,-4,F Minor,4,53Ssvy5Rww0BPTtOw375zW,GBUM71903161
7,"Damocles","Sleep Token",156,2B,59,2025-12-31,04:24,73,"progressive metal, metalcore","Even In Arcadia",2025-05-09,54,3,0,27,0,10,-7,F#/G♭ Major,4,3enIFKYJKSVyjXVzmup28I,USRC12500020
8,"Hangfire","Wind Walkers",138,9A,96,2025-12-31,03:15,64,"metalcore","What If I Break?",2023-11-17,53,1,0,34,0,10,-3,E Minor,4,7vwUPOzwMuaBuhckNt3jjf,TCAGD2274434
9,"Just Pretend","Bad Omens",140,4A,83,2025-12-31,03:24,81,"metalcore","THE DEATH OF PEACE OF MIND",2022-02-25,46,0,0,20,0,10,-5,F Minor,4,31rneVrsMC6jefCoDyQKam,USYFZ2264208
10,"Medicate Me","Rain City Drive,Dayseeker",110,11A,93,2025-12-31,02:47,62,"post-hardcore, metalcore","Things Are Different Now",2024-09-27,53,0,0,47,10,30,-4,F#/G♭ Minor,4,2sfH7KtjAnWv1algu94TR5,QM24S2402017
11,"Caramel","Sleep Token",94,4A,78,2025-12-31,04:50,77,"progressive metal, metalcore","Even In Arcadia",2025-05-09,63,0,0,29,0,0,-5,F Minor,4,1QrbZhFYlViXd60g130vw1,USRC12500017
12,"Dial Tone","Catch Your Breath",91,9A,82,2025-12-31,03:20,70,"metalcore","Shame On Me",2023-10-20,51,0,0,24,0,10,-5,E Minor,4,07SNyTzawbbC81CQivr2N0,QZES82294531
13,"DYWTYLM","Sleep Token",113,10A,41,2025-12-31,04:00,64,"progressive metal, metalcore","Take Me Back To Eden",2023-05-19,57,43,0,67,0,10,-11,B Minor,4,0OFNCqshaxAaKkGdlu16IM,GBUM72200346
14,"Crawl Back To My Coffin","Dayseeker",143,4A,90,2025-12-31,04:02,55,"metalcore, post-hardcore","Crawl Back To My Coffin",2025-10-22,43,0,0,37,0,10,-4,F Minor,4,2p50qhRb0mnj9H8fLoQRf1,GBPVV2404321
15,"FEAR","NF",190,9B,53,2025-12-31,04:28,79,"christian hip hop","FEAR",2025-11-14,50,55,0,32,30,10,-7,G Major,3,3HfKlhohNNTLIv2t9uvmzz,USUM72510181
16,"WHO I WAS","NF,mgk",94,3B,55,2025-12-31,03:00,72,"christian hip hop, ","WHO I WAS",2025-11-13,58,78,0,52,10,0,-6,C♯/D♭ Major,4,48axmFD7PUPnTOdSFMYrvj,USUM72510183
17,"HAPPY","NF",106,9B,86,2025-12-31,04:02,75,"christian hip hop","HOPE",2023-04-07,73,31,0,22,0,10,-4,G Major,4,3ZEno9fORwMA1HPecdLi0R,USUM72300449
