#,Song,Artist,BPM,Camelot,Energy,Added at,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (db),Key,Time Signature,Spotify Track Id,ISRC
1,"Merry Christmas, i miss you","Alex Crichton",105,10B,57,2025-10-04,04:06,13,"","Merry Christmas, i miss you",2024-12-05,58,17,0,24,0,10,-9,D Major,4,1b6KvHy2sCC9BdWXvXAKOw,QZZ7Q2421303
2,"Hallway Weather","NIKI",140,9B,36,2025-10-04,03:53,49,"indonesian r&b","Hallway Weather",2020-12-15,51,45,0,17,0,0,-11,G Major,4,2IivBdD5BJfKLea1IzOKJy,ZZOPM2004095
3,"Sienna","The Marías",148,9B,47,2025-10-04,03:44,88,"bedroom pop","Submarine",2024-05-31,69,58,57,59,0,10,-9,G Major,4,0InIeZW4P6VO7dUGRM4AKH,USAT22400849
4,"Staying","Lizzy McAlpine",136,12B,21,2025-10-04,02:31,82,"","Older",2024-04-05,50,84,0,33,0,10,-11,E Major,4,3tcCT8WhAIeRW2Ey9M4bL5,USRC12301894
5,"You Needed Love, I Needed You","Angelo De Augustine",89,10B,18,2025-10-04,03:25,46,"","Tomb",2019-01-11,52,93,1,54,0,10,-14,D Major,4,0MIqB2F979ng3e9fLKEAt6,US64G1813803
6,"Maine","Radiant As She",94,9B,15,2025-10-04,03:43,0,"","Radiant As She",2023-05-29,44,86,0,19,0,30,-18,G Major,4,2OflhgTEDrf6o1Ina7thzN,QZK6J2340443
7,"No One Noticed","The Marías",98,9B,34,2025-10-04,03:56,90,"bedroom pop","Submarine",2024-05-31,71,55,8,46,0,10,-11,G Major,4,3siwsiaEoU4Kuuc9WKMUy5,USAT22307579
8,"we were in love(2024)","ko kyung pyo",128,6B,51,2025-10-04,04:00,46,"k-ballad","we were in love(2024)",2024-11-13,48,75,0,35,0,20,-5,A#/B♭ Major,4,4bPzNUxxPzmIBpB1aNNkcL,KRA382406361
9,"Before - Acoustic Version","NIKI",120,6B,23,2025-10-04,04:38,54,"indonesian r&b","You'll Be In My Heart",2022-09-14,63,92,0,56,0,10,-15,A#/B♭ Major,4,2KJQiHAk6KXgvl4fWdQjNo,ZZOPM2240876
10,"Mystery of Love","Sufjan Stevens",132,9A,27,2025-10-04,04:08,81,"baroque pop","Mystery of Love",2017-12-01,37,94,43,24,0,10,-17,E Minor,5,5GbVzc6Ex5LYlLJqzRQhuy,US64G1737302
11,"Never Enough","Loren Allred",87,4B,39,2025-10-04,03:27,79,"","The Greatest Showman (Original Motion Picture Soundtrack)",2017-12-08,28,42,0,23,0,10,-9,G#/A♭ Major,3,0Gl5s8IhMmQE5YQwM8Qx1J,USAT21704621
12,"Love Letter From The Sea to The Shore","Delaney Bailey",162,10B,26,2025-10-04,03:11,55,"","(i would have followed you)",2022-12-16,39,87,7,39,0,40,-15,D Major,4,0yDghAfS3CT7Di30WoJE7h,QZK6H2279196
13,"You'll Find Lovers Like You and Me","Reality Club",136,10B,75,2025-10-04,03:29,51,"indonesian indie","You'll Find Lovers Like You and Me",2025-06-26,51,5,52,45,0,10,-5,D Major,4,6BQiGGlPp294KMLYQMmS0C,ID2DY2500114
14,"Soren - Bedroom Session","beabadoobee",135,2B,32,2025-10-04,03:13,49,"bedroom pop","Loveworm (Bedroom Sessions)",2019-07-08,58,85,0,11,0,10,-9,F#/G♭ Major,3,69kRf3P6QDiK0ZAFw70KUR,GBK3W1901059
15,"Burn","Phillipa Soo",100,10B,43,2025-10-04,03:45,72,"musicals","Hamilton (Original Broadway Cast Recording)",2015-09-25,58,75,0,26,0,10,-9,D Major,3,4B3qvzOMzLQXLeYgPsG3KA,USAT21502633
16,"Cuma Sama Kamu","Juicy Luicy",96,12B,30,2025-10-04,04:04,47,"indonesian pop, indonesian indie","Nonfiksi",2024-06-28,32,74,0,26,0,0,-9,E Major,3,2NhEUsfmHaEmcSNnNStmAZ,IDA162400574
17,"Streetcar","Daniel Caesar",110,5B,30,2025-10-04,04:06,71,"","Pilgrim's Paradise",2015-11-12,41,72,0,14,0,10,-12,D#/E♭ Major,3,3m5rs2BeWjLUe0Ygc6aM7i,TCACJ1532157
18,"The Only Exception","Paramore",138,12B,56,2025-10-04,04:27,84,"pop punk, emo","Brand New Eyes",2009-09-25,45,14,0,21,0,10,-7,E Major,3,7JIuqL4ZqkpfGKQhYlrirs,USAT20902323
19,"Don’t Smile","Sabrina Carpenter",90,3B,45,2025-10-04,03:26,80,"pop","Short n' Sweet",2024-08-23,63,45,0,33,0,10,-10,C♯/D♭ Major,4,09LrGvT9KsACH66RHYMDyR,USUM72317637
20,"Location Unknown ◐ (feat. BEKA) - Brooklyn Session","HONNE,BEKA",92,7B,29,2025-10-04,05:28,71,"","Love Me / Love Me Not (Sessions)",2018-00-00,51,94,0,40,0,0,-7,F Major,4,43kiDtoYD0nDJYxzQwclpT,GBAHS1900132
21,"semua lagu cinta terdengar sama","Hindia",160,9B,71,2025-10-04,03:58,75,"indonesian indie, indonesian pop","Doves, '25 on Blank Canvas",2025-02-24,43,63,0,20,0,0,-6,G Major,4,63VnhcHMnTPCcd24oVajL6,FR10S2592472
22,"I'd like to watch you sleeping","Sal Priadi",178,8B,40,2025-10-04,05:09,74,"indonesian indie, indonesian pop","MARKERS AND SUCH PENS FLASHDISKS",2024-04-30,15,68,64,5,0,0,-10,C Major,4,0Y7dCFSIdB9vJ8nnVIAfuv,FRX202459036
23,"Godspeed","Frank Ocean",110,2B,10,2025-10-04,02:57,79,"","Blonde",2016-08-20,40,93,0,8,0,10,-13,F#/G♭ Major,4,34xTFwjPQ1dC6uJmleno7x,QZ5C81600016
24,"White Ferrari","Frank Ocean",109,8B,10,2025-10-04,04:08,86,"","Blonde",2016-08-20,50,77,0,20,0,30,-16,C Major,4,2LMkwUfqC6S6s6qDVlEuzV,QZ5C81600014
25,"Feels Like We're Still a Lover","Aldi Haqq",142,10B,42,2025-10-04,04:54,45,"","Feels Like We're Still a Lover",2024-08-16,49,3,0,12,0,10,-7,D Major,4,62YskeUHdVoZiLge8ORBrt,DGA082419076
26,"Multo","Cup of Joe",208,1B,56,2025-10-04,03:57,81,"opm, harana, p-pop, parang, pinoy indie, kundiman","Silakbo",2025-01-17,47,43,0,44,0,10,-8,B Major,4,5tlb0AxuzsMWL2GtEppXGX,PHV032412915
27,"hold me tight","Skyline",73,3B,45,2025-10-04,03:11,52,"","hold me tight",2024-03-19,41,73,0,30,0,10,-8,C♯/D♭ Major,4,5vMYg1wLg1ZK5vOweoRorf,FR59R2458204
28,"Pause","Eddie and the Bricks",82,9B,50,2025-10-04,02:49,51,"k-ballad","EXchange3, Pt. 3 (Original Soundtrack)",2024-01-14,48,0,12,26,0,30,-6,G Major,4,6mwnhpSXiGjlbkLAUX7TQU,KRA492400083
