#,Song,Artist,BPM,Camelot,Energy,Added at,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (db),Key,Time Signature,Spotify Track Id,ISRC
1,"To the Sea and Back","Tom Doolie",80,8B,42,2022-12-12,02:06,0,"lo-fi hip hop, lo-fi, lo-fi beats","Naoko",2020-06-21,59,75,84,47,0,0,-18,C Major,4,0nDLy97T1Wtx1fDTKog3KP,TCAEY2024966
2,"mountaintop in bieszczady and i am both sad and happy","Ptr.",82,3B,16,2023-09-04,03:13,10,"chillstep","june, july & august",2019-12-31,70,64,91,12,0,20,-15,C♯/D♭ Major,4,2dI0YPW7UL8KMrhvk58nVb,QZK6N1976143
3,"what could've been","sftspkn",75,12B,28,2021-03-16,02:22,32,"lo-fi, lo-fi beats","what could've been",2020-06-05,67,87,95,4,0,0,-12,E Major,4,2qq16fier5zcTf6v9LCgvY,TCAEW2045962
4,"Break","Sitza",75,7A,33,2021-05-11,01:55,24,"lo-fi","Break",2021-01-01,60,96,90,39,0,10,-14,D Minor,4,0r9lZcq4khAYHolIT4IAGr,SE5IB2002594
5,"april showers","aqualina",105,9B,22,2021-05-25,02:06,25,"","april showers",2018-04-27,59,93,96,4,0,10,-20,G Major,4,4PiDlT7pu0BXFkAWfFSoaa,QM42K1862458
6,"C U in Class!","Flovry,tender spring",63,9B,24,2021-05-25,02:50,0,"lo-fi hip hop, lo-fi, lo-fi beats","Ages Ago",2019-11-26,65,88,71,6,0,10,-17,G Major,4,2mT9D5x506IrxZUCMgZmz5,TCAEN1928297
7,"So it goes","M o j o",160,7A,48,2021-03-28,01:54,7,"lo-fi","So it goes",2020-05-30,61,0,96,7,0,10,-7,D Minor,4,3TwpvOZgb0HD4vfRK5XE8r,USANG2080465
8,"Mount and Blade","HM Surf",160,1A,2,2021-08-11,02:24,0,"lo-fi hip hop, lo-fi, lo-fi beats","Cocobolo",2020-08-20,49,88,58,14,0,0,-33,G#/A♭ Minor,4,1LdUP0KiRGCPitCnsP7Lsy,TCAFA2090568
9,"Thank you Lofi hip hop mix","Orihusay",95,9A,22,2021-04-12,04:08,14,"lo-fi","CHILLING MELLOW Lofi hip hop mix",2020-07-08,57,94,92,8,0,30,-20,E Minor,4,0xJOGuEPe9fuItWYcdCKm4,JPV752002631
10,"heelys","coldbrew",112,4A,14,2021-03-07,01:33,9,"lo-fi beats, jazz beats, lo-fi, lo-fi hip hop","childhood",2020-02-28,72,91,96,14,0,10,-20,F Minor,3,6l4p0eKkIFNiunb7XWKwJm,QZK6Q1904898
11,"moving out","coldbrew",160,4B,9,2021-03-07,01:24,8,"lo-fi beats, jazz beats, lo-fi, lo-fi hip hop","childhood",2020-02-28,71,73,90,36,10,10,-16,G#/A♭ Major,4,4qELCRwXdEBupxZzRrzU7x,QZK6N1995809
12,"thinking about u (jk)","In Love With a Ghost",167,10B,25,2021-04-13,02:17,32,"lo-fi","gay story",2018-04-15,61,99,92,34,0,10,-21,D Major,3,2hRcfMW3DoDxo8uNdWVcEv,QM24S1806546
13,"Smokey","Crate Diggers",128,12B,22,2021-05-05,01:30,22,"lo-fi beats, lo-fi","Smokey",2020-10-28,77,68,93,95,0,10,-11,E Major,4,4p14eOpDYsh7lxZCNDFeF6,SE6RB2023801
14,"overthinking","Linearwave,Pueblo Vista",160,3B,24,2021-08-04,03:25,0,"lo-fi, lo-fi beats, lo-fi hip hop, Christian lo-fi","Memoir",2020-07-24,37,97,95,4,0,10,-17,C♯/D♭ Major,4,0DBeC5PMpBchki9qCZ8Cov,USANG2023104
15,"you're not lost","eaup,Hz.",80,6B,25,2021-05-11,02:28,41,"lo-fi, lo-fi hip hop, lo-fi beats","you're not lost",2020-09-02,57,87,91,9,0,0,-13,A#/B♭ Major,4,0NIawAn7SZDA1CQ1G8GybR,NLX9G2000032
16,"The Martian Nextdoor","Keyser",110,9B,33,2021-05-13,01:47,16,"","Through The Lense",2021-04-07,71,63,92,19,0,10,-20,G Major,4,1t31EP9jDCaleagcRsq2Zn,SE4RG2196003
17,"takeoff","j'san,Epektase",108,9A,9,2021-05-25,01:51,0,"lo-fi, lo-fi beats, lo-fi hip hop","outer space",2021-01-14,40,92,96,9,0,10,-22,E Minor,4,6Y8MIADRvQmMNGPRXg15ao,GBKQU2101032
