#,Song,Artist,BPM,Camelot,Energy,Added at,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (db),Key,Time Signature,Spotify Track Id,ISRC
1,"Still Life","BIGBANG",118,4B,58,2022-06-10,03:08,61,"k-pop","Still Life",2022-04-05,68,44,0,24,0,0,-4,G#/A♭ Major,4,3TSLqZssCoCdDlMhCJ08XW,KRA402100165
2,"Love Me More - Acoustic","Sam Smith",72,6B,34,2022-06-10,03:22,37,"soft pop","Love Me More (Acoustic)",2022-05-20,37,92,0,49,0,10,-8,A#/B♭ Major,3,3l3edfGTK3Q0XMienGn4IT,GBUM72203046
3,"Off My Face","Justin Bieber",91,12B,23,2022-06-11,02:36,73,"","Justice",2021-03-19,51,92,0,59,0,10,-9,E Major,4,3T03rPwlL8NVk1yIaxeD8U,USUM72102631
4,"Intentions - Acoustic","Justin Bieber",74,11B,41,2022-06-11,02:40,57,"","Intentions (Acoustic)",2020-03-19,72,59,0,80,0,0,-7,A Major,4,6VkmdRz8YgHFQV3ZNTJAWU,USUM72005764
5,"This City - Acoustic","Sam Fischer",140,6B,22,2022-06-11,03:26,52,"","This City (Acoustic)",2020-03-27,63,67,0,70,0,0,-11,A#/B♭ Major,4,6ia9TgcqUz4IaGRoKXW0oF,GBARL2000290
6,"Holy - Acoustic","Justin Bieber,Chance the Rapper",80,2B,57,2022-06-11,03:25,51,"","Holy (Acoustic)",2020-11-05,53,71,0,58,0,10,-7,F#/G♭ Major,4,6gcQJ6W4H89xkQFm63gcsB,USUM72021022
7,"nobody else","LANY",152,8B,29,2022-06-11,03:17,61,"","mama's boy",2020-10-02,57,74,0,31,0,10,-15,C Major,4,7GLBqDKAJLCLIsj2GEDkSw,GBUM72003713
8,"anything 4 u","LANY",147,6B,56,2022-06-11,03:14,71,"","mama's boy",2020-10-02,57,14,0,47,0,10,-8,A#/B♭ Major,4,0Aii1ZdrQwkas2lrRFz6ZY,GBUM72003707
9,"you!","LANY",94,6B,64,2022-06-11,04:34,71,"","mama's boy",2020-10-02,50,1,1,28,0,10,-8,A#/B♭ Major,4,1vg0ZHaTvBwlNxLxyYrEvP,GBUM72003219
10,"Hold On","Justin Bieber",140,12A,63,2022-06-11,02:50,72,"","Justice",2021-03-19,66,1,0,30,0,10,-6,C♯/D♭ Minor,4,1nahzW3kfMuwReTka28tH5,USUM72102322
11,"WAYO","BANG YEDAM",100,4B,36,2022-06-11,03:25,50,"","WAYO",2020-06-05,68,43,0,72,0,10,-7,G#/A♭ Major,4,0BOVjtn27VIF8Ph0CSIKyG,KRA402000109
12,"That's okay","D.O.",130,9B,44,2022-06-11,03:41,61,"k-ballad, k-pop","That's okay",2019-07-01,68,72,0,63,0,20,-9,G Major,4,2Ghu1DdMwxS3VAyB7i38Wo,KRA301900289
13,"Lose","NIKI",133,8B,32,2022-06-11,04:16,0,"indonesian r&b","MOONCHILD",2020-09-10,41,85,0,22,0,10,-8,C Major,4,5vPO5ouEv8iedKWxzmSv7b,ZZOPM2002945
14,"Dad","D.O.",67,1B,46,2022-06-14,02:54,44,"k-ballad, k-pop","공감 (Empathy) - The 1st Mini Album",2021-07-26,46,72,0,17,0,10,-6,B Major,4,0p4AJ91CdS1k8ibpguPJg5,KRA302100241
15,"I'm Gonna Love You","D.O.,Wonstein",200,5A,45,2022-06-14,02:31,62,"k-ballad, k-pop, k-rap","공감 (Empathy) - The 1st Mini Album",2021-07-26,52,43,0,51,20,20,-5,C Minor,4,1jxGBe4s8FwL2ZeNWszVuu,KRA302100238
16,"One Day","Catie Turner",137,7B,34,2022-06-17,02:43,20,"","One Day",2020-11-19,81,46,0,31,0,10,-6,F Major,4,7qVRBPZI5b8G6xk9RsdZ9L,USAT22007095
17,"this is how you fall in love","Jeremy Zucker,Chelsea Cutler",80,9B,20,2022-06-18,02:54,0,"","this is how you fall in love",2021-01-15,52,73,0,27,0,10,-12,G Major,4,0742PcMPo2Akmo4vHC29VZ,USUM72024519
18,"Oceans & Engines","NIKI",142,3B,31,2022-07-23,05:36,0,"indonesian r&b","Oceans & Engines",2022-07-08,40,64,0,7,0,0,-9,C♯/D♭ Major,3,3vZk7OAUjMtVDNC852aNqi,ZZOPM2234425
19,"Heaven (feat. Lyodra)","Calum Scott,Lyodra",118,10B,35,2022-07-23,03:14,48,"soft pop, indonesian pop, batak, malay","Heaven (feat. Lyodra)",2022-05-30,47,62,0,39,0,10,-7,D Major,4,1jbLad4D0ES63R6dRhhXm9,USUM72210955
20,"GABRIEL","keshi",131,1B,7,2022-07-23,02:08,51,"","GABRIEL",2022-03-25,32,96,0,43,0,10,-11,B Major,3,4RfjLV2FwnrxCjhCA3ZHf0,USUM72123301
