#,Song,Artist,BPM,Camelot,Energy,Added at,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (db),Key,Time Signature,Spotify Track Id,ISRC
1,"I Love You So","The Walters",76,6B,65,2024-08-19,02:40,87,"","I Love You So",2014-11-28,57,58,0,47,0,10,-5,A#/B♭ Major,4,4SqWKzw0CbA05TGszDgMlc,TCACC1438995
2,"Why","Bazzi",113,4B,67,2024-08-19,02:28,68,"","COSMIC",2018-04-12,68,35,0,54,0,10,-7,G#/A♭ Major,4,7lozLnUfzcgEpMMVQI7yhA,USAT21800210
3,"A Different Way (with Lauv)","DJ Snake,Lauv",105,4B,76,2024-08-19,03:18,64,"","A Different Way (with Lauv)",2017-09-21,78,50,0,59,0,10,-4,G#/A♭ Major,4,1YMBg7rOjxzbya0fPOYfNX,USUG11701418
4,"This Side of Paradise","Coyote Theory",158,11B,66,2024-08-19,04:02,79,"","Color",2011-06-20,31,43,0,32,0,10,-6,A Major,4,79EkGysjP2dL5GdpeQjRxT,QMW9F1100003
5,"Mr. Loverman","Ricky Montgomery",130,8B,53,2024-08-19,03:36,81,"","Montgomery Ricky",2016-04-01,64,25,0,49,0,20,-7,C Major,3,2IVsRhKrx8hlQBOWy4qebo,USA2P1624702
6,"we can't be friends (wait for your love) – string version","Ariana Grande",116,7B,28,2024-08-19,03:42,68,"pop","we can't be friends (wait for your love)",2024-03-08,58,86,0,36,0,0,-9,F Major,4,2TJYfqZ24XmBt3lKsfQj4N,USUM72402978
7,"Happiness","Rex Orange County",105,7B,24,2024-08-19,04:39,76,"bedroom pop","Apricot Princess",2017-04-26,40,73,0,20,0,10,-10,F Major,3,7aSyG7cskkG3zhfO2JLxq3,US23A1500504
8,"Janji","Aziz Harun",138,4B,40,2024-08-19,03:21,50,"malay, malay pop, malaysian pop","Janji",2024-06-07,41,66,0,37,0,10,-6,G#/A♭ Major,3,3hOpwGiUyGB4sWvXLX5yGU,MYFH32410041
9,"jatuh cinta lagi","Nadhif Basalamah",77,11B,28,2024-08-19,04:08,71,"malay, indonesian pop, indonesian r&b","Nadhif",2024-06-21,31,89,0,23,0,0,-10,A Major,4,6ACqXjnh3C5pXTEFN5vPBE,FRX872471605
10,"Nothing's Gonna Hurt You Baby","Cigarettes After Sex",97,12B,33,2024-08-19,04:46,4,"dream pop","I.",2012-07-21,50,26,15,9,0,10,-14,E Major,4,7cs7MLtAWvsdf3w5kBvfK2,TCACJ1593857
11,"Touch","Cigarettes After Sex",96,2B,50,2024-08-19,04:52,54,"dream pop","Cry",2019-10-25,48,37,92,37,0,10,-9,F#/G♭ Major,4,1l4pW7Tklvcc3k38rDFMkk,USBQU1900116
12,"Sesame Syrup","Cigarettes After Sex",94,12B,41,2024-08-19,05:03,1,"dream pop","Crush",2018-07-09,42,4,38,35,0,10,-11,E Major,4,53k1gKFpKrDbktUzrB80f0,USBQU1800094
13,"Kiss It Off Me","Cigarettes After Sex",80,12B,30,2024-08-19,04:29,44,"dream pop","Cry",2019-10-25,52,76,47,22,0,10,-12,E Major,4,2UKvxuMTM7JwprZrnpxgY1,USBQU1900115
14,"Starry Eyes","Cigarettes After Sex",100,10B,36,2024-08-19,03:26,1,"dream pop","I.",2012-07-21,42,45,32,12,0,0,-15,D Major,4,3YL4zMqcyFu0OfLI1sZ66Z,TCACJ1593861
15,"Don't Let Me Go","Cigarettes After Sex",97,2B,37,2024-08-19,04:22,45,"dream pop","Cry",2019-10-25,41,45,53,16,0,10,-10,F#/G♭ Major,3,4b3khTm3ufGRTyZwuYdasn,USBQU1900114
16,"Pistol","Cigarettes After Sex",110,9B,44,2024-08-19,03:54,1,"dream pop","Pistol",2022-11-15,65,52,71,37,0,10,-12,G Major,4,2nD9CUfMMUVxL0UyFs8fGG,USBQU2200331
17,"Cry","Cigarettes After Sex",143,9B,40,2024-08-19,04:16,61,"dream pop","Cry",2019-10-25,41,76,65,17,0,10,-10,G Major,4,3p4hRhMcb6ch8OLtATMaLw,USBQU1900121
18,"Stop Waiting","Cigarettes After Sex",87,10B,34,2024-08-19,06:02,2,"dream pop","Bubblegum",2023-07-18,46,33,80,8,0,0,-15,D Major,4,1xbOdb9kv5YKBIzJSrKNEy,USBQU1900064
19,"Sparks","Coldplay",103,3B,27,2024-08-19,03:47,91,"","Parachutes",2000-07-10,37,75,5,17,0,10,-11,C♯/D♭ Major,3,7D0RhFcb3CrfPuTJ0obrod,GBAYE0000569
20,"Fine Line","Harry Styles",121,10B,35,2024-08-19,06:17,81,"","Fine Line",2019-12-13,31,17,0,5,0,0,-9,D Major,4,6VzcQuzTNTMFnJ6rBSaLH9,USSM11912596
21,"No Surprises","Radiohead",76,7B,39,2024-08-19,03:49,87,"art rock, alternative rock","OK Computer",1997-05-28,26,6,0,12,0,10,-11,F Major,4,10nyNJ6zNy2YVYLrcwLccB,GBAYE9700386
22,"You're the Only Good Thing In My Life","Cigarettes After Sex",131,7B,29,2024-08-19,04:35,41,"dream pop","Cry",2019-10-25,47,78,74,6,0,10,-11,F Major,4,37xXDxPzfk5lnU8aNSRXfw,USBQU1900117
23,"Opera House","Cigarettes After Sex",115,7B,29,2024-08-19,06:05,1,"dream pop","Cigarettes After Sex",2017-06-09,37,73,83,7,0,10,-14,F Major,4,6XdoudbyF67XLcwarEPy0L,USBQU1700037
24,"i love you","Billie Eilish",137,8B,13,2024-08-19,04:51,83,"","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29,42,95,0,12,0,10,-18,C Major,4,6CcJMwBtXByIz4zQLzFkKc,USUM71900773
