#,Song,Artist,BPM,Camelot,Energy,Added at,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (db),Key,Time Signature,Spotify Track Id,ISRC
1,"savior","sombr",103,1A,54,2024-05-04,03:00,68,"","savior",2024-04-19,42,19,0,22,0,10,-6,G#/A♭ Minor,4,2cPgl2d9IPeNB8794NftZT,USWB12401529
2,"Mr. Forgettable","David Kushner",145,1A,41,2024-01-01,03:07,3,"","Footprints I Found",2022-09-16,56,55,0,29,0,10,-9,G#/A♭ Minor,4,0c8K5IUrmVlieC0Fc0d8tV,QZD5H2000390
3,"Something in the Orange","Zach Bryan",175,9A,19,2024-01-18,03:48,87,"country, red dirt","Something in the Orange",2022-04-22,37,56,0,15,0,10,-12,E Minor,3,3WMj8moIAXJhHsyLaqIIHI,USWB12201213
4,"Memories (I Don't Have)","Myles Smith",82,6A,36,2024-04-29,02:45,50,"","Memories (I Don't Have)",2023-04-14,56,83,0,9,0,10,-10,G Minor,3,0Ln7BDbjRHgBeFfTUXkAEg,GX3Q92377829
5,"Dancing in the Sky","Sam Barber",80,1B,37,2024-01-01,03:06,72,"country","Million Eyes",2023-09-21,38,33,0,27,0,10,-6,B Major,3,7siXHCf5qUbyJrhNYQXKFr,USAT22305274
6,"This Town","Niall Horan",112,11B,40,2024-01-01,03:52,78,"","Flicker (Deluxe)",2017-10-20,68,71,0,20,0,10,-8,A Major,4,0qvzXomUDJVaUboy2wMfiS,USUG11601029
7,"Work Song","Hozier",121,6B,36,2024-01-01,03:49,79,"","Hozier (Expanded Edition)",2014-09-19,53,75,0,26,0,10,-8,A#/B♭ Major,4,5TgEJ62DOzBpGxZ7WRsrqb,USSM11401475
8,"Daylight","David Kushner",130,7A,43,2024-01-01,03:32,13,"","Daylight",2023-04-14,51,83,0,32,0,0,-9,D Minor,4,1odExI7RdWc4BT515LTAwj,QZXDB2300005
9,"Northern Attitude (with Hozier)","Noah Kahan,Hozier",122,5B,64,2024-01-01,04:27,70,"","Northern Attitude (with Hozier)",2023-11-10,49,13,0,33,0,10,-8,D#/E♭ Major,4,4oEf84vBYVftf6KmZexhVo,USUM72315552
10,"You’re Gonna Go Far","Noah Kahan",170,9B,36,2024-01-01,04:46,82,"","Stick Season (We'll All Be Here Forever)",2023-06-09,59,56,0,37,0,10,-10,G Major,4,4nHJcUtNSUVjXRnjdP29Bk,USUM72307687
11,"Brother","Kodaline",120,6B,63,2024-01-01,03:23,73,"","Politics of Living",2018-09-28,52,35,0,21,0,10,-6,A#/B♭ Major,4,65gLJGey4u4KFFqoC5fzFJ,GBARL1700881
12,"Miserable Man","David Kushner",110,6B,35,2024-01-10,03:52,1,"","Footprints I Found",2022-09-16,63,93,0,32,0,30,-10,A#/B♭ Major,4,5iu3rl4feYeRgR1DW0ydNU,QZD5H2000385
13,"Burn","David Kushner",126,8B,41,2024-01-15,02:59,3,"","Footprints I Found",2022-09-16,57,80,0,13,0,10,-10,C Major,4,40dfo65kBJa1UgzkD652Gl,QZD5H2000398
14,"Dial Drunk (with Post Malone)","Noah Kahan,Post Malone",112,4B,61,2024-01-18,03:33,79,"","Dial Drunk (with Post Malone)",2023-07-18,67,12,0,69,0,10,-7,G#/A♭ Major,4,22VHOlVYBqytsrAqV8yXBK,USUM72308676
15,"Stick Season","Noah Kahan",118,11B,50,2024-01-18,03:02,87,"","Stick Season",2022-10-14,66,80,0,80,0,10,-7,A Major,4,0mflMxspEfB0VbI1kyLiAv,USUM72212470
16,"Half of forever","Henrik",77,11B,31,2024-01-18,02:33,65,"christian folk, folk pop","Half of forever",2024-01-05,75,73,0,48,0,20,-7,A Major,4,5v3MSh7CD3VNyCwAoSha5p,QZWFS2300538
17,"Dial Drunk","Noah Kahan",112,4B,59,2024-01-19,03:33,71,"","Stick Season (We'll All Be Here Forever)",2023-06-09,70,9,0,63,0,10,-8,G#/A♭ Major,4,0caJ2wkqp4UmXBwdR2JvB5,USUM72307683
18,"Power Over Me","Dermot Kennedy",174,8A,84,2024-01-19,03:26,66,"","Without Fear",2019-10-04,32,5,0,48,10,10,-4,A Minor,3,4tViDtaHuSLnh7HVJTrKhs,USUG11802208
