#,Song,Artist,BPM,Camelot,Energy,Added at,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (db),Key,Time Signature,Spotify Track Id,ISRC
1,"Bubblegum Bitch","MARINA",158,5A,86,2024-08-06,02:34,81,"","Electra Heart (Deluxe)",2012-04-27,50,0,0,61,0,10,-5,C Minor,4,6IbnUaczZBT34DhaD6S18F,GBFFS1200008
2,"Washing Machine Heart","Mitski",106,11B,82,2024-08-06,02:08,84,"","Be the Cowboy",2018-08-17,61,1,51,57,0,40,-4,A Major,4,3jjsRKEsF42ccXf8kWR3nu,USJ5G1815012
3,"Are You Satisfied?","MARINA",124,8B,71,2024-08-06,03:18,71,"","The Family Jewels",2009-07-15,67,30,0,84,0,0,-5,C Major,4,6lKRMylSZMtA7EqPl0pcdI,GBFFS0900114
4,"I Love You So","The Walters",76,6B,65,2024-08-06,02:40,87,"","I Love You So",2014-11-28,57,58,0,47,0,10,-5,A#/B♭ Major,4,4SqWKzw0CbA05TGszDgMlc,TCACC1438995
5,"Prom Queen","Beach Bunny",144,12B,80,2024-08-06,02:16,3,"","Prom Queen",2018-08-10,53,0,1,75,0,10,-7,E Major,4,6MpCaSIOfqBqbMED4kXgNY,QZDA71885746
6,"Primadonna","MARINA",128,9A,69,2024-08-06,03:41,82,"","Electra Heart (Deluxe)",2012-04-27,66,9,0,43,0,0,-3,E Minor,4,4sOX1nhpKwFWPvoMMExi3q,GBFFS1200009
7,"Mr. Loverman","Ricky Montgomery",130,8B,53,2024-08-06,03:36,81,"","Montgomery Ricky",2016-04-01,64,25,0,49,0,20,-7,C Major,3,2IVsRhKrx8hlQBOWy4qebo,USA2P1624702
8,"Seventeen","MARINA",130,8A,82,2024-08-06,03:02,64,"","The Family Jewels",2009-07-15,77,33,0,80,0,10,-6,A Minor,4,5UmLoBLWWRnqGhPfVWRgGd,GBFFS0900016
9,"Bad Habit","Steve Lacy",169,3B,51,2024-08-06,03:52,73,"","Bad Habit",2022-06-29,69,63,0,69,0,30,-7,C♯/D♭ Major,4,5CM4UuQ9Gnd6K2YyKGPMoK,USRC12201440
10,"Hermit the Frog","MARINA",122,8B,65,2024-08-06,03:33,59,"","The Family Jewels",2009-07-15,62,27,0,54,0,10,-4,C Major,4,41P2Wi4vVI8hXxz5St5a4J,GBFFS0900117
11,"Alien Blues","Vundabar",82,5B,76,2024-08-06,02:35,78,"","Gawk",2015-07-24,47,8,91,43,0,0,-5,D#/E♭ Major,4,11iIikXxC6NP0Ma8vMD27x,USDY41567486
12,"prom dress","mxmtoon",120,6B,67,2024-08-06,03:17,68,"bedroom pop, indie pop","the masquerade",2019-09-17,56,70,0,42,0,10,-6,A#/B♭ Major,4,2u4XZR5A8cRPTPxBLJbAFC,QM6MZ1961770
13,"Complicated","Avril Lavigne",78,7B,78,2024-08-23,04:04,85,"","Let Go",2002-06-04,59,6,0,43,0,30,-6,F Major,4,5xEM5hIgJ1jjgcEBfpkt2F,USAR10200223
14,"Dandelions","Ruth B.",117,3B,69,2024-08-25,03:53,86,"","Safe Haven",2017-05-05,61,2,0,45,0,0,-3,C♯/D♭ Major,3,2eAvDnpXP5W0cVtiI0PUxV,USSM11703468
15,"Mama's Boy","Dominic Fike",79,11B,35,2024-08-28,02:35,75,"","Sunburn",2023-07-07,81,15,71,60,0,10,-8,A Major,4,0b6xZk9f96N77BfmYWnQNC,USQX92301820
16,"Somewhere Only We Know","Keane",172,11B,67,2024-09-03,03:57,87,"","Hopes And Fears",2004-05-10,45,6,0,30,0,0,-4,A Major,4,1SKPmfSYaPsETbRHaiA18G,GBAAN0300664
17,"Don't Start Now","Dua Lipa",124,10A,79,2024-09-04,03:03,83,"pop","Future Nostalgia",2020-03-27,79,1,0,68,0,10,-5,B Minor,4,3PfIrDoz19wz7qK7tYeu62,GBAHT1901121
18,"Shampain","MARINA",116,7B,88,2024-09-05,03:09,41,"","The Family Jewels",2009-07-15,63,1,0,76,0,10,-5,F Major,4,6tJ4sShqZ9ywdalsJs0i6B,GBFFS0900119
19,"brutal","Olivia Rodrigo",124,12B,53,2024-09-07,02:23,78,"","SOUR",2021-05-21,67,3,0,28,0,20,-6,E Major,4,6SRsiMl7w1USE4mFqrOhHC,USUG12101242
20,"What the Hell","Avril Lavigne",150,11A,93,2024-09-12,03:40,77,"","Goodbye Lullaby (Expanded Edition)",2011-03-08,58,0,1,88,0,10,-4,F#/G♭ Minor,4,2z4U9d5OAA4YLNXoCgioxo,USRC11000915
21,"Sk8er Boi","Avril Lavigne",150,8B,90,2024-09-12,03:24,82,"","Let Go",2002-06-04,49,0,0,48,0,30,-4,C Major,4,00Mb3DuaIH1kjrwOku9CGU,USAR10200229
22,"Grip","Gabriela Vega",121,8B,86,2024-09-13,04:44,37,"anime","Inuyasha",2016-05-23,66,3,0,56,0,40,-2,C Major,4,5w6CKS94nio4kurydOnkBB,MXF171611146
23,"deja vu","Olivia Rodrigo",181,10B,61,2024-09-15,03:35,87,"","SOUR",2021-05-21,44,58,0,18,10,30,-7,D Major,4,6HU7h9RYOaPRFeh0R3UeAr,USUG12101240
24,"Again & Again","the bird and the bee",73,3B,77,2024-09-18,02:45,70,"","the bird and the bee",2007-00-00,57,36,0,41,0,10,-8,C♯/D♭ Major,4,3Kh7jZ6QdVJJq63A3xRneN,USBN20600373
