#,Song,Artist,BPM,Camelot,Energy,Added at,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (db),Key,Time Signature,Spotify Track Id,ISRC
1,"Touch","Sleeping At Last",82,8B,10,2020-07-10,04:16,67,"","Atlas: II",2019-11-01,42,96,0,18,0,10,-12,C Major,3,4g2WiijzSKzH8PApKDbadN,USGES1908005
2,"The Wisp Sings","Winter Aid",115,12B,9,2020-07-10,05:13,0,"","The Wisp Sings",2013-11-11,52,99,18,5,0,10,-19,E Major,4,68RI4I6SKm57SxjG06OYvN,IEJIQ1300001
3,"Saturn","Sleeping At Last",145,5B,24,2020-07-10,04:49,72,"","Atlas: I",2014-07-08,17,64,31,4,0,10,-14,D#/E♭ Major,4,3tJjZMHLqhD8DaGgdBICnc,USGES1480018
4,"Alps","Novo Amor,Lowswimmer",147,5B,31,2020-07-10,03:14,63,"ambient folk, ","Alps",2016-04-15,35,97,3,14,0,20,-10,D#/E♭ Major,3,5eG8QuQKOBvDeCyoOeMkhT,TCACN1629597
5,"Forest Fires","Axel Flóvent",118,6A,29,2020-07-10,03:30,0,"indie folk","Forest Fires",2016-01-08,62,70,0,16,0,10,-12,G Minor,4,6AQ3guMjWgetjRpQASwrE5,ISV441503803
6,"Sense of Home","Harrison Storm",140,5B,21,2020-07-10,04:25,0,"indie folk","Sense of Home",2015-03-31,56,89,0,9,0,10,-11,D#/E♭ Major,4,68wibJU4yMiqNX79IaLAsN,USCGH1592781
7,"You There","Aquilo",77,8B,21,2020-07-10,04:13,53,"","Aquilo",2014-04-07,31,97,0,5,0,0,-15,C Major,3,3oCd8HkxnzvAWHxaZi3jIB,GB45A1300050
8,"All the Pretty Girls","KALEO",75,3B,50,2020-07-10,04:29,68,"","A/B",2016-06-10,47,63,0,35,0,10,-7,C♯/D♭ Major,4,0QQIhT6PtJ5glyn4HKNKQ6,ISV441421101
9,"Cinnamon","Jome",140,1A,47,2020-07-10,03:24,5,"","Tunnels",2017-11-03,46,59,0,24,0,10,-11,G#/A♭ Minor,4,7pJ8EpupQvfomVNPtfneql,TCACO1670076
10,"Youth","Daughter",147,8B,53,2020-07-10,04:13,0,"","If You Leave",2013-01-01,40,89,1,41,0,10,-11,C Major,4,4AmcmraFjVzFb9SQDNTRyl,USYAH1300029
11,"Hearing","Sleeping At Last",142,9B,29,2020-07-10,04:08,65,"","Atlas: II",2019-11-01,21,82,94,11,0,0,-12,G Major,4,13Z3uZXTFpbLBZ8R1rTUKO,USGES1908008
