#,Song,Artist,BPM,Camelot,Energy,Added at,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (db),Key,Time Signature,Spotify Track Id,ISRC
1,"Little Bit Of Rain","Karen Dalton",174,10B,6,2022-03-29,02:36,49,"folk, ambient folk","It's So Hard To Tell Who's Going To Love You The Best",1969-01-01,43,93,7,36,0,10,-22,D Major,3,09g4TuWLxMmrOTt1kzS47Z,USCA26900221
2,"Cry Me A River","Julie London",120,9A,7,2022-03-29,02:58,62,"vocal jazz, jazz, adult standards","Julie Is Her Name",1955-12-01,50,96,0,16,0,10,-15,E Minor,4,7f6AAixCrVar1ZY7RPHDfM,USEM39200253
3,"I'm In The Mood For Love","Julie London",123,8A,5,2022-03-29,02:29,63,"vocal jazz, jazz, adult standards","Julie Is Her Name",1955-12-01,58,96,0,18,0,10,-15,A Minor,4,6crfO56bDm0RjpctUuGs5X,USEM38900296
4,"Solitude","Billie Holiday",98,4B,15,2022-03-29,03:27,67,"jazz, vocal jazz, big band, swing music","Solitude",1956-01-01,46,98,0,19,0,10,-14,G#/A♭ Major,3,30QD4VRP9yEneOh0eGTrtJ,USPR35200072
5,"Everything Happens To Me","Chet Baker",58,9A,17,2022-03-29,05:04,43,"jazz, cool jazz, vocal jazz, jazz ballads","Essential Standards (eBooklet)",2009-01-01,43,92,0,18,0,20,-14,E Minor,4,00jqmEUSISjkugkuFxGiTo,USFI85800035
6,"Si tu vois ma mère - Slow","Sidney Bechet,Claude Luter et son orchestre",80,5B,38,2022-03-29,03:13,55,"jazz, swing music, ragtime, french jazz","Les Années Bechet",1997-05-06,46,81,87,61,0,50,-13,D#/E♭ Major,4,5FWn20xrAQ1IdbA8Dml6pj,FRZ198900010
7,"All of Me","Billie Holiday",107,7A,6,2022-03-29,03:01,60,"jazz, vocal jazz, big band, swing music","Lady Day: The Complete Billie Holiday On Columbia (1933-1944)",2001-10-01,50,97,0,40,0,10,-15,D Minor,5,1LGqJ3nvxpVXDWpEzq4DJD,USSM10104292
8,"Dream A Little Dream Of Me","Ella Fitzgerald,Louis Armstrong",95,8B,15,2022-03-29,03:07,54,"jazz, vocal jazz, swing music, big band, christmas","Ella: The Legendary Decca Recordings",1995-08-29,49,92,0,36,0,10,-14,C Major,3,0KBvapFwuz8gPKu6Gw23WN,USMC15076750
9,"I'll Be Seeing You","Billie Holiday",90,3B,3,2022-03-29,03:31,69,"jazz, vocal jazz, big band, swing music","Billie Holiday",1957-01-01,36,99,6,19,0,10,-20,C♯/D♭ Major,3,4smkJW6uzoHxGReZqqwHS5,USMC14448351
10,"So Tender","Keith Jarrett,Gary Peacock,Jack DeJohnette",87,12A,30,2022-03-29,07:15,47,"jazz, jazz ballads, free jazz, jazz fusion","Standards, Vol. 2",1983-00-00,37,82,84,35,0,10,-20,C♯/D♭ Minor,4,0Dt1B5dNfajRczQKZA87aL,DEB338328901
11,"Summertime","Sidney Bechet",83,5B,14,2022-03-29,04:11,44,"jazz, swing music, ragtime","Jazz Classics",1993-01-01,61,98,91,32,0,0,-17,D#/E♭ Major,4,3RlJx8xwZEyToSuGrygilr,USBN28900036
