#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Healing Night Rain","Sprightly Showers",83,8A,49,2025-12-19,02:33,77,"","Healing Night Rain",2023-06-09,22,13,93,0,0,90,-20,A Minor,4,3Wn4UZiOkXbzpec53UT1MP,SE6RU2334701
2,"Rainy Mood","Moonlit Mist",87,3A,99,2025-12-19,02:26,80,"","Universe",2021-09-17,13,68,98,1,0,10,-21,A#/B♭ Minor,3,5jyrtNJBcaFkNyS4yPixkI,US66W2101172
5,"Yoga Rain","Dream Wonderland",83,9B,33,2025-12-19,02:13,75,"","Relax Rain",2021-05-17,18,17,85,2,0,10,-27,G Major,3,4sieuDUZuvGySckrUxCgN2,SE5IB2113978
6,"Downpours","Oroshi",123,6A,88,2025-12-19,02:28,73,"","Downpours",2023-02-17,17,16,96,0,10,30,-12,G Minor,4,3o58QNxRLJpIPB1plXLqbS,SEXGF2399140
7,"In The Clouds","Samsura",107,3B,52,2025-12-19,02:42,75,"","Weather Front",2021-06-21,18,13,99,1,10,50,-23,C♯/D♭ Major,4,3cH75G5f24Bc7koyOlBtDg,SE5IB2119576
9,"Rain On The Cobblestone","Royal Rain",96,3A,95,2025-12-19,03:41,73,"","Rain On The Cobblestone",2021-03-29,11,44,92,0,0,70,-20,A#/B♭ Minor,4,5jCwTeQv8DXJzsMmzv0qYi,SE4RG2183102
10,"Under the Rain Clouds","Mussina",85,6A,100,2025-12-19,02:38,73,"","Endless Rain",2021-10-26,19,97,47,0,0,90,-23,G Minor,3,1MyeT7GjwylrPvcLsBSjds,QZAKB2136005
11,"Quality Rain","Rain Recordings",162,12B,100,2025-12-19,02:16,73,"","Rain Storms",2021-10-25,11,37,55,0,0,90,-22,E Major,4,6wylgOavjiq5DxfwrBWDJp,QZJDZ2100927
12,"Drops Of Skies","Bewegtes",123,6B,22,2025-12-19,02:53,72,"","Drops Of Skies",2022-03-20,17,20,98,3,0,0,-29,A#/B♭ Major,4,7b2LGKVoG029pfEgI0Jnmk,SE5IB2225393
13,"Βροχερές μέρες","Cove De Tranquilo",94,8A,95,2025-12-19,02:23,70,"","Ήρεμη ελληνική καλοκαιρινή βροχή",2022-03-06,24,14,99,1,0,50,-28,A Minor,3,6l9VlJgElboeOE5A9P2rBc,SE5IB2208881
14,"Roaring Thunder Rest: Deep Sleep Drift","Lycro Sale",78,3B,41,2025-12-19,02:28,68,"","Roaring Thunder Rest: Deep Sleep Drift",2024-10-04,15,9,99,3,0,10,-28,C♯/D♭ Major,4,5pglLyXfo7h9SUvqKxuXjg,SE69Z2413961
15,"Rustling Rain","R 4 Rain",132,7B,100,2025-12-19,02:32,66,"","Rainy Day Melodies",2023-07-07,16,15,65,1,0,30,-19,F Major,4,2Z0HeCU5MfKFgxqXmC4RkR,SE5IB2323751
16,"Rainfall Oasis: Journey to Serenity","Sky Fall SF",104,3B,95,2025-12-19,02:40,68,"","Rainy Day Zen: Relaxing Rain Soundscape",2023-06-02,16,9,99,2,0,60,-18,C♯/D♭ Major,3,3yA4BEbG49OFuPHjrR4tbA,SE5IB2323571
18,"Rain Puddles","Noise and Nature",114,3A,99,2025-12-19,02:50,73,"","Rain Retreat",2021-09-23,16,13,76,0,0,90,-16,A#/B♭ Minor,4,44h5mvTeasof8sPZdCNQVS,QZJDZ2100839
19,"Dozy Rain - Rain","Dozy Sounds",83,5B,100,2025-12-19,03:04,72,"","Nature's Rain, Oceans, Rivers",2021-10-28,8,70,60,0,0,90,-26,D#/E♭ Major,4,5BMiNda6qOfuMa8KO4V7l3,QZJDZ2101120
20,"Raindrop Therapy: Calming Nature Sounds","Rainfall Place",166,7B,98,2025-12-19,02:26,66,"","Raindrop Therapy: Calming Nature Sounds",2023-06-09,8,17,93,0,0,70,-16,F Major,5,6D9jolrYI4EHvePVa9FNdq,SE5IB2323611
21,"Dock Rain 독 비","sumyeon uisa 수면 의사",76,7B,100,2025-12-19,02:07,72,"","Dock Rain",2021-02-28,20,24,99,0,0,70,-19,F Major,3,5Xn5HO5wAQS1ya8fmJMkAQ,SE5IB2100898
22,"Cool Air & Rain","Bien Dorm",94,6B,89,2025-12-19,02:11,72,"","Drizzle Down",2021-09-27,11,12,99,0,0,90,-23,A#/B♭ Major,5,5mhS5BXqC8InFDFvmvH8WH,SE5IB2123302
23,"Cozier Rain","Aqualogic",86,4A,100,2025-12-19,02:14,72,"","Late Night Drizzle",2021-02-28,13,15,99,0,0,90,-21,F Minor,4,0RQktlGrRK4m19H85ILLTO,SE6RU2020101
24,"Eye Of The Storm","Thunder In Paradise",127,11B,100,2025-12-19,03:46,72,"","Episode One",2021-09-15,16,21,49,0,0,90,-14,A Major,4,6pxSZmtSm4GygcOKcxkV5D,SE6X32158805
