#,Song,Artist,BPM,Camelot,Energy,Added at,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (db),Key,Time Signature,Spotify Track Id,ISRC
1,"lovely (with Khalid)","Billie Eilish,Khalid",115,,30,2026-03-04,03:20,88,"undefined","lovely (with Khalid)",2018-04-19,35,93,0,12,0,10,-10,,4,0u2P5u6lvoDfwTYjAADbn4,USUM71804190
2,"Shallow","Lady Gaga,Bradley Cooper",96,,39,2026-03-04,03:35,85,"undefined","A Star Is Born Soundtrack",2018-10-05,58,37,0,33,0,20,-6,,4,2VxeLyX666F8uXCJ0dZF8B,USUM71813192
3,"Let Her Go","Passenger",75,,55,2026-03-04,04:12,1,"undefined","All the Little Lights (Deluxe Version)",2013-02-17,48,37,0,24,0,10,-7,,4,0JmiBCpWc1IAc0et7Xm7FL,GBMQN1200012
4,"The Night We Met","Lord Huron",87,,37,2026-03-04,03:28,6,"undefined","Strange Trails",2015-04-07,55,97,27,10,0,60,-10,,3,0QZ5yyl6B6utIWkxeBDxQN,US53Q1200103
5,"Bloom - Bonus Track","The Paper Kites",96,,42,2026-03-04,03:30,1,"undefined","Woodland - EP",2013-03-05,59,88,0,42,0,10,-10,,4,41yIvlFgvGwxq8qTqAR7eG,TCAAZ1171906
6,"Someone You Loved","Lewis Capaldi",110,,41,2026-03-04,03:02,69,"undefined","Breach",2018-11-08,50,75,0,45,0,10,-6,,4,2TIlqbIneP0ZY1O0EzYLlc,DEUM71807062
7,"Photograph","Ed Sheeran",108,,38,2026-03-04,04:18,88,"undefined","x (Deluxe Edition)",2014-06-21,61,61,0,20,0,10,-10,,4,1HNkqx9Ahdgi1Ixy2xkKkL,GBAHS1400094
8,"Rosyln","Bon Iver,St. Vincent",160,,28,2026-03-04,04:49,76,"undefined","The Twilight Saga: New Moon (Original Motion Picture Soundtrack)",2009-10-16,33,97,2,12,0,10,-13,,3,4k7x3QKrc3h3U0Viqk0uop,USAT20903243
9,"I'm Not The Only One","Sam Smith",82,,48,2026-03-04,03:59,86,"undefined","In The Lonely Hour",2014-05-26,68,53,0,49,0,0,-6,,4,7795WJLVKJoAyVoOtCWqXN,GBUM71308836
10,"Ylang Ylang","FKJ,((( O )))",70,,24,2026-03-04,03:33,0,"undefined","Ylang Ylang EP",2019-11-12,56,93,94,16,0,10,-12,,4,6lAMnXLVCBPMXXWAK4lGSL,GBKPL1970166
11,"BIRDS OF A FEATHER","Billie Eilish",105,,51,2026-03-04,03:30,94,"undefined","HIT ME HARD AND SOFT",2024-05-17,75,20,6,44,0,10,-10,,4,6dOtVTDdiauQNBQEDOtlAB,USUM72401994
12,"i hate u, i love u (feat. olivia o'brien)","gnash,Olivia O'Brien",93,,28,2026-03-04,04:11,76,"undefined","us",2016-03-25,49,69,0,18,30,10,-13,,4,7vRriwrloYVaoAe3a9wJHe,USAT21601051
13,"The Scientist","Coldplay",146,,44,2026-03-04,05:09,89,"undefined","A Rush of Blood to the Head",2002-08-27,56,73,0,21,0,10,-7,,4,75JFxkI2RXiU7L9VXzMkle,GBAYE0200772
14,"Falling","Harry Styles",110,,27,2026-03-04,04:00,83,"undefined","Fine Line",2019-12-13,57,84,0,6,0,0,-7,,4,1ZMiCix7XSAbfAJlEZWMCp,USSM11912590
15,"Simple Days","Nora Whitfield",184,,59,2026-03-04,02:30,34,"undefined","Simple Days",2026-02-27,56,47,0,27,0,20,-10,,4,4W0Hh4grBScD0HDDSCqOQ2,QZNWQ2697128
16,"I Fall Apart","Post Malone",144,,54,2026-03-04,03:43,76,"undefined","Stoney (Deluxe)",2016-12-09,56,7,0,29,0,20,-5,,4,75ZvA4QfFiZvzhj2xkaWAh,USUM71614475
17,"drivers license","Olivia Rodrigo",144,,44,2026-03-04,04:02,72,"undefined","drivers license",2021-01-08,59,72,0,13,0,10,-9,,4,7lPN2DXiMsVn7XUKtOW1CS,USUG12004749
18,"Lonely (with benny blanco)","Justin Bieber,benny blanco",79,,24,2026-03-04,02:29,71,"undefined","Justice",2021-03-19,62,90,0,7,0,10,-7,,4,3S8jK1mGzQi24ilFb45DAZ,USUM72019170
19,"Be Alright","Dean Lewis",127,,59,2026-03-04,03:16,75,"undefined","Be Alright",2018-06-29,55,70,0,44,0,0,-6,,4,3EPXxR3ImUwfayaurPi3cm,AUUM71800255
20,"Let It Go","James Bay",147,,31,2026-03-04,04:20,63,"undefined","Chaos And The Calm",2015-03-23,54,82,0,25,0,10,-10,,4,13HVjjWUZFaWilh2QUJKsP,USUM71405265
21,"Echoes","Sons of the Forest",90,,73,2026-03-04,02:36,37,"undefined","Hollow Pines",2026-02-27,67,36,0,35,0,10,-10,,4,2XML2mwA3fmCOdl4Xp7V6B,QZNWQ2697097
22,"Perfect","Ed Sheeran",95,,45,2026-03-04,04:23,89,"undefined","÷ (Deluxe)",2017-03-03,60,16,0,17,0,10,-6,,3,0tgVpDi06FyKpA1z0VMD4v,GBAHS1700024
23,"Bruises","Lewis Capaldi",111,,31,2026-03-04,03:40,78,"undefined","Divinely Uninspired To A Hellish Extent",2019-05-17,74,95,0,36,0,10,-8,,4,4Of7rzpRpV1mWRbhp5rAqG,GBKPL1778698
24,"everything i wanted","Billie Eilish",120,,23,2026-03-04,04:05,84,"undefined","everything i wanted",2019-11-13,70,90,66,24,10,10,-14,,4,3ZCTVFBt2Brf31RLEnCkWJ,USUM71922577
25,"Anyone","Justin Bieber",116,,52,2026-03-04,03:10,72,"undefined","Justice",2021-03-19,69,19,0,58,0,10,-8,,4,2WnAKZefdRHxtBEkRjFOHC,USUM72023175
26,"Too Good At Goodbyes - Acoustic","Sam Smith",87,,27,2026-03-04,03:40,61,"undefined","Too Good At Goodbyes (Acoustic)",2017-09-29,46,85,0,26,0,10,-9,,4,1JhuXhMiTBavuRXQTsGOdV,GBUM71704061
