#,Song,Artist,BPM,Camelot,Energy,Added at,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (db),Key,Time Signature,Spotify Track Id,ISRC
1,"Калуські вечорниці (feat. Tember Blanche)","KALUSH,Tember Blanche",120,6A,72,2023-11-01,03:00,45,"","Калуські вечорниці (feat. Tember Blanche)",2021-12-17,84,8,0,47,10,10,-6,G Minor,4,6keRNvHKCOhmySQa1jCX8P,RUA012101495
2,"Сидативи","СТРУКТУРА ЩАСТЯ",140,9B,98,2023-11-01,02:20,42,"","СМУГА",2022-08-26,49,9,0,48,20,30,-4,G Major,4,2AAYdx4XXaFd6JEWbdhZal,FRX452218311
3,"A Light So Blind","Bastion",195,5A,91,2023-11-01,03:58,0,"","A Light So Blind",2019-08-15,27,0,0,10,0,20,-4,C Minor,4,0ovmMK5QxI8PQd4z2cOjpR,QZFZ41920360
4,"Shivers","Ed Sheeran",141,10B,86,2023-11-01,03:27,83,"soft pop","=",2021-10-25,79,28,0,82,0,0,-3,D Major,4,50nfwKoDiSYg8zOCREWAm5,GBAHS2100671
5,"Somebody","Dagny",118,8B,76,2023-11-01,03:10,57,"norwegian pop","Strangers / Lovers",2020-10-02,72,0,0,47,0,10,-5,C Major,4,6hCGVqheUBzymvfA7IB4Y9,NOUM72000116
6,"Together Divine","Bastion",120,3B,75,2023-11-01,04:23,0,"","Together Divine",2019-07-05,50,0,0,18,0,0,-6,C♯/D♭ Major,4,2Tcugo8ph7ejJ8gAxfFazY,QZFYZ1931296
7,"Night Light","Marcus James,RYYZN",124,3B,58,2023-11-01,03:08,32,"tropical house, ","Night Light",2020-10-09,62,2,0,22,0,90,-7,C♯/D♭ Major,4,2dxiCU61pRLZU81P6YCaDd,CAM371902954
8,"Hypnotized","Purple Disco Machine,Sophie and the Giants",108,10A,81,2023-11-01,03:15,63,"disco house, nu disco, funky house, house, ","Hypnotized",2020-04-08,69,10,0,70,10,10,-5,B Minor,4,0vWUhCPxpJOJR5urYbZypB,AUDCB1701555
9,"Касета","SadSvit",170,3A,74,2023-11-01,02:24,59,"post-punk","Cassette",2021-12-13,65,30,5,63,0,10,-7,A#/B♭ Minor,4,4MQmxIxM5CXKjdq4IrCWhd,GX53U2038138
10,"Imprint of Pleasure - Original Mix","Tube & Berger",122,8A,62,2023-11-01,07:22,32,"deep house","Imprint of Pleasure",2013-02-11,81,15,78,50,0,10,-8,A Minor,3,1k9PXkj82QlXacWUptk1Aa,ES84B1310005
11,"Mr. Perfectly Fine (Taylor’s Version) (From The Vault)","Taylor Swift",136,10A,82,2023-11-01,04:37,66,"","Mr. Perfectly Fine (Taylor’s Version) (From The Vault)",2021-04-07,66,17,0,72,0,0,-6,B Minor,4,7l2tmgUhV7Y2aJHjiszifg,USUG12100638
12,"Physical","Dua Lipa",147,8B,84,2023-11-01,03:13,78,"pop","Future Nostalgia",2020-03-27,65,1,0,75,0,10,-4,C Major,4,3AzjcOeAmA57TIOr9zF1ZW,GBAHT1901298
13,"Colours","Emma Hewitt",142,1A,57,2023-11-01,04:01,26,"trance, progressive trance","Burn The Sky Down (Bonus Track Edition)",2012-05-18,30,69,42,26,0,30,-9,G#/A♭ Minor,4,0KFEu4lViVw9Kb8jb4Y8KJ,NLF711104572
14,"Face Down","The Red Jumpsuit Apparatus",93,6A,93,2023-11-01,03:12,78,"pop punk, emo","Don't You Fake It",2006-01-01,55,0,0,46,0,10,-2,G Minor,4,4wzjNqjKAKDU82e8uMhzmr,USVI20600108
15,"Think Twice","Eve 6",94,1B,84,2023-11-01,03:43,48,"post-grunge","It's All In Your Head",2003-07-01,53,0,0,43,0,20,-4,B Major,4,0SqgZ5KpfX24W8ZeGzOle2,USRC10300855
16,"Mr. Jones","Counting Crows",142,8B,82,2023-11-01,04:32,81,"","August And Everything After",1993-09-14,58,18,0,73,0,20,-7,C Major,4,5DiXcVovI0FcY2s0icWWUu,USIR10000287
17,"Instant Crush (feat. Julian Casablancas)","Daft Punk,Julian Casablancas",110,3A,59,2023-11-01,05:37,78,"french house, electronic, electro, ","Random Access Memories",2013-05-20,78,4,62,52,0,0,-10,A#/B♭ Minor,4,2cGxRwrMyEAp8dEbuZaVv6,USQX91300105
18,"Melody","Lost Frequencies,James Blunt",120,8B,66,2023-11-01,02:29,47,"tropical house, ","Melody",2018-04-27,67,13,0,35,0,40,-8,C Major,4,7uTZbLZrF3gqyMdQ7p9XeG,NLF711804296
19,"Found but Hopeless","Bastion",75,3B,98,2023-11-01,02:23,0,"","The Rose & the Lily",2019-10-14,37,0,0,26,0,10,-2,C♯/D♭ Major,4,622KWrGAl5dGVYweZrmpe2,QZHN71903887
20,"Gotta Get Thru This - D'N'D Radio Edit","Daniel Bedingfield,D'N'D Productions",134,6A,76,2023-11-01,02:41,58,"uk garage, ","Gotta Get Thru This",2002-00-00,84,9,0,92,0,0,-5,G Minor,4,023lag1AgeOf7YChojecRu,GBEBM0100046
21,"The Rose & the Lily","Bastion",140,6A,98,2023-11-01,03:32,0,"","The Rose & the Lily",2019-10-14,44,0,0,21,10,10,-4,G Minor,4,1IKxBKTKtytDzborZF7Lta,QZHN71903886
