#,Song,Artist,BPM,Camelot,Energy,Added at,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (db),Key,Time Signature,Spotify Track Id,ISRC
1,"Someone You Loved","Lewis Capaldi",110,3B,41,2021-06-09,03:02,87,"soft pop","Divinely Uninspired To A Hellish Extent",2019-05-17,50,75,0,45,0,10,-6,C♯/D♭ Major,4,7qEHsqek33rTcFNT9PFqLf,DEUM71807062
2,"Remember When It Rained","Josh Groban",106,3A,25,2021-06-09,04:40,39,"classical crossover, christmas","Closer",2003-11-11,45,63,0,11,0,10,-11,A#/B♭ Minor,4,5Zde0i4uCV5KW1izzjMFdY,USRE10301516
3,"Gravity","Sara Bareilles",169,8B,28,2024-01-09,03:53,62,"","Little Voice",2007-07-03,27,83,0,23,0,10,-10,C Major,4,4oa14QBfWRDfJy2agySy0L,USSM10700068
4,"Over the Rainbow","Sarah Uriarte Berry",166,11B,22,2025-11-22,03:22,29,"musicals","For The Love of Judy",2025-11-21,24,95,0,28,0,10,-15,A Major,3,1FKeHVV9Rbf9HCOtXuFXg5,QZZ8B2551755
5,"a thousand years","Christina Perri",139,6B,41,2025-04-05,04:45,85,"soft pop","a thousand years",2011-10-18,42,31,0,16,0,10,-7,A#/B♭ Major,3,6lanRgr6wXibZr8KgzXxBl,USAT21102141
6,"Something Gets Me","Julie Ann Weiler",75,9B,31,2026-03-09,04:46,14,"","This Storm Will Pass",2025-01-25,41,1,0,20,0,10,-10,G Major,4,5BbQqzwCkfM8j58fEPLwKk,QZTAT2214287
7,"It's Raining Memories - Radio Edit","Russ Lorenson",95,4B,28,2026-03-13,05:45,23,"vocal jazz","Standard Time: Live In New York (Radio Edit)",2023-12-01,34,39,0,21,0,70,-18,G#/A♭ Major,4,08knDvZ1uUfp2z0ZRVh83t,QZWFF2360500
8,"Jealous","Labrinth",117,3B,15,2024-01-13,04:47,73,"","Jealous - EP",2014-11-23,44,87,0,10,0,10,-9,C♯/D♭ Major,3,4G92yYrUs0cvY7G41YRI0z,GBHMU1400291
9,"Child","John Riesen",181,9B,31,2025-09-11,03:07,32,"classical crossover, neoclassical","Child",2025-09-12,30,87,0,24,0,20,-9,G Major,4,4CYp1akKENVaYioTyEavwb,QZWV32565918
10,"I Silenced My Heart (Callé Mi Corazón)","Olivier Bassil,Skylar Peterson,Edgar Cortázar,Vanessa Campagna",68,4A,42,2025-07-17,03:43,0,"jersey club, classical crossover, cedm","I Silenced My Heart (Callé Mi Corazón)",2025-07-18,28,63,0,24,0,10,-9,F Minor,4,0a9dE5ujtsKG1IcyUDvFZr,USLD91779221
11,"Houston","George Collins Band",120,10B,53,2025-10-30,03:50,35,"jam band","Houston",2025-10-31,28,26,0,31,0,20,-8,D Major,4,4SMFhAIuD5Vd9U89tQEx8x,QZQB42400011
12,"Photograph","Ed Sheeran",108,12B,38,2025-12-09,04:18,88,"soft pop","x (Deluxe Edition)",2014-06-21,61,61,0,20,0,10,-10,E Major,4,1HNkqx9Ahdgi1Ixy2xkKkL,GBAHS1400094
13,"Stay A Little Longer","Julie Ann Weiler",172,9B,30,2025-12-11,02:44,18,"","Stay A Little Longer",2025-04-04,43,85,0,47,0,10,-9,G Major,3,4mYX4Kcj9pMuyeB6Uf0RMK,QZK6Q2500129
14,"Hallelujah","Elisa Rose,Christopher Dallo",193,8B,26,2025-04-17,03:55,14,"classical crossover","Grown Up Christmas List",2024-02-03,27,94,0,31,0,10,-6,C Major,3,1YgqUU5OovTXowrmXLvKw8,CAGXL1900006
15,"Drink with Me","Reginiano,Lionel Faretein",80,1B,13,2026-03-09,04:47,18,"","Drink with Me",2026-02-06,24,92,0,15,0,10,-17,B Major,4,23SyXatMFxA6oZidSlnlWP,USCGH2644549
16,"Just in Time","Sarah Uriarte Berry",84,7B,41,2026-02-19,03:02,18,"musicals","For The Love of Judy",2025-11-21,57,68,0,36,0,10,-11,F Major,3,2VnLSW5BD4IdwIgnBrUyuN,QZZ8B2551727
17,"ocean eyes","Billie Eilish",145,9A,36,2025-12-09,03:20,81,"","dont smile at me",2017-12-22,51,82,3,17,0,0,-8,E Minor,4,7hDVYcQq6MxkdJGweuCtl9,US23A1500056
18,"I’ll Dream of You Again - Radio Edit","Russ Lorenson",173,3A,32,2026-03-16,02:47,0,"vocal jazz","Standard Time: Live In New York (Radio Edit)",2023-12-01,33,56,0,18,0,60,-13,A#/B♭ Minor,3,0bs1NQAWlfkNvJQmupFfAO,QZWFF2360494
19,"Shooting Star","Julie Ann Weiler",131,9B,26,2025-12-11,03:06,13,"","Shooting Star",2025-07-31,33,84,0,22,0,10,-10,G Major,3,0oZPYR5sXSzk0FA2bqsqbD,QZWFE2587931
20,"Didn't Think it Could be You","Elisa Rose",136,7B,48,2024-04-02,04:47,11,"classical crossover","Didn't Think it Could be You",2024-04-02,56,93,0,25,0,10,-9,F Major,4,4pbbOMLys5rN8K5tAnuovf,CAGXL2400001
21,"La Vie en Rose","John Riesen,Laura Auer",109,6B,27,2025-12-07,05:01,36,"classical crossover, neoclassical","La Vie en Rose",2025-12-05,33,85,0,20,0,10,-12,A#/B♭ Major,3,3QPCoXXlEQHzJgvfkTjYIY,QZZ8B2574847
22,"I Wish I Were in Love Again","Sarah Uriarte Berry",92,4A,49,2026-02-19,03:09,20,"musicals","For The Love of Judy",2025-11-21,61,64,0,49,0,10,-9,F Minor,4,1qrtHo0CffMgWKkAE9Cuzs,QZZ8B2551726
23,"When I Was Your Man","Bruno Mars",73,8B,28,2025-12-09,03:33,90,"","Unorthodox Jukebox",2012-12-07,61,93,0,39,0,0,-9,C Major,4,0nJW01T7XtvILxQgC5J7Wh,USAT21206701
24,"The Feel of You","Skylar Peterson",142,5B,23,2024-09-20,03:17,19,"classical crossover","The Feel of You",2024-09-20,35,72,0,11,0,10,-13,D#/E♭ Major,4,4rvSZzviGdfVZBo4J8ol2J,USLD91763205
25,"Go Back Home","Audra McDonald",82,4B,13,2020-03-13,03:13,15,"musicals, ragtime","Go Back Home",2013-05-17,26,97,0,9,0,0,-12,G#/A♭ Major,3,1cnCMxeZBDVexASqBlZ52p,USNO11300212
26,"I Am Worthy","Mary Jane Knight",139,8A,21,2026-01-23,04:23,14,"","Rising Free: a journey of healing",2025-03-23,30,97,1,8,0,10,-14,A Minor,4,3NHsiL8k5vTwdz7uBUYXDV,USCGJ2550674
27,"It's Been Too Long","Julie Ann Weiler",192,9B,50,2025-12-11,04:24,14,"","It's Been Too Long",2021-04-02,22,7,0,8,0,10,-10,G Major,3,4jQvRGpLEr2jUj4O5DVflk,QZES62139552
28,"traitor","Olivia Rodrigo",101,5B,34,2025-12-09,03:49,87,"","SOUR",2021-05-21,38,69,0,8,0,10,-8,D#/E♭ Major,4,5CZ40GBx1sQ9agT82CLQCT,USUG12101243
