#,Song,Artist,BPM,Camelot,Energy,Added at,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (db),Key,Time Signature,Spotify Track Id,ISRC
1,"Runaway","Vacant",85,6A,45,2022-09-24,02:56,12,"witch house, chillstep","Belong",2019-12-10,9,79,95,5,0,30,-18,G Minor,3,2vQ20I3WmLEDTfAyCqm7jb,QZHNB1952833
2,"MEMORY MANAGEMENT","Lorn",146,3B,38,2022-09-27,03:36,35,"witch house, idm","REMNANT",2018-09-05,44,30,63,4,0,30,-15,C♯/D♭ Major,4,5lrCiaF8NG0IhNSqJEwbs6,USLZJ1846839
3,"Take Your Movement Away","In Mirrors",95,10B,64,2023-07-28,02:19,14,"","Escape From Berlin",2017-06-09,47,7,85,16,0,30,-11,D Major,4,2UzgDCUiPuuTxePs26FLvs,QMMMF1700054
4,"Ashtray wasp","Burial",126,9B,66,2022-09-26,11:45,0,"idm, ambient","Kindred EP",2012-00-00,49,63,90,41,20,0,-12,G Major,4,5kNBFAhlRSInfzJJzmyniK,GBLZC1200013
5,"Goin In - Original Mix","Sqz Me",125,6A,55,2022-09-27,05:21,10,"dubstep, chillstep","Goin In",2014-06-20,48,83,82,3,0,20,-10,G Minor,4,4GtgYBfxm5JQT9IoKYxjx9,USLZJ1413263
6,"Xvious One Point Seven","Woob",170,3A,95,2022-09-26,02:52,2,"synthwave, space music, ambient","Xvious Exe",2020-12-21,42,2,82,8,0,40,-5,A#/B♭ Minor,4,2g2taidTJxRa6I0kHEjJ7I,QZFYZ2125067
7,"Maryland: Report from Hell","BROKEN_CANYON,Ex Aquis",110,5A,44,2022-09-26,03:40,0,"vaporwave, dub techno, drone","Broken Generation",2022-01-27,39,62,93,15,0,10,-13,C Minor,4,2tcSdRNw7SctRn0VPAMNrt,QZFZ62209462
8,"Fascinator","HTRK",134,4B,51,2022-09-27,03:57,0,"cold wave","Part Time Punks Radio Sessions",2012-10-29,46,34,28,7,0,20,-8,G#/A♭ Major,4,28nhSrmfPY4MpP8FPq25VK,US2J71206801
9,"Nebula","CMD094",136,5A,54,2022-09-26,03:51,1,"vaporwave, ambient","Oscillation",2019-11-15,17,74,95,6,0,10,-13,C Minor,3,0yda8YzMxeshlywYCaZv2e,USA2P1959463
10,"Electronic Birth","F0x3r",98,12B,35,2022-09-26,03:04,4,"vaporwave","Neon Rain",2020-12-04,14,74,97,12,0,70,-16,E Major,4,3fdCoGiNYxtSRcOKi90icX,QM8DG2163736
11,"The Embrace","BROKEN_CANYON",75,4A,36,2024-04-18,05:07,0,"vaporwave, dub techno","Otherworlds",2020-02-05,14,52,96,18,0,30,-16,F Minor,3,35xW004yVOSuIhS64OXKMw,QZFZ32042936
12,"A Glowing Light, a Promise","Makeup And Vanity Set",101,4B,96,2022-09-27,05:33,35,"synthwave, vaporwave","88:88",2012-05-31,57,65,89,3,0,10,-5,G#/A♭ Major,4,1KjBsubnUzAU1dvxIEUky4,ushm21237346
13,"Tokyo Train","Klimeks",136,1A,60,2022-09-27,03:39,37,"witch house, chillstep","Overnites",2014-08-08,62,60,93,21,0,10,-11,G#/A♭ Minor,4,18YjCNwwuuNZFLZHXQe31G,GB-SMU-17-63193
14,"Shell of Light","Burial",159,10A,51,2022-09-26,04:42,16,"idm, ambient","Untrue",2007-11-05,42,80,90,66,20,10,-13,B Minor,5,29Gr10bFvvbsIrLRg7Yibi,GBLZC0700020
15,"So Far Out Of Love","Malibu",111,10A,25,2022-12-11,04:24,22,"ambient, drone","Palaces of Pity",2022-11-18,16,18,95,4,0,10,-17,B Minor,4,6KhlkE9KmaMwxDCfRvCrFr,USYBL2201768
16,"9:19","Danger",100,12A,33,2022-09-27,03:53,19,"synthwave, french house","Origins",2019-01-18,56,2,5,13,0,40,-8,C♯/D♭ Minor,4,4brOj9fYpTfpRmPAVokKKx,FR9W11824895
17,"Rust","El Huervo",92,3B,76,2022-09-27,04:57,29,"synthwave","Rust B/W Ghost",2015-10-05,75,40,86,31,20,10,-10,C♯/D♭ Major,4,2uA9EGy7KifPvk2F342IvR,QM6P41552908
18,"O, Death","Sons Of Magdalene",118,4B,35,2022-09-27,05:40,7,"cold wave, darkwave","Move to Pain",2014-06-24,49,12,78,6,0,10,-19,G#/A♭ Major,4,3ZLKeK0gflTCcL1zlcU3Bb,QM96L1400107
19,"Pink Mist","Gunship",140,12A,76,2023-03-31,04:02,45,"synthwave, vaporwave, synthpop","GUNSHIP",2015-07-24,57,1,0,68,0,10,-7,C♯/D♭ Minor,4,5gdFoLS8DYmztAFmmbPjft,USQY51564354
