#,Song,Artist,BPM,Camelot,Energy,Added at,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (db),Key,Time Signature,Spotify Track Id,ISRC
1,"Miss You","trentemøller",127,6A,16,2024-08-24,04:07,0,"minimal techno, electronica","The Last Resort",2006-10-06,54,95,93,20,0,20,-22,G Minor,4,4WTmtPRtIpjzgwBbQsMYyo,DEL020620046
2,"#3","Aphex Twin",147,11A,7,2024-08-24,07:44,64,"idm, ambient","Selected Ambient Works Volume II",1994-03-07,16,91,86,6,0,10,-27,F#/G♭ Minor,5,7glKwbR1DyuIuE6XvZvJbQ,GBBPW9400034
3,"Says","Nils Frahm",150,5A,23,2024-08-24,08:18,53,"neoclassical, contemporary classical, minimalism, ambient","Spaces",2013-11-18,22,86,90,7,0,70,-13,C Minor,4,5626KdflSKfeDK7RJQfSrE,GBWZD1305502
4,"Again","SERAPHINE NOIR,Ash Lee",92,4A,39,2024-08-24,02:21,0,"jazz fusion, jazz house","Again",2023-08-09,36,66,80,37,0,10,-11,F Minor,4,47cZOrEp9js0X3E6tQt5b4,QZS7J2398938
5,"Dragonfly","Dana and Alden",150,8A,45,2024-08-24,05:57,0,"indie jazz","Quiet Music For Young People",2023-08-04,33,23,89,18,0,10,-9,A Minor,4,4ilcgmelP0B7j6OXVj6XyL,QZNWV2306734
6,"O Leãozinho","Tula Ben Ari",128,7B,41,2024-08-24,02:56,1,"","Lullabies For The Young at Heart",2024-07-08,65,75,6,27,0,10,-12,F Major,4,3udpGdhH95OEnht48yTORj,IL4040102100
7,"Dream","Ryuichi Sakamoto",169,2A,8,2024-08-24,01:24,50,"japanese classical, ambient","L.O.L. (Lack Of Love)",2000-11-08,27,98,86,4,0,10,-26,D#/E♭ Minor,4,66hacKPqwClRgpSmWDWhBx,USA6D0410048
8,"Just A","Panam Panic",89,8B,40,2024-08-24,01:30,30,"jazz fusion, nu jazz, jazz funk","Love of Humanity",2021-06-04,71,71,92,50,0,10,-12,C Major,4,1GcSwmnxHcALNE9QCAmj1f,FR9W12108024
9,"Soft Herbs","Bokoya",139,4B,49,2024-08-24,01:02,23,"soul jazz","Hausensession",2022-10-14,40,49,89,61,0,10,-17,G#/A♭ Major,4,6WRG7L1b1chdFmZfIvUVv7,DEGC62202700
10,"Rebirth (Solo Version)","Kara Baldus",80,4A,11,2024-08-24,02:51,24,"classical piano","Rebirth (Solo Version)",2023-05-21,43,99,94,18,0,10,-23,F Minor,4,2dBOs0iGd0TYbV1BbaQV7m,ushm22373309
11,"Limerence","Yves Tumor",182,4B,32,2024-08-24,05:29,63,"","Mono No Aware",2017-03-17,33,89,21,72,0,10,-17,G#/A♭ Major,3,2wiV5iKq5F5A0KUee4OrlK,DEX261601435
12,"Falling to Pieces","Two Feet",78,7B,49,2024-08-24,02:57,39,"","Falling to Pieces",2024-03-08,45,6,38,13,0,10,-10,F Major,3,6r3wb5hqhSjMcEyF9thTu9,QM4TW2488020
13,"Twilight Zone","Golden Earring",119,10A,76,2024-12-19,07:58,56,"nederpop, classic rock","Cut",1982-00-00,66,1,0,54,0,0,-7,B Minor,4,1miXjv3X34Q9w7wDZoBnDz,NLC288200071
14,"Hello","Hania Rani",132,6B,53,2024-12-19,05:08,27,"neoclassical, contemporary classical","Hello",2023-05-10,48,79,83,32,10,0,-14,A#/B♭ Major,4,0MBibh6TQByFYv5Po4nbNk,GBVTB2366002
15,"Blue Hour","Nosaj Thing,Julianna Barwick",145,11B,39,2024-12-24,03:31,49,"idm, ambient, drone, art pop","Continua",2022-10-28,59,31,89,43,0,10,-13,A Major,4,6f9BnONLZr0rpB5thUzzlW,GB5P52200446
16,"Stars","Yosi Horikawa",140,8B,48,2025-01-02,06:19,38,"idm","Vapor",2013-06-24,34,78,86,4,0,0,-14,C Major,4,0k7UbZFOcNSebBda0H52rT,GBMCZ0600701
17,"Continuum 1","Nala Sinephro",102,1A,24,2025-01-02,07:13,43,"ambient jazz, ambient, experimental jazz, nu jazz","Endlessness",2024-09-06,38,79,88,13,0,10,-20,G#/A♭ Minor,4,0DeymXCmEkaP84aGgzoI6I,GBBPW2400849
