#,Song,Artist,BPM,Camelot,Energy,Added at,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (db),Key,Time Signature,Spotify Track Id,ISRC
1,"Kill Yourself (Part III)","$uicideboy$",106,4A,68,2023-03-06,02:25,76,"emo rap, horrorcore, cloud rap, trap metal, underground hip hop","My Liver Will Handle What My Heart Can't",2015-09-21,75,33,0,19,0,40,-7,F Minor,4,0kEZlJh4mK1QRfb3CT5LPk,QM8DG1600552
2,"Don't leave me here","Coldsteeze",120,12A,73,2023-03-06,03:31,42,"","Don't leave me here",2019-02-25,70,75,0,23,10,10,-7,C♯/D♭ Minor,4,0nAKahN1Jh1aN6uaOPGVEk,TCAEL1914083
3,"Her Scent","Slipfunc",117,7B,42,2023-03-06,02:23,0,"lo-fi","Ep Embrace",2018-10-15,76,44,89,44,0,50,-15,F Major,3,3C2J703Ls8M2gzeaz6WLKL,QZES51839033
4,"Sad Life","SHRK,Shiloh Dynasty",101,3B,43,2023-03-06,03:01,44,"","Sad Hours",2018-04-29,61,78,58,22,30,0,-16,C♯/D♭ Major,4,53Ij4HRTp0f6DTlmXWh46h,QZ22B1934144
5,"Losing Interest","itssvd,CORBAL,Shiloh Dynasty,Dibyo",112,1A,36,2023-03-06,02:00,65,"","Missing",2017-02-12,75,48,87,51,0,10,-13,G#/A♭ Minor,4,55XrFge2dEZwYzNl128DwN,QZ5AB1866380
6,"Tell Me Why I'm Waiting","creamy",125,10A,21,2023-03-06,02:19,40,"","Tell Me Why I'm Waiting",2020-08-31,76,52,11,20,0,10,-13,B Minor,4,7gu0zaym9C9Kp1va4ZeYXR,TCAFC2007049
7,"Sing to You","Monty Datta,Shiloh Dynasty",115,12A,22,2023-03-06,02:33,0,"","Sing to You",2018-06-18,70,86,1,8,10,10,-12,C♯/D♭ Minor,4,36KJECppZif5yIwfwk1V0U,SE5BU1866334
8,"The Loser","Verzache",124,3B,30,2023-03-06,02:11,63,"","The Loser",2016-07-29,75,49,27,11,10,10,-11,C♯/D♭ Major,4,0yTGQpPOgcsS8Xqp5bQO58,QM2PV1667140
9,"Jerk","Oliver Tree",160,8A,71,2023-03-06,02:15,63,"","Ugly is Beautiful",2020-07-17,52,3,0,30,0,20,-4,A Minor,4,065bY5WrLvI3NN9VCK0QLe,USAT22003722
10,"I Can't Handle Change","Roar",186,7B,44,2023-03-06,03:18,3,"","I Can't Handle Change",2010-03-14,25,4,0,39,0,10,-8,F Major,3,0I1eFRytp4XRhLCjT6tZm7,USHM81020595
11,"Oh Ana","Mother Mother",128,7B,53,2023-03-06,03:17,0,"","Touch Up",2007-05-08,51,67,0,34,0,10,-7,F Major,4,45i70K1PefHafKui2WxH0M,CAL450793904
12,"Mama Cry","YNW Melly",220,9B,49,2023-03-06,03:51,71,"melodic rap","I AM YOU",2018-08-03,54,7,0,11,10,10,-7,G Major,4,2fSW54bA6x2iWePU7rpCiP,QMCE31801937
13,"Treehouse","Alex G,Emily Yacina",73,6A,20,2023-03-06,02:38,78,"lo-fi indie","Treehouse",2011-01-17,61,71,32,14,0,10,-19,G Minor,4,7fyG2MquxykO3Ufiku1Dj2,TCAFZ2296401
14,"Aglow (Intro) - Slowed Down Version","Karamel Kel",164,5B,11,2023-03-06,02:19,55,"","Aglow (Intro) [Slowed Down Version]",2020-11-25,28,98,91,30,0,0,-15,D#/E♭ Major,4,4zWQh63eFQRwWNFElIfyVk,USA2P2042362
15,"Crowdpleaser","Driver",140,6A,36,2023-03-06,02:46,0,"lo-fi hip hop, lo-fi, vaporwave","Joyride",2020-04-22,59,33,3,23,10,30,-12,G Minor,4,4yA3BQO97qscRTrJoK5AzO,QZES52076348
16,"I'll Keep You Safe","sagun,Shiloh Dynasty",115,9B,6,2023-03-06,03:05,62,"lo-fi, ","I'll Keep You Safe",2017-10-06,75,95,82,46,0,10,-25,G Major,4,01Rc6yXYtujAnMaR1NME11,US23A1500629
17,"Freaks","Surf Curse",180,11B,94,2023-03-06,02:27,86,"indie","Freaks",2021-05-15,35,0,63,41,0,0,-10,A Major,4,7EkWXAI1wn8Ii883ecd9xr,USAT22102269
18,"You Broke My Heart Again","Teqkoi,Aiko",75,5B,14,2023-03-06,01:43,0,"","You Broke My Heart Again",2018-10-13,55,96,0,22,20,20,-16,D#/E♭ Major,4,3jZDWsoxRHzzp3DYV8qeXE,QZES51826398
19,"Can I Put My Lips on Your Skin Babe?","Past-X",107,10A,31,2023-03-06,02:48,0,"","Can I Put My Lips on Your Skin Babe?",2018-12-12,85,52,70,24,0,10,-14,B Minor,4,7lM9Gkmzhm2xBpXHFaJGsM,QZES91846177
20,"Pantomime","Noah Bouchard",110,11A,58,2023-03-06,02:45,0,"","Sheep Are People",2018-07-04,86,84,0,83,10,10,-11,F#/G♭ Minor,4,6xQbXGSveROI7WzEfOthsE,ushm21819354
21,"i met sarah in the bathroom","awfultune",90,8B,41,2023-03-06,02:01,1,"","i met sarah in the bathroom",2019-07-31,68,90,0,23,10,10,-11,C Major,4,0mr8FAnN9X70p5KRUwMIJx,SE6HN1926755
22,"...And to Those I Love, Thanks for Sticking Around","$uicideboy$",114,10B,51,2023-03-06,02:48,78,"emo rap, horrorcore, cloud rap, trap metal, underground hip hop","Stop Staring At the Shadows",2020-02-14,79,12,0,11,0,10,-7,D Major,4,30QR0ndUdiiMQMA9g1PGCm,QZAPK1900020
23,"Unfair","The Neighbourhood",194,4B,57,2023-03-06,02:26,65,"","#000000 & #FFFFFF (No DJ Version)",2014-11-28,48,1,78,4,0,10,-7,G#/A♭ Major,4,0xD23i0X1WjqMSYIxRfO80,USSM11709128
24,"Revenge - Slowed + Reverb","Aesthetic Future",120,8A,27,2023-03-06,01:36,0,"","Revenge (Slowed + Reverb)",2022-12-09,81,77,0,49,0,10,-13,A Minor,4,3Gya6ikUjKadRe4ixrQVQL,QZPJ32215451
25,"Let Me Know (I Wonder Why Freestyle)","Juice WRLD",125,6A,54,2023-03-06,03:35,80,"melodic rap, emo rap","Let Me Know (I Wonder Why Freestyle)",2019-12-07,64,17,0,38,0,40,-8,G Minor,4,3wwo0bJvDSorOpNfzEkfXx,USUG11903494
26,"Young","Vacations",80,9B,81,2023-03-06,03:09,80,"","Vibes",2016-00-00,50,0,1,59,0,0,-4,G Major,4,1KIJclzEbNhSVw8tiHPWwE,SEYOK1669274
27,"Goodbye to a world","Dendipappey",220,9B,21,2023-03-06,03:12,0,"","Goodbye to a world",2020-09-05,66,98,94,51,10,10,-12,G Major,4,1nsSTfcy0hjSf5TQ7m5kD4,QZLQR2036461
28,"Aftermath","Caravan Palace",140,4B,66,2023-03-06,03:05,51,"electro swing, swing music, nu jazz","<I°_°I>",2015-10-16,61,23,0,40,0,30,-7,G#/A♭ Major,4,7iaQV6plfQRead7XdleWM4,FR89R1500004
29,"Blood // Water","grandson",154,1A,88,2023-03-06,03:36,71,"","Blood // Water",2018-05-04,51,0,0,65,10,0,-6,G#/A♭ Minor,4,0AUyNF6iFxMNQsNx2nhtrw,TCADI1720999
30,"Ylang Ylang","FKJ,((( O )))",70,3B,24,2023-03-06,03:33,65,"","Ylang Ylang EP",2019-11-12,58,92,94,17,0,10,-12,C♯/D♭ Major,4,2CuUB5MbfRShtunR8g5hjR,GBKPL1970166
31,"I Just Want to Be the One You Love","Cryst",85,12B,23,2023-03-06,02:01,6,"","I Just Want to Be the One You Love",2019-11-27,79,84,0,55,0,30,-17,E Major,4,5H92IwQV1tExrJPDXLyt9B,QZHNC1981739
32,"Little Dark Age - Slowed","ethereal",151,4A,49,2023-03-06,02:04,0,"","Little Dark Age - Slowed",2021-07-21,52,8,39,71,0,60,-16,F Minor,4,68gWoQNuYBUlSQxWU1MWD3,QZLBC2300080
33,"The Perfect Girl","Mareux",129,1A,89,2023-03-06,03:14,77,"darkwave, cold wave","The Perfect Girl",2021-12-08,49,0,82,26,0,10,-6,G#/A♭ Minor,4,5RBOcBpJXaNnHCGViJmYhh,QZF8N1986577
34,"Falling","Trevor Daniel",127,3A,43,2023-03-06,02:39,71,"","Falling",2018-10-05,79,12,0,24,0,0,-9,A#/B♭ Minor,4,26XaOsDMbl0e1cVKYfkz6w,USUYG1221109
35,"u.","niteboi",124,9A,53,2023-03-06,02:54,61,"witch house, drift phonk","u.",2017-01-22,48,6,91,10,0,10,-10,E Minor,4,3bwIVaOlLSX4rInoLgB3uX,QZMHN2217062
36,"Goodnight","Razegod",138,6A,85,2023-03-06,02:06,19,"emo rap","Goodnight",2020-03-27,71,2,24,38,0,60,-4,G Minor,4,0oQ9PuCpAAzU3xr0H4AyXn,QZFZ52018497
37,"Romantic Lover","Eyedress",184,8A,45,2023-03-06,01:26,51,"","Let's Skip to the Wedding",2020-08-07,66,70,92,54,0,20,-9,A Minor,4,7s5VQqrjBtrBgZL4pEa46S,GBMYF2000011
38,"Comfort Chain","Instupendo",110,12B,25,2023-03-06,03:04,0,"","Comfort Chain",2017-01-20,83,98,89,16,0,20,-20,E Major,4,5BAXlRDW3YaPr3rfqV51TA,QZ5D71600005
39,"Key","C418",147,2A,0,2023-03-06,01:05,48,"","Minecraft - Volume Alpha",2011-03-04,13,99,38,4,0,0,-42,D#/E♭ Minor,5,7K7E7LKK51PezScgsvVg9Y,TCAAW1157068
40,"J Song","60 juno",155,8A,91,2023-03-06,02:58,0,"","J Song",2020-10-31,45,0,60,51,0,0,-5,A Minor,4,41LZx7WttZ8cRigQ7LZB2K,QMEZE2134821
41,"I Don't Really Care If U Cry","Coke Beats",80,4B,55,2023-03-06,03:17,15,"","I Don't Really Care If U Cry",2020-12-14,59,87,0,66,0,10,-7,G#/A♭ Major,4,5tR8gLSB8PFpJvS9CLPKgf,QZHN81926499
42,"drowning","Vague003",180,10A,61,2023-03-06,01:57,63,"","drowning",2022-12-09,55,2,85,5,0,10,-8,B Minor,4,32xjgqHt76Q8sipEop3Bci,USANG2239096
43,"Something About You","Eyedress,Dent May",133,8A,78,2023-03-06,02:33,59,"","Mulholland Drive",2021-08-27,65,3,1,82,0,30,-9,A Minor,4,6RiiSy9GzSwiyDEJDiMuKe,GBMYF2000174
44,"Genesis","Grimes",166,3A,68,2023-03-06,04:15,75,"art pop","Visions",2012-03-12,61,8,7,23,0,20,-7,A#/B♭ Minor,4,0yljUudXzjVcGEoYmLB17X,CA21O1200002
45,"No Surprises","Radiohead",76,7B,39,2023-03-06,03:49,87,"art rock, alternative rock","OK Computer",1997-05-28,26,6,0,12,0,10,-11,F Major,4,10nyNJ6zNy2YVYLrcwLccB,GBAYE9700386
46,"Loosing Interest","timmies,Shiloh Dynasty",114,3A,20,2023-03-06,01:57,55,"","Passion & Confusion",2017-09-21,93,51,12,76,0,20,-14,A#/B♭ Minor,4,2DIFiLjzVxSUc7YY2k7WDA,RUB521205280
47,"Six Forty Seven","Instupendo",144,3B,3,2023-03-06,01:59,0,"","Six Forty Seven",2016-03-28,47,91,52,11,0,0,-18,C♯/D♭ Major,3,2WuK1opHQzRo18YXCtY2DF,QM4DW1618349
48,"4:44 Am","Kochetkovv",130,8B,28,2023-03-06,02:01,41,"","4:44 Am",2018-07-08,81,98,0,78,40,20,-10,C Major,4,6kD7n19O9VEYQwENniEvPi,QZDA61828268
49,"Bad Habit","Steve Lacy",169,3B,49,2023-03-06,03:52,85,"","Gemini Rights",2022-07-15,69,61,0,70,0,40,-7,C♯/D♭ Major,4,4k6Uh1HXdhtusDW5y8Gbvy,USRC12201440
