#,Song,Artist,BPM,Camelot,Energy,Added at,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (db),Key,Time Signature,Spotify Track Id,ISRC
1,"Fantastic (from the series Arcane League of Legends)","Arcane,King Princess",106,7B,64,2025-05-27,03:04,66,"score, ","Arcane League of Legends: Season 2 (Soundtrack from the Animated Series)",2024-11-23,56,0,0,29,0,10,-7,F Major,4,071uK6V3dKj3BMNNzTEyRu,USA2P2459603
2,"everything i wanted","Billie Eilish",120,11A,23,2025-05-27,04:05,84,"","everything i wanted",2019-11-13,70,90,66,24,10,10,-14,F#/G♭ Minor,4,3ZCTVFBt2Brf31RLEnCkWJ,USUM71922577
3,"The Sense of Me","Mud Flow",76,7A,57,2025-05-27,02:32,52,"","A Life on Standby",2004-00-00,39,0,84,11,0,20,-9,D Minor,4,6UlwiHrZ6bDGDVhBN35hNP,BE27E0302120
4,"bitches broken hearts","Billie Eilish",120,8B,42,2025-05-27,02:56,75,"","bitches broken hearts",2018-03-30,78,92,1,19,0,10,-10,C Major,4,5t3Vk8bRKylx4fjj7qlbib,USUM71803745
5,"harleys in hawaii - slowed + reverb","slō,twilight,Tazzy",124,2A,27,2025-05-27,03:29,52,"hypertechno, nightcore, hardstyle","harleys in hawaii - slowed + reverb",2022-04-29,66,5,1,65,0,0,-22,D#/E♭ Minor,4,1PtK13UaoYOiaTDypMpJKy,GX4R52274617
6,"Through the Cellar Door","Lanterns on the Lake",123,12A,62,2025-05-27,02:56,45,"","Beings",2015-11-13,61,41,82,14,0,10,-8,C♯/D♭ Minor,4,1PSmMFggSZ1HwhAeBOCMDh,GBBRP1549306
7,"CHIHIRO","Billie Eilish",110,9B,43,2025-05-27,05:03,87,"","HIT ME HARD AND SOFT",2024-05-17,70,14,88,52,0,0,-13,G Major,4,7BRD7x5pt8Lqa1eGYC4dzj,USUM72401988
8,"Unfair","The Neighbourhood",194,4B,57,2025-05-27,02:26,65,"","#000000 & #FFFFFF (No DJ Version)",2014-11-28,48,1,78,4,0,10,-7,G#/A♭ Major,4,0xD23i0X1WjqMSYIxRfO80,USSM11709128
9,"Sex, Drugs, Etc.","Beach Weather",144,9A,84,2025-05-27,03:16,82,"","Pineapple Sunrise",2023-03-03,57,1,1,47,0,50,-5,E Minor,4,7MlDNspYwfqnHxORufupwq,TCACS1642138
10,"Wires","The Neighbourhood",73,6A,57,2025-05-27,03:13,59,"","I Love You. (10th Anniversary Edition)",2013-04-23,57,0,10,27,0,30,-6,G Minor,4,3aeJ1b9ayxl5mqUMGh5zhq,USSM11204648
