#,Song,Artist,BPM,Camelot,Energy,Added at,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (db),Key,Time Signature,Spotify Track Id,ISRC
1,"Nothing Breaks Like a Heart (feat. Miley Cyrus)","Mark Ronson,Miley Cyrus",114,6A,79,2022-08-09,03:37,72,"","Nothing Breaks Like a Heart (feat. Miley Cyrus)",2018-11-30,60,1,0,24,0,30,-6,G Minor,4,27rdGxbavYJeBphck5MZAF,GBARL1801571
2,"Black Out Days","Phantogram",92,9A,80,2022-08-09,03:47,75,"","Voices",2014-02-18,54,1,2,43,0,0,-4,E Minor,4,2IWtloZYQDcP8Ashwx8QEF,USUM71312035
3,"Love Me Again","John Newman",126,7A,89,2022-08-09,03:59,81,"","Tribute",2013-01-01,50,0,0,21,0,10,-5,D Minor,4,5TbzAWWc5eJaANpA9kfGCd,GBUM71301538
4,"High Enough","K.Flay",89,8B,62,2022-08-09,03:51,72,"","Every Where Is Some Where",2017-04-07,61,3,9,54,0,10,-5,C Major,4,1qwno7xb5mJe71xtMS6jl2,USUM71701789
5,"When I R.I.P. (From  Euphoria: Season 1  Soundtrack)","Labrinth",88,1A,55,2022-08-09,02:54,67,"","Euphoria (Original Score from the HBO Series)",2019-10-04,42,73,0,44,10,0,-6,G#/A♭ Minor,4,2t16D9V5FmmRAJjsSpwvZf,USQX91902519
6,"Je te laisserai des mots","Patrick Watson",133,10B,19,2022-08-09,02:40,6,"","Je te laisserai des mots",2010-09-10,30,99,50,21,0,10,-17,D Major,4,0V5cvmTKsYmF5FmGGEAfmS,CA0RZ1000020
7,"Sex, Drugs, Etc.","Beach Weather",144,9A,84,2022-08-09,03:16,75,"","Chit Chat",2016-11-04,57,1,1,47,0,50,-5,E Minor,4,7DbdUf8aHSYoliSjO6LZv6,TCACS1642138
8,"The Cure","Sam Lans!",83,1B,63,2022-08-09,03:06,50,"","Mk Ultra",2017-10-06,36,0,0,25,10,20,-7,B Major,4,3EeKXJWkNTQTqqzRehTG7H,TCADJ1714578
9,"Fly No More","Myles Simeon,Kol",97,8A,29,2022-08-15,03:18,0,"","Fly No More",2022-03-18,36,81,0,7,0,10,-14,A Minor,1,1wPJMlkGwo6leITuXEKUTB,QZES62212454
10,"Black Out Days - Future Islands Remix","Phantogram,Future Islands",170,9A,48,2022-08-23,04:08,65,"","Black Out Days (Future Islands Remix)",2017-09-01,48,0,78,12,0,10,-9,E Minor,4,3kxkjirben9RVm9NqYa6rm,USUM71415944
11,"High Enough - RAC Remix","K.Flay,RAC",133,9B,68,2022-08-23,03:28,64,"","High Enough (RAC Remix)",2017-08-04,32,24,35,29,0,0,-5,G Major,3,1cxttvflVlYD4QA34tR5Yj,USUM71708345
12,"Jungle","Emma Louise",126,6A,64,2022-08-23,03:22,0,"","Vs Head Vs Heart",2013-03-22,70,46,18,70,0,10,-9,G Minor,4,5sAYqcQTEQbTbxdcqI4b8v,AUM221100014
13,"Out of Time","Harley Reid,líue",76,9B,80,2022-08-23,02:03,31,"","Out of Time",2020-07-23,56,1,11,47,0,20,-8,G Major,4,174NyAwu4bUBZs74OjRCSB,QZHNC2078826
14,"Болить","Lefor",123,1B,92,2022-08-24,02:42,4,"","Болить",2022-08-14,62,7,1,30,10,10,-6,B Major,4,21q1slw3ZF6ynyqOLa6XaP,TCAGI2204519
15,"Falling / Apart","forgottenposse,myle$",111,10A,77,2022-08-30,03:49,33,"","Falling / Apart",2022-01-07,50,0,0,13,0,30,-4,B Minor,4,2RMsJSoLiS0y8wlo1hLDq7,QZKDK2206827
16,"WhereTheTreesMeetTheFreeway","BONES",97,3B,28,2022-09-05,02:55,62,"cloud rap, emo rap, horrorcore, trap metal, underground hip hop","Skinny",2014-09-02,77,30,0,4,10,0,-15,C♯/D♭ Major,4,7nH4UnffKuEHlbjCnSRYRG,CA5KR1567856
17,"100 Friends","Onative",110,6A,27,2022-09-10,03:45,23,"","100 Friends",2019-09-25,51,61,0,4,0,10,-12,G Minor,4,40p2vHg94hZS7mC1zUHgEu,QZHN51969067
18,"Victory","Lubetsky",105,3B,45,2022-09-26,02:49,42,"","Victory",2019-01-21,45,9,70,8,0,10,-11,C♯/D♭ Major,4,6Uu6TQm0ovJcB9LBSU3fFW,RUA1D2251791
19,"Falling","Three AM Fuxk",130,9A,49,2022-10-11,03:05,32,"","Falling",2018-09-02,61,68,88,37,0,10,-11,E Minor,4,0ja4FOo5jvixP1vduVI76n,QMPKX1863712
20,"Late Night Drive","Alx Beats",120,5B,55,2022-10-15,01:54,46,"drift phonk","Late Night Drive",2021-10-08,96,2,59,51,20,10,-9,D#/E♭ Major,4,2iWDkAWh9ZlrUg6EkTjxAH,FRX762125875
21,"Before End","DVRST",105,2B,59,2022-10-28,02:30,34,"phonk, drift phonk","Before End",2022-10-28,62,5,91,22,0,10,-6,F#/G♭ Major,4,2IYDMilyoTEDXMiz2Uxb1P,QMBZ92296677
22,"u.","niteboi",124,9A,53,2022-11-01,02:54,61,"witch house, drift phonk","u.",2017-01-22,48,6,91,10,0,10,-10,E Minor,4,3bwIVaOlLSX4rInoLgB3uX,QZMHN2217062
23,"Me & April","Sickheart",130,8B,59,2022-11-01,02:29,36,"","She Said",2021-02-25,42,1,77,4,0,10,-13,C Major,3,6bgZsW0bF2daNo84zEYZen,QZDA42145624
24,"Lovesick","Finn",160,6A,54,2022-11-02,04:24,35,"","Beyond Return",2016-08-26,38,41,1,28,10,10,-9,G Minor,4,3V7GkLuXPtAqQ7ahzeHDQx,ushm21676233
25,"ALONE, PART 3","XXXTENTACION",127,8B,26,2022-11-07,01:49,64,"emo rap","?",2018-03-16,61,88,1,16,0,10,-13,C Major,4,2oe6dDthgthqUkfL3czpEd,USUG11800454
26,"На ощупь","Минаева",72,8B,37,2023-01-14,05:19,42,"","На ощупь",2022-06-10,30,79,0,4,10,0,-12,C Major,4,5TRNAvDTcJBXHAjVjM2ZiS,FRX202227210
27,"Led by a Dollar","KADI",135,8B,50,2023-01-14,04:06,30,"","Kopfkino",2020-09-25,57,49,0,40,0,10,-9,C Major,4,3IgVqRBQaxynQaN0q2KyJ6,FRX762065542
28,"Why I Love You - Dubstep Remix","Raco Rabanne",140,8A,96,2023-01-30,03:40,0,"","Mixtape Volume 3",2011-10-14,61,1,0,32,20,80,-3,A Minor,4,3jNz79wD7RGYzXhk42TBSk,USFTV1000219
29,"Cheat Code - Из т/с  Мажор 2 ","Sollar",144,9B,66,2023-02-09,04:07,40,"","Cheat Code (Из т/с  Мажор 2 )",2016-11-14,56,16,0,28,0,0,-7,G Major,4,7icZUVZmjne8XvZQpU1tVU,RUB211600044
30,"Gone","lucidbeatz,Ardeycat",140,8A,44,2023-02-13,02:03,0,"","Gone",2023-01-27,70,18,12,28,0,10,-16,A Minor,4,35nLt1hAF3uciqS79Gpqvh,QZFZ42360835
31,"INFINITY","Petsmpi",115,3B,70,2023-02-15,03:03,16,"drift phonk, phonk","INFINITY",2022-01-21,77,0,74,8,0,10,-9,C♯/D♭ Major,4,0ujKNWWOG0pn3sIgGFakG8,QZFZ32229997
32,"No LoVE :/","Clout Boy Sus",65,8A,72,2023-02-15,01:25,19,"emo rap","No LoVE :/",2021-12-13,37,29,0,37,0,70,-6,A Minor,4,2EZ0wokFKVtIjxMaerw6un,QZRP52197293
33,"Вечно Молодой (Phonk Remix)","Lastfragment",99,8B,80,2023-03-28,02:57,38,"phonk, drift phonk","Вечно Молодой (Phonk Remix)",2023-03-21,56,0,41,35,0,60,-4,C Major,4,7LLTI0Fq0p8y2sy4qspawY,SMRUS0074465
34,"Where's My Love","SYML",104,5A,36,2023-04-03,03:22,79,"","SYML",2019-05-03,60,87,3,37,0,10,-10,C Minor,4,1B62o4CbdL9ckGvwsz2cgn,CAN111700009
35,"Right At Night","RXLZQ",135,9A,43,2023-04-03,02:24,1,"drift phonk, phonk","Right At Night",2022-03-02,50,6,40,3,0,0,-11,E Minor,4,7rglbMK0JGU2YhPUkZmv2C,FR2X42234333
36,"Amnesia","LXST CXNTURY",96,3B,80,2023-04-03,02:55,48,"drift phonk, phonk, witch house","Radical",2020-08-12,41,0,86,22,10,10,-7,C♯/D♭ Major,4,6LhCQJQtieE7KUtvyofLFO,RUA1D2035714
37,"particles","Viliam Lane",93,4B,66,2023-04-17,02:30,0,"phonk, witch house","particles",2021-07-11,70,1,66,10,0,10,-8,G#/A♭ Major,4,0AjoBA8kZDxU9yggK0Ea1h,QZS632164854
38,"Suicide Notes","Lil Wiz",186,10A,37,2023-04-17,03:10,23,"emo rap","Suicide Notes",2018-12-16,69,55,0,5,0,0,-9,B Minor,3,33jaRUgTharP4Sla5dDoTE,QZES91858207
39,"Island","Miley Cyrus",82,4B,78,2023-04-22,03:59,0,"","Endless Summer Vacation",2023-03-10,66,34,0,77,0,60,-6,G#/A♭ Major,4,0lJrPatloYarTbsKciShJu,USSM12209787
40,"Love","MELERY",90,10B,46,2023-04-24,02:30,8,"","Love",2022-01-30,50,9,80,12,20,0,-13,D Major,4,1MR56NsSMGdWMUkIt4vtBX,RUA1H2248877
41,"Save Me","XXXTENTACION",142,8A,20,2023-04-24,02:43,71,"emo rap","17",2017-08-25,73,31,1,19,0,10,-11,A Minor,4,2UwbhMie1EAYuTZ0QXeMwl,USUYG1156896
42,"МЫСЛЕЙ МОРЕ - Idonzzz Remix","Nikitata,Idonzzz",162,10A,95,2023-04-28,02:31,7,"drift phonk, phonk","МЫСЛЕЙ МОРЕ (Idonzzz Remix)",2023-04-21,50,0,0,51,0,0,-4,B Minor,4,4rGRS6TmZryYEdt7NQ5K6C,FRX282386615
43,"Show Me The Will 2","Sx1nxwy,aulol 6eats,LXNGVX",105,1A,57,2023-04-29,03:40,36,"phonk, drift phonk, brazilian phonk","Show Me The Will 2",2022-11-04,74,6,62,49,0,10,-7,G#/A♭ Minor,4,7ukqQeCPly3jpnZdAlAuvz,QMDA62299145
44,"Under My Skin","unknown.beat",180,8B,61,2023-04-29,02:10,0,"","2014",2022-06-28,74,39,1,69,40,10,-8,C Major,4,77G5ee0KG7JzydYYOqRFC0,AEA2L2223351
45,"Waste","HARDX",140,3A,41,2023-05-01,03:04,0,"phonk","Waste",2022-11-15,59,61,33,4,0,10,-11,A#/B♭ Minor,4,75r6Ci06edR9DeIn0ThQ6l,AEA2W2266800
