#,Song,Artist,BPM,Camelot,Energy,Added at,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (db),Key,Time Signature,Spotify Track Id,ISRC
1,"Every Baby Needs a Da Da Daddy","Marilyn Monroe",108,1A,50,2024-09-08,03:03,29,"","Presenting Marilyn Monroe",1953-04-07,41,98,0,49,0,70,-9,G#/A♭ Minor,3,4QVVkxM0VnanJNUkvnkQIl,DEUE22381753
2,"I Wanna Be Loved by You","Marilyn Monroe",127,7B,40,2024-09-08,02:58,34,"","Presenting Marilyn Monroe",1953-04-07,51,70,0,58,0,0,-8,F Major,4,2y8Az6zkzWtLKjx4XzaxaJ,DEUE22381750
3,"You'd Be Surprised","Marilyn Monroe",99,6B,16,2024-09-08,03:02,23,"","Diamonds Are a Girl's Best Friend",2012-00-00,62,75,0,50,0,20,-13,A#/B♭ Major,3,5PEkJnIFnVSkVFfTbEItce,DEBL60496409
4,"My Heart Belongs to Daddy - From  Let's Make Love ","Marilyn Monroe",126,5B,49,2024-09-08,05:00,0,"","Diamonds Are a Girl's Best Friend",2012-02-21,58,85,0,59,30,20,-10,D#/E♭ Major,4,5WwqroAIbfElywP9qoIRi0,DEBL60496411
5,"Let's Make Love","Marilyn Monroe,Frankie Vaughan,Yves Montand",104,3B,25,2024-09-08,04:36,20,"chanson, french jazz, variété française","Let's Make Love",1960-00-00,59,92,0,45,10,10,-12,C♯/D♭ Major,4,4qyQQrJv6LvnrhN6qzsm7B,USSM10305411
6,"Hug Me! Kiss Me! Love Me!","Helen Kane",96,4A,43,2024-09-08,02:15,9,"ragtime","Boop-Boop-A-Doop",1928-12-03,76,96,0,90,40,20,-8,F Minor,4,0Oxo4iRLBjkuFiTfcid7WQ,DEZZ42172053
7,"He Hit Me (It Felt Like a Kiss)","The Crystals",100,10A,32,2024-09-08,02:33,32,"doo-wop, motown","Da Doo Ron Ron: The Very Best of The Crystals",2011-02-22,59,57,0,68,0,10,-9,B Minor,4,2VCsmy8HLJcoin0qTndKIv,USQX91100109
8,"Mister Five by Five","Jimmy Rushing",0,6B,40,2024-09-08,02:02,23,"vocal jazz, big band, swing music, jazz, classic blues","Jazz Stars",2015-02-12,0,56,0,0,0,30,-12,A#/B♭ Major,0,19nykRdY1tTnHXd8i2mGB1,FR10S1585692
9,"After I Say I'm Sorry?","Eddie Fisher",103,6B,7,2024-09-08,02:05,29,"adult standards","Turn Back The Hands Of Time",1951-01-01,52,99,1,54,0,10,-16,A#/B♭ Major,4,7EvkQtvinER1o7rIsO1vs7,QZ5FN2277772
10,"Born Too Late","The Poni-Tails",85,12B,28,2024-09-08,02:19,52,"doo-wop","Born Too Late",2021-00-00,55,82,0,79,0,10,-10,E Major,4,3ZyJfbh2Y9y15f45qY1pDJ,DE1A42140563
