#,Song,Artist,BPM,Camelot,Energy,Added at,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (db),Key,Time Signature,Spotify Track Id,ISRC
1,"9","Dean Blunt,Panda Bear",113,4A,31,2025-11-01,01:27,76,"neo-psychedelic","ZUSHI",2020-03-27,49,28,0,8,0,10,-15,F Minor,5,5JXtkWtuqS8Dm8sKbtPGWa,USYBL2000744
2,"desire machine","spirit blue",112,8A,39,2025-11-01,03:50,37,"","ps / dm",2024-06-12,66,78,40,34,0,10,-16,A Minor,4,0ggTHtuRYmdQxTEs8T32ny,FRX762416583
3,"August 10","Julie Doiron",115,9B,6,2025-11-01,02:58,78,"slowcore","Broken Girl",1996-04-01,51,4,1,35,0,0,-16,G Major,4,0yOf4dgkVq8jbB2zxVK8Zj,US38Y0310260
4,"100","Dean Blunt",102,3A,81,2025-11-01,03:20,72,"","BLACK METAL",2014-11-03,61,0,7,48,0,20,-6,A#/B♭ Minor,4,784VjdNkpXhFV0RHquzsi2,GBCVZ1403577
5,"Waiting","leverfall",101,10B,55,2025-11-01,01:01,71,"","Waiting",2025-01-15,55,96,90,16,0,10,-12,D Major,4,0n20laNpcg84CViNdXbwsE,QZZ4J2401956
6,"Mary - Guitar Version","noturgf",119,10B,26,2025-11-02,02:53,57,"","Mary (Guitar Version)",2023-03-22,71,88,91,67,0,10,-15,D Major,4,0eIOyH8ggzxLWYPnMz71bo,QZLBC2305911
7,"oh, you","tommy oeffling",135,3B,66,2025-11-03,02:14,52,"","tomboy / laundry / oh, you",2023-12-25,53,86,85,51,0,10,-15,C♯/D♭ Major,4,230FpUZFvksvXkmhRZrl33,SE6XY2370573
8,"strangers","proderics,melodybloom",134,9A,63,2025-11-09,02:15,77,"","strangers",2024-03-16,67,69,36,88,0,10,-10,E Minor,4,20tqXTp7TJRtLA8s2vpgEB,QZHN72419814
9,"Soon, Coming Closer","Julie Doiron",97,11B,41,2025-11-09,03:06,51,"slowcore","Broken Girl",1996-04-01,60,59,87,36,0,10,-17,A Major,4,17eCNcVONIKUykIalDYGYU,US38Y0310259
10,"resonance - midwest emo version","jacal",85,4B,82,2025-11-11,03:39,67,"","resonance (midwest emo version)",2023-06-30,24,0,90,29,0,10,-5,G#/A♭ Major,4,0luw44Of3IgnW2CHRnW2f7,QT2VB2470694
11,"Her","The American Dawn",103,2A,60,2025-11-11,03:34,79,"","Her",2024-07-26,66,1,1,53,0,0,-8,D#/E♭ Minor,4,2vlkTkPqdATznKHu9gD2c1,QZTAW2475627
12,"Crystal of Faded Childhood","Kairi The Maid",180,6A,56,2025-11-24,06:00,59,"","Mist of Zheleznogorsk",2024-06-27,26,65,88,8,0,10,-6,G Minor,4,5FPVJ9CjgvPgGLfNugCUsg,AEA2M2460149
13,"5","Dean Blunt,Elias Rønnenfelt",102,9A,78,2025-12-01,02:00,70,"","lucre",2025-02-07,70,1,48,27,0,10,-3,E Minor,4,7CK4bpTIiYWYp478jgSlgp,UKQNV2500022
14,"regretful","leverfall",96,1A,39,2025-12-13,01:22,65,"","April & June",2025-04-24,64,19,93,21,0,10,-14,G#/A♭ Minor,4,4lJjC7xGtEg1tZH4KOSSuv,QZMEQ2579528
15,"why","h4teboy",190,12A,74,2025-12-16,01:29,71,"","kms2",2025-06-06,61,85,95,46,0,10,-7,C♯/D♭ Minor,4,7e0sd39oELbsd5pG4KTh3G,GXBNP2543096
16,"Warmpop","ESPRIT 空想,George Clanton",90,3B,77,2026-02-03,02:52,72,"vaporwave, plunderphonics, chillwave","200% Electronica",2017-11-17,42,0,85,19,0,30,-8,C♯/D♭ Major,4,0Ubp7kMZ6MWZIL8qkloYub,FRIDO1710384
17,"escape","jacal",140,1B,44,2026-03-04,03:15,60,"","escape",2025-03-23,46,53,93,14,0,10,-15,B Major,4,2C4uXFyCjXo7F2OVPDxVLY,QZK6P2511752
18,"Hit #2","125 Rue Montmartre",158,8B,58,2026-03-23,02:42,61,"midwest emo, math rock, slowcore, screamo","Discography",2019-06-28,34,0,80,7,0,10,-14,C Major,4,4eXpNnNOexUoA89KpWSpU3,DELJ81932935
