#,Song,Artist,BPM,Camelot,Energy,Added at,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (db),Key,Time Signature,Spotify Track Id,ISRC
1,"Funeral","Phoebe Bridgers",171,1B,26,2026-01-27,03:52,71,"","Stranger in the Alps",2017-09-22,22,95,0,31,0,0,-14,B Major,4,3rJDsZjIaCfJQSqRUvl0BM,USJ5G1714203
2,"Sidelines","Phoebe Bridgers",180,6B,54,2026-01-27,04:24,72,"","Sidelines",2022-04-15,41,52,39,4,0,10,-9,A#/B♭ Major,4,4SKvKJaqkRl1bUZWEqTYzl,USJ5G2232201
3,"Hard Times","Ethel Cain",107,6B,36,2026-01-27,05:03,62,"southern gothic","Preacher’s Daughter",2022-05-12,49,38,1,15,0,20,-11,A#/B♭ Major,3,7JPmhsHbjaDGmTCKBZxVVU,GBKPL2294755
4,"Saturn","Sleeping At Last",145,5B,24,2026-01-27,04:49,72,"","Atlas: I",2014-07-08,17,64,31,4,0,10,-14,D#/E♭ Major,4,3tJjZMHLqhD8DaGgdBICnc,USGES1480018
5,"I Found","Amber Run",125,6A,30,2026-01-27,04:33,74,"","5AM (Expanded Edition)",2015-04-20,57,86,1,25,0,10,-12,G Minor,4,5zT5cMnMKoyruPj13TQXGx,GBARL1400303
6,"Anchor","Novo Amor",117,11B,41,2026-01-27,04:17,81,"ambient folk","Bathing Beach",2017-05-26,46,81,88,13,0,10,-11,A Major,4,7qH9Z4dJEN0l9bidizW7fq,TCACI1562836
7,"Where's My Love","SYML",104,5A,36,2026-01-27,03:22,79,"","SYML",2019-05-03,60,87,3,37,0,10,-10,C Minor,4,1B62o4CbdL9ckGvwsz2cgn,CAN111700009
8,"State Lines","Novo Amor",137,11B,31,2026-01-27,03:28,75,"ambient folk","Birthplace",2018-10-19,51,96,23,15,0,10,-11,A Major,3,7CoMBpPTwQi2wPT0U0Nr9b,GB45A1800990
9,"Shape Of My Heart","Sting",84,11A,37,2026-01-27,04:39,79,"soft rock","Ten Summoner's Tales",1993-03-01,54,69,0,24,0,0,-10,F#/G♭ Minor,4,6CKoWCWAqEVWVjpeoJXyNH,GBAAM9390010
10,"Matilda","Harry Styles",114,10B,29,2026-01-27,04:05,84,"","Harry's House",2022-05-20,51,90,0,39,0,10,-10,D Major,4,6uvh0In7u1Xn4HgxOfAn8O,USSM12200615
11,"Fine Line","Harry Styles",121,10B,35,2026-01-27,06:17,81,"","Fine Line",2019-12-13,31,17,0,5,0,0,-9,D Major,4,6VzcQuzTNTMFnJ6rBSaLH9,USSM11912596
12,"Fourth of July","Sufjan Stevens",120,11A,10,2026-01-27,04:39,80,"baroque pop","Carrie & Lowell",2015-03-31,44,97,33,16,0,10,-22,F#/G♭ Minor,4,5Qnrgqy1pAm9GyNQOgyVFz,US64G1509906
13,"Medicine","Daughter",95,5B,32,2026-01-27,04:18,66,"","The Wild Youth EP",2011-11-21,22,14,24,19,0,60,-12,D#/E♭ Major,3,2I07Lbee7UvoAdlTAl37AM,GB6TW1100049
14,"i love you","Billie Eilish",137,8B,13,2026-01-27,04:51,83,"","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29,42,95,0,12,0,10,-18,C Major,4,6CcJMwBtXByIz4zQLzFkKc,USUM71900773
15,"Touch","Sleeping At Last",82,8B,10,2026-01-27,04:16,67,"","Atlas: II",2019-11-01,42,96,0,18,0,10,-12,C Major,3,4g2WiijzSKzH8PApKDbadN,USGES1908005
16,"Not About Angels","Birdy",117,8B,11,2026-01-27,03:09,72,"","Not About Angels",2014-04-13,41,96,0,22,0,0,-12,C Major,4,5sF7hdYvhrcgNq8NZjfK8L,USAT21401449
17,"Light","Sleeping At Last",105,8B,39,2026-01-27,04:22,64,"","Atlas: I",2014-07-08,25,53,1,4,0,0,-9,C Major,4,5uq3x8Pg8HAj8qNwPFOzfl,USGES1480006
18,"Are You With Me","nilu",84,11B,41,2026-01-27,04:09,62,"","Are You With Me",2018-01-24,17,69,0,6,0,10,-9,A Major,4,401MfYscl2EMF4nDbnbG0K,QZ5AB1848820
19,"Falling Apart","Michael Schulte",110,6A,33,2026-01-27,03:18,69,"","Hold the Rhythm",2017-04-28,54,82,0,26,0,10,-9,G Minor,4,0aIW3ekrhK1eh3BYCh11op,DEPT21700006
20,"when the party's over","Billie Eilish",83,12B,11,2026-01-27,03:16,85,"","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29,37,98,0,20,10,0,-14,E Major,4,43zdsphuZLzwA9k4DJhU0I,USUM71815958
21,"I Know The End","Phoebe Bridgers",112,3B,32,2026-01-27,05:44,77,"","Punisher",2020-06-18,32,33,2,26,0,20,-10,C♯/D♭ Major,4,0pJW1Xw3aY4Eh6k5iuBkfI,USJ5G2020011
22,"TV","Billie Eilish",140,9A,24,2026-01-27,04:41,83,"","Guitar Songs",2022-07-21,41,83,1,12,0,10,-15,E Minor,4,3GYlZ7tbxLOxe6ewMNVTkw,USUM72213724
23,"Memories","Conan Gray",113,1B,68,2026-01-27,04:08,80,"","Superache",2022-06-24,34,1,0,56,0,30,-6,B Major,4,5UXJzLFdBn6u9FJTCnoHrH,USUM72204111
24,"Astronomy","Conan Gray",145,9A,34,2026-01-27,04:03,73,"","Superache",2022-06-24,47,58,0,15,0,30,-9,E Minor,3,2JN3ugW1cEahbYw0I5mw5U,USUM72106337
25,"Getting Older","Billie Eilish",160,6B,13,2026-01-27,04:04,73,"","Happier Than Ever",2021-07-30,60,97,12,37,10,10,-17,A#/B♭ Major,4,4HOryCnbme0zBnF8LWij3f,USUM72105922
26,"The Night We Met","Lord Huron",174,10B,38,2026-01-27,03:28,90,"","Strange Trails",2015-04-07,44,97,27,11,0,60,-10,D Major,3,5yJaXWIErrrsjQ3J0eR5aK,US53Q1200103
27,"Turning Page","Sleeping At Last",115,5B,37,2026-01-27,04:15,71,"","Turning Page",2012-06-18,31,92,3,19,0,10,-8,D#/E♭ Major,3,2kfGoV9a5dbSKCNmUWH2ZF,USGES1190004
28,"Six Feet Under","Billie Eilish",68,10A,31,2026-01-27,03:09,74,"","Six Feet Under",2016-11-17,58,81,0,16,0,0,-13,B Minor,4,2VlLbhGLVJgdOW7kKdWWFc,TCACP1646299
29,"Sorry","Halsey",74,4A,25,2026-01-27,03:40,70,"","hopeless fountain kingdom (Deluxe Plus)",2017-06-02,51,91,0,35,0,10,-9,F Minor,4,3IgUCMkHS4RgHdngIlporF,USUM71702216
30,"Water Fountain","Alec Benjamin",134,4B,50,2026-01-27,03:38,73,"","Narrated For You",2018-11-16,72,39,0,55,0,0,-6,G#/A♭ Major,4,4IhKLu7Vk3j2TLmnFPl6To,USAT21811720
31,"Family Line","Conan Gray",154,2B,40,2026-01-27,03:36,76,"","Superache",2022-06-24,33,62,0,28,0,10,-8,F#/G♭ Major,3,0iNZGC211wst3VjtobNnC5,USUM72204108
32,"Love In The Dark","Adele",110,8A,34,2026-01-27,04:45,81,"soft pop","25",2015-11-20,33,53,0,15,0,10,-6,A Minor,4,0DuWDLjriRPjDRoPgaCslY,GBBKS1500221
33,"Mr. Forgettable","David Kushner",145,1A,41,2026-01-27,03:07,72,"","Footprints I Found",2022-09-16,56,55,0,29,0,10,-9,G#/A♭ Minor,4,3lJD5BzSARTxNj1OYRyraX,QZD5H2000390
34,"We Hug Now","Sydney Rose",120,8B,33,2026-01-27,04:08,80,"","We Hug Now",2025-02-13,37,71,0,21,0,10,-11,C Major,4,7zFio8WT0tTBqLs1pXYKqy,QZNWP2551442
35,"The Cut That Always Bleeds","Conan Gray",136,8B,41,2026-01-27,03:51,84,"","Kid Krow",2020-03-20,49,59,0,25,0,0,-6,C Major,4,7wTqEW5nrMhvyEhEyTnOMd,USUM71924260
36,"Male Fantasy","Billie Eilish",111,10B,29,2026-01-27,03:14,73,"","Happier Than Ever",2021-07-30,69,86,0,31,0,10,-10,D Major,4,4ak9GGe6afmi2HbxEjvhIC,USUM72105937
37,"Someone To Stay","Vancouver Sleep Clinic",109,3B,47,2026-01-27,04:14,74,"","Revival",2017-04-07,44,59,0,24,0,10,-7,C♯/D♭ Major,4,2xlV2CuWgpPyE9e0GquKDN,USQX91503233
38,"You Are Enough","Sleeping At Last",118,3B,50,2026-01-27,03:00,67,"","Atlas: I",2014-07-08,59,71,0,47,0,0,-9,C♯/D♭ Major,4,1Wdj4wRDYS7aT4CoPS0mAH,USGES1480007
39,"Fire On Fire","Sam Smith",115,12A,41,2026-01-27,04:06,78,"soft pop","Love Goes",2020-10-30,58,48,0,33,0,10,-7,C♯/D♭ Minor,4,7t3Xdbufg7q2onVsR8RBdY,GBUM71807533
40,"Be Alright","Dean Lewis",126,1B,54,2026-01-27,03:16,78,"","A Place We Knew",2019-03-22,55,71,0,49,0,0,-8,B Major,4,5qrSlOut2rNAWv3ubArkNy,AUUM71800255
41,"You Are The Reason","Calum Scott",171,6B,24,2026-01-27,03:24,80,"soft pop","Only Human (Deluxe)",2018-03-09,33,92,0,22,0,10,-8,A#/B♭ Major,3,69vToJ9BMbbLlFZo7k7A7B,USUM71710315
42,"Train Wreck","James Arthur",77,11A,49,2026-01-27,03:28,78,"soft pop","Back from the Edge",2016-10-28,31,70,0,23,0,0,-6,F#/G♭ Minor,4,55Am8neGJkdj2ADaM3aw5H,DEE861600590
43,"Sailor Song","Gigi Perez",95,1B,39,2026-01-27,03:31,89,"","At The Beach, In Every Life",2025-04-25,50,63,0,27,0,10,-10,B Major,4,21IYMdzTrzSe191Cy5eMap,USHM92438095
44,"WILDFLOWER","Billie Eilish",148,11A,25,2026-01-27,04:21,93,"","HIT ME HARD AND SOFT",2024-05-17,47,61,0,13,0,10,-12,F#/G♭ Minor,4,3QaPy1KgI7nu9FJEQUgn6h,USUM72401993
45,"You’re Gonna Go Far","Noah Kahan",170,9B,36,2026-01-27,04:46,82,"","Stick Season (We'll All Be Here Forever)",2023-06-09,59,56,0,37,0,10,-10,G Major,4,4nHJcUtNSUVjXRnjdP29Bk,USUM72307687
