#,Song,Artist,BPM,Camelot,Energy,Added at,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (db),Key,Time Signature,Spotify Track Id,ISRC
1,"Linger","The Cranberries",95,9B,43,2023-07-21,04:34,87,"","Everybody Else Is Doing It, So Why Can't We?",1993-03-01,44,8,0,20,0,10,-15,G Major,4,0gEyKnHvgkrkBM6fbeHdwK,USIR29300085
2,"Fade Into You","Mazzy Star",157,11B,33,2023-07-21,04:55,87,"dream pop, shoegaze, slowcore","So Tonight That I Might See",1993-10-05,42,25,0,18,0,0,-14,A Major,3,1LzNfuep1bnAUR9skqdHCK,USCA29300105
3,"Duvet","bôa",93,10A,89,2023-07-21,03:23,86,"","Twilight",2001-03-21,58,19,0,71,0,0,-9,B Minor,4,42qNWdLKCI41S4uzfamhFM,USCGJ0659337
4,"1979 - Remastered 2012","The Smashing Pumpkins",127,5B,79,2023-07-21,04:26,80,"alternative rock, rock","Mellon Collie And The Infinite Sadness (Deluxe Edition)",1995-00-00,77,2,58,96,0,0,-10,D#/E♭ Major,4,5QLHGv0DfpeXLNFo7SFEy1,USVI21200910
5,"Kiss Me","Sixpence None The Richer",100,5B,75,2023-07-21,03:28,86,"","Sixpence None The Richer",1997-11-22,53,2,0,42,0,0,-7,D#/E♭ Major,4,754kgU5rWscRTfvlsuEwFp,USEE19900312
6,"She's so High","Tal Bachman",124,11B,84,2023-07-21,03:44,74,"","Tal Bachman",1999-02-23,54,20,0,21,0,10,-5,A Major,4,7mnGQesk1TzQLzQ9bYWZPR,USSM19802720
7,"Sea, Swallow Me","Cocteau Twins,Harold Budd",164,8B,67,2023-07-21,03:09,65,"dream pop, shoegaze, gothic rock, ambient, minimalism","The Moon and the Melodies",1986-11-10,45,59,24,83,0,20,-13,C Major,3,7vPHiwgCOAjSBRjAirbMvS,GBAFL8600048
8,"Everlong","Foo Fighters",158,10A,88,2023-07-21,04:10,87,"rock, post-grunge, alternative rock, grunge","The Colour And The Shape",1997-05-20,41,0,0,36,0,0,-6,B Minor,4,5UWwZ5lm5PKu6eKsHAGxOk,USRW29600011
9,"Thank You","Dido",80,12A,60,2023-07-21,03:37,61,"","No Angel",1999-06-01,72,28,0,74,0,0,-10,C♯/D♭ Minor,4,751gBcu62kORDelX7FV0mM,USAR19900870
10,"Dreams","The Cranberries",129,12B,65,2023-07-21,04:31,84,"","Everybody Else Is Doing It, So Why Can't We?",1993-03-01,55,0,0,51,0,40,-13,E Major,4,4JGKZS7h4Qa16gOU3oNETV,USIR29300080
11,"There She Goes","The La's",123,9B,85,2023-07-21,02:42,64,"britpop, jangle pop","The La's (Deluxe Edition)",1990-00-00,54,1,74,91,0,10,-7,G Major,4,0SMkzFGJOBFDI9KfYD55L0,GBAQT8800001
12,"There Is a Light That Never Goes Out - 2011 Remaster","The Smiths",136,12B,77,2023-07-21,04:04,85,"new wave, madchester, jangle pop","The Queen Is Dead",1986-06-16,52,4,0,88,0,10,-6,E Major,4,0WQiDwKJclirSYG9v5tayI,GBCRL1100054
13,"Angeles","Elliott Smith",118,9A,10,2023-07-21,02:57,59,"singer-songwriter","Either/Or",1997-02-25,53,86,28,60,0,10,-24,E Minor,4,0Ziohm1Ku8E2yUDYoclfhO,USKRS0326909
14,"The Man Who Sold The World - Live","Nirvana",115,12A,75,2023-07-21,04:21,79,"grunge, rock","MTV Unplugged In New York",1994-11-01,48,43,0,42,0,20,-9,C♯/D♭ Minor,4,15VRO9CQwMpbqUYA7e6Hwg,USGF19972704
15,"This Charming Man - 2011 Remaster","The Smiths",104,1B,85,2023-07-21,02:42,80,"new wave, madchester, jangle pop","The Smiths",1984-02-20,61,1,0,75,0,0,-6,B Major,4,1FvDJ9KGxcqwv1utyPL3JZ,GBCRL1100240
16,"Bitter Sweet Symphony - Remastered 2016","The Verve",171,11B,92,2023-07-21,05:57,86,"britpop, shoegaze","Urban Hymns (Remastered 2016)",1997-09-29,36,3,0,52,0,40,-6,A Major,4,57iDDD9N9tTWe75x6qhStw,GBUM71601816
17,"Where Is My Mind? - 2007 Remaster","Pixies",81,12B,44,2023-07-21,03:54,80,"alternative rock","Surfer Rosa (2007 Remaster)",1988-03-21,52,2,0,25,0,0,-14,E Major,4,7wCmS9TTVUcIhRalDYFgPy,GBAFL0700145
18,"Ode To My Family","The Cranberries",94,9B,44,2023-07-21,04:31,10,"","No Need To Argue (The Complete Sessions 1994-1995)",1994-10-03,37,5,0,15,0,30,-10,G Major,4,5kcsc92tGAjS0uvhDY3Mok,USIR29400440
19,"Creep","Radiohead",92,9B,43,2023-07-21,03:58,6,"art rock, alternative rock","Pablo Honey",1993-02-22,52,1,0,10,0,10,-10,G Major,4,6b2oQwSGFkzsMtQruIWm2p,GBAYE9200070
20,"Doll Parts","Hole",205,9B,54,2023-07-21,03:31,62,"riot grrrl, grunge","Live Through This",1994-01-01,25,15,0,37,0,10,-7,G Major,4,49t1GWE6ZiEoBgN92oMDdM,USGF19963106
21,"Cherry Waves","Deftones",124,10B,86,2023-07-21,05:17,80,"nu metal, alternative metal, rap metal, shoegaze, rock","Saturday Night Wrist",2006-10-25,47,0,1,17,0,10,-4,D Major,4,70L6nHORQsblY813yNqUR3,USMV20600284
22,"Here Comes Your Man","Pixies",125,10B,80,2023-07-21,03:21,73,"alternative rock","Doolittle",1989-04-17,67,1,8,88,0,40,-11,D Major,4,4IvZLDtwBHmBmwgDIUbuwa,GBAFL9700090
23,"How Soon Is Now? - 2011 Remaster","The Smiths",191,1B,93,2023-07-21,06:48,74,"new wave, madchester, jangle pop","Hatful of Hollow",1984-00-00,40,0,12,73,0,0,-7,B Major,4,1YrnDTqvcnUKxAIeXyaEmU,GBCRL1100068
24,"Bullet With Butterfly Wings - Remastered 2012","The Smashing Pumpkins",122,3A,72,2023-07-21,04:18,78,"alternative rock, rock","Mellon Collie And The Infinite Sadness (Deluxe Edition)",1995-00-00,40,0,84,48,0,0,-9,A#/B♭ Minor,4,6GtX0jaNL8IjVQfrDBx81z,USVI21200897
25,"When You Sleep","my bloody valentine",129,1B,82,2023-07-21,04:11,48,"shoegaze, dream pop, slowcore, noise rock","Loveless",1991-11-04,40,0,79,14,0,20,-12,B Major,4,3HfEgAaf0koxBpBB8NvGda,USWB10101907
26,"Alison","Slowdive",102,12B,45,2023-07-21,03:50,66,"shoegaze, dream pop, slowcore","Souvlaki",1993-00-00,28,1,78,28,0,10,-11,E Major,4,33HRECrmuelZxOpid6XTNX,GBBQY0400035
27,"A Letter To Elise","The Cure",150,11B,59,2023-07-21,05:12,59,"new wave, post-punk, gothic rock, darkwave","Wish",1992-04-20,53,19,0,80,0,20,-13,A Major,4,7mEGddVRDdESAibWOnbXoA,GBALB9200003
28,"When It's Over - David Kahne Main","Sugar Ray",100,12B,78,2023-07-21,03:37,63,"","Sugar Ray",2001-06-12,68,4,0,93,0,30,-6,E Major,4,5ZsPy9wHH733NlU6c4v2Hi,USAT20102062
29,"Lovefool","The Cardigans",112,11B,64,2023-07-21,03:13,85,"swedish pop","First Band On The Moon (Remastered)",1996-01-01,70,3,0,89,0,30,-6,A Major,4,7aQjPecQdIuNd1sz3KCDhD,SEBKB9629380
