#,Song,Artist,BPM,Camelot,Energy,Added at,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (db),Key,Time Signature,Spotify Track Id,ISRC
1,"Apocalypse","Cigarettes After Sex",94,7B,47,2023-09-03,04:50,4,"dream pop","Cigarettes After Sex",2017-06-09,37,2,46,17,0,10,-9,F Major,4,3AVrVz5rK8Hrqo9YGiVGN5,USBQU1700034
2,"Je te laisserai des mots","Patrick Watson",133,10B,19,2023-09-03,02:40,6,"","Je te laisserai des mots",2010-09-10,30,99,50,21,0,10,-17,D Major,4,0V5cvmTKsYmF5FmGGEAfmS,CA0RZ1000020
3,"Fade Into You","Mazzy Star",157,11B,33,2023-09-03,04:55,87,"dream pop, shoegaze, slowcore","So Tonight That I Might See",1993-10-05,42,25,0,18,0,0,-14,A Major,3,1LzNfuep1bnAUR9skqdHCK,USCA29300105
4,"Rosyln","Bon Iver,St. Vincent",160,3A,28,2023-09-03,04:49,76,"art pop","The Twilight Saga: New Moon (Original Motion Picture Soundtrack)",2009-10-16,33,97,2,12,0,10,-13,A#/B♭ Minor,3,4k7x3QKrc3h3U0Viqk0uop,USAT20903243
5,"Sparks","Coldplay",103,3B,27,2023-09-03,03:47,91,"","Parachutes",2000-07-10,37,75,5,17,0,10,-11,C♯/D♭ Major,3,7D0RhFcb3CrfPuTJ0obrod,GBAYE0000569
6,"Space Song","Beach House",147,5A,79,2023-09-03,05:20,78,"dream pop","Depression Cherry",2015-08-28,51,23,12,60,0,10,-7,C Minor,4,7H0ya83CMmgFcOhw0UB6ow,USSUB1512203
7,"La Vie en rose","Édith Piaf",82,6A,28,2023-09-04,03:07,61,"chanson, variété française, french jazz","Edith Piaf - The Best Of",2008-10-13,37,98,0,34,0,20,-9,G Minor,4,3lAun9V0YdTlCSIEXPvfsY,FRZ114700100
8,"No Surprises","Radiohead",76,7B,39,2023-09-07,03:49,87,"art rock, alternative rock","OK Computer",1997-05-28,26,6,0,12,0,10,-11,F Major,4,10nyNJ6zNy2YVYLrcwLccB,GBAYE9700386
9,"Sea, Swallow Me","Cocteau Twins,Harold Budd",164,8B,67,2023-09-07,03:09,65,"dream pop, shoegaze, gothic rock, ambient, minimalism","The Moon and the Melodies",1986-11-10,45,59,24,83,0,20,-13,C Major,3,7vPHiwgCOAjSBRjAirbMvS,GBAFL8600048
10,"Good Looking","Suki Waterhouse",150,12B,55,2023-09-07,03:34,24,"","Good Looking",2022-08-18,37,8,0,26,0,10,-9,E Major,3,0j3mqDTK4Z6lvrLzFCUUz6,QZ9Y21712533
11,"Fourth of July","Sufjan Stevens",120,11A,10,2023-09-07,04:39,80,"baroque pop","Carrie & Lowell",2015-03-31,44,97,33,16,0,10,-22,F#/G♭ Minor,4,5Qnrgqy1pAm9GyNQOgyVFz,US64G1509906
12,"Possibility","Lykke Li",118,8B,31,2023-09-07,05:06,61,"","The Twilight Saga: New Moon (Original Motion Picture Soundtrack)",2009-10-16,28,77,0,8,0,0,-10,C Major,4,39Odj4vLKRarATkCA31gaW,USAT20903256
13,"Francis Forever","Mitski",102,10B,45,2024-01-20,02:29,74,"","Bury Me At Makeout Creek",2014-11-11,54,0,0,32,0,10,-9,D Major,4,5411TEB6tlzvuF5A4oyldr,USA2B1511605
14,"Poison Tree","Grouper",111,1B,14,2024-08-02,03:16,75,"drone, ambient, slowcore, dream pop","Inca Ore / Grouper",2008-06-03,22,96,91,21,0,10,-23,B Major,4,6Q5uDNuuFYa8ToL3CCoHPC,QMFMF2125817
15,"Little Gray Cat","Grouper",75,3B,6,2024-08-02,04:25,42,"drone, ambient, slowcore, dream pop","Inca Ore / Grouper",2008-06-03,10,98,96,6,0,10,-23,C♯/D♭ Major,5,1Sllhw0OERRlTU9tjFpbW3,QMFMF2125816
16,"Alien Observer","Grouper",76,8A,8,2024-08-02,03:56,54,"drone, ambient, slowcore, dream pop","A I A: Alien Observer",2011-04-11,22,99,60,17,0,20,-23,A Minor,3,35VfLKymw2iZKWnLTvm8Xv,USI4R1057761
17,"A Quick One Before the Eternal Worm Devours Connecticut","Have A Nice Life",75,11B,17,2024-08-02,07:52,65,"shoegaze, slowcore","Deathconsciousness",2008-01-01,37,61,93,4,0,30,-19,A Major,3,34dkZZNQJzEJRqPkywYmEY,USA2Z1410810
