#,Song,Artist,BPM,Camelot,Energy,Added at,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (db),Key,Time Signature,Spotify Track Id,ISRC
1,"Everything Happens To Me - Complete Take 2","Chet Baker",114,4B,3,2024-02-23,03:38,30,"jazz, cool jazz, vocal jazz, jazz ballads","Chet In Paris: Everything Happens To Me - The Complete Barclay Recording Vol. 2",1988-10-06,51,94,0,16,0,10,-25,G#/A♭ Major,4,1FjIeuSHpU3x2J8cKCbc6r,FRZ015501030
2,"The Best Things in Life Are Free","Erroll Garner",143,4B,31,2023-05-17,03:31,0,"jazz, jazz ballads, cool jazz","The Best Things in Life Are Free",2019-08-30,51,86,94,49,0,10,-14,G#/A♭ Major,4,3z2j8gQJwJlj3nSApcCfSe,USMAR1915809
3,"Red Sails In The Sunset","Erroll Garner",127,7B,23,2023-05-17,02:44,10,"jazz, jazz ballads, cool jazz","Greatest Hits",2011-06-14,58,98,93,77,0,10,-22,F Major,4,3DsfxqlxVjaVHbTgleCpdD,USLN71111444
4,"Undecided","Erroll Garner",82,4A,31,2023-05-17,02:42,30,"jazz, jazz ballads, cool jazz","The Complete Savoy Master Takes",1998-10-06,63,89,95,70,0,10,-14,F Minor,4,2VziQvGi2gTuUdwj81Ubag,USSJ10150082
5,"Misty - Remastered 2020","Erroll Garner",179,7B,14,2023-05-17,02:47,52,"jazz, jazz ballads, cool jazz","Gemini (Octave Remastered Series)",2020-04-17,33,95,88,14,0,0,-20,F Major,1,2yiISACbYnL2hApy1ffKKs,USMAR2016609
6,"Wild Music","Erroll Garner",132,8A,57,2023-05-17,05:06,31,"jazz, jazz ballads, cool jazz","Ready Take One",2016-09-30,50,86,82,57,0,10,-13,A Minor,4,7wS94SSkAxwYiCsauxuqWc,USQX91601711
7,"Back to You","Erroll Garner",89,4B,27,2023-05-17,05:25,19,"jazz, jazz ballads, cool jazz","Ready Take One",2016-09-30,34,93,89,19,0,0,-14,G#/A♭ Major,4,3Z6axggqpYNPDVCJeq2ehI,USQX91601705
8,"Night and Day","Erroll Garner",110,2B,41,2023-05-17,04:25,16,"jazz, jazz ballads, cool jazz","Ready Take One",2016-09-30,61,81,92,26,0,0,-13,F#/G♭ Major,4,42Rb1hcDPf1ZNgEe2Eqt6m,USQX91601710
9,"Chase Me","Erroll Garner",127,8B,45,2023-05-17,02:57,14,"jazz, jazz ballads, cool jazz","Ready Take One",2016-09-30,56,78,62,61,0,20,-15,C Major,1,0RCKsSFtr266z9XcMkZiUe,USQX91601709
10,"Latin Digs","Erroll Garner",121,5A,45,2023-05-17,05:27,17,"jazz, jazz ballads, cool jazz","Ready Take One",2016-09-30,66,82,89,81,0,0,-14,C Minor,4,6yCiQdUrGE34kpeqbE5vIa,USQX91601707
11,"Stella By Starlight","Erroll Garner",107,6B,38,2023-05-17,04:50,16,"jazz, jazz ballads, cool jazz","Ready Take One",2016-09-30,57,80,94,54,0,10,-14,A#/B♭ Major,4,0baJTrGbFuqy25okQmvIIe,USQX91601713
12,"Down Wylie Avenue","Erroll Garner",124,4A,34,2023-05-17,05:29,14,"jazz, jazz ballads, cool jazz","Ready Take One",2016-09-30,63,79,94,44,0,20,-14,F Minor,4,5CdZRlf1Jp6T845AKip2rO,USQX91601712
13,"My One And Only Love","John Coltrane,Johnny Hartman",122,8B,7,2023-05-17,04:54,0,"jazz, hard bop, free jazz, bebop, jazz ballads, cool jazz, vocal jazz","John Coltrane & Johnny Hartman",1963-00-00,47,98,0,20,0,10,-18,C Major,4,1HEGcv63IZ7TPncpVKdVdN,USMC16353721
14,"Chloe","Joe Pass",151,6A,19,2023-05-17,05:21,49,"jazz, bebop, jazz ballads, vocal jazz, hard bop","Intercontinental",2014-07-11,48,94,88,51,0,10,-22,G Minor,4,0cNc2tivyPqzgp13BSM7St,DEPI81302577
15,"My Foolish Heart","Bill Evans Trio",114,11B,12,2023-05-17,04:57,61,"jazz, jazz ballads, cool jazz, hard bop","Waltz For Debby (Original Jazz Classics Remaster 2010)",1961-00-00,40,94,41,14,0,70,-23,A Major,4,6yKkA8HzwWTZ5taIMaG4Nm,USC4R1016848
16,"Maybe Some Other Time","Magnus Ringblom Quartet",69,11B,24,2023-05-17,03:43,40,"jazz","As Life Turns Around",2019-07-26,35,98,7,31,0,10,-10,A Major,4,1ih4edYGz6a5bP9vuabZM4,SE5Q51901315
17,"Enjoy Your Cigar","Magnus Ringblom Quartet",126,5B,37,2023-05-17,03:42,43,"jazz","Sunset Martini",2022-07-15,70,51,85,60,0,10,-14,D#/E♭ Major,4,5WaOOx9Q5BJhJAfQaxnaaN,SE5Q52200770
18,"Last Ride Home","Magnus Ringblom Quartet",90,9B,14,2023-05-17,03:13,44,"jazz","The Gotland Session",2016-06-16,63,93,95,9,0,10,-19,G Major,4,22QZgO76vLjdpZY161iF72,SE5Q51700469
19,"No Other Woman","Magnus Ringblom Quartet",80,1B,0,2023-05-17,02:15,30,"jazz","The Gotland Session",2016-06-16,42,94,94,39,0,10,-22,B Major,4,6DjroQC7VdOOzC1DbwnKL4,SE5Q51700471
20,"Open Mind","Magnus Ringblom Quartet",80,4B,15,2023-05-17,03:43,28,"jazz","Open Mind",2022-03-18,52,98,54,14,0,10,-10,G#/A♭ Major,4,3ODKzLgzGnXzng8SCTadRc,SE5Q52104515
21,"I Know You Know","Esperanza Spalding",89,7A,44,2023-03-15,03:45,0,"vocal jazz, jazz, jazz pop","We Got Soul",2020-07-17,58,74,1,80,0,10,-11,D Minor,4,72jeP3lqhwzXz982e9p4JA,USHU20814002
22,"Autumn Leaves","Chet Baker",187,4A,61,2023-05-17,07:02,54,"jazz, cool jazz, vocal jazz, jazz ballads","Jazz Moods - Cool",1974-00-00,35,79,45,60,0,10,-11,F Minor,4,1QlTNF43OyKK9BorIRsJ8o,USSM10021825
23,"The Last Time I Saw Paris","Johnny Hodges",82,8B,1,2023-05-20,02:54,53,"jazz, jazz ballads, cool jazz, swing music","Not So Dukish",1958-11-20,55,99,6,52,0,10,-21,C Major,4,1CgkKs5fgX1BiYyYZ6ZzZE,USPR35800048
24,"She's Alive","Bremer/McCoy",59,7A,3,2023-05-20,02:11,40,"ambient jazz","Forsvinder",2016-09-17,51,99,93,25,0,10,-28,D Minor,4,1GLnM2xHIG9DdLGESEEA6n,USAR10301004
25,"I Fall In Love Too Easily","Bill Evans Trio",103,8A,8,2023-05-20,02:42,0,"jazz, jazz ballads, cool jazz, hard bop","Moon Beams [Original Jazz Classics Remasters]",1962-00-00,48,96,87,12,0,10,-19,A Minor,4,1wnbi9NzQPBCobZ6OYCpqH,USC4R1200699
26,"I Can't Get Started","Lester Young,Oscar Peterson Trio",117,8B,2,2023-05-20,03:37,56,"jazz, cool jazz, bebop, jazz ballads, hard bop","The President Plays With The Oscar Peterson Trio",1959-06-02,59,98,69,17,0,10,-21,C Major,4,0kC4Rrdb4B4hAgt3PMoARe,USF095925110
27,"Blue And Sentimental","Oscar Peterson",70,2A,11,2023-05-20,02:26,58,"jazz, jazz ballads, cool jazz, bebop, hard bop","Oscar Peterson Plays Count Basie",1956-01-01,55,98,87,12,0,10,-25,D#/E♭ Minor,4,78ntGe4xyecZHg9exQWwK6,USGR10301258
28,"Michelle","Yusef Lateef",77,7A,9,2023-05-20,01:44,54,"jazz, hard bop, free jazz, avant-garde","Suite 16",1970-00-00,39,98,92,22,0,10,-21,D Minor,3,3YmxwafE7wiBGOM7WnWdY3,USAT20402472
29,"Making Sure","Magnus Ringblom Quartet",117,7B,16,2023-05-20,03:07,33,"jazz","The Gotland Session",2016-06-16,62,92,78,27,0,10,-15,F Major,4,2lEQG1h0oDbydovy9mwBFQ,SE5Q51700476
30,"I'm In The Mood For Love","Erroll Garner",135,3B,11,2023-05-20,02:55,50,"jazz, jazz ballads, cool jazz","The Complete Savoy Master Takes",1998-10-06,56,90,80,36,0,10,-15,C♯/D♭ Major,4,50G4bmpZt73jslY5PzymvY,USSJ10150079
31,"Dreamin'","Hara Noda",118,7B,13,2023-05-20,02:29,41,"jazz, ambient jazz","Catcher",2019-08-16,62,97,56,22,0,10,-18,F Major,4,6oJ3j2m4kCHpMZhOY5jx8d,SE5Q51901773
32,"Don't Know Why","Stephen Rogerson",151,7B,12,2023-05-20,02:20,40,"jazz","Moon Over Brooklyn",2019-07-22,53,96,94,26,0,10,-20,F Major,4,7e9e6hczmTaB9bYrTJMcHe,QZAKB1912112
33,"For All We Know","Ahmad Jamal",80,8B,13,2023-05-20,02:47,48,"jazz, cool jazz, hard bop","Happy Moods",1960-01-07,60,93,92,20,0,10,-20,C Major,4,086RZ0U22i29HR5bj0sWSB,USUM71015152
34,"Fried Chicken","Magnus Ringblom Quartet",95,4A,54,2023-05-20,02:57,11,"jazz","Just Because",2021-05-07,59,89,79,23,0,10,-8,F Minor,4,5e9E9fDLObiPAS70ejrOqz,SE5Q52100528
35,"Indiana","Erroll Garner",103,4B,28,2023-05-20,02:06,10,"jazz, jazz ballads, cool jazz","Body & Soul",1991-03-25,64,99,88,74,0,10,-16,G#/A♭ Major,4,3cKlco0H76WKBjovid48k0,USSM10023462
36,"Georgia On My Mind","Oscar Peterson Trio",99,4B,11,2023-05-20,03:43,63,"jazz, cool jazz, jazz ballads, bebop, hard bop","Night Train (Expanded Edition)",1963-01-01,43,98,90,13,0,10,-24,G#/A♭ Major,4,7p6ZeiNtEHJKmc4YWBZELG,USF096300320
