#,Song,Artist,BPM,Camelot,Energy,Added at,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (db),Key,Time Signature,Spotify Track Id,ISRC
1,"After Dark","Mr.Kitty",140,4B,60,2022-02-17,04:19,78,"witch house, darkwave","Time",2014-10-06,59,7,27,4,0,0,-10,G#/A♭ Major,4,2LKOHdMsL0K9KwcPRlJK2v,USY251660155
2,"worldstar money (interlude)","Joji",147,9B,39,2022-02-17,02:06,70,"","In Tongues (Deluxe)",2018-02-14,58,96,71,46,20,20,-9,G Major,1,0baNzeUcPQnQSagpe8T0mD,USUYG1179135
3,"Anchor","Novo Amor",117,11B,41,2022-02-17,04:17,81,"ambient folk","Bathing Beach",2017-05-26,46,81,88,13,0,10,-11,A Major,4,7qH9Z4dJEN0l9bidizW7fq,TCACI1562836
4,"Vas","jagger finn",71,8B,42,2022-02-17,01:30,66,"","Triplbt Theme",2019-08-28,51,92,85,42,0,10,-11,C Major,4,6S7o12almFeL57rbRvdY5l,QZHN31945778
5,"Ylang Ylang","FKJ,((( O )))",70,3B,24,2022-02-17,03:33,0,"","Ylang Ylang EP",2019-11-12,56,93,94,16,0,10,-12,C♯/D♭ Major,4,6lAMnXLVCBPMXXWAK4lGSL,GBKPL1970166
6,"Je te laisserai des mots","Patrick Watson",133,10B,19,2022-02-17,02:40,6,"","Je te laisserai des mots",2010-09-10,30,99,50,21,0,10,-17,D Major,4,0V5cvmTKsYmF5FmGGEAfmS,CA0RZ1000020
7,"Live","KuMba",130,4B,38,2022-02-17,03:05,0,"","Kid With the Boombox",2020-05-13,70,15,1,24,10,50,-14,G#/A♭ Major,4,2iAMTsFr21SiG4nf7xRRLA,QZES92056762
8,"milk cassette x.mp3 - demo","analog_mannequin",67,9B,10,2022-02-20,03:20,0,"dark ambient","milk cassette x.mp3 (demo)",2021-12-14,23,95,96,9,0,30,-30,G Major,4,6xkAtHAmVztDcCnBwczEh1,QZTAS2116059
9,"School Rooftop","Hisohkah,WMD",83,3B,28,2022-02-17,02:47,0,"electroacoustic","School Rooftop",2020-12-07,85,10,64,26,20,0,-9,C♯/D♭ Major,4,01NKsiRIuQcgbXVZ4htZjT,USA2P2041819
10,"Comfort Chain","Instupendo",110,12B,25,2022-02-17,03:04,0,"","Comfort Chain",2017-01-20,83,98,89,16,0,20,-20,E Major,4,5BAXlRDW3YaPr3rfqV51TA,QZ5D71600005
