#,Song,Artist,BPM,Camelot,Energy,Added at,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (db),Key,Time Signature,Spotify Track Id,ISRC
1,"would've been you","sombr",80,3B,38,2025-08-04,03:03,80,"","would've been you",2023-11-17,31,74,17,14,0,10,-13,C♯/D♭ Major,4,2U7svZUGvR4tfKdyxv9mXu,USWB12306830
2,"Sculptures Of Anything Goes","Arctic Monkeys",72,9A,31,2025-08-04,03:59,59,"indie, garage rock","The Car",2022-10-21,59,70,1,26,0,10,-11,E Minor,4,5hljqZrl0h7RcIhUnOPuve,GBCEL2200514
3,"Cornerstone - Live","Arctic Monkeys",76,11A,78,2025-08-04,03:41,41,"indie, garage rock","Live at the Royal Albert Hall",2020-12-04,37,15,0,47,0,80,-8,F#/G♭ Minor,4,5F3cEp3T5zbvWtBsp2FVzp,GBCEL2000429
4,"Black Beauty","Lana Del Rey",120,7B,53,2025-08-04,05:14,71,"","Ultraviolence (Deluxe)",2014-01-01,32,27,1,10,0,0,-8,F Major,4,63hHlajVLQnlFMAqSyePxO,GBUM71402114
5,"Venice Bitch","Lana Del Rey",78,8A,29,2025-08-04,09:37,67,"","Norman Fucking Rockwell!",2019-08-30,37,91,18,31,0,10,-13,A Minor,4,3hwQhakFwm9soLEBnSDH17,USUG11801802
6,"Fuck it I love you","Lana Del Rey",130,8A,45,2025-08-04,03:38,68,"","Norman Fucking Rockwell!",2019-08-30,53,90,0,18,0,10,-11,A Minor,4,7MtVPRGtZl6rPjMfLoI3Lh,GBUM71903510
7,"Candy Necklace (feat. Jon Batiste)","Lana Del Rey,Jon Batiste",60,10A,14,2025-08-04,05:14,60,"","Did you know that there's a tunnel under Ocean Blvd",2023-03-24,39,87,0,9,0,0,-16,B Minor,4,3MlEryrxCKZkcfX18ZLX96,GBUM72206759
8,"Margaret (feat. Bleachers)","Lana Del Rey,Bleachers",104,11B,25,2025-08-04,05:39,81,"","Did you know that there's a tunnel under Ocean Blvd",2023-03-24,34,97,10,19,0,0,-13,A Major,4,1o82DwNisONAd2mu1RcGE6,GBUM72206760
9,"Let The Light In (feat. Father John Misty)","Lana Del Rey,Father John Misty",132,11B,44,2025-08-04,04:38,78,"","Did you know that there's a tunnel under Ocean Blvd",2023-03-24,34,39,0,20,0,10,-10,A Major,4,4qG7hWhljsqqENL5PaLA2z,GBUM72206754
10,"Dealer","Lana Del Rey",130,5A,59,2025-08-04,04:34,73,"","Blue Banisters",2021-10-22,60,32,0,38,0,10,-6,C Minor,4,7iqQz931tn59mK6IZ3knRx,GBUM72104279
11,"Chemtrails Over The Country Club","Lana Del Rey",201,9A,28,2025-08-04,04:31,81,"","Chemtrails Over The Country Club",2021-03-19,33,88,0,43,0,10,-13,E Minor,3,7bPWdJgx8vek7S5i5yAtvG,GBUM72006081
12,"White Mustang","Lana Del Rey",115,11A,46,2025-08-04,02:44,78,"","Lust For Life",2017-07-21,66,46,0,22,0,10,-9,F#/G♭ Minor,4,6eygbzyL6hY8jFQTARDuo9,GBUM71702622
13,"Daddy Issues","The Neighbourhood",85,6B,52,2025-08-04,04:20,85,"","Wiped Out!",2015-10-30,59,7,15,34,0,10,-9,A#/B♭ Major,4,5E30LdtzQTGqRvNd7l6kG5,USSM11506747
14,"Sweater Weather","The Neighbourhood",124,6B,81,2025-08-04,04:00,92,"","I Love You.",2013-04-22,61,5,2,40,0,10,-3,A#/B♭ Major,4,2QjOHCTQ1Jl3zawyYOpxh6,USSM11300080
15,"back to friends","sombr",93,3B,72,2025-08-04,03:19,91,"","back to friends",2024-12-27,44,0,0,24,0,0,-2,C♯/D♭ Major,4,0FTmksd2dxiE5e3rWyJXs6,USWB12405502
16,"Champagne Coast","Blood Orange",123,11B,41,2025-08-04,04:52,80,"art pop","Coastal Grooves",2011-08-08,81,2,39,76,0,0,-13,A Major,4,0AIpGG5dxEgnAymhdJRSZ0,GBCEL1100251
17,"undressed","sombr",116,8B,89,2025-08-04,03:02,82,"","undressed",2025-03-21,64,14,0,89,0,0,-4,C Major,4,4AajxCEwGEsmHmT4H1TwjY,USWB12500737
18,"back to friends","sombr",93,3B,72,2025-08-04,03:19,91,"","back to friends",2024-12-27,44,0,0,24,0,0,-2,C♯/D♭ Major,4,0FTmksd2dxiE5e3rWyJXs6,USWB12405502
19,"do i ever cross your mind","sombr",82,8B,56,2025-08-04,02:48,80,"","do i ever cross your mind",2024-08-30,39,56,93,25,0,10,-12,C Major,4,5dt0PVoQ5xq5mvrJ1Bp3ou,USWB12403822
20,"we never dated","sombr",104,2B,87,2025-08-04,03:16,70,"","we never dated",2025-06-20,59,14,0,97,0,10,-5,F#/G♭ Major,4,7o3xJRQhpHRZ6IbyQX2xrp,USWB12501938
21,"Champagne Coast","Blood Orange",123,11B,41,2025-08-04,04:52,80,"art pop","Coastal Grooves",2011-08-08,81,2,39,76,0,0,-13,A Major,4,0AIpGG5dxEgnAymhdJRSZ0,GBCEL1100251
22,"Sparks","Coldplay",103,3B,27,2025-08-04,03:47,91,"","Parachutes",2000-07-10,37,75,5,17,0,10,-11,C♯/D♭ Major,3,7D0RhFcb3CrfPuTJ0obrod,GBAYE0000569
23,"TV","Billie Eilish",140,9A,24,2025-08-04,04:41,83,"","Guitar Songs",2022-07-21,41,83,1,12,0,10,-15,E Minor,4,3GYlZ7tbxLOxe6ewMNVTkw,USUM72213724
24,"Where'd All the Time Go?","Dr. Dog",166,10B,82,2025-08-04,03:54,82,"","Shame, Shame (Deluxe Edition)",2010-11-02,45,13,0,57,0,10,-4,D Major,4,0UV5zxRMz6AO4ZwUOZNIKI,USEP40937005
25,"Paris, Texas (feat. SYML)","Lana Del Rey,SYML",170,5A,10,2025-08-04,03:26,73,"","Did you know that there's a tunnel under Ocean Blvd",2023-03-24,29,99,6,20,0,10,-18,C Minor,3,0Oqxt6JixieLHbwMfnJGWO,GBUM72206764
26,"midnight love","girl in red",180,7A,54,2025-08-04,03:13,67,"bedroom pop","if i could make it go quiet",2021-04-30,28,72,11,26,0,10,-10,D Minor,3,32XaqPVTVkkuOiOPQZ3SpA,GBKPL2092453
27,"Rosyln","Bon Iver,St. Vincent",160,3A,28,2025-08-04,04:49,76,"art pop","The Twilight Saga: New Moon (Original Motion Picture Soundtrack)",2009-10-16,33,97,2,12,0,10,-13,A#/B♭ Minor,3,4k7x3QKrc3h3U0Viqk0uop,USAT20903243
28,"Lilith","Saint Avangeline",110,8B,39,2025-08-04,04:15,69,"","Gardener of Eden",2022-04-22,42,17,47,4,0,10,-9,C Major,4,4RF4iaYoM1XBbdvmC6zRtD,QZHN62208603
29,"Dark Red","Steve Lacy",172,2B,78,2025-08-04,02:53,86,"","Dark Red",2017-02-20,60,45,0,77,0,10,-4,F#/G♭ Major,4,3EaJDYHA0KnX88JvDhL9oa,GBKPL1778015
30,"Je te laisserai des mots","Patrick Watson",133,10B,19,2025-08-04,02:40,84,"","Je te laisserai des mots",2010-09-10,30,99,50,21,0,10,-17,D Major,4,44A0o4jA8F2ZF03Zacwlwx,CA0RZ1000020
