#,Song,Artist,BPM,Camelot,Energy,Added at,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (db),Key,Time Signature,Spotify Track Id,ISRC
1,"You And Your Friend","Dire Straits",87,5A,29,2025-10-16,05:57,66,"classic rock","On Every Street",1991-09-10,56,50,80,22,0,20,-13,C Minor,4,6JjDGQoxsbVBlzRjT6eFlg,GBF089601056
2,"Come Undone","Duran Duran",174,4B,79,2025-10-16,04:16,79,"new wave, synthpop","Duran Duran",1993-02-15,54,4,0,71,0,0,-8,G#/A♭ Major,4,0yfNXxlyXdmP0ue1iJijx1,GBAYE9300072
3,"Hey You","Pink Floyd",112,8B,30,2025-10-16,04:39,75,"progressive rock, psychedelic rock, classic rock, art rock, rock","The Wall",1979-11-30,59,22,0,19,0,10,-15,C Major,4,7F02x6EKYIQV3VcTaTm7oN,GBN9Y1100108
4,"Wicked Game","Chris Isaak",112,11B,30,2023-03-11,04:49,86,"","Heart Shaped World",1989-06-13,66,68,1,36,0,0,-18,A Major,4,7w5AOd6HrDIHewHfpABEss,USRE19900989
5,"Lie To Me","Chris Isaak",116,8B,49,2023-03-11,04:13,71,"","Chris Isaak",1987-03-10,62,1,10,65,0,10,-12,C Major,4,0fnY4MQat2zJsb8FKyLM9D,USRE19902103
6,"Blue Spanish Sky","Chris Isaak",113,8A,12,2023-03-11,03:58,61,"","Heart Shaped World",1989-06-13,42,73,58,8,0,10,-24,A Minor,3,4ViSfNMCeZwW3TC37q5Swc,USRE10100545
7,"Nothing's Changed","Chris Isaak",147,9A,18,2025-05-28,04:08,58,"","Heart Shaped World",1989-06-13,55,37,7,9,0,10,-20,E Minor,4,0m61ObUuEgl1PCndJF2fpz,USRE10100548
8,"Where the Wild Roses Grow - 2011 Remaster","Nick Cave & The Bad Seeds,Kylie Minogue",155,6A,47,2025-09-09,03:57,62,"dance pop","Murder Ballads (2011 Remaster)",1996-02-05,34,38,0,16,0,10,-11,G Minor,3,4LK8kGGY0FGSGIAk2GwI30,GBAJH1000593
9,"Boogie Street","Leonard Cohen",169,11A,21,2025-09-09,06:04,44,"singer-songwriter","Ten New Songs",2001-10-09,78,28,0,40,0,10,-15,F#/G♭ Minor,4,1woLZv5UGeajS8tihQLNwy,NLB630100145
10,"Dust in the Wind","Kansas",94,9B,32,2025-08-22,03:26,80,"classic rock, progressive rock, aor","Point Of Know Return (Expanded Edition)",1977-00-00,48,37,0,39,0,10,-11,G Major,4,6zeE5tKyr8Nu882DQhhSQI,USSM10103196
