#,Song,Artist,BPM,Camelot,Energy,Added at,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (db),Key,Time Signature,Spotify Track Id,ISRC
1,"FALLEN","JEEMBO,PSCHD",84,8A,59,2026-03-23,03:38,46,"","GRAVEWALKER",2020-07-01,43,11,0,17,0,30,-5,A Minor,4,2TCeTRjPcMqvXeXUR7cAPV,RUUM72000545
2,"8 миля","madk1d,VILLIAN",150,12A,65,2026-03-17,01:55,69,"hyperpop, ","8 миля",2026-02-20,66,0,0,33,0,10,-5,C♯/D♭ Minor,4,67llqAFIyR6d6JMjDImDyU,RUAGW2602732
3,"99 Problems","Big Baby Tape,kizaru",100,11B,45,2025-12-28,02:39,55,"","BANDANA I",2021-10-22,95,2,0,18,10,0,-9,A Major,4,1ChhR2PXLSHpeIqFJddF8k,RUA012100964
4,"ты любишь танцевать","CUPSIZE",114,2B,87,2026-01-04,02:25,64,"hyperpop","дели на два",2023-09-29,71,1,0,83,10,10,-5,F#/G♭ Major,4,0nukg1QtwhP7jBbmeFKoiT,RUAGT2317670
5,"Самый лучший день","Кишлак",175,5A,75,2026-02-20,01:33,58,"","Эскапист",2022-03-04,70,2,0,52,10,10,-6,C Minor,4,6aZw4hMz6ZZqjALf0GAbKy,RUA012200405
6,"GOZALO","Ariis",172,8B,70,2026-01-08,01:53,83,"phonk, brazilian phonk","GOZALO",2025-09-26,61,39,0,78,50,20,-2,C Major,3,7hl1REazG2eMQwYLEsMhhz,QT5M42560670
7,"Последняя Любовь","MORGENSHTERN",120,12A,68,2025-11-22,02:42,62,"","Последняя Любовь",2024-03-08,77,1,0,74,0,0,-5,C♯/D♭ Minor,4,527D034h8WFtVDOBO6GAN5,RUAGV2401222
8,"Катюха","whitek3d",162,8B,89,2025-11-22,01:17,62,"","Катюха",2025-05-02,83,13,0,69,20,30,-3,C Major,4,3Fdo0fNzj2QnPU1SgsNHcV,FRX202580773
9,"Музыка","Кишлак",95,12A,46,2026-03-12,02:24,50,"","Музыка",2022-09-09,87,30,0,78,0,30,-10,C♯/D♭ Minor,4,4vsqEFz8rPG8Y3H21ToDnZ,QZNJZ2278055
10,"ЧЕТЫРЕ УКРАИНКИ","MORGENSHTERN",176,7B,67,2025-12-28,02:02,58,"","ЛЕГЕНДАРНАЯ ПЫЛЬ",2020-01-17,85,0,0,52,30,0,-6,F Major,4,4kzaepe8DGwc8yiQ6UVwD8,RUA582103632
