#,Song,Artist,BPM,Camelot,Energy,Added at,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (db),Key,Time Signature,Spotify Track Id,ISRC
1,"Rosyln","Bon Iver,St. Vincent",160,3A,28,2022-08-06,04:49,76,"art pop","The Twilight Saga: New Moon (Original Motion Picture Soundtrack)",2009-10-16,33,97,2,12,0,10,-13,A#/B♭ Minor,3,4k7x3QKrc3h3U0Viqk0uop,USAT20903243
2,"The Night We Met","Lord Huron",174,11B,37,2022-08-06,03:28,70,"","Strange Trails",2015-04-06,45,97,27,10,0,60,-10,A Major,3,3hRV0jL3vUpRrcy398teAU,US53Q1200103
3,"Je te laisserai de mots","noel.smt",131,8B,1,2022-09-19,02:04,1,"","Je te laisserai de mots",2022-03-01,41,100,89,36,0,10,-29,C Major,4,1491Kis263uUWf18sDnYSG,QZDA42299838
4,"Anchor","Novo Amor",117,11B,41,2022-09-19,04:17,81,"ambient folk","Bathing Beach",2017-05-26,46,81,88,13,0,10,-11,A Major,4,7qH9Z4dJEN0l9bidizW7fq,TCACI1562836
5,"Where's My Love - Acoustic","SYML",104,5B,23,2022-08-06,03:59,74,"","Where's My Love",2017-07-07,55,89,3,22,0,10,-11,D#/E♭ Major,4,0ElpbbncWT9aS7mgoqEHbQ,CAN111600624
6,"Turning Page","Sleeping At Last",115,5B,37,2022-08-06,04:15,71,"","Turning Page",2012-06-18,31,92,3,19,0,10,-8,D#/E♭ Major,3,2kfGoV9a5dbSKCNmUWH2ZF,USGES1190004
7,"In My Room","Chance Peña",134,12B,34,2022-08-06,02:57,0,"","In My Room",2022-05-06,41,52,0,10,0,0,-14,E Major,3,3SM7uIYEz3v3BGy9RHp7oU,QZHN62258348
8,"Lights Are On","Tom Rosenthal",136,5B,4,2022-08-06,03:13,77,"","Z-Sides",2018-10-26,44,98,47,25,0,10,-17,D#/E♭ Major,4,4IhTXiZLKATmwhMZIb1GQN,GBVHN1800009
9,"Possibility","Lykke Li",118,8B,31,2022-08-06,05:06,61,"","The Twilight Saga: New Moon (Original Motion Picture Soundtrack)",2009-10-16,28,77,0,8,0,0,-10,C Major,4,39Odj4vLKRarATkCA31gaW,USAT20903256
10,"White Ferrari","Frank Ocean",109,8B,10,2022-08-06,04:08,86,"","Blonde",2016-08-20,50,77,0,20,0,30,-16,C Major,4,2LMkwUfqC6S6s6qDVlEuzV,QZ5C81600014
11,"Iris","Go-Jo",142,10B,17,2022-08-06,02:41,35,"","Iris",2020-12-07,52,91,0,39,0,10,-16,D Major,3,3uL2w721wWgFTIuD3jVSPf,QZNWW2093884
12,"exile (feat. Bon Iver)","Taylor Swift,Bon Iver",76,2B,38,2022-08-06,04:45,80,"","folklore",2020-07-24,30,78,0,15,0,10,-8,F#/G♭ Major,4,4pvb0WLRcMtbPGmtejJJ6y,USUG12002838
13,"Superstition","Jon Bryant",80,8B,30,2022-08-06,04:00,0,"","Cult Classic",2019-05-17,43,94,0,28,0,0,-11,C Major,4,5bBUSsCOy8j4y0pXUacKUU,CAN111800075
14,"Pluto Projector","Rex Orange County",80,7B,22,2022-08-06,04:27,76,"bedroom pop","Pony",2019-10-25,38,71,0,19,0,10,-11,F Major,4,4EWBhKf1fOFnyMtUzACXEc,USRC11902533
