#,Song,Artist,BPM,Camelot,Energy,Added at,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (db),Key,Time Signature,Spotify Track Id,ISRC
1,"rain on my window","undercurrent.",179,12A,7,2025-11-17,01:44,51,"dark ambient, ambient","rain on my window",2024-06-21,22,98,96,6,0,10,-29,C♯/D♭ Minor,4,0zXIuEHuuAnrFP6r8Wc3QV,QZPEW2449306
2,"losing","Lonnex",172,6A,8,2025-11-17,05:58,62,"","losing",2023-04-27,8,88,94,4,0,10,-28,G Minor,3,3HwXUvdZXDxmvABSsxhGmO,QZHNC2374723
3,"Moog City 2","C418",142,9A,8,2025-11-17,03:00,49,"","Minecraft - Volume Beta",2013-11-09,25,93,95,23,0,10,-25,E Minor,4,1kKaRzjW8OiGLriIdpXHT1,TCABR1368229
4,"remembering","Medasin,Sara Kawai,Keyhan",98,7B,14,2025-11-17,03:08,47,"future bass, ","sounds",2024-03-22,18,91,87,4,0,10,-27,F Major,4,2tXAlgn5edRzg0gIFpRxfw,QMANG2229188
5,"September Instrumental - Slowed","Goomp",120,6B,5,2025-11-17,03:43,62,"","September",2023-02-02,72,100,94,51,0,10,-32,A#/B♭ Major,3,2U0gMMhJu96GfmIdxf2vAz,GX4R52357014
6,"Leanin - Slowed","CorMill",130,3A,13,2025-11-17,02:24,64,"","Leanin (Slowed)",2024-06-29,16,58,85,6,0,10,-21,A#/B♭ Minor,4,7GZDDVbMYL6oFlmJMULaMo,QZPLR2429755
7,"i miss your warm hands","i don't like mirrors",133,12B,17,2025-11-17,02:11,73,"slowcore","Not How it's Supposed to be",2023-10-17,75,96,97,5,20,10,-21,E Major,4,5Mu5BFHb4vFS5cw0hbDICV,QZTB82399753
8,"someone you love is gone","endless withdrawal",179,7A,22,2025-11-17,02:14,61,"dark ambient, ambient","someone you love is gone",2023-03-17,8,94,86,4,0,0,-19,D Minor,4,3jTRX7Zt2oodzuDRn5a4Eb,UKZGC2301302
9,"Key","C418",147,2A,0,2025-11-17,01:05,48,"","Minecraft - Volume Alpha",2011-03-04,13,99,38,4,0,0,-42,D#/E♭ Minor,5,7K7E7LKK51PezScgsvVg9Y,TCAAW1157068
10,"i'm sorry i couldn't keep my promise","are you really fine?",169,9B,33,2025-11-17,02:51,59,"","i'm sorry i couldn't keep my promise",2024-11-10,20,93,65,26,0,10,-19,G Major,3,0Nsogg8ikgO9cCf4fMbhpB,TCAIZ2407623
11,"lost decade","Aurenth",65,7B,6,2025-11-17,01:47,29,"dark ambient, ambient","in another life",2024-08-08,16,98,74,4,0,10,-34,F Major,4,5QVR2VZgo5f8kLJ44vUUop,SE6I32433976
12,"The Beach (Instrumental)","mxpheebz",136,7A,22,2025-11-17,03:50,63,"","The Beach (Instrumental)",2022-09-15,67,83,92,14,0,0,-17,D Minor,4,5cDNzcok72q3HC0Lw6FyAR,TCAFU2166083
13,"milk cassette x.mp3 (slowed + reverb)","analog_mannequin",70,11A,12,2025-11-17,03:44,65,"dark ambient","milk cassette x.mp3 (slowed + reverb)",2022-05-13,19,98,93,9,0,0,-31,F#/G♭ Minor,4,0QZMfHkSdCXeJpszp7peVR,US3DF2247027
14,"Lost in the Mist","Pulsar",139,6A,1,2025-11-17,03:33,45,"","Lost in the Mist",2024-03-02,15,96,92,9,0,0,-38,G Minor,3,1WaaPWvfskUISPW0phhDzd,TCAHZ2462296
15,"green to blue - slowed + reverbed","daniel.mp3",66,9A,3,2025-11-17,03:07,72,"dark ambient","green to blue (slowed + reverbed)",2022-10-06,20,98,97,10,0,10,-29,E Minor,4,1MrSbSu9UNo7Aucwrf32WJ,SE6XY2248251
