#,Song,Artist,BPM,Camelot,Energy,Added at,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (db),Key,Time Signature,Spotify Track Id,ISRC
1,"Mrs Magic","Strawberry Guy",133,4B,63,2022-03-29,03:28,81,"bedroom pop","Mrs Magic",2019-07-24,47,16,37,37,0,30,-7,G#/A♭ Major,4,0TZejo18HlJ86OrWNsXKnw,GBJGV1900102
2,"Without You","Strawberry Guy",125,9B,53,2022-03-29,03:48,72,"bedroom pop","Without You",2019-07-21,53,46,21,30,0,10,-9,G Major,4,2hIrHUgeI2cKYwM18MkGPK,TCADO1884573
3,"F Song","Strawberry Guy",81,5A,51,2022-03-29,03:44,68,"bedroom pop","F Song",2018-08-09,24,41,28,23,0,30,-11,C Minor,4,4z9KVNX4hmk672SJfhtQNz,TCADT1853143
4,"Young","Vacations",80,9B,81,2022-03-29,03:09,80,"","Vibes",2016-00-00,50,0,1,59,0,0,-4,G Major,4,1KIJclzEbNhSVw8tiHPWwE,SEYOK1669274
5,"Show Me How","Men I Trust",166,7B,27,2022-03-29,03:35,2,"bedroom pop, indie pop","Show Me How",2018-02-28,79,67,53,54,0,10,-12,F Major,4,01TyFEZu6mHbffsVfxgrFn,TCADM1873570
6,"Sun Outside My Window","Strawberry Guy",142,6B,63,2022-03-29,03:21,0,"bedroom pop","Sun Outside My Window",2021-10-29,43,18,91,22,0,20,-6,A#/B♭ Major,4,4VpLdvee1V7CTKXv1xaDCk,GBJGV2100407
7,"(dream)","salvia palth",147,8B,30,2022-03-29,01:24,1,"slowcore, lo-fi indie","melanchole",2014-07-01,33,93,83,17,0,10,-13,C Major,4,39iczvfNkZstM8KY8dNDFC,GBSMU1456125
8,"Duvet","bôa",93,10A,89,2022-03-29,03:23,86,"","Twilight",2001-03-21,58,19,0,71,0,0,-9,B Minor,4,42qNWdLKCI41S4uzfamhFM,USCGJ0659337
9,"Honey","Vacations",157,12A,85,2022-03-29,02:19,66,"","Changes",2018-00-00,28,0,31,67,0,20,-8,C♯/D♭ Minor,4,7IBzp33O4Hjr92wXtH3yQJ,SEYOK1814660
10,"Telephones","Vacations",75,10B,45,2022-03-29,03:32,82,"","Changes",2018-00-00,53,0,3,18,0,10,-9,D Major,4,0JIMT9gzLIIz0esKLyjbKf,SEYOK1814657
11,"What Once Was","Her's",146,2A,88,2022-03-29,04:15,78,"indie","Songs of Her's",2017-05-12,53,17,1,44,0,20,-4,D#/E♭ Minor,3,1XrSjpNe49IiygZfzb74pk,GBYEJ1100223
12,"1999","beabadoobee",130,10B,58,2022-03-29,03:11,57,"bedroom pop","Loveworm",2019-04-26,57,38,53,13,0,20,-8,D Major,3,0oS6978exXanyIZJD4cdgV,GBK3W1901009
13,"Poison Tree","Grouper",111,1B,14,2022-03-29,03:16,75,"drone, ambient, slowcore, dream pop","Inca Ore / Grouper",2008-06-03,22,96,91,21,0,10,-23,B Major,4,6Q5uDNuuFYa8ToL3CCoHPC,QMFMF2125817
14,"Lucky Sue","Men I Trust",142,2A,27,2022-03-29,03:40,0,"bedroom pop, indie pop","Lucky Sue",2020-10-02,82,83,15,50,0,0,-15,D#/E♭ Minor,4,4lAfXpZKFDEudiEzLB9uHm,TCAFD2016572
15,"Inside Out","Duster",79,11B,47,2022-03-29,02:21,73,"slowcore, shoegaze","Stratosphere",1998-02-24,55,84,97,65,0,10,-10,A Major,4,6WlmEymaXKMRs3D2c4j6os,US68F0505011
16,"Silver Soul","Beach House",135,10B,67,2022-03-29,04:58,70,"dream pop","Teen Dream",2010-01-26,36,47,0,12,0,20,-6,D Major,4,2LZ2CNbcbJrwh53pitRgom,USSUB0984502
17,"girl","salvia palth",100,8B,70,2022-03-29,02:37,0,"slowcore, lo-fi indie","melanchole",2014-07-01,55,30,82,15,0,10,-9,C Major,4,0riQ5biFBQYCclYUACchr0,GBSMU1456127
18,"I'll Be There","Strawberry Guy",87,2A,50,2022-03-29,04:10,0,"bedroom pop","Sun Outside My Window",2021-10-29,10,17,85,8,0,30,-6,D#/E♭ Minor,5,7wl10M6WHU8lxW75lUsmqX,GBJGV2100404
19,"Not Allowed","TV Girl",105,3B,91,2022-03-29,02:47,1,"","Who Really Cares",2016-02-25,67,67,0,56,10,30,-7,C♯/D♭ Major,4,0jA4h2SD50Oak4C3Vn905a,uscgh1682131
20,"Disco","Surf Curse",173,10A,62,2022-03-29,02:32,80,"indie","Disco",2019-06-12,47,3,0,78,0,10,-9,B Minor,4,2Lumsra3kuU61wXkEKzKaK,USAT22103311
21,"Blondie","Current Joys",122,2B,63,2022-03-29,03:14,2,"lo-fi indie","Wild Heart",2013-01-02,78,62,90,87,0,0,-13,F#/G♭ Major,4,7sIx70dGj3VBiHWr0KZXfD,TCACS1661024
22,"Structure","Odd Sweetheart",135,10B,66,2022-03-29,02:31,56,"","Odd Sweetheart",2022-03-11,49,0,0,12,0,0,-10,D Major,4,0OPD9fnjX6xWgHBQ4QClgu,QZHNC1923217
23,"Mystery of Love","Sufjan Stevens",132,9A,27,2022-03-29,04:08,68,"baroque pop","Call Me By Your Name (Original Motion Picture Soundtrack)",2017-11-03,37,94,43,24,0,10,-17,E Minor,5,4HbeGjbt7u3pvwDk1vN7P0,US64G1737302
24,"Sweet Carolina","Lana Del Rey",80,3B,15,2022-03-30,03:21,62,"","Blue Banisters",2021-10-22,45,98,0,8,0,10,-12,C♯/D♭ Major,5,1Hezl8gsPpfK3N2by41Wxb,GBUM72104280
25,"This Side of Paradise - slowed","Coyote Theory",126,7B,51,2022-03-30,05:04,56,"","This Side of Paradise (slowed)",2021-02-12,39,48,0,31,0,10,-11,F Major,4,3BIBnyt40zWjPCNqRyGwPp,USQX92100384
26,"Dream, Ivory","Dream, Ivory",120,3B,57,2022-03-30,03:08,0,"","Dream, Ivory",2017-03-09,54,8,33,19,0,0,-5,C♯/D♭ Major,4,3QX3hxUM76cNIwzC1gj8vF,TCACY1789034
27,"welcome and goodbye","Dream, Ivory",140,5A,72,2022-03-30,02:20,0,"","welcome and goodbye",2018-03-31,58,2,76,66,0,0,-5,C Minor,4,0CWfsGlbmT0ZcAV3WetvPf,QM42K1745830
28,"Chamber Of Reflection","Mac DeMarco",131,1B,56,2022-03-30,03:51,84,"indie, lo-fi indie","Salad Days",2014-04-01,54,26,91,51,0,10,-9,B Major,4,7H7NyZ3G075GqPx2evsfeb,QMMZN1300568
29,"Only You","Mac DeMarco",106,11A,20,2022-03-30,04:10,48,"indie, lo-fi indie","Live & Acoustic Vol. 1",2013-12-14,45,73,0,20,0,60,-18,F#/G♭ Minor,4,1GxSnRqbDwhz9G6FXTOqf6,QMMZN1300558
30,"On Fye","The Simps,Eyedress,zzzahara",92,3B,80,2022-03-30,02:07,38,"","Siblings",2022-02-14,48,1,12,80,0,20,-6,C♯/D♭ Major,4,6qLQ0K5jkOB0QrbDwNmKg9,GBMYF2000123
31,"Fear","Current Joys",94,10B,45,2022-04-01,03:36,1,"lo-fi indie","A Different Age",2018-03-02,72,70,43,51,0,0,-8,D Major,4,4rHfpAN2CK3H6eRWd7j7E0,QMBZ91743918
32,"Je te laisserai des mots","Patrick Watson",133,10B,19,2022-04-05,02:40,6,"","Je te laisserai des mots",2010-09-10,30,99,50,21,0,10,-17,D Major,4,0V5cvmTKsYmF5FmGGEAfmS,CA0RZ1000020
33,"Crush","Yuna,USHER",130,8A,41,2022-04-05,04:03,65,"malay, malaysian pop, r&b","Chapters (Deluxe)",2016-05-20,68,37,0,35,0,0,-10,A Minor,4,3Txcx4jhuiTZSvhAL0WaRc,USUM71600981
34,"Young And Beautiful","Lana Del Rey",114,10A,42,2022-04-05,03:56,89,"","Young And Beautiful",2013-01-01,32,26,0,15,0,10,-9,B Minor,4,2nMeu6UenVvwUktBCpLMK9,GBUM71301823
35,"Blue","Dream, Ivory",150,12B,94,2022-04-05,02:30,0,"","Dream, Ivory",2017-03-09,55,4,71,50,0,10,-3,E Major,4,4DsIr33zhVrXj06YYFM3JZ,TCACY1789030
36,"Something About You","Eyedress,Dent May",133,8A,78,2022-04-05,02:33,0,"","Mulholland Drive",2021-08-27,65,3,1,82,0,30,-9,A Minor,4,4E6Dxj76ostVEmeefzlDP8,GBMYF2000174
37,"Amoeba","Clairo",111,2B,49,2022-04-06,03:48,75,"bedroom pop","Sling",2021-07-16,74,79,4,71,0,10,-12,F#/G♭ Major,4,0HAqq2GcQKyi3s87GuN7jU,USUG12101891
38,"For the First Time","Mac DeMarco",76,4A,53,2022-06-22,03:02,83,"indie, lo-fi indie","This Old Dog",2017-05-05,55,30,1,52,0,10,-10,F Minor,4,2R4AlwtrrkMaRKojcTIzmL,QMMZN1701301
39,"Birch Tree","Strawberry Guy",114,4B,62,2022-06-22,04:40,63,"bedroom pop","Taking My Time to Be",2019-09-27,49,23,30,16,0,10,-9,G#/A♭ Major,4,2isf9DCebk6mUhGagcD5bf,GBJGV1900105
40,"Lovers Rock","TV Girl",105,4A,87,2022-06-22,03:33,1,"","French Exit",2014-06-05,56,0,1,57,0,10,-5,F Minor,4,1H7zdcRD0gLGQY0w5ejGgX,ushm21438143
41,"Moonlight on the River","Mac DeMarco",140,11B,48,2023-08-19,07:02,79,"indie, lo-fi indie","This Old Dog",2017-05-05,66,25,83,43,0,20,-9,A Major,4,2fhOljbX79loRcdl47SFye,QMMZN1701309
42,"K.","Cigarettes After Sex",94,5B,40,2023-08-19,05:19,1,"dream pop","Cigarettes After Sex",2017-06-09,45,15,82,31,0,10,-10,D#/E♭ Major,4,7LX4aXtvImhdgUHQBlo8Kp,USBQU1600214
43,"Dance with Me","beabadoobee",200,12B,21,2023-08-19,03:54,59,"bedroom pop","Patched Up",2018-12-07,36,97,0,23,0,10,-10,E Major,4,2sBKLT7bFa38yVAYxYltUX,GBK3W1800911
44,"My Kind of Woman - Instrumental","Mac DeMarco",173,4B,61,2023-08-20,03:32,55,"indie, lo-fi indie","2 Demos",2013-11-15,26,69,86,46,0,30,-11,G#/A♭ Major,4,3RA0LaRQuDwVvDNpDtEc9b,QMMZN1300320
45,"rises the moon","Liana Flores",137,4A,13,2023-08-20,02:41,82,"","recently",2019-04-10,48,95,14,20,0,10,-20,F Minor,3,51Grh1RyUDcMBbpuyUIUHI,QZDA61986777
46,"La Lune","Billie Marten",52,10B,34,2023-08-20,03:07,61,"","Writing of Blues and Yellows (Deluxe Version)",2016-09-23,30,88,0,8,0,0,-12,D Major,4,0DwaOWI1kC2s98qLj0LTDd,GBARL1600328
47,"She Dances","Billie Marten",98,12B,12,2023-08-20,04:43,45,"","Feeding Seahorses by Hand",2019-04-26,68,97,0,21,0,10,-19,E Major,4,72655YyFEnLXG54FC6tCtT,GBARL1900009
48,"Too Late To Turn Back Now","Cornelius Brothers & Sister Rose",115,9B,73,2023-08-20,03:18,61,"classic soul, motown","The Story Of Cornelius Brothers & Sister Rose",1996-01-01,52,34,0,91,0,40,-7,G Major,4,2OyaNAq8BcGstyzueloqpE,USEM39300202
49,"Ribs","Lorde",128,12B,47,2023-08-20,04:18,84,"","Pure Heroine",2013-09-27,53,53,61,4,0,10,-9,E Major,4,2MvvoeRt8NcOXWESkxWn3g,NZUM71300122
50,"Let The Light In (feat. Father John Misty)","Lana Del Rey,Father John Misty",132,11B,44,2023-08-20,04:38,78,"","Did you know that there's a tunnel under Ocean Blvd",2023-03-24,34,39,0,20,0,10,-10,A Major,4,4qG7hWhljsqqENL5PaLA2z,GBUM72206754
51,"Season Of The Witch","Lana Del Rey",96,10B,21,2023-08-21,04:07,63,"","Season Of The Witch (From The Motion Picture  Scary Stories To Tell In The Dark )",2019-08-09,67,90,3,36,0,10,-14,D Major,4,5DSi7heBC8eTIFROBvttnp,GBUM71903671
