#,Song,Artist,BPM,Camelot,Energy,Added at,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (db),Key,Time Signature,Spotify Track Id,ISRC
1,"Stay with me - Hoodtrap Mylancore Remix","TWXNY,Sxilwix,INNXCENCE,Hoodtrap Mylancore",130,1B,82,2026-01-31,01:38,59,"phonk, brazilian phonk, ","Stay with me (Hoodtrap Mylancore Remix)",2026-01-21,68,0,1,4,0,10,-1,B Major,4,0LBPgV3hMtZW9kdGetMnFc,FR10S2636079
2,"HEAVENLY JUMPSTYLE - Slowed","TWXNY,Sxilwix,INNXCENCE",116,10A,91,2026-01-26,02:08,73,"phonk, brazilian phonk","HEAVENLY JUMPSTYLE",2025-11-28,67,23,0,70,0,20,-3,B Minor,4,7mixpZVqU8AWHvSqOL0wKy,DGA072586198
3,"Колыбельная медведицы (Из м/ф  Умка )","Aida Vedishcheva",135,10B,19,2026-01-26,02:02,44,"","Баюшки-баю. Выпуск 1",2009-01-01,28,94,4,21,0,0,-18,D Major,5,4sQ6jZJ0sqky3m9Zbdf39n,UK2Y21306899
4,"The Water Is Fine","Chloe Ament",93,12A,45,2026-01-26,04:00,67,"","Daisies",2021-09-17,26,55,0,17,0,0,-10,C♯/D♭ Minor,4,3gS0VrWH2NyPGXYiFmcagd,QZMEM2109907
5,"Thunder","Imagine Dragons",168,8B,82,2026-01-26,03:07,86,"","Evolve",2017-06-23,60,1,13,29,0,10,-5,C Major,4,1zB4vmk8tFRmM9UULNzbLB,USUM71704167
6,"Tag, You're It","Melanie Martinez",115,4A,84,2026-01-26,03:09,43,"","Cry Baby (Deluxe Edition)",2015-08-14,56,24,2,38,0,10,-6,F Minor,4,228X1eBqptfqCtLGHxDdb6,USAT21501939
7,"Tag, You're It","Melanie Martinez",115,4A,84,2026-01-26,03:09,74,"","Cry Baby (Deluxe Edition)",2015-08-14,56,24,2,38,0,10,-6,F Minor,4,3u1FiuSpfsgVnekEMXgMwJ,USAT21501939
8,"Tag, You're It","Melanie Martinez",115,4A,84,2026-01-26,03:09,54,"","Cry Baby",2015-08-14,56,24,2,38,0,10,-6,F Minor,4,12fymjM3b9sI38aAgzcZep,USAT21501939
9,"Everything Is Romantic","Orchestra Club",75,5A,52,2026-01-26,02:21,77,"","Everything Is Romantic",2025-10-22,24,8,19,6,0,30,-6,C Minor,1,7250RSp7sakMDZoeXuywlx,QT6E62511218
10,"Where Have You Been - Slowed + Reverb","Lewis Hanton,Orchestra Club",99,1A,37,2026-01-26,05:20,43,"","Where Have You Been (Orchestra)",2025-09-11,25,0,0,10,0,0,-15,G#/A♭ Minor,4,4RD5cQkTk7K7iusXWuiQMt,MXA3V2451092
11,"Where Have You Been - Orchestra Tiktok Remix","Orchestra Club,DJ Drinks",89,12A,37,2026-01-26,01:17,54,"","Where Have You Been (Orchestra Tiktok Remix)",2025-10-07,17,1,84,10,0,10,-5,C♯/D♭ Minor,4,2puSgVeqFjBInxljcVrtqE,QZAKB2531094
12,"Where Have You Been","Lewis Hanton,Orchestra Club",128,10A,57,2026-01-26,04:07,59,"","Where Have You Been (Orchestra)",2025-09-11,48,0,0,7,0,30,-9,B Minor,4,7nDM58kOxSnuZqKMUYB6q2,MXA3V2451091
13,"Love Again","Dua Lipa",116,10A,67,2026-01-26,04:18,79,"pop","Future Nostalgia",2020-03-27,66,0,0,47,0,10,-5,B Minor,4,4rPkN1FMzQyFNP9cLUGIIB,GBAHT1901302
14,"VISION - Slowed","UdieNnx,HXVSAGE,Duduzinho",160,3A,52,2026-02-02,02:24,70,"phonk, brazilian phonk, drift phonk","UDISTRUCT",2025-03-21,60,33,88,22,0,10,-10,A#/B♭ Minor,4,7fx9paDdMEk5xrF5yVWUfW,FR59R2595701
15,"CYRAX","UdieNnx,LOSTOV",130,4B,90,2026-01-31,01:31,40,"phonk, brazilian phonk","UDISTRUCT",2025-03-21,61,11,73,69,0,10,-7,G#/A♭ Major,4,5RrZ8F7JqUyJItvPqd2ua9,FR59R2595691
16,"STRUCT","UdieNnx",130,8A,47,2026-01-31,01:47,61,"phonk, brazilian phonk","UDISTRUCT",2025-03-21,63,22,95,14,0,30,-12,A Minor,4,1iNw4fy57hgWRCuAJ0VZMU,FR59R2595687
