#,Song,Artist,BPM,Camelot,Energy,Added at,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (db),Key,Time Signature,Spotify Track Id,ISRC
1,"Habits (Stay High)","Tove Lo",110,7B,65,2026-01-12,03:29,80,"","Queen Of The Clouds",2014-01-01,73,7,0,35,0,0,-4,F Major,4,14OxJlLdcHNpgsm4DRwDOB,SE3NM1300101
2,"Here","Alessia Cara",120,8B,82,2026-01-12,03:19,79,"","Know-It-All",2015-11-13,38,8,0,33,10,0,-4,C Major,4,5zUQZjVB6bfewBXWqsP9PY,USUM71506251
3,"Black Out Days","Phantogram",92,9A,80,2026-01-12,03:47,75,"","Voices",2014-02-18,54,1,2,43,0,0,-4,E Minor,4,2IWtloZYQDcP8Ashwx8QEF,USUM71312035
4,"River","Bishop Briggs",63,7A,48,2026-01-12,03:36,76,"","Church Of Scars",2018-04-20,73,30,0,55,0,0,-7,D Minor,4,3mRLHiSHYtC8Hk7bzZdUs1,TCACL1648391
5,"Never Forget You","Zara Larsson,MNEK",146,10A,73,2026-01-14,03:32,81,"","So Good",2017-03-17,58,0,0,28,0,20,-6,B Minor,4,6hmhG1b4LEyNuashVvuIAo,SEWEE1500801
6,"Bored","Billie Eilish",120,9B,32,2026-01-12,03:00,80,"","Bored",2017-03-30,61,90,0,11,0,0,-13,G Major,4,04sN26COy28wTXYj3dMoiZ,USUM71702756
7,"Let Go","Ark Patrol,Veronika Redd",82,8B,44,2026-01-12,04:08,77,"","Let Go",2016-04-14,46,67,26,4,0,20,-10,C Major,3,07mdQUH1Cy5j4mTpyG6IOe,QMSNZ1502193
8,"Runaway","AURORA",115,1B,28,2026-01-12,04:08,74,"norwegian pop, art pop","All My Demons Greeting Me as a Friend",2016-03-11,44,63,0,13,0,10,-10,B Major,4,2pB49wD5LpB8gYmqOIybTC,GBUM71500527
9,"I Don’t Wanna Live Forever (Fifty Shades Darker)","ZAYN,Taylor Swift",118,8B,44,2026-01-14,04:07,83,"","reputation Stadium Tour Surprise Song Playlist",2017-11-09,73,6,0,11,0,10,-8,C Major,4,55n9yjI6qqXh5F2mYvUc2y,USQ4E1602586
10,"lovely (with Khalid)","Billie Eilish,Khalid",115,9A,30,2026-01-12,03:20,88,"","lovely (with Khalid)",2018-04-19,35,93,0,12,0,10,-10,E Minor,4,0u2P5u6lvoDfwTYjAADbn4,USUM71804190
11,"Faded","Alan Walker",180,2B,63,2026-01-12,03:32,83,"","Different World",2018-12-14,47,3,0,16,0,10,-5,F#/G♭ Major,4,698ItKASDavgwZ3WjaWjtz,NOG841549010
12,"Him & I (with Halsey)","G-Eazy,Halsey",88,10B,73,2026-01-14,04:28,82,"","The Beautiful & Damned",2017-12-15,59,5,0,19,0,30,-6,D Major,4,5k38wzpLb15YgncyWdTZE4,USRC11701867
13,"Infinity","Jaymes Young",122,10A,67,2026-01-12,03:57,81,"","Feel Something",2017-06-23,67,15,0,49,0,30,-7,B Minor,4,1SOClUWhOi8vHZYMz3GluK,USAT21700859
14,"ocean eyes","Billie Eilish",145,9A,37,2026-01-12,03:20,85,"","Ocean Eyes",2016-11-18,48,82,6,16,0,0,-8,E Minor,4,2uIX8YMNjGMD7441kqyyNU,US23A1500056
15,"Let Me Down Slowly","Alec Benjamin",150,12A,56,2026-01-12,02:49,83,"","Narrated For You",2018-11-16,65,74,0,48,0,10,-6,C♯/D♭ Minor,4,2qxmye6gAegTMjLKEBoR3d,USAT21802284
16,"In the Name of Love","Martin Garrix,Bebe Rexha",134,9A,52,2026-01-12,03:18,82,"edm, progressive house, electronica, ","In the Name of Love",2016-07-29,50,11,0,17,0,40,-6,E Minor,4,23L5CiUhw2jV1OIMwthR3S,NLM5S1600003
17,"Glowing in the Dark","The Girl and The Dreamcatcher",104,7A,62,2026-01-14,03:56,53,"","Glowing in the Dark",2016-01-29,69,12,0,71,0,10,-6,D Minor,4,37CeMeSFSYwXX0Uw2XdLvk,TCACL1634291
18,"Six Feet Under","Billie Eilish",68,10A,31,2026-01-12,03:09,74,"","Six Feet Under",2016-11-17,58,81,0,16,0,0,-13,B Minor,4,2VlLbhGLVJgdOW7kKdWWFc,TCACP1646299
19,"Everything Is Embarrassing","Sky Ferreira",117,8B,79,2026-01-12,04:09,68,"","Ghost",2012-01-01,67,5,0,60,0,0,-6,C Major,4,70v5mCvyPRquTyU7qTIU81,USCA21202535
20,"Paris","The Chainsmokers",100,10B,66,2026-02-24,03:41,81,"","Memories...Do Not Open",2017-04-07,65,2,0,22,0,0,-6,D Major,4,72jbDTw1piOOj770jWNeaG,USQX91603031
21,"A World Alone","Lorde",118,12A,49,2026-01-12,04:54,74,"","Pure Heroine",2013-09-27,56,29,0,7,0,10,-8,C♯/D♭ Minor,4,55N0YHhO55Q1lWsc4dDPcI,NZUM71300128
22,"High Enough","K.Flay",89,8B,62,2026-01-13,03:51,62,"","Every Where Is Some Where",2017-04-07,37,3,10,51,0,10,-5,C Major,4,1D9HQactbJoUudf9B119Y5,USUM71701789
23,"Me, Myself & I","G-Eazy,Bebe Rexha",112,5A,67,2026-01-12,04:11,82,"","When It's Dark Out",2015-12-04,76,2,0,39,10,10,-7,C Minor,4,40YcuQysJ0KlGQTeGUosTC,USRC11502210
24,"Wolves","Selena Gomez,Marshmello",125,10A,80,2026-01-14,03:17,77,"edm","Wolves",2017-10-25,73,12,0,31,0,20,-5,B Minor,4,0tBbt8CrmxbjRP0pueQkyU,USUM71712103
25,"Without You","Oh Wonder",87,10A,47,2026-01-14,03:44,69,"","Oh Wonder",2015-09-04,64,27,0,32,0,10,-7,B Minor,4,0IVHlst3XMgzXUJbIyZ8oO,GB9L31400025
26,"Test & Recognise (Flume Re-work)","Seekae,Flume",110,4B,58,2026-01-14,05:03,62,"future bass","Test & Recognise (Remixes)",2014-08-14,54,19,0,30,0,10,-9,G#/A♭ Major,4,3FijoNKGof7pCn7oddecOQ,AUFF01400535
27,"Midnight City","M83",105,10A,71,2026-01-30,04:01,74,"","Hurry Up, We're Dreaming",2011-00-00,53,2,0,32,0,10,-7,B Minor,4,1eyzqe2QqGZUmfcPZtrIyt,GB55H1100002
28,"idfc - Tarro Remix","blackbear,Tarro",140,12A,69,2026-02-15,04:08,59,"","idfc (Tarro Remix)",2016-10-17,58,48,0,39,20,10,-5,C♯/D♭ Minor,4,1wsZ0cp5He4Wm4yohNjwIs,USLD90818940
