#,Song,Artist,BPM,Camelot,Energy,Added at,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (db),Key,Time Signature,Spotify Track Id,ISRC
1,"Ontario","Novo Amor,Lowswimmer",90,6B,22,2021-11-13,03:12,67,"ambient folk, ","Heiress",2017-11-10,41,95,1,17,0,0,-14,A#/B♭ Major,4,1XZPtZVqcOzzxbYIR7MjQw,GB45A1700564
2,"Apocalypse","Cigarettes After Sex",94,7B,47,2021-11-14,04:50,4,"dream pop","Cigarettes After Sex",2017-06-09,37,2,46,17,0,10,-9,F Major,4,3AVrVz5rK8Hrqo9YGiVGN5,USBQU1700034
3,"Lights Are On","Tom Rosenthal",136,5B,4,2021-11-14,03:13,77,"","Z-Sides",2018-10-26,44,98,47,25,0,10,-17,D#/E♭ Major,4,4IhTXiZLKATmwhMZIb1GQN,GBVHN1800009
4,"Sweet","Cigarettes After Sex",96,2B,51,2021-11-14,04:51,1,"dream pop","Cigarettes After Sex",2017-06-09,45,36,82,11,0,10,-9,F#/G♭ Major,4,3VSYkAf6f46i5ZkXOHORq1,USBQU1700036
5,"All I Want","Kodaline",187,8B,41,2021-11-14,05:05,80,"","In A Perfect World (Expanded Edition)",2013-06-17,19,17,15,16,0,0,-10,C Major,3,0NlGoUyOJSuSHmngoibVAs,GBDVX1200008
6,"Ghosts","BANNERS",77,8B,33,2021-11-16,04:10,52,"","Ghosts",2015-09-25,50,38,0,7,0,0,-7,C Major,4,2YGqpzBhtJxt9M5g1czYg4,USUM71509234
7,"Poison Tree","Grouper",111,1B,14,2021-11-20,03:16,0,"drone, ambient, slowcore, dream pop","Inca Ore / Grouper",2008-06-03,37,97,95,24,0,10,-23,B Major,4,6RDVwKLpBBEksWdp9jwBlD,ES7120810064
8,"State Lines","Novo Amor",137,11B,31,2021-11-20,03:28,75,"ambient folk","Birthplace",2018-10-19,51,96,23,15,0,10,-11,A Major,3,7CoMBpPTwQi2wPT0U0Nr9b,GB45A1800990
9,"Blood Bank","Bon Iver",117,9B,37,2021-11-20,04:45,61,"","Blood Bank",2009-01-20,49,96,3,25,0,10,-12,G Major,4,15WbjBy1bzH1UsUldBwwlW,US38Y0913401
10,"Re: Stacks","Bon Iver",125,10B,8,2021-11-20,06:41,0,"","For Emma, Forever Ago",2008-02-19,68,98,42,31,0,10,-23,D Major,4,2LthqyP0MLhGUBICwR1535,US38Y0811509
11,"Holocene","Bon Iver",148,3B,31,2021-11-24,05:36,0,"","Bon Iver",2011-05-21,38,94,32,16,0,10,-14,C♯/D♭ Major,4,05lBuZWQ2OhQuzoCSIkvUF,US38Y1113503
12,"re:stacks","Bon Iver",125,10B,8,2021-11-24,06:41,0,"","For Emma, Forever Ago",2008-05-12,68,98,37,30,0,10,-23,D Major,4,6EhAIEtuOABhRJ17NjDVjL,US38Y0811509
