#,Song,Artist,BPM,Camelot,Energy,Added at,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (db),Key,Time Signature,Spotify Track Id,ISRC
1,"Space Song","Beach House",147,5A,79,2022-01-20,05:20,78,"dream pop","Depression Cherry",2015-08-28,51,23,12,60,0,10,-7,C Minor,4,7H0ya83CMmgFcOhw0UB6ow,USSUB1512203
2,"My Kind of Woman","Mac DeMarco",92,11A,77,2022-01-20,03:10,83,"indie, lo-fi indie","2",2012-10-16,50,0,49,46,0,10,-7,F#/G♭ Minor,4,6jgkEbmQ2F2onEqsEhiliL,QMMZN1200053
3,"Mrs Magic","Strawberry Guy",133,4B,63,2022-01-20,03:28,81,"bedroom pop","Mrs Magic",2019-07-24,47,16,37,37,0,30,-7,G#/A♭ Major,4,0TZejo18HlJ86OrWNsXKnw,GBJGV1900102
4,"The Night We Met","Lord Huron",87,10B,37,2022-01-20,03:28,6,"","Strange Trails",2015-04-07,55,97,27,10,0,60,-10,D Major,3,0QZ5yyl6B6utIWkxeBDxQN,US53Q1200103
5,"Homage","Mild High Club",73,7B,47,2022-01-20,02:57,74,"neo-psychedelic","Skiptracing",2016-08-26,55,15,0,42,0,30,-8,F Major,4,7DcJ6fEBb7BaKuYKTwiDxK,US2S71673002
6,"New Flesh","Current Joys",166,11B,59,2022-01-20,02:47,1,"lo-fi indie","Wild Heart",2013-01-02,62,89,50,70,0,0,-16,A Major,4,6HJxxqHWMdidwTVZmZWeHU,TCACS1660968
7,"For the First Time","Mac DeMarco",76,4A,53,2022-01-20,03:02,83,"indie, lo-fi indie","This Old Dog",2017-05-05,55,30,1,52,0,10,-10,F Minor,4,2R4AlwtrrkMaRKojcTIzmL,QMMZN1701301
8,"Friends","Vacations",90,10A,80,2022-01-20,02:32,63,"","Vibes",2016-00-00,59,0,25,39,0,0,-6,B Minor,4,0jYfN0oxUjdYmAifDBORz9,SEYOK1669276
9,"I Can't Handle Change","Roar",186,7B,44,2022-01-21,03:18,3,"","I Can't Handle Change",2010-03-14,25,4,0,39,0,10,-8,F Major,3,0I1eFRytp4XRhLCjT6tZm7,USHM81020595
10,"YKWIM?","Yot Club",124,11B,54,2022-02-01,03:32,78,"bedroom pop","Bipolar",2019-05-31,37,94,87,23,0,20,-8,A Major,3,2vWBUC9djv6BtiGlmKiQaH,CAGOO1966522
11,"Alien Blues","Vundabar",82,5B,76,2022-02-06,02:35,78,"","Gawk",2015-07-24,47,8,91,43,0,0,-5,D#/E♭ Major,4,11iIikXxC6NP0Ma8vMD27x,USDY41567486
12,"Freaking Out the Neighborhood","Mac DeMarco",143,1A,83,2022-02-18,02:53,78,"indie, lo-fi indie","2",2012-10-16,56,6,3,85,10,30,-6,G#/A♭ Minor,4,3HlK8txWAdtKMrbsqX40pl,QMMZN1200048
13,"Watching Him Fade Away","Mac DeMarco",139,5B,7,2022-02-22,02:23,73,"indie, lo-fi indie","This Old Dog",2017-05-05,74,98,1,30,0,10,-18,D#/E♭ Major,4,2QzKAF0y1BQhxwg8N05Uog,QMMZN1701310
14,"Jealous","Eyedress",93,8A,92,2022-03-06,02:02,56,"","Jealous",2019-12-06,47,0,85,70,0,40,-10,A Minor,4,1aXV8GrmQLvgoFtBPERP7E,GBMYF1900115
15,"Young","Vacations",80,9B,81,2022-03-31,03:09,80,"","Vibes",2016-00-00,50,0,1,59,0,0,-4,G Major,4,1KIJclzEbNhSVw8tiHPWwE,SEYOK1669274
16,"Always Forever","Cults",163,4B,74,2022-04-07,03:43,80,"","Static",2013-10-15,17,0,28,36,0,20,-6,G#/A♭ Major,4,2enPRFda84VE2wtI8c86Uf,USSM11303912
17,"Little Dark Age","MGMT",98,2B,71,2022-04-08,04:59,79,"indie","Little Dark Age",2018-02-09,71,1,0,62,0,10,-6,F#/G♭ Major,4,2Y0iGXY6m6immVb2ktbseM,USSM11707035
