#,Song,Artist,BPM,Camelot,Energy,Added at,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (db),Key,Time Signature,Spotify Track Id,ISRC
1,"Meet Me in the Woods","Lord Huron",80,11A,93,2025-02-14,04:22,2,"","Strange Trails",2015-04-07,54,39,46,59,0,0,-7,F#/G♭ Minor,1,1bqrRn1pJWowNLA5N9L6uW,US53Q1200097
2,"Movement","Hozier",144,12A,50,2025-02-14,03:57,70,"","Wasteland, Baby!",2019-03-01,38,16,0,15,0,0,-6,C♯/D♭ Minor,4,1djzKW3eYLyzjjHXazEWWh,USSM11806792
3,"Winter Winds","Mumford & Sons",84,9B,54,2025-02-14,03:39,55,"folk, indie folk, folk rock","Sigh No More",2009-10-02,38,23,0,41,0,30,-7,G Major,4,6W8e9jz4UIcqGYokpn0Afn,GBUM70909076
4,"Hollow","Noah Kahan",143,2B,70,2025-02-14,04:32,58,"","I Was / I Am",2021-09-17,60,6,0,40,0,10,-7,F#/G♭ Major,3,1DQiQmwleN5zdUSWZlMpGQ,USUM72108763
5,"Empire Now","Hozier",90,8A,45,2025-02-14,02:58,40,"","Unreal Unearth: Unending",2024-12-06,45,69,0,37,0,10,-6,A Minor,4,7uUEhs7ph8TgxViLOobnEa,USSM12401867
6,"Mess Is Mine","Vance Joy",108,9B,72,2025-02-14,03:43,72,"folk pop","Dream Your Life Away (Deluxe Edition)",2014-08-05,60,5,3,27,0,10,-8,G Major,1,6IJXxWAHTVORSyl7lT5pkY,USAT21402865
7,"Frozen Pines","Lord Huron",142,10A,88,2025-02-14,03:57,0,"","Strange Trails",2015-04-07,59,78,86,50,0,10,-8,B Minor,4,2Ncj6X3KgUvmIH6iLPJgHP,US53Q1200099
8,"Flowers In Your Hair","The Lumineers",127,9B,61,2025-02-14,01:49,72,"folk pop, indie folk","The Lumineers",2012-04-03,67,75,0,57,0,20,-10,G Major,4,5PbdVk09VHHcvGa0pX86RP,USDMG1260801
9,"Francesca","Hozier",178,10B,59,2025-02-14,04:30,42,"","Unreal Unearth: Unending",2024-12-06,31,0,0,18,0,10,-7,D Major,4,281rMjHPaZee7nEGtoFoox,USSM12302652
10,"No Complaints","Noah Kahan",120,3B,21,2025-02-14,03:25,71,"","Stick Season (We'll All Be Here Forever)",2023-06-09,69,57,0,32,0,0,-11,C♯/D♭ Major,3,52DudaVZObvmBgEX6IObHX,USUM72307684
11,"Carlo's Song","Noah Kahan",128,7A,73,2025-02-14,03:54,71,"","Busyhead",2019-06-14,64,17,0,27,0,0,-6,D Minor,4,7qjCmoM2kKXAt2QIPhLVIg,USUM71904719
12,"Like Real People Do","Hozier",140,9B,18,2025-02-14,03:18,74,"","Hozier (Expanded Edition)",2014-09-19,54,92,39,14,0,10,-14,G Major,3,57V4uc2b2diZ4RPHXWecb9,USSM11307292
13,"Sleep On The Floor","The Lumineers",142,9B,43,2025-02-14,03:31,75,"folk pop, indie folk","Cleopatra",2016-04-08,39,25,0,28,0,10,-8,G Major,4,4RvW5ggYKC7bCDX4UUSSDc,USDMG1673801
14,"Nobody","Hozier",91,9B,83,2025-02-14,03:30,57,"","Wasteland, Baby!",2019-03-01,68,26,0,63,0,10,-5,G Major,4,69WkwzVjQS4Dc8QQtpz0qM,USSM11809029
15,"My Vibe","Mt. Joy",94,11A,70,2025-02-14,02:37,54,"","Rearrange Us",2020-06-05,67,49,0,58,0,0,-6,F#/G♭ Minor,4,3EsfULMMzZJOGWL6ZsTQaH,USDMG2000604
