#,Song,Artist,BPM,Camelot,Energy,Added at,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (db),Key,Time Signature,Spotify Track Id,ISRC
1,"New Home","Austin Farwell",72,7B,1,2022-01-24,02:06,66,"","New Home",2021-05-11,38,99,87,20,0,10,-23,F Major,1,707BRCe5feUySwv7141QeA,TCAFO2153126
2,"Je te laisserai des mots","Patrick Watson",133,10B,19,2022-01-24,02:40,6,"","Je te laisserai des mots",2010-09-10,30,99,50,21,0,10,-17,D Major,4,0V5cvmTKsYmF5FmGGEAfmS,CA0RZ1000020
3,"Once Upon a December (from Anastasia)","Emile Pandolfi",73,10A,17,2022-01-24,04:12,1,"","Believe",2005-01-01,24,98,93,13,0,10,-19,B Minor,4,2PCTrOWob0vs0io6pfGOYS,USHM20708304
4,"Tchaikovsky: The Nutcracker, Op. 71, Act 2: No. 14a, Pas de deux. Andante maestoso","Pyotr Ilyich Tchaikovsky,Sir Simon Rattle,Berliner Philharmoniker",143,9B,15,2022-01-24,05:06,61,"ballet, classical, orchestral, opera, impressionism, concerto","Tchaikovsky: The Nutcracker",2010-10-11,14,93,95,8,0,10,-19,G Major,3,2oUX4i8ByoaDrHHz9z5Bga,GBAYC1000876
5,"Harry in Winter","Patrick Doyle",110,10A,25,2022-01-24,02:54,58,"soundtrack","Harry Potter And The Goblet Of Fire (Original Motion Picture Soundtrack)",2005-11-09,18,56,97,4,0,10,-17,B Minor,3,4H3KBBAe2Fcgv9lH6E10Oe,USWB10504708
6,"Tchaikovsky: The Nutcracker, Op. 71, Act 1: No. 9, Waltz of the Snowflakes","Pyotr Ilyich Tchaikovsky,Sir Simon Rattle,Berliner Philharmoniker,Libera",100,9A,11,2022-01-24,06:40,45,"ballet, classical, orchestral, opera, impressionism, concerto, choral, classical crossover","Tchaikovsky: The Nutcracker",2010-10-11,23,93,92,6,0,10,-22,E Minor,4,5jXB4p8pQu9Ahv10ibU8fG,GBAYC1000864
7,"Dreamland","Alexis Ffrench,Royal Liverpool Philharmonic Orchestra,James Morgan,Graham Devine",167,5B,12,2022-01-24,02:41,49,"neoclassical, classical, orchestral, classical crossover, ","Dreamland",2020-03-20,24,98,89,19,0,10,-20,D#/E♭ Major,3,1lP5gmOcL7PxGodcw6rX04,USQX91902580
8,"Christmas Breakfast - from  Little Women  Soundtrack","Alexandre Desplat",108,9A,24,2022-01-24,02:33,35,"soundtrack, score","Little Women (Original Motion Picture Soundtrack)",2019-12-13,43,89,0,7,0,10,-18,E Minor,4,3SbTwfpEt0cuvYhl3BXhwG,US4DG1900505
9,"Ala","Joep Beving",80,6B,13,2022-01-24,02:00,59,"neoclassical","Ala",2019-12-06,38,99,93,37,0,10,-22,A#/B♭ Major,1,0vzSIBAqnN1HzvWrPbh6VF,DEN961902871
10,"Sleeping Lotus","Joep Beving",69,6A,3,2022-01-24,02:32,62,"neoclassical","Solipsism",2015-03-01,31,99,89,19,0,10,-27,G Minor,4,6c7uYlmHJtZPnenPjqG7Ir,NLF7S1400007
11,"Zoetrope","Joep Beving",134,7A,2,2022-01-24,03:53,51,"neoclassical","Solipsism",2015-03-01,44,99,94,19,0,0,-28,D Minor,4,0GcVVA1fv7PRB5lswrFPx9,NLF7S1400004
12,"Gymnopédie No. 1","Erik Satie,Philippe Entremont",73,9B,1,2022-01-24,03:25,71,"impressionism, classical, classical piano","Erik Satie & Friends",2016-04-01,47,99,94,36,10,0,-37,G Major,3,5NGtFXVpXSvwunEIGeviY3,USSM11509437
13,"Carnival of the Animals: XIII. Le Cygne (The Swan)","Camille Saint-Saëns,Marian Lapsansky,Peter Toperczer,Slovak Radio Symphony Orchestra,Ondrej Lenard",59,8A,1,2022-01-24,03:10,39,"classical, impressionism, ballet, orchestral, opera","Saint-Saens (The Best Of)",1997-05-07,19,98,19,5,0,0,-36,A Minor,4,1xjL0J6RyY2UzH39hFgakW,HKI199298104
14,"Carnival of the Animals: The Swan - Arranged for Cello and Harp by Miriam Keogh","Camille Saint-Saëns,None,Sebastian Comberti,Miriam Keogh",123,9B,15,2022-01-24,02:54,65,"classical, bhajan, ","Romance",2002-01-01,22,99,94,12,0,0,-18,G Major,4,1p2KclGv8c1qKPoRq4exKd,GBDXV0100059
15,"Ballerina","Yehezkel Raz",76,5B,2,2022-01-24,01:11,71,"","Preludes, Book 1 - Streams",2019-12-10,38,99,95,43,0,0,-36,D#/E♭ Major,1,5lm18pjbwdth6ENVllxjfl,IL6651901088
16,"Once Upon a Dream","Invadable Harmony",62,7B,6,2022-01-24,01:00,0,"","Once Upon a Dream",2019-09-01,31,99,95,4,0,10,-15,F Major,3,1m5quxLLbU42bqjgo33Y9j,QZHN31944727
17,"Somewhere in Between","Jacob LaVallee",139,9A,12,2022-01-24,03:01,58,"","Somewhere in Between",2020-01-08,43,99,93,31,0,0,-20,E Minor,3,1DOMGngtpVWJBCQpu2jOeP,QZK6P1937163
18,"Song of Abayi","Emahoy Tsege Mariam Gebru",67,4B,10,2022-02-25,03:13,49,"ethiopian jazz","Ethiopiques, vol. 21: Emahoy (Piano Solo)",2006-00-00,35,100,86,13,0,10,-18,G#/A♭ Major,3,185EiYT58r61hdnHxjKVzT,FR6V86300023
19,"The French Library","Franz Gordon",65,5B,3,2022-02-15,02:59,64,"","The French Library",2020-10-30,43,99,96,4,0,10,-25,D#/E♭ Major,4,5mrxUVYEyowgATPU35aZay,SE5Q52001825
20,"The Flower Garden","Joe Hisaishi",71,5A,18,2022-02-15,02:58,66,"japanese classical, anime","Howl's Moving Castle Soundtrack",2004-11-19,10,94,89,9,0,10,-18,C Minor,4,6IZF8hi9J6EtFDLQqOlSbu,JPTK00409580
21,"Piano Concerto No. 2 in C Minor, Op. 18: 2. Adagio sostenuto","Sergei Rachmaninoff,Valentina Lisitsa,London Symphony Orchestra,Michael Francis",141,12B,5,2023-01-25,10:44,63,"classical, classical piano, concerto, minimalism, orchestral, ballet, opera","Rachmaninov: Piano Concerto No.2",2012-01-01,19,98,95,4,0,0,-25,E Major,4,4rrrn8OLrttq7r9RgNXalU,GBF071202862
22,"L'autre Valse D'amélie","Frédéric Schubert",168,3B,28,2023-01-29,01:05,55,"","Pop Ballads on Piano",2018-09-11,26,95,91,3,0,10,-16,C♯/D♭ Major,3,2osMu8c4ahjQGQ7gsRQw8I,DEZ921801632
23,"There Will Be Rain","Million Eyes",115,12B,8,2023-01-29,02:02,64,"","In the Wind",2015-02-20,89,97,73,18,0,10,-22,E Major,3,1iv1JThcpZlvOIGhIJj99g,SE5Q51819977
24,"Gnossienne No. 1","Erik Satie,Philippe Entremont",103,3A,1,2023-01-29,03:23,25,"impressionism, classical, classical piano","Erik Satie & Friends",2016-04-01,55,100,91,6,0,0,-26,A#/B♭ Minor,4,6cm0nO0CfyhU4H0hPkSMLH,USSM11509448
25,"Gnossienne No. 3","Erik Satie,Philippe Entremont",67,8A,1,2023-01-29,02:53,21,"impressionism, classical, classical piano","Erik Satie & Friends",2016-04-01,38,100,93,6,0,10,-31,A Minor,5,2giJiYJC4Q9BWXM3e8Y2fa,USSM11509450
