#,Song,Artist,BPM,Camelot,Energy,Added at,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (db),Key,Time Signature,Spotify Track Id,ISRC
1,"Ballerina","Yehezkel Raz",76,5B,2,2024-01-24,01:11,71,"","Preludes, Book 1 - Streams",2019-12-10,38,99,95,43,0,0,-36,D#/E♭ Major,1,5lm18pjbwdth6ENVllxjfl,IL6651901088
2,"Somewhere in Between","Jacob LaVallee",139,9A,12,2024-01-24,03:01,58,"","Somewhere in Between",2020-01-08,43,99,93,31,0,0,-20,E Minor,3,1DOMGngtpVWJBCQpu2jOeP,QZK6P1937163
3,"Dance of the Sugar Plum Fairy","Pyotr Ilyich Tchaikovsky,Lior Rosner,Scott Dunn,Royal Philharmonic Orchestra",105,9A,2,2024-01-24,02:04,51,"ballet, classical, orchestral, christmas","Sugar Plum on the Run",2019-11-08,27,92,91,9,0,0,-30,E Minor,4,4QTFU7BukoyDtyyemGPNCX,USQX91903048
4,"Ave Maria (Gounod)","Kassia",120,8B,20,2024-01-24,02:52,18,"classical piano, classical","Ave Maria (Gounod)",2020-12-11,44,99,91,50,0,10,-20,C Major,4,5OCN6IL8gOy9pPHFd3E7fU,QZNWW2088851
5,"Tchaikovsky: The Nutcracker, Op. 71, Act 2: No. 13, Waltz of the Flowers","Pyotr Ilyich Tchaikovsky,Sir Simon Rattle,Berliner Philharmoniker",47,10B,13,2024-01-24,06:55,59,"ballet, classical, orchestral, opera, impressionism, concerto","Tchaikovsky: The Nutcracker",2010-10-11,15,94,93,11,0,0,-20,D Major,3,0CJuLeZpCdqrqoCMXWZw8k,GBAYC1000875
6,"6 Impromptus, Op. 5: Impromptu No. 5 in B Minor","Jean Sibelius,Håvard Gimse",84,10A,3,2024-01-24,03:07,39,"classical, impressionism, concerto, orchestral, classical piano","Sibelius: Piano Music, Vol. 1",1999-08-16,18,99,92,4,0,10,-28,B Minor,4,3ZV8i9z5yJsK5IPg4VmrFH,HKI199807905
7,"Druckstellen","ibi",207,9B,1,2024-01-24,05:54,0,"","Druckstellen",2021-08-15,13,98,96,8,0,10,-33,G Major,3,0pWJmjutX8Cc2ftH325hr5,QZK6G2168544
8,"Idea 7","Gibran Alcocer",87,5A,6,2024-01-24,02:30,61,"","Idea 7",2023-12-18,50,99,90,37,0,10,-25,C Minor,4,2n1U0UuPUHISJhvrFyHxy1,QMANG2244820
9,"Swan Serenade","Piano House",73,8A,12,2024-01-24,01:22,51,"","Swan Serenade",2023-04-27,23,98,94,86,0,10,-21,A Minor,4,77oQXuT6Ng2BSfVFyP9uJ2,QZHN62370185
10,"Valse Mélancolique","James Quinn",158,4A,2,2024-01-24,02:14,33,"","Valse Mélancolique",2024-01-12,32,100,95,23,0,10,-27,F Minor,3,29dqpwO0nL5lNgp5GqM8F8,NL4WT2300353
11,"Symphony No. 5: IV. Adagietto. Sehr langsam","Gustav Mahler,Berliner Philharmoniker,Claudio Abbado",91,7B,2,2024-01-24,09:00,63,"classical, orchestral, ballet, opera, impressionism, concerto, expressionism","Mahler: Symphony No.5",1993-01-01,17,91,73,3,0,0,-29,F Major,4,1Z1DK8nlqNmV9RywT9QRCB,DEF059302081
12,"Lights Are On - Instrumental","Edith Whiskers",136,5B,14,2024-01-24,03:12,70,"","Lights Are On (Instrumental)",2021-11-05,27,93,92,17,0,10,-20,D#/E♭ Major,4,322jQ92QZRnliN8VbQMsUh,GBVHN2100016
13,"In The Artist's Garden","James Quinn",100,7B,2,2024-01-24,02:24,41,"","In The Artist's Garden",2023-09-01,39,99,84,25,0,0,-29,F Major,3,2jbAi63bSdy8rl9tB6n5js,QZRP42358539
14,"My Little Edinburgh","Piano House",218,5A,5,2024-01-24,02:50,56,"","My Little Edinburgh",2022-01-09,24,100,93,65,0,10,-28,C Minor,3,6L5glWOgYz0M2QDhKnq3Q7,QZTAU2146910
15,"Deux arabesques, L.66: I. Andantino con moto","Claude Debussy,Andrea Leiva",102,12B,15,2024-01-24,03:42,39,"impressionism, classical, classical piano","Deux arabesques, L.66: I. Andantino con moto",2023-02-03,26,97,94,22,0,0,-18,E Major,4,1SQLAn4cVKCuxgWE2YfIFz,AUMEV2301906
