#,Song,Artist,BPM,Camelot,Energy,Added at,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (db),Key,Time Signature,Spotify Track Id,ISRC
1,"Snow","Sol Est",132,7B,35,2026-01-16,03:30,19,"","Snow",2026-01-16,53,96,3,19,0,10,-11,F Major,4,77knQbUSnjpqVTmNqw2OQj,QT6G22598816
2,"Storms - 2015 Remaster","Fleetwood Mac",107,10A,28,2025-09-12,05:30,62,"yacht rock, classic rock, soft rock","Tusk (2015 Remaster)",1979-10-12,73,88,1,28,0,10,-15,B Minor,4,3h9T2wLTy4FEKulLDkUjlX,USRH11507775
3,"Let Me in","Sean Angus Watson",139,10B,12,2025-09-12,03:01,59,"","If I'm Gonna See You",2018-08-29,70,94,95,35,0,10,-20,D Major,4,2xCrfVj6YtPcov8kuW3hU8,QMPKX1843006
4,"Still Beating","Mac DeMarco",78,12A,50,2025-09-12,03:01,73,"indie, lo-fi indie","This Old Dog",2017-05-05,71,58,19,47,0,10,-11,C♯/D♭ Minor,4,4LpUpiYoZ2M3Z1kmhn4EQo,QMMZN1701303
5,"Sunsick","Sol Est",125,8B,43,2025-09-12,04:47,15,"","Sunsick",2025-05-30,52,30,0,23,0,10,-10,C Major,4,5q689Ph73dlqua4VM7k8rI,QZRP52554228
6,"My Mistake","Vampire Weekend",80,9B,33,2025-09-12,03:18,24,"indie, baroque pop","Father of the Bride (Deluxe)",2019-05-03,52,85,3,10,0,30,-11,G Major,3,6Xry4UUgAfbZTAynZl2Ou3,USSM11900147
7,"Live Well","Palace",96,10B,64,2025-09-12,04:09,72,"","So Long Forever",2016-11-04,50,26,0,44,0,0,-5,D Major,3,2H30WL3exSctlDC9GyRbD4,GBUM71603029
8,"Dreams - Take 2","Fleetwood Mac",116,8B,20,2025-09-12,05:35,45,"yacht rock, classic rock, soft rock","Rumours (Super Deluxe)",1977-02-04,71,90,0,25,0,0,-11,C Major,4,0XrPZPotxZNDkuvauuVO8R,USWB11203112
9,"Water Towers & Submarines","Sol Est",96,10B,54,2026-01-01,04:17,12,"","Water Towers & Submarines",2024-08-16,59,58,0,29,0,10,-9,D Major,4,35vdT7jf1UyO0bmwKC7W1U,QZTB52483384
10,"A Calf Born in Winter","Khruangbin",83,10B,39,2025-09-12,03:29,0,"neo-psychedelic","A Calf Born in Winter",2014-05-26,51,56,89,51,0,90,-13,D Major,4,230tKtsKM3eigmK2CtssAO,GB5EM1401314
11,"Hand Me Downs","Mac Miller",69,10B,33,2025-09-12,04:58,69,"","Circles",2020-01-17,68,47,0,34,10,0,-11,D Major,4,2Yv2mHzr5AQavVdwQjEokV,USWB11801014
12,"Autumn Town Leaves","Iron & Wine",116,3B,32,2025-09-12,03:15,58,"indie folk","Weed Garden",2018-08-31,66,86,0,43,0,10,-15,C♯/D♭ Major,4,6HbxpoChDH9ThadFOSAnma,USSUB1825505
13,"For Emma","Bon Iver",111,9A,61,2025-09-12,03:40,71,"","For Emma, Forever Ago",2008-02-19,67,49,18,57,0,10,-11,E Minor,4,2nilAlGEZmwyaLTMMyDdLo,US38Y0811508
14,"Amsterdam","Gregory Alan Isakov",152,5B,43,2025-09-12,03:18,72,"indie folk, folk, folk pop","The Weatherman",2013-07-09,55,92,14,53,0,10,-13,D#/E♭ Major,3,7iQmjnDXYngWGsbjVnDc1U,uscgj1396460
15,"Walk in the Park","Beach House",141,7B,55,2025-09-12,05:22,43,"dream pop","Teen Dream",2010-01-25,65,6,5,85,0,0,-6,F Major,4,0rkKQHAGMaRoEbcR3sFknr,GBBRP1022504
16,"Lost In The Light","Bahamas",76,10B,27,2025-09-12,03:56,69,"","Barchords",2012-01-01,60,79,0,25,0,10,-9,D Major,4,6IBpFG2LU2udYofIuROp3w,USUM71115233
17,"Nostalgia","Alice Phoebe Lou",77,11B,26,2025-09-12,03:17,47,"","Paper Castles",2019-03-08,34,69,0,11,0,20,-9,A Major,4,22AiMbONlTzRNXqla6J3L8,GBKPL1933838
18,"Beach Baby","Bon Iver",114,8B,8,2025-09-12,02:40,71,"","Blood Bank",2009-01-20,67,98,41,9,0,10,-17,C Major,3,2LXtyj95dK56ENS1QLt4IB,US38Y0913402
19,"Calm Down","Jack Johnson",122,6A,61,2025-09-12,03:15,42,"surf rock","Meet The Moonlight",2022-06-24,81,78,0,94,0,20,-9,G Minor,4,7HaYYyX5y87gj6JvXyOmzM,USUG12201856
20,"Turn Me On","Norah Jones",171,6B,18,2025-09-12,02:34,72,"jazz pop","Come Away With Me (Super Deluxe Edition)",2002-02-26,43,86,0,49,0,10,-11,A#/B♭ Major,3,1qzHqfvKrZWo6dVHM1dXrj,USBN20100532
21,"Magnolia (feat. John Mayer)","Eric Clapton,John Mayer",74,8B,25,2025-09-12,03:41,53,"blues, blues rock, classic rock, singer-songwriter","Eric Clapton & Friends - The Breeze (An Appreciation of JJ Cale)",2014-07-29,59,65,14,39,0,10,-14,C Major,4,0VzLAYIns618H651sG09Gp,USSFR1423007
22,"something will happen","berlioz",67,8B,42,2025-09-12,02:59,56,"jazz house, jazz","open this wall",2024-07-12,41,72,90,15,0,10,-15,C Major,5,5JfTTsxXiIwQKIWy9DcEV1,GX3Q92466513
23,"Third Eye","Cape Weather",109,7B,66,2025-09-15,03:54,14,"surf rock","Slow Dance",2020-07-17,55,14,82,26,0,10,-9,F Major,4,6GhRmKlvU7DNUg59zMH11m,QZ5FN2049358
24,"Never Fade","Jack Johnson",74,1B,45,2025-10-01,04:02,62,"surf rock","From Here To Now To You",2013-01-01,72,67,0,56,0,10,-9,B Major,4,6p2LTUjGvJS2m0wX7oL03V,USUM71307489
25,"Motel 6","River Whyless",168,12B,44,2025-10-30,03:15,67,"folk pop","Kindness, A Rebel",2018-06-08,49,30,0,13,0,10,-9,E Major,3,6hUTzxvNiJ1c0lYqgoOTBW,USVBM1800030
26,"San Luis","Gregory Alan Isakov",83,6A,43,2025-10-30,04:32,73,"indie folk, folk, folk pop","Evening Machines",2018-10-05,57,86,26,26,0,10,-13,G Minor,4,0mnWNvwXRNu82bpfi2rsuz,USDMG1888302
27,"Mariella","Khruangbin,Leon Bridges",110,10B,58,2025-10-30,05:10,72,"neo-psychedelic, retro soul","Texas Moon",2022-02-18,59,53,72,56,0,0,-10,D Major,4,3dvXRk7TZ929m21p49RR5P,USJ5G2125405
28,"Better Views","Yellow House",89,7B,61,2025-10-30,03:59,60,"","Better Views",2016-10-04,46,66,0,8,0,10,-9,F Major,4,5PE2TkQKrgcLZupVGe5Pxu,TCACS1641270
29,"Better Days","Sol Est",156,1B,53,2026-01-01,04:10,11,"","Better Days",2025-09-05,53,2,0,51,0,0,-10,B Major,4,3qlMqmz7aZDn4hOXKOmA8T,QZZ7M2524373
