#,Song,Artist,BPM,Camelot,Energy,Added at,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (db),Key,Time Signature,Spotify Track Id,ISRC
1,"Safe In Your Skin","Title Fight",109,8B,25,2025-11-27,02:34,73,"midwest emo, shoegaze, post-hardcore, melodic hardcore, emo","Shed",2011-05-03,44,66,91,26,0,10,-11,C Major,4,1acjIzGS1YUrx6nSuktnqU,USA6G1144107
2,"Eric","Mitski",100,2A,24,2025-11-27,03:17,57,"","Lush",2012-01-31,36,86,0,4,0,10,-11,D#/E♭ Minor,3,6xsoxv6FtJSjAOBVwuZSGf,USCGH1222957
3,"My Love Mine All Mine","Mitski",114,11B,31,2025-11-27,02:17,87,"","The Land Is Inhospitable and So Are We",2023-09-15,50,87,14,12,0,10,-15,A Major,4,3vkCueOmm7xQDoJ17W1Pm3,USJ5G2335007
4,"I Want You","Mitski",132,5B,29,2025-11-27,03:03,73,"","Retired from Sad, New Career in Business",2013-08-01,34,51,0,7,0,0,-11,D#/E♭ Major,3,7FHj19QQigvMH1onMYRNLn,USHM81309666
5,"Covet","Basement",139,12B,80,2025-11-27,03:47,73,"midwest emo, shoegaze","Colourmeinkindness",2012-10-23,43,0,7,23,0,0,-6,E Major,4,1AMADyXgIWayh5vXLZo2qF,USQU71206102
6,"Murder Your Memory","Title Fight",160,12B,39,2025-11-27,02:36,62,"midwest emo, shoegaze, post-hardcore, melodic hardcore, emo","Hyperview",2015-02-03,54,86,90,7,0,0,-12,E Major,4,1SRKTHfXZFp1ybmbWpIfEZ,USEP41425001
7,"unrequited","Midrift",155,7B,82,2025-11-27,02:10,61,"shoegaze","unrequited",2023-05-05,33,8,40,25,0,60,-8,F Major,4,1v4jO5ca9OVgii1glFjz3h,QZHN62386215
8,"Crescent-Shaped Depression","Title Fight",75,12B,92,2025-11-27,02:39,61,"midwest emo, shoegaze, post-hardcore, melodic hardcore, emo","Shed",2011-05-03,46,0,0,32,0,0,-5,E Major,4,6bGDr2wSAAuVvVWhMzax7w,USA6G1144106
9,"Pretend","alex_g_offline",116,11B,70,2025-11-27,05:59,75,"","1234",2023-07-09,61,5,0,36,0,10,-3,A Major,4,0tGqk0HlYMQ16aj7yJwleF,QZNWS2366733
10,"Your face","Wisp",134,12B,77,2025-11-27,03:49,74,"shoegaze","Pandora",2024-04-05,51,0,89,18,0,10,-6,E Major,4,2VtXANhW6YpAzsMDQCFkAv,QZHN72394654
11,"Break","alex_g_offline",79,11B,45,2025-11-27,02:57,75,"","1234",2023-07-09,47,3,86,48,0,10,-14,A Major,4,4Rsv5fRmgTH88RLp7xN5sz,QZTAY2207498
12,"Twilight","bôa",187,10A,83,2025-11-27,03:48,73,"","Twilight",2001-03-21,39,16,0,38,10,10,-8,B Minor,4,6d67Xv8ms2noA8wWFLiPDN,USCGJ0659338
13,"wonder if you care","flyingfish",78,4A,67,2025-11-27,02:14,68,"shoegaze","wonder if you care",2023-04-28,43,0,71,18,0,10,-9,F Minor,4,0KdEx2ETCXYZeEVAZS4sJ4,QZK6Q2300573
14,"It Almost Worked","TV Girl",141,11B,89,2025-11-27,02:32,80,"","The Night in Question: French Exit Outtakes",2020-05-01,67,30,35,68,0,0,-4,A Major,4,4NUhcsz9E1LrBe8nXLZqzp,USDY42073308
15,"Sarah","Alex G",124,9A,69,2025-11-27,02:56,73,"","Trick",2012-11-05,65,51,0,50,0,10,-5,E Minor,4,4HuiEuJ7ZW8jewUuZBg6sk,GBJET1400060
16,"D>E>A>T>H>M>E>T>A>L","Panchiko",87,4A,80,2025-11-27,04:21,75,"shoegaze","D>E>A>T>H>M>E>T>A>L",2000-12-05,26,82,52,26,0,10,-7,F Minor,4,4sIFi8LpJWPvI5xviWFyA6,GBEF30000001
17,"Dagger","Slowdive",146,1A,21,2025-11-27,03:38,70,"shoegaze, dream pop, slowcore","Souvlaki",1993-00-00,51,63,92,27,0,10,-21,G#/A♭ Minor,4,3MmRfG64qt04Efx9gK9Ec8,GBBQY0400044
18,"Sleep Walk","Deftones",112,3B,34,2025-11-27,02:30,64,"nu metal, alternative metal, rap metal, shoegaze, rock","Covers",2011-04-16,31,80,91,21,0,10,-12,C♯/D♭ Major,5,2HrgY8IeC2nE5Hrr17jIii,USMV20300057
19,"Sometimes","alex_g_offline",111,6B,39,2025-11-27,02:32,71,"","1234",2023-10-13,67,85,81,88,0,0,-16,A#/B♭ Major,4,7d16ACNTVHWFLRAOGL3ZiI,QZTAZ2264594
20,"I Wait for You","alex_g_offline",123,9B,30,2025-11-27,02:38,76,"","1234",2023-07-09,59,96,1,31,0,10,-14,G Major,4,7EDcAz6iuKSkxH4VcC3Oko,GX38U2388624
21,"See you soon","Wisp",136,12A,86,2025-11-27,03:40,62,"shoegaze","Pandora",2024-04-05,43,1,81,28,0,10,-7,C♯/D♭ Minor,4,5TMGf0iNjOVLOgBf9vgq2O,USUM72400376
22,"Me and the Birds","Duster",120,1A,53,2025-11-27,01:35,68,"slowcore, shoegaze","Contemporary Movement",2000-08-22,48,75,6,22,0,50,-7,G#/A♭ Minor,4,4wEuNvb7oG8oZYrZPZ9rPr,US68F0509104
23,"Mis","Alex G",61,8B,33,2025-11-27,03:20,69,"","Rules",2012-01-15,54,80,32,11,0,10,-11,C Major,4,1llY5gzWqdAjm1Hscr4kwn,GBJET1400067
24,"Orbitron","Duster",116,10B,41,2025-11-27,02:18,60,"slowcore, shoegaze","Capsule Losing Contact",2019-03-22,49,6,76,10,0,10,-11,D Major,4,5uGI2hG03LVWU0rrBirOw6,USCW61921001
25,"Enough for you","Wisp",119,12B,66,2025-11-27,03:05,66,"shoegaze","Pandora",2024-04-05,52,0,78,24,0,10,-6,E Major,4,1z8nQqjNwNtuj0aoALh7gf,USUM72402018
26,"Forever","Alex G",85,11B,57,2025-11-27,02:29,67,"","Trick",2012-11-05,64,61,91,79,0,20,-9,A Major,4,3suf1WpGLuPpq2DXkkmyK5,GBJET1400047
27,"16 Mirrors","Alex G",122,10B,30,2025-11-27,01:27,68,"","Trick",2012-11-05,56,64,0,5,0,10,-7,D Major,4,4ff1q6L0CZ3nf3LKJ1O7lY,GBJET1400061
28,"Fear","Current Joys",94,10B,45,2025-11-27,03:36,73,"lo-fi indie","A Different Age",2018-03-02,72,70,43,51,0,0,-8,D Major,4,1JbbYSre3n6j2YlfHH31UL,QMBZ91743918
