#,Song,Artist,BPM,Camelot,Energy,Added at,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (db),Key,Time Signature,Spotify Track Id,ISRC
1,"dark snowy night","daniel.mp3",67,9A,9,2023-08-07,03:08,63,"dark ambient","dark snowy night",2023-01-19,13,98,87,4,0,10,-24,E Minor,3,2TPo8lQlZF01DckHHMVAl9,SE5BU2214061
2,"i don't want to feel this way anymore","forgetme.not",116,3B,27,2024-10-02,02:18,19,"dark ambient","i don't want to feel this way anymore",2024-09-09,44,92,93,35,0,10,-16,C♯/D♭ Major,4,2jbZVvH7f1YjUjipp9CJC3,QZTBF2432343
3,"deep in thoughts","Hinoku,pandora.",136,8B,5,2025-01-01,01:22,22,"dark ambient, ambient","deep in thoughts",2024-09-12,17,98,81,6,0,10,-30,C Major,3,1M2dDtWcRscXgWq1GSWJQB,GXD7V2441429
4,"fragmented minds, under the same sky","forgetme.not",80,2B,12,2024-10-02,02:24,17,"dark ambient","spots",2024-09-16,41,94,85,13,0,10,-24,F#/G♭ Major,4,2wHExRKae4D7LHvrgVgawZ,QZWFF2401156
5,"mirage","théos,Antent",64,9A,31,2023-08-07,01:58,45,"dark ambient, ambient","mirage",2022-12-09,35,90,91,21,0,10,-17,E Minor,3,7gy6sob5awFll0Pc5zPP1w,USANG2234120
6,"evenfall","daniel.mp3",172,12A,2,2023-08-07,02:01,61,"dark ambient","evenfall",2023-03-13,8,95,84,4,0,10,-30,C♯/D♭ Minor,4,04B76QY7J6NnNFpFpqTE4i,SE5752372311
7,"retire (final)","Alvedon",135,1A,42,2024-09-15,03:34,71,"","hurry up mixtape",2021-08-01,22,81,93,39,0,10,-21,G#/A♭ Minor,4,1hwX5UMu9aUV44INM8GdPv,QZK6J2131668
8,"hope to see you again (Slowed + Reverb)","Antent",141,2B,2,2023-08-07,02:42,52,"dark ambient, ambient","hope to see you again (Remixes)",2023-05-23,44,100,88,15,0,10,-33,F#/G♭ Major,4,5OaCjFudicwBTOmRzzlrMG,QM3DF2211046
9,"searching for you","Øneheart,Antent,Owsey",175,12B,30,2023-08-07,01:39,52,"dark ambient, ambient, chillstep","searching for you",2023-05-12,28,93,94,7,0,20,-16,E Major,4,42MAGlv2PPy5fjCdfDy2eG,QM3DF2203773
10,"snowfall","Øneheart,reidenshi",95,6B,9,2023-08-07,02:04,84,"dark ambient, ambient","snowfall",2022-01-14,47,93,80,8,0,40,-27,A#/B♭ Major,4,4xF4ZBGPZKxECeDFrqSAG4,QM3DF2191341
11,"apathy","Øneheart",82,6A,18,2023-08-07,01:57,72,"dark ambient, ambient","apathy",2022-10-21,18,93,93,12,0,10,-25,G Minor,4,6WUgqFZhbNRaeBuzG2ahfJ,USANG2218306
12,"last breath","Øneheart,$werve",179,4A,12,2023-08-07,01:41,59,"dark ambient, ambient, phonk, drift phonk, brazilian phonk","last breath",2023-01-27,7,93,93,23,0,10,-26,F Minor,4,6E2h4qMO2CSXlWxE43bd9Q,USANG2253315
13,"rescue","Øneheart,ashess",176,5B,4,2023-08-07,02:16,64,"dark ambient, ambient","rescue",2023-03-10,40,97,92,4,0,10,-29,D#/E♭ Major,4,7zGy5IJuIH6r9lxLLLRJ1m,USANG2264652
14,"Pulse","Antent",179,5B,2,2023-08-07,02:08,60,"dark ambient, ambient","Pulse",2022-07-08,37,98,90,17,0,0,-32,D#/E♭ Major,4,20C59ZiRbuRZIY2Xbup9Wl,US3DF2262763
15,"green to blue","daniel.mp3",138,10B,3,2023-08-07,03:09,69,"dark ambient","Backroom",2022-06-29,33,98,93,6,0,0,-31,D Major,4,4zzxSXdXK4gLEOyGpPpb9v,SE6SA2227610
16,"stellar",".diedlonely,énouement",82,1A,15,2023-08-07,01:39,71,"dark ambient, ambient","stellar",2023-06-23,49,89,92,11,0,10,-20,G#/A♭ Minor,4,2PpYJcgJN6PzozUv7rU669,QM3DF2222961
17,"you not the same","TileKid",67,8A,3,2023-08-07,02:08,72,"","you not the same",2021-03-05,10,97,86,12,0,0,-32,A Minor,4,4txrAyGAWA9JqZzoNHiPRh,USA2P2108466
18,"snowfall (Slowed + Reverb)","Øneheart,reidenshi",78,11B,5,2023-08-08,02:30,72,"dark ambient, ambient","snowfall (Slowed + Reverb)",2022-04-01,40,93,87,10,0,20,-30,A Major,4,4VkEkljlOC5cMbRMhREO5E,US3DF2234363
19,"distorted memories","Øneheart,reidenshi",75,1A,22,2023-08-16,01:50,66,"dark ambient, ambient","distorted memories",2022-07-01,38,93,90,21,0,0,-24,G#/A♭ Minor,4,2QJEVdIX5xuBGrDSpPjocC,US3DF2261714
20,"this feeling","Øneheart",180,3A,2,2023-08-16,01:34,70,"dark ambient, ambient","this feeling",2022-02-18,17,92,77,6,0,10,-34,A#/B♭ Minor,4,1r232i80xFiNHzSUmrFc01,US3DF2212263
21,"memories","leadwave",67,7B,8,2023-08-22,01:26,72,"dark ambient, ambient","memories",2022-09-23,25,95,93,4,0,0,-27,F Major,4,4VkRQSpG16JxrXaVlNyWdX,USANG2209879
22,"watching the stars","Øneheart",82,9A,11,2023-08-22,01:39,70,"dark ambient, ambient","watching the stars",2022-08-05,45,94,93,5,0,0,-26,E Minor,4,321PCApeQiLLrf03k83cCb,US3DF2279439
23,"nostalgia","Øneheart",67,3B,2,2023-08-22,02:04,65,"dark ambient, ambient","nostalgia",2023-02-28,13,90,84,6,0,30,-27,C♯/D♭ Major,5,768xi4B8fL5dG028KbCjLl,USANG2255540
24,"numb","my head is empty",66,1A,2,2023-08-22,01:41,64,"dark ambient, ambient","ambient vol 3",2023-01-13,28,92,95,7,0,10,-34,G#/A♭ Minor,5,69pHMM7biztKZHCTnxnzFI,USANG2245856
25,"over you","Øneheart,.diedlonely",149,3A,4,2023-08-22,01:47,55,"dark ambient, ambient","over you",2023-04-21,22,99,84,4,0,0,-33,A#/B♭ Minor,4,0H8iu9qEoCnTbKRLWIVGkI,USANG2289551
26,"hope to see you again","Antent",78,1B,6,2023-08-22,02:27,66,"dark ambient, ambient","hope to see you again",2023-02-10,43,99,90,12,0,10,-29,B Major,4,3vfYc2JwOEhV8Rr1RxBlGu,USANG2253928
27,"One","Sangam",0,4A,2,2023-08-22,01:44,49,"vaporwave, ambient, dark ambient, chillwave","You Forget This",2016-11-04,0,98,73,0,0,10,-31,F Minor,0,5P5qoDP64nxGf1WDGWUD8M,USQY51608204
28,"sleepless","Ødyzon",176,9B,15,2023-08-22,02:29,60,"dark ambient, ambient","sleepless",2022-10-21,25,80,84,8,0,10,-25,G Major,4,2l3IMrkVUCUYLhSRGapTqu,USANG2218542
29,"In Your Arms","Antent",84,9A,10,2023-08-22,01:30,59,"dark ambient, ambient","In Your Arms",2022-06-10,8,89,71,4,0,10,-28,E Minor,1,3aD54SqCgTXcO03MXvOccj,US3DF2256190
