#,Song,Artist,BPM,Camelot,Energy,Added at,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (db),Key,Time Signature,Spotify Track Id,ISRC
1,"The Trapeze Swinger","Iron & Wine",75,10B,40,2018-01-18,09:31,0,"indie folk","Around The Well",2009-05-19,61,89,0,69,0,10,-12,D Major,4,7f1rzHP8aCGTHjTq9CIYqo,USSUB0400500
2,"Flightless Bird, American Mouth","Iron & Wine",155,5B,39,2018-01-18,04:02,0,"indie folk","The Shepherd's Dog",2007-09-25,36,80,7,19,0,10,-8,D#/E♭ Major,3,6iWwfN1euztxZi1OK38HbU,USSUB0771012
3,"Naked As We Came","Iron & Wine",172,12B,21,2018-01-18,02:32,0,"indie folk","Our Endless Numbered Days",2004-03-23,37,63,6,66,0,10,-17,E Major,4,2gUSIsapdX6jEJ0DvjqTt2,USSUB0400095
4,"Sweater Weather","The Neighbourhood",124,6B,81,2018-01-18,04:00,92,"","I Love You.",2013-04-22,61,5,2,40,0,10,-3,A#/B♭ Major,4,2QjOHCTQ1Jl3zawyYOpxh6,USSM11300080
5,"Time After Time","Iron & Wine",125,3B,25,2018-01-18,02:50,0,"indie folk","Time After Time",2016-10-28,63,81,6,65,0,10,-13,C♯/D♭ Major,4,5kOBEsqVNwi4udPRbagNIV,QM25R1600601
6,"Call It Dreaming","Iron & Wine",80,7B,50,2018-01-18,03:51,0,"indie folk","Beast Epic",2017-08-25,52,61,0,73,0,10,-10,F Major,4,4ftYIbHbKSVZWyrveFHCNu,USSUB1717006
7,"Resurrection Fern","Iron & Wine",75,7B,36,2018-01-18,04:49,0,"indie folk","The Shepherd's Dog",2007-09-25,51,28,0,22,0,10,-10,F Major,4,7GaiL46MFjCh4LfEDeM8HY,USSUB0771008
8,"Skinny Love","Bon Iver",76,9A,26,2018-01-18,03:58,1,"","For Emma, Forever Ago",2008-02-19,59,84,0,11,0,10,-14,E Minor,4,2cbic3TiUENlJX91y67ARR,US38Y0811503
9,"Love Vigilantes","Iron & Wine",122,5B,30,2018-01-18,03:26,0,"indie folk","Around The Well",2009-05-19,73,67,0,65,0,10,-14,D#/E♭ Major,4,0ahOkCowJzgyrkoB1HJLPY,USSUB0980816
10,"Requiem On Water","Imperial Mammoth",110,8B,18,2018-01-18,02:23,39,"","The Twilight Saga: Breaking Dawn - Part 1 (Original Motion Picture Soundtrack)",2011-11-04,69,94,0,21,0,10,-14,C Major,4,1FxrfPSbuTG1Y3FcQOLtck,USAT21102314
